第1話,きのこの国
アスカ,うん。燃料もったいないからずっと押されてたからね、いい加減走りたい
村長,ふ、ふふ･･･いいコンビだね、君たちは･･･ん？救難信号？
アスカ,あ、そのきのこそんな能力もあるんだ
村長,門の方か！すまない！私は行くよ！
ノノ,･･･アスカ
アスカ,わかってる
門番,ヒャアーはっはっはっはっは！この銃があれば！俺はここの支配者になるんだああ！
村長,考え直せ！こんなところで銃を撃ってもなんにもならないぞ！
門番,うるせえ！俺は支配者になったんだああああああ！
アスカ,･･･あれさ
ノノ,･･･ヤマト拳銃のパースエイダーのことですね
アスカ,･･･どうする？
ノノ,･･･行ってきます
門番,お！旅人さんじゃねえか！あんたのお陰で支配者になれそうだぜ！ヒャッハーーーー！
ノノ,･･･それを返してくれませんか？背負ってるセーラライフル型のパースエイダーのことも一緒に
門番,嫌だね！あんましちょーしくれてっとぉ！撃っちまうぜええええええ！
ノノ,･･･セーフティかかりっぱなしなんですけど･･･、外し方もしらないでしょうあなた
門番,･･･え？
アスカ,お見事
門番,ぎぁあああ！･･･い、いたい
ノノ,･･･そうでしょうね
門番,いってええええええええ！
ノノ,･･･あとはおまかせします
村長,う、うん。ありがとう。門番！君は反省しろ！しばらく土に還ってもらうからな！
門番,ご、ごめんなさい。ゆ、ゆるして･･･
アスカ,お疲れ様。ノノ
ノノ,････ええ、行きましょう。アスカ
アスカ,よかったねえ。いっぱいお土産もらって
ノノ,全部きのこですけどね。干しきのこは保存食になりそうです、携帯食料より美味しそうですね
アスカ,お茶まで気のことはおそれいったね。････どうしたのさ？
ノノ,･･･最後の言葉が気になって
アスカ,最後？
ノノ,しばらく土に還ってもらうって･･･それ死刑じゃないんですかね･･･？
アスカ,･･･きのこなんだしある意味正しいんじゃない？
ノノ,そうですか
アスカ,そうだよ
ノノ,････････次はどんな国ですかね、ふかふかのベッドと燃料がある国だといいんですけど
アスカ,あてはあるのかい？
ノノ,･････さて、どうでしょう？
