今回のキャラは両方とも台詞を考えるのがなかなか難しかったです。,小並感
アレッシー,ウウ...ありがとうねェ、こずえちゃんンンーー......
こずえ,こずえは...プロデューサーが...だいすきだよー...
アレッシー,もちろんオレもこずえちゃんがだいすきだよォ～
こずえ,ふふふ...
花京院,へえ、奈々さんはゲームも好きなんですね。
安部菜々,ええ、そうなんです～！小さい時は、当時発売されていたF-MEGAなんて好きでしたよ～！
花京院,おや、それは奇遇ですね、僕もそのゲームは大好きでしてね...。かなりやりこんだものです...
奈々,へー、そうだったんですね～！。典明くんは20年くらい前の昔のゲームが好きなんですね～！
花京院,え
奈々,ハッ！。と、とにかく！ナナは典明くんと同じゲームが好きでーー。ナナ、とーっても嬉しいですっ！
花京院,そ、そんなこといわれては照れてしまいますね...///
奈々,これからもずーーっと一緒ですからね、典明くん！
花京院,ええ、そうですね...僕も奈々さんと一緒に歩んでいくつもりです...
奈々,2人でこれからも、頑張っていきましょうね！
