なにより私のことを,がきんちょ
晶葉,以上で私のライブは終わりだ！まだまだライブは続くから楽しんでくれよ！
心,お疲れ様～☆
晶葉,一旦休憩なだけだ。まだ完全には終わってないぞ！
心,そんだけしゃべれるなら大丈夫そうだなっ♪
晶葉,それより自分の心配はしなくていいのか？
心,自分のライブが終わったからって調子に乗るな☆
晶葉,まあ。はぁと。頑張れよ。
心,年上にはさんを付けろよ☆行ってくる☆
菜々,次ははぁとさんが出てきました。
心,ラブリーアイドル、しゅがーはぁとのオンステージへようこそー！幸せのハートでスウィーティーにしちゃうぞ☆
モバＰ,あいつも問題なさそうだな。
菜々,まだまだ新人アイドルなのにすごいですよね。
モバＰ,あいつはぶれないキャラを持ってるからな。
菜々,ぐっ…。確かにぶれないキャラって強いですよね。
モバＰ,それに晶葉と同様あいつもアイドルが大好きだからな。
菜々,やっぱりアイドルが大好きだとこっちまで楽しいのが伝わってきますよね。
心,あれー、もうはぁとの出番は終わり？じゃあ最後はみんなで魔法のコトバを一緒に言おうね♪せーの…スウィーティー♪
菜々,スウィーティー♪次は二人揃ってですね。
モバＰ,あんだけ打ち合わせして色々作ってたんだ。二人なら最高のライブにしてくれるよ。
晶葉,最後に二人でのライブだ！
心,最後の最後まで楽しんでいけよ♪
晶葉,さっそくだが私たち二人らしい舞台装置を作ってきた。
心,晶葉ちゃんにはぁとの物理的はぁとアタックを禁止されたからね♪
晶葉,当たり前だろ！あんな危ないもの誰でも禁止する。だからこそこれを作ったんだろ。舞台装置起動！
菜々,会場に薄い霧がかかってきましたね。
モバＰ,晶葉は小梅のときといいやることが大胆だな。
心,いくぞ♪せーの…
晶葉、心,スウィーティー♪
菜々,すごいです。たくさんのハートが飛んできます。
モバＰ,霧をスクリーンにしてるんだな。
晶葉,これが科学と！
心,はぁとアタックの融合！名づけて！
晶葉、心,視覚的はぁとアタックだ！！
菜々,すごいです！すごいかわいいですね！
モバＰ,はぁとアタックのいいところは残しつつ、安全性を確保した実に素晴らしいアイディアだ。
晶葉,ボルテージも最高潮まで上がってるな！このテンションで最後まで行くぞ！
心,お前ら、ぶっ倒れんなよ☆
晶葉,ライブ大成功だったな！
心,みんなはぁとにメロメロになったぞ♪
晶葉,いや。ロボと私の魅力に惹かれてたんだ！
心,はぁと！
晶葉,私！
菜々,二人とも仲良くしましょうね。
晶葉、心,はい！先輩！！
菜々,変なところで仲良くしないでください！！
