・作者の癖として、三点リーダ,…
提督,……嫌がられてはいないようだが。……ままよ。那智
那智,何、だ……？
提督,ｽｩｰｯ……ﾊｧｰｯ……。――好きだ、那智
那智,ん…？
提督,俺は、お前が。女として。好きだ
那智,んん！？
足柄,言ったッ……！
羽黒,足柄姉さん、声が大きい！
那智,き、貴様、何を言って……！
提督,戦力として、期待している。秘書として、信頼している。戦友として、敬意を抱いている。だがそれ以上に……異性として、好きなんだ
那智,それは……わ、私は……
提督,好きだ。愛しい。慕っている
那智,ま、待て！
提督,大好きだ。愛している。添い遂げたい
那智,わ、分かった、から……だから一度、離してくれ……
提督,……無理だ
那智,え……？
提督,愛しさが……止められない。お前を離したくない。その凛々しい瞳に見つめられたい。その長い黒髪を梳いてやりたい。お前の戦う姿が好きだ。楽しそうに酒を飲む姿が好きだ。泣いている駆逐艦を不器用にあやす姿が、時折見せる難しげな顔が、急な告白に戸惑い、照れるその表情が――どうしようもなく好きだ
那智,～～～～！！
提督,お前のことをもっと知りたい。お前にもっと近づきたい。お前にずっと側にいてほしい……
那智,～～っ、すまん、もう無理だ！
提督,え？。那智に腕を掴まれた――と思った次の瞬間。俺の体は浮き上がり、地面が近づき――視界が暗転した。…………。…………？。……何か、優しさに包まれているかのような柔らかな感触が……
那智,……き、気が付いたか？
提督,う……那、智……？
那智,その……さっきはすまかった。きゅ、急にあんなことを言われて、どうすればいいか分からなくなってだな
提督,……徐々に意識がはっきりしてきた。俺は那智に膝枕されているようだ。恥と照れで赤面している那智も可愛い
那智,ま、またそんなことを！
提督,声に出てた。俺の方こそ、困らせてしまってすまない
那智,あ、謝らないでくれ。…………。…………そ、それで、な
提督,ん？
那智,先ほどの…貴様の、その…ｺﾞﾆｮ
提督,…………
那智,…………
提督,那智の手……
※ゲーム内でのケッコン,仮
那智,私は貴様を…なんというか…嫌いでは、ない
提督,……それはつまり、好きということか？
那智,……そういうことに、なるか。……と、ともかく！私と共に在れば、もっと大きな勝利を約束する。絶対だ
提督,……それは、この先もずっと側にいてくれるということか？
那智,い、いちいち確認するな！……まあ、つまりはそういうこと、だ
妙高,……いい加減、退散しましょうか
足柄,そうね
羽黒,はぐぅ…///
提督,那智……。握った手は離さず、もう片方の手を那智のうなじにかける。そしてそっと力を加え、頭を下げるよう促す
那智,言葉だけでは、足りないか……？
提督,足りるわけがない。初めて出会ってから今まで、どれだけ悶々とした日々を繰り返したことか。那智は抵抗しない。かすかに潤んだ瞳が近づく。那智が目を閉じる。那智の吐息が俺の肌に触れる――
那智,んっ……
提督,…………
那智,…………
提督,…………
那智,…………ぷはっ
提督,…………幸せすぎる
那智,…………
提督,那智？
那智,…………駄目だ、もう
提督,？
那智,……好きを意識するのが、こんなに落ち着かないとは……
提督,…………
那智,んむ！？…………んんっ、ぷは。貴様……この……ばかぁ
提督,愛しい……。……これからもよろしくな、那智
那智,……ああ、よろしくお願いする
提督,……お、お早う
那智,あ、ああ……
提督,えーと……仕事しようか
那智,うむ……
提督,……腹減ったな
那智,そう、だな
提督,食堂行こっか……
那智,うむ……
提督,日が暮れたな……
那智,ああ……
提督,今日はこのへんにするか
那智,うむ……
提督,…………
那智,…………
提督,じゃあ……
那智,…………
提督,……また明日
那智,う、うむ……そうだな
足柄,……初恋真っ盛りの中学生かっつーの
妙高,ケッコンはまだ、当分先になりそうね…
