佐久間まゆ,ハッピーバレンタイン♪はい、まゆからのプレゼントです
P,また食べたいかといえば……もう良いかな。やっぱり、普通のチョコが良い
まゆ,そう……ですか
P,一応まゆも食べてみるか？。もしかしたらこれが不良品で味がおかしいだけかも
まゆ,はい
P,うわー、すっげー美味そうな笑顔。とても同じものを食べたとは思えないな
まゆ,いつも食べてる味……ですね
P,いつも食べてるんだ
まゆ,いえ、さすがに毎日ではないですけど
P,……さっき俺が言ったこと覚えてる？異世界に来たみたいって
まゆ,はい
P,突拍子もないことだけど、そうとしか考えられない。であるならば
まゆ,あるならば？
P,俺はこの世界に順応しなければならない。まゆにはなにも落ち度はないんだ。俺が合わせないといけない
まゆ,自分の意志で異世界から来たのでなければ、プロデューサーさんにも落ち度はないんじゃ？
P,たしかにそれが俺の責任かと訊かれれば違うだろう。運命のいたずらとしか言いようがないが……。さっきまゆが作ってくれてる間に、軽くネットで調べてみたんだ。バレンタインにチョコ焼きそばを贈るのは当然のようだった。世の中的にはそれが正しい。じゃあ俺が合わせるしかない。なによりまゆがバレンタインに用意したものを食べて箸が進まないのが悔しい。俺はまゆの担当プロデューサーで、一人目のファンだから
まゆ,プロデューサーさんって……とっても適応力高いんですね
P,まだ適応できてないけどな
まゆ,そうですけど……心構えと言うか
P,ああ、なるほど。まゆがいるから……
まゆ,えっ？
P,まゆがいるならまあ良いか、と思ったんだ。まゆのいない異世界だったら絶望してたかもな
まゆ,あっ
P,どうした？
まゆ,えっと……残酷なことを伝えないといけないかもしれません。他の皆も……プロデューサーさんに贈るチョコ焼きそばを用意していると思います
P,……絶望が俺のゴールだ
まゆ,気をしっかり！
P,日を改めて、チョコ焼きそばを食べれるよう特訓することになった
まゆ,幸い……というかなんというか、他の皆からもチョコ焼きそばをもらったので。色んなメーカーのがそろっていますね。味付けも色々違いますから……中には好きなのがあるかもしれません
P,こんなに色んなメーカーから出てるなんて……やっぱり異世界としか思えないな
まゆ,異世界のプロデューサーさんでも、やっぱりまゆの大好きな人には変わらなくて……うふふ、不思議ですね。まゆは、プロデューサーさんの知ってるまゆと変わりませんか？
P,うん。チョコ焼きそば以外は
まゆ,あはは……
P,そういえば、料理の得意なまゆならチョコ焼きそばも手作りしそうだが。いや……ありえなくはないか。元の世界のまゆでも既製品を贈る可能性はある。例えば手作りする時間が取れなかった場合だ。それでも、まゆが俺に贈るものを適当に選んだりはしないだろう。普通のチョコと違って焼きそばを何日も前に作っておく、というのも無理がある。貰った側も当日に食べ切れるとは限らないし……なるほど、だからカップ焼きそばが一般的なんだ。そうして選んだものが一平ちゃんだった、と……
まゆ,流石に1日で食べきるのは無理ですから、毎日1品ずつ食べていきましょう。もし食べきれないようだったら、まゆが食べますから安心してください。せっかく皆から貰ったものを、食べきれなくて捨てる。なんて出来ないですよね？。ならせめてまゆが
P,そこまでお見通しか……うん、やっぱり俺の知ってるまゆと全く一緒だ
まゆ,チョコ焼きそば以外は？
P,はは、そうそう。まゆ以外も一緒なんだろうけどさ
まゆ,はい、出来ましたよ。それでは……あーん
P,え、いや、自分で食べるよ
まゆ,残ったら食べるだけだと、あんまり手伝ってる感じしないですし……。苦手に挑戦するときは、モチベーションを上げる必要があると思うんです
P,そりゃまゆにあーんしてもらったら嬉しいが
まゆ,他にも色々考えてますから、どうしてもって言うならやめますけど
P,他にも？
まゆ,男性が彼女にしてほしいこととか、調べておいたんです。プロデューサーさんが毎日特訓したくなるように。……うふふ
P,……分かった。そういうことなら
まゆ,良かった。はい、あーん
P,あーん。違うメーカーだけど、やっぱり微妙な味だな
まゆ,この格好ですか？他にも色々考えてるって言ったでしょう？。だから今日は、眼鏡にスーツで女教師です♪。さぁ、まゆ先生のレッスン始めますよ。おかえりなさい、ご主人様♪。あの、そんないきなり倒れられると反応に困るというか。…………わ、分かりました。また近いうちに着ますから。そんな舐めまわすように見られると流石に恥ずかしいですっ。特訓始めますよ、ご主人様っ！。今日は普通って……いつもは様子がおかしいみたいじゃないですか。もう、お兄ちゃんったら。……どうかしましたか？ふふ、変なお兄ちゃん。もしかして疲れてます？今日は忙しかったですからね。……どうぞ。なにって、見れば分かるでしょう？膝枕ですよ。お仕事に特訓に、ずっと頑張ってるから……たまにはゆっくり休んでください。今日はデザートにコーヒーゼリー持ってきたんですよ。もちろん、まゆの手作りです。コーヒーゼリーもあーんしてあげますからね。それと、他に食べたい物とか、してほしいことあったら教えて下さいね。本当はプロデューサーさんのやる気を出すための……。プロデューサーさんへのご褒美のはずなのに……まゆ、とっても幸せです。だって、なんだか通い妻みたいだもの……うふふっ。もうすぐご飯できますからね。どうしたんですか、じっと見つめて。普段使ってるエプロンですけど……新妻みたいって、そんな、あわわ。いえ……嬉しいです。まゆも……似たようなこと考えてました。ハッピーバレンタイン♪はい、まゆからのプレゼントです
P,おお、ありがとう。ん？カップ焼きそばっぽくはないが。……そうだ、なぜ今まで失念していたんだ。一度異世界に飛ばされたからと言って、また飛ばされないという保証はない。原因不明な運命のいたずらなのだからなおさらだ。元いた世界……いや、せめて。バレンタインに普通のチョコかチョコ焼きそばを贈る世界であれば良いが……。開けるのが怖い。……
まゆ,どうしました？
P,ちょっと、バレンタインの定義を確認していいかな。誰が、誰に、なにを贈るのか
まゆ,はぁ……定義。えっと。女性が
P,うん
まゆ,好きな男性に
P,そう
まゆ,鯖のチョコレート煮を贈る日です
P,嘘だろ！！？
