モバP(以下P),唐揚げうめぇ
凛,それは……精神が崩壊しかねない出来事じゃないの？プロデューサー、耐えれるの？
ちひろ,貴方達は私を何だと思ってるんですか？
P,悪魔将軍
凛,千川ちひろ
ちひろ,誠に遺憾である。凛ちゃんに至っては、ただのフルネームのはずなのに凄い貶められている気がします
P,まぁでも、なっちゃったものは仕方ないし受け入れるさ。なぁに、世の中食い物は鳥肉だけじゃないんだ。何とかなるさ！
凛,あんまり無理しないでね。もし、困ったことがあったら相談に乗るから
P,ん？今、何でもするって……
凛,プロデューサーが望むなら、私は何でもするよ？
P,すみません、悪ふざけが過ぎました。だからいきなり服を脱ぎだすのはやめてください
凛,ふふっ、私も冗談だから気にしないで
P,……
美嘉,あれ？珍しいね。プロデューサーが唐揚げ弁当を食べてないなんて
P,あぁ、実は鳥肉アレルギーになっちゃってな。鳥全般が駄目になったんだよ
美嘉,うわマジで？それってかなりやばくない？
P,まぁ、今のところは豚肉や牛肉は食えるから平気かな。鳥肉食べなきゃ死ぬわけじゃないし
美嘉,プロデューサーの場合、割とマジでありえそうだから恐いよね
P,流石にそこまで俺も鳥肉ジャンキーじゃないってーの
美嘉,アハハ、そうだよね！ごめんごめん☆
P,……
ちひろ,プロデューサーさん……痩せました？
P,あぁ、分かりますか？
ちひろ,頬がこけていれば、流石に気付きますよ。そんなにつらいんですか？
P,辛いというかなんというか……ちょっとアレルギーを甘く見てたなって思いまして
ちひろ,というと？
P,俺、基本的に自炊はできないんでスーパーの総菜を買ってるんですけど、総菜ってアレルギー表記のシールが貼ってあるじゃないですか
ちひろ,あぁ、ありますね
P,いざ、あれを確認してみるとまぁ鳥肉を含む総菜が多いこと多いこと。八割くらい鳥肉を含んでましたよ。明らかに鳥肉だってわかるのはいいんですが、一部に鳥肉含むとか書かれていると入ってないってわかってても怖くて食べれませんよ
ちひろ,鳥肉は安価ですからねぇ
P,美味しそうな弁当だと思ったら、名前に若鶏とかついてた時は殺意が湧きました
ちひろ,そ、そこまでですか……(ぷ、プロデューサーさんの目がすわってて若干ゃ恐い……)
P,あと、ラーメンが食べられなくなりましたね
ちひろ,え？いや、流石に鶏ガラはだめでしょうけど魚介とかトンコツとかはいいのでは？
P,と、思うじゃないですか？この間、未央達とラーメン食いに行ったんですけどね？念のため鳥を使ってないか聞いたら、全部に入ってるって言うんですよ
ちひろ,は？
P,トンコツ(トンコツとは言ってない)状態で、結局自分はサイドメニューのチャーシュー丼しか食べませんでしたよ。未央のあの申し訳なさそうな表情は忘れられません。まぁ、そんなわけで予想以上に食うものが制限されて結構精神的にやばいんです
ちひろ,す、凄まじいですね……
菜々,おっはようございまーす！今日もウサミン星からビビビっと元気にやってきましたよー！
ちひろ,あ、菜々さんおはようございます
菜々,だから、ナナは十七歳だから敬語はやめてくださいって言ってるじゃないですか！
ちひろ,すみません、菜々さんには何故か敬語が使いたくなりまして……
菜々,もう！またそうやって敬語を……って、そういえばプロデューサーさんはどこに……
ちひろ,そこのミイラがプロデューサーさんよ
菜々,へ？……ひぃ！即身仏！昔流行った人魚のミイラみたいになってます！
P,ウ……ウッサミーン……
菜々,あぁ、よかった。生きてましたね……。っていうか、休んだ方よくないですか⁉
ちひろ,私もそういったんですけど、プロデューサーさんが
P,アイドルを……放って……休めるわけ、ないだろう……
ちひろ,という感じですごく頑固で休もうとしないんですよ
菜々,その気合は賞賛に値しますし、尊敬もしますけど……それでプロデューサーさんが倒れたら事務所のみんなが悲しむんですよ？もちろん、ナナだって泣いちゃいます
P,菜々さん……
菜々,プロデューサーさん。ナナにできることがあったら、何でも言ってくださいね？ナナができることなら、力になりますよ！
P,なん……でも……
菜々,はい、なんでも！あ、でもでも！その、えっちなことはいけないと思いますよ？ナナは、アイドルですから健全なのでお願いします！
P,健全な事……。そういえばさ……
菜々,はい！
P,ウサギって、昔は鳥扱いだったんだよな？その名残で数え方が1羽2羽なんだっけか……
菜々,……はい？
P,いただきます(食欲的な意味で)
菜々,
P,あいむはんぐりー！
菜々,きゃー！いやー！ナナは食べてもおいしくないですよー！
凛,プロデューサー！
ちひろ,あぁ、凛ちゃん丁度いいところに！プロデューサーさんの暴走を止めるのを手伝ってください！
凛,食べるなら私を食べなよ！性的な意味で！
ちひろ,知ってたよちくしょうめぇ！
響子,プロデューサー！
ちひろ,管理人さん！
響子,そっちの響子じゃないです！プロデューサー、これを食べてください！
ちひろ,それは……唐揚げ⁉ダメです、今のプロデューサーさんは鳥肉アレルギー！唐揚げを食べるなんて自殺行為です！
P,カラ……アゲ……！カラアゲェ！
響子,たくさんあるので好きなだけ食べてください
P,ｶﾞﾂｶﾞﾂｶﾞﾂ
ちひろ,あぁ……もうだめだぁ……おしまいだぁ
P,痒くない……美味い……かゆ……うま……！
ちひろ,え、プロデューサーさん。平気なんですか？
P,えぇ、全然平気です。……響子、この肉はいったい？味は鳥に似てるけど
響子,それは
菜々,？
響子,ウサギ肉です
菜々,
響子,世間一般では、ウシガエルの足の唐揚げが鶏肉に似てるって言われてるんですが、実際は見た目は確かに似てるんですけど味はあっさりとしていて白身魚に近いんです。どっちかというとウサギ肉の方が近いかもしれません
P,なるほど、確かにこれは鳥肉に近いと言わざるを得ない
響子,最初はウサギ肉を調理するのも抵抗があったんですが、プロデューサーの為にと思って心を鬼にしました！
P,俺の為にそこまで……おかげで、おれはしょうきにもどった！本当にありがとう
響子,いえ、喜んでいただけなのなら嬉しいです///
菜々,
P,俺……これからは、ウサギ肉を食べることにするよ。あ、でもスーパーには普通は売ってないから通販とかで買って自炊しないとな……
響子,そ、それじゃあ私が毎日作りに行きましょうか？
P,それはありがたいけど……いいのか？
響子,プロデューサーのためですから///
P,響子……ありがとう！これから、俺の為に毎日料理を作ってくれ！お前のウサギ料理が食べたいんだ！
響子,はい！
菜々,
凛,
