モバマスより小日向美穂,たぬき
智絵里,はぅあぅあぅ……
Ｐ,智絵里、大丈夫か？ちゃんと白いな？
智絵里,ふぇぅう……。ご、ごめんなさい、プロデューサーさん。私、みんなに迷惑を……
Ｐ,とんでもない、俺の方こそすまなかった。智絵里が辛い思いをしていたのに、気付きもしないで……
美穂,よかったぁ、いつもの智絵里ちゃんだ……
周子,ふぅ……これで一件落着ってことでいいんかな
智絵里,そんなことっ。私、みんなに謝らないと……悪の心でひどいことをして……っ！
茄子,ちなみにどんなことしたんですか？
智絵里,それは……
美穂,……かわいい
周子,平和
芳乃,なべて世はこともなくー
Ｐ,多分それ悪事って気付いたやつ誰もいないと思うぞ
智絵里,え……えええっ！？あんなに暴虐の限りを尽くしたのに……っ！？
ちひろ,プロデューサーさん、この間話した事務のバイト希望の子の履歴書です
Ｐ,あ、はい了解です。目を通しときます
美玲,なあなあプロデューサー、次のオーディションってどんなヤツが来るんだッ？
Ｐ,ん？確かそこにリストあったろ。見ちゃっていいぞ
みく,たっだいまー！ダンスレッスンばっちり完了にゃー！
Ｐ,でかした！ざっくり感触を聞かせてくれ
智絵里,プロデューサーさんっ。撮影のお仕事終わりましたっ
Ｐ,ああ、智絵里もお疲れ！今日は上がりだからゆっくり休んでな！
智絵里,えと、あの
Ｐ,はいもしもしこちら第〇〇芸能課……ハムのお届け先？かけるとこ間違ってますよ
智絵里,ぁ……
Ｐ,はいもしも……なにぃ？こずえが不死斬りをかっぱらってどっか行ったぁ！？
智絵里,……
Ｐ,おっと専務から今日の飴ちゃん貰っとかな……ん？どうした智絵里？
智絵里,……ぶ、ブラック・チエリになっちゃうぞーっ……。な、なーんて、えへ、へ……
Ｐ,……。智絵里ーッ！
智絵里,きゃぅうぅ……♡♡
凛,……あれ何してるの？
美穂,ぽこっ！
紗枝,こんっ♪
凛,なんで二人は順番待ちしてるの……？
芳乃,もふもふもー、大切なこみゅにけいしょんなのでしてー
凛,……ふーん？よくわかんないけど、そうなんだ……。じゃあ私も並んどこうかな
楓,今日も平和ですねぇ。智絵里ちゃんも無事戻って良かったわ♪
茄子,日本の神格は割とノリで生きてるとこありますからね～
周子,言っちゃったわ総本山みたいな人が
こずえ,ただいまー……
