姫川友紀,…着いたー！
飛鳥,…。……。…きょ、。今日は、良い天気、だね…
友紀,諦めちゃったよ
美玲,が、頑張れ…ッ
友紀,あんなに普通な話題を出す飛鳥ちゃん、あたし初めて見た
クロワシさん,…二宮さん？
飛鳥,…ム。あぁ、そうだが
クロワシさん,あ…やっぱり、ニノさんでしたか…
飛鳥,にの？
クロワシさん,先日は、お世話になりました…
飛鳥,…は
友紀,ちょっ、えっ！？
美玲,知り合いだったのかッ！？
友紀,まさかの展開！
飛鳥,ちょ、ちょっと待ってくれ…？ボクとキミは初対面のハズでは…
クロワシさん,テレビなんて、初めてだったもので…あの時は緊張してしまって…
飛鳥,だから…
美玲,しかも番組で共演してたのかッ！
飛鳥,外野の２人！少し静かにしていてくれないかっ！
友紀,知らばっくれてあたしに押し付けてたの！？飛鳥ちゃん酷い！
飛鳥,ご、誤解だ…！ボクは本当に何も知らない！
クロワシさん,…あ、勘違い…？
飛鳥,…あぁ、そうだね。間違いなく、完全に、キミの人違いであると。ボクはそう思う
クロワシさん,二宮違いでしたか…すみません…
飛鳥,…うん。誤解が解けて、何よりだよ…。…何なんだアイツは！
友紀,ニノさんって誰のことだろ
美玲,さぁ？。…
クロワシさん,…
友紀,次は美玲ちゃんの番だね
飛鳥,…一体何だろうね、この時間…
美玲,な、なぁ…
クロワシさん,？
美玲,その…頭のソイツ、何なんだ？
飛鳥,訊いたな
友紀,訊いたね
飛鳥,ずいぶん直球な物言いだ
友紀,さすが美玲ちゃん
クロワシさん,…えぇっと……
美玲,いーぐるすだし、鷲なんだよなッ？多分。でも、なんで頭になんか乗っけてるんだ？
クロワシさん,…。……わ、
美玲,わ？
クロワシさん,わかりません…
美玲,…いやいや、分からないってことはないだろッ！
クロワシさん,…ええと、
美玲,上と下のどっちが本体かとか、鳥の名前とか、何かしらあるだろッ！
クロワシさん,…
美玲,…なんか答えろよッ！！
友紀,飛鳥ちゃんの時もそうだったけどさ。基本的に聞いても答えないんだよね、あの人
飛鳥,トークNGの指示でも出ているのだろうか…
クロワシさん,……！
美玲,ん、どうし……！？う、これはッ？
友紀,あぁ！頭のクロワシの目が！
クロワシさん,…！
飛鳥,光っている…だと？これは、一体…
美玲,な、なんだよ急に？もしかして、怒っちゃったのかッ…？
クロワシさん,あ、いえ…別にそういう訳では
美玲,違うのかよッ！
クロワシさん,たまに光らせると、良いみたいで…
美玲,…だからッ！そういうのがなんでかってのを知りたいんだよコッチはッ！！
飛鳥,理解できない
友紀,あたしも
クロワシさん,…あの、ですね
美玲,おっ！なんだなんだ？
クロワシさん,その……
美玲,…じれったいなッ！なんだよぉ！？
クロワシさん,そういう設定、あまり決まってなくて…
美玲,…もったいぶってそれかッ！！
飛鳥,なるほどね
友紀,道理で答えてくれない訳だよ
飛鳥,答えないのではなく、アンサーが用意されていない故の、梨の礫だったということか…
クロワシさん,…あ、でも…
美玲,？
クロワシさん,そちらのフードと、役割は似てるかもしれないですね…
美玲,…。…い、。一緒にすんなーーッ！！
飛鳥,…限界だな。友紀、回収だ
友紀,ほいきた
美玲,何なんだッ！何なんだアイツ！
友紀,まぁまぁ。悪気はないんだよ、きっと
飛鳥,しかし…少しずつだが、見えてきたね
友紀,何が？
飛鳥,ヤツの生態がさ
友紀,生態って。…
クロワシさん,…
美玲,大トリかぁ…
飛鳥,ワシだけにね
美玲,やかましいわッ
友紀,うーん…悩んでても仕方ないよねっ。どうもっ！さっき、うちのプロデューサーからも紹介ありました、姫川ゆっきーですっ！
クロワシさん,…どうも……
美玲,あ。そういえばウチ、名前言ってないな
飛鳥,必要性を感じるのなら、後で名乗ってくると良いさ
美玲,…別に、良いや
友紀,今、パ・リーグとのコラボで楽天担当やらせてもらってるんです！
クロワシさん,…
友紀,それで、始球式にも呼ばれちゃってさ！お仕事で野球に関われるの、すごく嬉しいんだっ！。まぁ…本来の推し球団はキャッツなんだけど。どっちも応援してるよってことで！。おじさ…じゃなくって。クロワシさんは、どこの球団のファンなのかな？やっぱり、いーぐるす？
美玲,…なんか、いつも通りの友紀だなッ
飛鳥,あぁ。あの分け隔てのなさ…。彼女の良いところの１つでもあるからね
美玲,…ふーん？さて、どうくるか…
クロワシさん,…野球は、そんなに…
友紀,えっ
クロワシさん,すみません…あまり詳しくなくて…
友紀,そんなぁ…
美玲,楽天のキャラクターなんだよな…？
飛鳥,野球に詳しくないボクが言うのもなんだが…それはどうなんだ…
友紀,…で、でも！楽天の試合、観てるんでしょ？
クロワシさん,服が黒い日だけ…
友紀,観てて誰か好きな選手とか…ポジション！ピッチャーとかキャッチャーでどこがお気に入りとか！なんか無いの！？
クロワシさん,…投げてる人が変わったなぁ、ぐらいは…
友紀,嘘でしょ
美玲,おいッ！いくらなんでも、あんまりじゃないかッ！？
飛鳥,…同情するよ、友紀…
美玲,責任者出てこいッ！ウチがひっかいてやるッ！
クロワシさん,でも…
友紀,…うん
クロワシさん,ホームランが出ると、かっこいいと思います…
友紀,…！
クロワシさん,…あと、ヒットも…
美玲,なんかほるひすみたいなこと言い出したぞッ
飛鳥,小学生並み…というより、野球素人のボク並みの感想じゃないか
友紀,そう！それだよ、おじさん！！
クロワシさん,…え？
友紀,良いよねぇ、ホームラン！１球で試合の雰囲気が変わるっていうかさぁ！。逆転のホームランなんかはまさにそれでね？４番の一発が出た時なんかは、もう興奮しすぎて爆発しそうになっちゃうくらいだもんっ！
クロワシさん,…！
友紀,他にも、先頭打者で打線に勢いをつけるホームランでしょ？逆転の狼煙を上げる一発だってあるし！。ダメ押しの追加点でホームランなんかしたら、試合も決まっちゃったりさぁ…！
美玲,…すごい、一気に空気を換えた…ッ
飛鳥,…いやはや、流石だね。好きが生み出すエネルギー…これほどとは
美玲,やっぱり野球、大好きなんだなッ。友紀って
友紀,…それでねそれでね。あたしは、ライナー性のホームランのが好みなんだけど、どうかな！
クロワシさん,……？
友紀,そりゃ、インコースをガツン！って叩いて確信する当たりも良いんだけどさー。技術を生かした、技ありの打球も捨て難いなぁって思う訳よ！。低い弾道で、ギュンッて伸びてくボール見てると、いっけーッ！！ってなるでしょ？だからさ…
クロワシさん,…、……
美玲,…あっ、内容が専門的になってきて、付いて行けなくなってるッ！
飛鳥,そろそろ引き剥がした方が良いかもしれないね…
P,おーい、友紀ー
飛鳥,…遅かったね
美玲,時間かッ？
P,うん、そろそろ着替えとかスタンバイの時間だってさ
友紀,そっか、もうそんな時間かぁ！
P,…あ、なんか話してた？すみません、邪魔して
クロワシさん,あ…いえ……
友紀,じゃあね、おじさん！また野球トーク、しようねっ！
飛鳥,トークというか…
美玲,こっちが一方的に喋ってるだけの時間だったような…
P,？
友紀,よーし、やるぞー！！。たっだいま～！
飛鳥,やぁ、お疲れ様
美玲,ナイスピッチだったぞッ！
友紀,ありがと！…へへ、なんかすっごく良いマウンドだった！
飛鳥,…場所によって違うものなのかい？
友紀,うん！土の感じとか、バッターの見え方とか！全然違うんだよ？
飛鳥,へぇ…面白いね
友紀,さ、あとは思いっきり試合を観るだけだー！
美玲,おぉーッ！
友紀,そうと決まれば…おねえさーん！こっちこっちー！ビールと、コーラ２つね～！！
飛鳥,…フフッ。ブレないな、キミは
美玲,いつも通りだなッ！。…あ
飛鳥,どうしたんだい？
美玲,ほら、あそこッ！
飛鳥,あそこ？……ム
友紀,クロワシさんだ！
飛鳥,目立つね…
美玲,本当に試合観てるんだな…ッ
友紀,…あ、ビール飲んでる
飛鳥,頭以外は、中年男性そのものじゃないか
美玲,…うあぁー！負けたー…ッ
友紀,いやぁ、惜しかったねえ
美玲,３塁まで進んで、もう一歩で同点だったんだけどな…
友紀,でも、良い試合だったね！お互いに、追い付け、追い越せ！ってさ
飛鳥,…フフ、これが守護神というヤツか。頼りになる
友紀,あれ。飛鳥ちゃん、さふぁては知ってるんだ
飛鳥,…まぁ。少しは
美玲,あっ！アスカお前まさかッ、ほーくすのことちょっと調べてるんだろッ！
飛鳥,何のことかな
美玲,蘭子の推してるチームだからって！ウチと一緒にいーぐるす応援するんじゃなかったのかッ！？
飛鳥,…推測だけでモノを喋るのは、賢明とは言えないな。たまたまだよ、たまたま
美玲,そう言ってぇ！
友紀,まぁまぁ美玲ちゃん、怒らない怒らない
美玲,うーッ！
飛鳥,…そういえば、
美玲,？
飛鳥,途中から、姿が見えないね
友紀,誰が？…ってあれ、ほんとだ
美玲,…あっ！クロワシさんがいないッ！
友紀,いつの間に居なくなったんだろ…
飛鳥,これまでに、彼が観ていた日は全て勝っていた…と聞いていたが
友紀,居なくなってるんじゃ、判断しようがないなぁ
美玲,…いやいやッ、勝利の女神じゃないんだから…
飛鳥,あんな女神がいても困るけどね
友紀,でもマスコットキャラって言うにはちょっと…おじさんくさすぎるというか…
美玲,ホントに何だったんだアイツは…
飛鳥,…少なくとも、
友紀,？
飛鳥,口数の少ない、シャイなヤツだったが…少なくとも、彼もまた。ボクらと変わらぬ１人のヒトなのだということだね…
友紀,…
美玲,…
友紀,球団キャラクターに対するまとめ方じゃないよ…
美玲,あんな見た目だもんな…
友紀,帰ろっか
美玲,おうッ
飛鳥,終わりだよ
