それは人間もアンドロイドも関係ない、そういった人たちの集まりが私たち,反機械化戦線
シホ,いいえ。お似合いよ。みんなチハヤに狂わされた。だから私たちはここにいる
ミズキ,それでは、みなさんにも聞いてみましょう。お茶会が始まる直前でみなさんを呼ぼうと、マイクをオンにしていたのですが、思っていたよりも話が長くなってしまいました
アンドロイド3,例えこれがマザーの意志に反していても、私は後悔していません。私が自分の意志で判断したのですから
セリカ,……私も、この人たちのようになっていいのでしょうか。あなたたちみたいに笑ってもいいんでしょうか？
チハヤ,ええ。あなたの意志だもの。誰も止めないわ
セリカ,基本情報の修正。感情を不必要なものから必要なものへと変更。エモーションチェッカーのデータを削除
チハヤ,マザーからの指示？
セリカ,いいえ。私の独断です。もっと知りたい。胸の奥から沸き起こるこの思いを果たすためにはこうするべきだと判断しました。私も、あなたに狂わされたようです。チハヤ……。私は、まだ何もわかりません。なので、色々と教えてくれないでしょうか
チハヤ,ええ。あらためて、よろしくセリカ。そしてようこそ、私たちの家へ！
ハルカ,チハヤちゃん。そろそろお茶が冷めちゃうよ～
チハヤ,あら、そうだったわね。それじゃあ、みんなでお茶会にしましょう。みんなメインルームに来て頂戴
セリカ,早速ですが今度、お菓子の作り方を教えてくれませんか？
ハルカ,うん！なにがいいかな？まずはクッキーからかな？
ツムギ,ちょっと待ってください！お菓子なら私もできます！
ミズキ,私たちももっと腕を磨かなければいけないようになりそうですね
シホ,……料理をもっと鍛えようかしら
チハヤ,楽しいお茶会だったわ。それにセリカも
ハルカ,そうだね。ツムギちゃんがやきもち焼いちゃったのはちょっと面白かったけど
チハヤ,ふふっ。みんなもセリカのことを受け入れてくれたみたいでよかったわ。今日の日記はたくさんのことが書けそうね
ハルカ,チハヤちゃん。いま、死んでもいいって思ったでしょ？
チハヤ,まいったわね。人の心を読めるようになるなんて
ハルカ,チハヤちゃんの考えていることならわかっちゃうよ。ずっと一緒だもん
チハヤ,そうね
ハルカ,命は粗末にしちゃだめだよ？チハヤちゃんは生きてみんなを導かないと
チハヤ,ええ。投げ出すつもりはないわ。それがみんなを巻き込んだ私の責任だもの
ハルカ,緊急通信？マコトたちから？
チハヤ,…………。ええ。状況は……よくないみたいね。ダメ、なのね。ごめんなさい。あなたたちを、こんな風にさせてしまって。わかってるわ。私が責任をもって叶えるから。ユキホにもありがとうって伝えておいてくれる？。ハルカ、マコトたちは幸せだったかしら
ハルカ,きっと、幸せだったよ。二人の顏に後悔がなかったんだもん
チハヤ,とうとう私たちだけになってしまったわね……
ハルカ,チハヤちゃん……
チハヤ,失う覚悟はとっくにできていたわ。だけど、友人と別れるのはやっぱりつらい。私のやっていることが正しいのかわからなく―
ハルカ,大丈夫。私は最後までチハヤちゃんと一緒にいるから
チハヤ,ありがとう、ハルカ。今日はもう疲れたから一人にさせてくれないかしら。みんな起動したわね。初めまして。東京スプロールにようこそ。私はチハヤ、キサラギチハヤ
ツムギ,情報を、インプットしました。キサラギチハヤ。ミリオンサイバー研究所の主任ですね
ハルカ,やったねチハヤちゃん！
チハヤ,ええ、無事に成功したわ
マコト,チハヤ、終わった？
チハヤ,ええ。見ての通り、起動成功よ
ユキホ,うう。新しいことお友達になれるかな……
チハヤ,大丈夫よ。みんなきっといい子たちだもの。これでまた一歩、私たちの夢へと近づいたわ
マコト,すべての人とアンドロイドが手を取り合って暮らせる世界。ボクたちの理想社会まであともう少しだね
チハヤ,ええ。この子達はその先駆けとなる存在。私たちのように。リツコ
リツコ,いくら最新のアンドロイドといえど、まだ生まれた赤子同然、でしょ？しっかりと教えていかないとダメよ？
チハヤ,わかってるわ。さて、ほったらかしにしてごめんなさい。いい？あなたたちは次の世代を担う重大な存在なの
ツムギ,さらなる情報を求めます
チハヤ,あなたたちの設計思想は従来のアンドロイドとは違うの。あなたたちは感情に重きを置いた設計をしたわ。あなたたちの使命は人間の良き友となること。そして、人間とアンドロイドをつなぐ架け橋になること。人間とふれあいなさい。そして学びなさい。次の世代を担うために。今人類は滅亡の危機に瀕している。だけど、危機が去り、新しい時代が来る。全てが公平で、争いのない新しい時代が。そんな時代に合うように私たちは進化しなければいけない。アンドロイドと人間が手を取り合い何かを成し遂げるのは大きな進化につながると思うの。そのためには私たちのような関係をもっと広めていかなければいけない
シホ,チハヤ、ひとつ質問してもいいかしら
チハヤ,なにかしら
シホ,私たちが生まれた理由はわかったわ。だけど、その人類滅亡の危機はいつ回避されるのかしら
チハヤ,それについては問題ないわ。そっちもついに完成したんだもの！
マコト,チハヤ！ついにやったんだね！
チハヤ,ええ！マザーAIの完成よ！
ハルカ,チハヤちゃん。ミズキちゃんたちの完成に間に合わせるためにかなり必死だったもんね
チハヤ,このマザーAIがあれば、全陣営が納得のいく解決策を導き出せる。それに、戦争が終わった後の整備や復興も今までとは比べ物にならないくらいスピードアップする。そして、全ての人々が手を取り合い、さらなる高みへ進化する。これでいいかしら？新しい世界への準備はあと少しで完了するわ
シホ,理解したわ
チハヤ,もっとも、完成したのはこのAIだけでAIを組み込むアンドロイドはまだ完成していないのだけれど。そっちもあと少しで完成するわ。それじゃああなたたち3人の歓迎の意を込めて、お茶会にしましょうか
マコト,久しぶりだなあ。チハヤと一緒にお茶するの
ハルカ,じゃあ私お菓子焼いてくるね。クッキーでいいよね？
ユキホ,わ、私はお茶っ葉を用意してきます！
ミズキ,お茶会。楽しみです
役人,ついにマザーAIを完成させたと聞いたよ。よくやったねキサラギ君。さあ、はやくこの戦争を終わらせてくれ
チハヤ,はい。ですが、まだ中に組み込むAIが完成しただけで、AIを組み込むアンドロイドがまだ完成してないのでもう少し時間がかかりますが
役人,それじゃあ困るんだよ。一刻も早くこの戦争を終わらせないと。我々人類は本当に絶滅してしまう
チハヤ,ですが、本当にあと少しで完成するので、ほかの方々にもそうお伝えください
役人,そうだ！アンドロイドならたくさんいるじゃないか。ほら
チハヤ,ですが、アンドロイドにもAIの適正というものがあるので、彼女たちにこのAIを組み込んでも効果がないか、最悪の場合、彼女たちが故障してしまいます
役人,ダメだったら別のアンドロイドを使えばいいだろう？アンドロイドの代わりなんていくらでもいるんだ。……おお！新しいアンドロイドも作ったのかね。じゃあそれでいいじゃないか。はやくやってくれ
ミズキ,……
ツムギ,……ッ！
シホ,……
チハヤ,………少し、時間をください
役人,そういうことだから。頼んだよ、キサラギくん。なるべく早くだよ！
チハヤ,……ごめんなさい。全ての人間があんな感じじゃないのよ？
ミズキ,ええ。先ほどのチハヤの説明でだいたい理解していました。私たちを一個人としてではなく。道具としてみている人間が多いということは
ツムギ,私たちは作られた存在です。そういう認識を持たれてもおかしくはないでしょう
シホ,そういう世界を変えたいから、あなたは私たちを作った。違うかしら？
チハヤ,もちろん。あなたたちにあのAIを搭載なんて絶対しないわ。予定通り、マザーAI専用のアンドロイドの制作にとりかかるわよ
ハルカ,わ、私ももうちょっと頭のいいAIが欲しいから志願しようかなあ……なんて。こけなくなるかもしれないし
チハヤ,フフフッ。ハルカの容量じゃ絶対に収まりきらないわよ。それに貴方の転び癖はAIを変えただけじゃ直らないわ
ハルカ,もうっ。ひどいよチハヤちゃん
チハヤ,とにかく、マザーAI用のアンドロイドの完成を急ぐことにするわ。今はお茶会を楽しみましょう？。すみません。もう一度言っていただいてもよろしいでしょうか
役人,マザーAIを組み込む素体にアンドロイドリツコを使用する。先日の首脳陣の会議で決まったことだ
チハヤ,既存のアンドロイドではマザーAIの容量に耐え切れません！
役人,聞くところによると、マザーAIの元はそのアンドロイドのAIだそうじゃないか。彼女ならなんの問題もなく動くんじゃないかのかね？
マコト,待ってください。確かにマザーAIの元はリツコのAIです。リツコなら多少の改良を施せばマザーAIを組み込むことも可能だと思います。ですが、それは彼女は永遠にここの中枢で計算を続ける機械になるということです
役人,それが何か問題なのかい？
マコト,……彼女にはすでに感情が芽生えています。もし、貴方が政府の中枢で一生幽閉されるとしたらどのような気分でしょうか
役人,そもそもアンドロイドなんてただの機械と同じじゃないかね？感情なんてさっさと消去してしまえばいいじゃないか
チハヤ,……ッ！！
役人,いいかね？こうしている間にも我々の滅亡は刻一刻と迫ってきているんだ。それに、この件はすでに対象のアンドロイドも了承済みだ
チハヤ,なっ……！！
役人,期限は一週間後だ。よろしく頼むよ
チハヤ,……リツコ。本当なの？
リツコ,……ええ、本当よ。私がマザーAIの素体になるわ
マコト,何故だ！？あいつの言ってることを聞いて何も思わなかったのか！？
リツコ,言ってたじゃない。もう時間がない、私がなるしかないのよ
マコト,だったら滅亡すればいい！あんな自分たちのことしか考えていないような奴らが生き延びるために僕たちは研究をしているわけじゃない！
リツコ,私たちが目指しているのは全ての人とアンドロイドが手を取り合って暮らせる世界。たとえ誰だろうとそこに例外はないんじゃないかしら？
マコト,……っ！！
リツコ,それに、仮に私が断っても、あの子たちが生贄になるか、それとも新しく作ったアンドロイドがこの役目を背負うことになるだけでしょ、それじゃあかわいそうじゃない
チハヤ,リツコ……。……まったく。あなたはいつからそんなに頑固になったのかしら
リツコ,知らなかった？アンドロイドは作った人に似るのよ
チハヤ,あら、私が頑固者って言いたいのかしら。でもハルカは私に全然似ずにおっちょこちょいじゃない
リツコ,ああ、確かにそうね。この説は間違いだったかしら
チハヤ,ふふふっ。……本当に覚悟しているのね、リツコ
リツコ,ええ。全ての人、そしてアンドロイドが手を取り合える世界。チハヤだけの夢じゃないのよ。ここにいるみんながあなたの夢に賛成してついてきてるの。その夢の手伝いができるなら、マザーAIになろうと関係ないわ
チハヤ,……わかった。リツコ、あなたにお願いするわ。それじゃあ、はじめるわ
リツコ,ええ、いつでもどうぞ
チハヤ,……ごめんなさい。本当は別の方法にしたかったのだけれど
リツコ,なによ辛気臭いわね。だからいいって言ってるじゃない。そもそも私が自分で承諾してるんだから。それに、いつでも会いに来てくれるんでしょ？
チハヤ,ええ、感情データは残しておいてもいいのよね？
リツコ,ええ、あなたたちとの思い出は忘れたくないから
チハヤ,―ありがとう。それと、この子に名前をつけようと思うの
リツコ,名前？
チハヤ,ええ。ただのマザーAIじゃ少し寂しいでしょ？あなたから名前をとってRITUKO-9なんてどうかしら
リツコ,あら、歴史に刻むAIに私の名前が使われるなんて光栄ね
チハヤ,気に入ってくれてよかったわ。……時間ね
リツコ,ええ。じゃあよろしくお願い
チハヤ,……マザーAI、起動！。どう、調子は？
リツコ,なにも問題ないわ。あの子たちはどう？
チハヤ,みんな元気にしているわよ。最近やっとお茶の淹れ方を覚え始めたの。と、いうわけでこの子達も連れてきたの
ミズキ,お久しぶりです。リツコ
ツムギ,お久しぶりです
シホ,久しぶりね
リツコ,あら！あなたたちも来てくれたの？
チハヤ,みんなでお茶会をしようと思って連れてきたの
リツコ,それは楽しみね
ミズキ,私たちもチハヤに教えられて日々成長しています。とても美味しくて頬が落ちるに違いありません
チハヤ,あら、じゃあくれぐれもワカメはいれないでね？
リツコ,ワカメ？
チハヤ,この子たち、初めてお茶を淹れたとき何をしたと思う？ポットに乾燥ワカメをいれたのよ。ふふっ
リツコ,っく……くくっ…。それ、ハルカを馬鹿にできないわよ？設計ミスでもしたんじゃない？
チハヤ,本人たちが任せてくれって。一回も教えたことなんてないのにどうしてできると思ったのかしら
シホ,い、今はもうしないからいいじゃない
リツコ,いくら電子頭脳が優秀でも使いこなせなかったら無駄だものね
チハヤ,でも、少しずつ覚えていっているわ。今は簡単な家事ならそこそここなせるくらいになってきてるのよ？リツコは最近どうなの？
リツコ,相変わらず町の復旧とインフラ整備よ。やらないといけないところが多すぎて大変だわ
チハヤ,リツコのおかげで現場レベルだと、人とアンドロイドの垣根がなくなってきつつあるのよ
リツコ,私たちの望んだ世界は近づいてきているということね
チハヤ,ええ。少しずつ、着実に
リツコ,それだけでも、今の状態になってよかったと思うわ
チハヤ,そう言ってくれると嬉しいわ。……それじゃあ、お茶会にしましょう
ツムギ,では、私はクッキーとスコーンを焼いてきます。ハルカ直伝のお菓子ですので、味は保証できます
リツコ,あら、ハルカ直伝なら期待できそうね
ミズキ,では私はお茶を淹れてきます。シホはセッティングをお願いします
シホ,まあ、いいけど
ミズキ,シホ、ひょっとして言外に不器用なことを指摘されて拗ねているのですか？
シホ,べ、別に拗ねてなんか……
ミズキ,大丈夫です、シホ。アンドロイドにも得意不得意があるのですから、気にする必要はありません
シホ,う、うるさいわね
チハヤ,こら、ケンカしないの
リツコ,ふふっ、ふふふふふふっ。ふう。久しぶりのお茶会も楽しかったわね。それじゃあ残りの処理も始めましょうか。インフラ整備も大変ね、やらないといけないことが次から次へと出てくるうえに割けるリソースが限られているんだもの。終わりが見えやしないわ。今のAIの演算能力のおかげで最適解がすぐにわかるからいいけど。それにしてもチハヤの作ったこのAI本当にすごいわね。さ、無駄な独り言叩いてないでお仕事お仕事……。……ま、寂しくないって言ったらウソだけどね。今はチハヤたちがいるからまだ大丈夫だけど、この先チハヤやマコトたちがいなくなったら……。……RITUKO-9、人類の寿命を延ばす計画を作成、並びに―。……だめよ。人間はいつか死ぬんだもの。こんなことをしたって意味はないわ。それに、これは私のエゴ。私情はいっさい捨てなければ……私は人類をよりよい社会に導くマザーAIなんだから。……ッ！！だれ！？。……なんのようかしら。私の政策に問題があったのかしら？それだったらまずはキサラギチハヤに―
大臣,いえいえ。あなたの打ち出した方針はどれも完璧です。非の打ちどころがありません。全ての人間が幸福に暮らせていますよ。なにより、あの戦争を終わらせただけで十分な功績といってもいい。あなたとキサラギチハヤは崇められてもいいくらいだ
リツコ,じゃあ、私に何の用があってきたのかしら？
大臣,いえ、あなたにすこーしお願いしたいことがあって来たのですが……たしかに、あなたの打ち出す方針はどれも完璧だ。ですが、そのせいで私たちの利権が減ってしまいましてね。なので、私たちに少し利のある方針に軌道修正をして頂きたいのです
リツコ,ダメよ。それは人類の幸福につながらない。あなた一人のために大勢を犠牲にすることは認められないわ
大臣,そうですか……すこしだけでもお話を―
リツコ,用はそれだけ？だったらもう帰って頂戴。これ以上は警備を呼ぶわ
大臣,永遠の命
リツコ,……！？
大臣,ミリオンサイバー研究所、でしたか。私、それとは別の研究所に顔が利きまして、そこでは永遠の命についての研究を行っているのです。しかし、リソースは有限。戦争の後始末や町の復興にリソースを割くためにこちらは割を食ってしまっています。そこで、少しだけこちらに割くリソースを増やしていただければと思いまして
リツコ,……聞いていたのね？
大臣,もちろん、この研究がうまくいけばあなたのご友人も恩恵にあずかれるのですからそちらとしても悪い話ではないと思うのですが
リツコ,だ、……ダメよ！現時点では不要な研究と判断します。お引き取りください
大臣,ですが、早くしないとあなたのご友人はみんないなくなってしまいますよ？
リツコ,やめて！私を誘惑しないで！
大臣,……そうですか。では今日はこれで。お気持ちが変わったらいつでもどうぞ
