二宮飛鳥,事務所の扉を開けたら、中にいたのは…
幸子,…冗談なんですか？
飛鳥,ああ
幸子,良かったぁ…
友紀,よーしよし、大丈夫だよー
飛鳥,…そんなに驚くとは思わなかったな…。すまない
幸子,…はっ。な、泣いてなんかいませんよ？
飛鳥,あぁ、悪かった。ハンカチ、使うかい
幸子,お借りします…泣いてないですけどね！ね！
飛鳥,フフッ、そうだね
幸子,ふぅー…なんて恐ろしい怪物とツーショットを撮ってるのかと思いました…
友紀,怪物じゃないって！"ねこっぴー"だよ、ねこっぴー
幸子,そうです、その子です
友紀,うんうん、ねこっぴーが…。あー、えーっと……。なんだっけ？
飛鳥,撫でるなら人形に、という提案だったね
友紀,あ、そうだったそうだった。んー…でも、ねこっぴーは毎日家で撫でてあげてるからなぁ
幸子,撫でているんですか…
飛鳥,毎日か…その調子だと、ボロボロなのではないかい
友紀,やだなぁ、ねこっぴーにそんなことしないよ！
幸子,その気遣いをなぜボクに向けてはくれないのでしょう
飛鳥,…さっきは割と向けていたように思うけれど。それどころではなかったかな
友紀,ねこっぴーのかわいさと幸子ちゃんのカワイイは別だからね！
飛鳥,ははっ。ラブコールだよ、幸子
幸子,今日はもう勘弁してください……はっ！
飛鳥,？
幸子,そうですよ！撫で足りないと言うのなら、飛鳥さんを撫でれば良いじゃないですか！
友紀,へ？飛鳥ちゃん？
幸子,そうです。同じく１４歳！一人称ボク！エクステに目を瞑れば、髪の長さも近い！これ以上ボクの代役として適任はいません！
飛鳥,…キミたちの戯れに、ボクを巻き込まないでくれるかな
幸子,ボクにとっては、今後に関わる大事なことなんです！さあさあ友紀さん、どうぞ！
友紀,いやー、飛鳥ちゃんはなぁ…
幸子,えぇ…なんですかその含みを持った濁し方は…。まさかお２人、実は仲が悪いとか…
友紀,いやいや、仲良いって！…良いよね？
飛鳥,…まぁ。少なくとも最近は、キミといて煩わしさを感じるようなことはないけれど
友紀,ほら！前と比べたら…
幸子,そこです！
友紀,うわ！
飛鳥,っ！
幸子,あ、失礼しました。…コホン。普段の友紀さんなら、そこで頭を撫でに来るところじゃないですか
友紀,普段って？
幸子,そうですね…例えばですよ？今のように、友紀さんがボクに仲良いよねーと訊いたとします
友紀,うん
幸子,そしてカワイイボクが、同じくこう返す訳です
飛鳥,…
幸子,少なくともボクは、友紀さんのことは憎からず。というより、親しみを感じているつもりなのですが。…友紀さんはボクのこと、どう思っているのでしょうか
友紀,……
飛鳥,……
幸子,するとどうでしょう？はい！
友紀,あたしも好きだよー！かわいいなぁ幸子ちゃーん！！
幸子,フギャーー！！
飛鳥,想定内だね
幸子,はぁ、はぁ…。い、息を整えるボクも、カワイイですね…
飛鳥,お疲れ様
友紀,満足！
幸子,…それは良かったです
飛鳥,一言余計だったのが敗因と見るね
幸子,迂闊でした…じゃなくって！。ボクの時は頭を撫でるのに、どうして飛鳥さんが相手だと手を伸ばさないんですかと言いたい訳です！
友紀,そんな話だっけ？
飛鳥,はて。幸子がキミのことを好いているという話ではなかったかな
幸子,！
飛鳥,冗談だよ
友紀,そんなあからさまに警戒シフト組まなくても…。うーん…別に飛鳥ちゃんを撫でたくないってことでもないんだけど
飛鳥,撫でなくて良い
友紀,だよねー。まぁ、こんな感じ！
幸子,どんな感じですか…
友紀,えーっと。確かに、飛鳥ちゃんもかわいいところあるし、幸子ちゃんと似てる所もあるのかもしれないけどさ。飛鳥ちゃんは飛鳥ちゃんだもんね
飛鳥,…
友紀,カワイイ幸子ちゃんは幸子ちゃんでしょ？代わりになる選手なんていないんだから！
幸子,な、なるほど…？
友紀,幸子ちゃんは、あたしに頭触られるの嫌？
幸子,べ、別に嫌という訳では
友紀,あたしね。幸子ちゃんの言ってるカワイイってのを認めて、行動で示してあげよう！って最近思ったんだ
幸子,…何です？突然
友紀,頑張ってる幸子ちゃんはカワイイし、笑ってるところも、泣いてるところも、全部カワイイよ？
幸子,な…
友紀,これから先も何かあったら、褒めるついでに幸子ちゃんを撫でてあげようと思ってたんだけど…だめだったかなぁ
幸子,…友紀さん
飛鳥,ほら、言っただろう。キミのカワイイの証明だと
幸子,…
飛鳥,どうするんだい、幸子
幸子,…しょ、しょうがないですねぇ！そういうことでしたら？撫でられるのも悪い気はしませんし？これからも、どうぞいつでもお気軽幸子で撫でてくれたって構わないんですよ！ふふーん！
友紀,やったねー♪
飛鳥,フ、満更でもなさそうじゃあないか。そういう関係、嫌いじゃないよ
友紀,それと、飛鳥ちゃんの頭撫でたら噛まれちゃうから、触れないんだよね
幸子,えっ
飛鳥,ちょっと待った
幸子,も、もう騙されません！また冗談なんでしょう？！
飛鳥,待て、待つんだ友紀。何だその出まかせは
友紀,あれ？だって前に、髪触ると噛み付かれるから気をつけろって。プロデューサーが
飛鳥,それはモノの例えか何かだろう…ボクが、噛む？ヒトを？言いがかりも甚だしいね
友紀,噛まないんだ？
飛鳥,噛まないよ！ボクを何だと思っているんだ
幸子,今も割と噛み付いているように見えますが
飛鳥,比喩的な話ではなく
友紀,んー？じゃあ、なんでプロデューサーはあんなこと言ったんだろ
幸子,何か心当たりはないんですか、飛鳥さん
飛鳥,…少し前になるけれど。あれは…そう、ボクが事務所で読書をしていた時のこと。という一件が
友紀,へぇー
飛鳥,あの時の猫の件が廻りまわって"噛み付く"と伝わったのだろうか…
幸子,何と言うか…随分険悪ですねぇ
飛鳥,譲れないモノがあるんだよ、ボクにも。誰にだってそうだろう
友紀,ダメだなぁプロデューサーは。髪は女の子の命って言うぐらいなのに
幸子,友紀さんは一度鏡をご覧になってみてはいかがでしょうか
飛鳥,というワケで。髪に手を伸ばされても、別に噛み付いたりしないよ
友紀,なーんだ
幸子,まぁ、普通は噛んだりしませんよね。ゾンビとかならまだしも
友紀,あっ、じゃあさ！噛まないなら、触っても良い？
飛鳥,全く…プロデューサーとは、後で話をつけておかなければ
友紀,ちぇー
幸子,そんなに髪を触られるのに抵抗がありますか？
飛鳥,…いいや。こればかりは退けないよ。ボクの髪はそう安くない
友紀,んー
幸子,ボクの髪は安売りされているということでしょうか
飛鳥,言葉の綾さ
友紀,…
幸子,？どうしました、友紀さん
友紀,…触りたい
幸子,？
友紀,やっぱり飛鳥ちゃんも撫でたーい！
飛鳥,ちょっ！？何だ急に！
友紀,わはー、すごい！飛鳥ちゃん、髪サラサラだー！
飛鳥,やめ、止めろ！
幸子,…。…はっ！思わず茫然としてしまいましたが、そうでした…！。友紀さんは、やるなと言われたことは却ってしたくなるタイプ…！。即ち、開けるなと言えば開ける。叩くなと言われれば叩く！撫でるなと言われれば撫で始める！！どうしてこんな基本的なことを失念していたのでしょう…！
飛鳥,…幸子も！解説していないで、このハタチを何とかしてくれ！
幸子,諦めて下さい飛鳥さん。先程助けを求めるボクを尻目に、優雅なコーヒータイムを楽しもうとした罰が当たったんです
飛鳥,さっきからかったことも謝る！だから…ぷぁっ
幸子,あぁ…それにしても。経験を糧に真実に辿り着くこの発想力、類稀なる審美眼…。我ながら素晴らしいですねぇ、ウットリしてしまいます。流石はカワイイボク！
友紀,へぇー、エクステってこうなってるんだー
飛鳥,ぅあっ、引っ張るな！今日のは長めなんだぞ！
友紀,あ、引っ張るのはダメ？ごめんごめん
小早川紗枝,お邪魔しますえ～。なんや、騒がしなぁ
幸子,おや紗枝さん、お疲れ様です。どうかしましたか？
紗枝,どうって、幸子はんと友紀はん誘いに来たんどす～
幸子,…あ、もうこんな時間ですか。レッスンが始まってしまいますね
紗枝,友紀はんは？…あら
飛鳥,………
友紀,いやー、飛鳥ちゃんも良い髪してるね！幸子ちゃんに負けず劣らずだよー！
飛鳥,…しろ
友紀,？
飛鳥,覚悟しろ、友紀！
友紀,ひゃー♪
飛鳥,容赦なんかしないぞ…ボクの髪を乱した罪の重さ、思い知れ！
友紀,やめてー！
紗枝,あらまあ、じゃれてはりますなぁ
幸子,…危ないのでコーヒーカップは片して行きましょうか
紗枝,レッスン前やのに元気やわ
幸子,全くです。ほどほどにしてほしいところではありますね。…時間的にも
紗枝,せやなぁ…置いてきまひょか
幸子,……その方が良いかもしれませんね
紗枝,ほなな、友紀はん。うちかて、ちゃあんと呼びに来たんやから、恨みっこなしやで～
飛鳥,フ、フフッ…こら、避けるな！
友紀,動き速っ！わぁー！
P,…おろ。ユッキ、その髪
友紀,あっ、プロデューサー！
P,珍しいな、ポニーテールなんて
友紀,これ？さっき飛鳥ちゃんにやってもらったんだ！。って！
P,…報復？
友紀,ここのところもね、くるくるーってやってもらったの！どうどう？
P,…まぁ、なかなか似合ってるとは思うけど
友紀,へへー
P,何がどう転べばヘアアレンジが報復になるんだろう
