※,
淡,だよねー。結局セーコがバケツいっぱいに釣って、お昼に一緒に食べました。おいしかったけど、これからはセーコの誘いには応じないようにしようと思いました。祝日も終わり、久しぶりの学校です。授業はいつも通り退屈ですが気にしません。正直なトコロ、私は学校に麻雀をしに来ているようなものです。更にぶっちゃけると麻雀で推薦とかもらい放題でウハウハなので勉強なんてしなくていいのです。ということで学校生活での長い長い前座が終わり、ようやく本番がきました。こんにちはーっ！！。ってあれ？私が一番乗りか。まぁいーや。卓の準備でもしとこっ。電源オンっと。よーし完璧。おやつあるかなー？。白糸台高校の麻雀部室は２部屋に別れています。うぞーむぞーがよってたかっている練習部屋、そしてこの一軍部屋です。一軍部屋はなぜかマンションの部屋みたいな感じで広々としていますが、入れるのはチーム虎姫の５人だけです。中身はソファ、机と椅子、小型の冷蔵庫や給湯器もあったりします。マンションというよりホテルの一室。まぁそんなことですからみんな好き勝手にやっています。麻雀も一日に１、２回しか打ちません。そんな部屋に一年生で入れる私はやはり天才なんだなーっていつも思っています。ま、そんなフリーダムな部屋なのでテルがよくお菓子を隠しています。スミレやセーコが自分の武器を持ち込んで磨いていたりするのもよく目撃します。あ、スミレはたまに弓道部に赴いて指導もしているらしいです。ホント大変だと思います。スミレは部長でもあるので、雑居部屋に行って指導することもあるようです。私はそんな事もないので、いつもホームルームが終われば一軍部室へと直行です。今日は私が一番乗りでした。一年生が私一人というのを考えると、そう珍しいことではありません。それに、一番乗りだとテルの隠しているお菓子を勝手に開けるというイタズラができます。テルも自分のお菓子を他人に分けないなんて頭の固い人間じゃないけど、先に開けとくと反応が可愛いんです。だからやめられないっ！今日もいつもの戸棚の中に入れているはず！。！！
尭深,……あ、淡ちゃん。おはよ
淡,お、おはよーございますっ！
尭深,どうしたの、珍しいね……
淡,この方は渋谷尭深、二年生で私の先輩にあたります。メガネをかけてて、物静かな人です。よくお茶を携帯しています。せ、セーコは一緒じゃないの？
尭深,うん。誠子のクラスは先生のお話が長いから……
淡,へー…
尭深,………
淡,どうしたのタカミー？
尭深,淡ちゃん、また宮永先輩のおやつ探してたの？
淡,！！何でバレたの……
尭深,棚の戸に少しだけだけど隙間ができてる……
淡,そんなの気づくかよ！？って思うけど、気づいちゃうんです。タカミなら。それというのも戸棚に一番触っているのはタカミなのです。何故なら――
尭深,あんまり悪戯すると宮永先輩怒っちゃうよ？もう……
淡,え、えへへ……
尭深,お茶でも淹れるね
淡,そうです、戸棚の中にはタカミのお茶コレクションが詰まっているのです。これでも家のコレクションに比べると少ないらしいですが……。こんなにあって飲みきれるのかなといつも思っています
尭深,
淡,お茶を淹れているタカミを見ているとなぜか癒されます。この学校に茶道部があれば麻雀部と兼業していたかもしれません。一度でもいいから和服に身を包んだタカミを見たいものです
尭深,はい、どうぞ
淡,タカミは時たまお茶と一緒にお菓子も出してくれます。テルのお菓子を盗み食いしたあとだったりするときつかったりするのですが……今日はそんなこともありませんでした。ありがとー
尭深,おいしい？
淡,うん、とっても。実はお茶のおいしさなんてあまり分からないのですが、報いるためにいつもおいしいと言っています。たまにめちゃくちゃ苦いお茶を出してきたりすることもあり、大変です
尭深,………
淡,ま、そういうことで、用が終わるとタカミはまた物静かな少女に戻ってしまいます。しかしそんな時間も悪くはありません。私もぼーっとお茶を楽しんでいます。ねえタカミー。しかし、ふと今日は疑問があったのでそれを聞いてみることにしました
尭深,なに？
淡,セーコのフィッシャーとかスミレのシャープシューターとかって周りが言い出したことじゃん
尭深,うん
淡,……タカミのハーベストタイムって誰が命名したの？
尭深,わたしだけど……？
淡,そ、そう……。案外人って分からないものなんだな、と痛感する私でした。……今日も私一人かぁ。おやつおやつっと～～
菫,残念だったな
淡,！いつから！
菫,お前と同時だ
淡,この背の高いお方は先程述べた弘世菫先輩です。三年生で、麻雀部の部長。しかしこれが固い性格で――
菫,淡、久々に二人きりだ。話がある
淡,これで三度目。内容はわかりきっていますが……
菫,お前さ、先輩に対してため口を聞くのは百歩譲ってよしとしよう。だけど、照のおやつを黙って食べるのはどうかと思う。さすがにそれは年長を舐めすぎだ
淡,……と、これが日常。スミレはいつも私にお説教して、まるで先生かお母さんみたいです。楽しい麻雀部の中のただ一つの懸念になっているのがスミレなのです。もちろん、スミレが嫌いだとか苦手だとか、そういうことはあり得ません。敬愛すべき先輩だから。だけどテルにくっついたりするとやたらとお説教を貰います。他にもテルのことについては過敏です。やはり麻雀部のエースだから気がかりなのでしょうか。そんなこんなで、私とスミレは端から見てもあまり相性が良いようには見えていないらしいです
菫,…………わかったか？
淡,………
菫,返事は？
淡,え？
菫,……お前まさか全部聞き流してたんじゃ…
淡,え、いや！はい！聞いてました！
菫,………
淡,こういう目をしたスミレは100％私を疑っています。まぁ今のは私が悪いんだけど……
菫,ま、これから気を付けるように。わかったな
淡,アイアイサー！
菫,………
淡,……もう一つありました。菫には冗談が通じないのです。要は頭が固いのです。実直で真面目と言えば聞こえは良いのでしょうが。そ、それにしても誰も来ないね～
菫,ああ、そうだな
淡,将棋でもしよっか
菫,終わる前に誰か来るだろう
淡,むぅ……。正直なトコロ、スミレはテルよりとりつく島がありません。脚を組んで仏頂面をしているスミレを見て、私の中で反撃したい気持ちが昂ってきました。ねえ、スミレ
菫,何だ？
淡,私、これからテルにイタズラするのやめる
菫,当然だ。さっき約束しただろう
淡,少しは誉められるかと期待していましたが無駄でした。……私が話を聞いていなかった所為でもありますが。でもさ、テルにイタズラできなくなったらストレスが発散できなくなるの
菫,お前にストレスなんてあるのか？
淡,私にもあるよ～ストレスくらい。学校なんて部活くらいしか楽しくないし
菫,確かにお前同学年の友達いないな
淡,何という憎まれ口を叩くのでしょう。……事実だけど
菫,それで？何が言いたい？
淡,……代わりに、スミレにイタズラしてもいい？
菫,は？
淡,スミレはお菓子とか持ち込まないから、物理的なイタズラはできなくなるけど
菫,悪戯って……どういう？
淡,先に言ったらイタズラじゃない！
菫,む……まあ確かにな
淡,菫は頭が固いという割には人の意見はちゃんと聞きいれます。要は理屈に固められた人……ってことですね
菫,私へ悪戯するようになれば、照にはしないんだな？
淡,うん
菫,……なら好きにしろ
淡,本当にテル思いの部長です。何か特別な想いを抱いているのではと勘違いしそうな程に。じゃ、まず
菫,っ？！
淡,まずは膝枕
菫,悪戯って、召使いにすることじゃないぞ
淡,大丈夫、そこは解ってるから。スミレの太もも気持ちいーねー♪
菫,うっ……。こ、こら淡。大人しくしろ。それにスカートの上からなんだから太ももの感触なんて分かったもんじゃないだろ
淡,そんなことないよ、スミレも私が脚の上でゴロゴロしたのちゃんと感じたでしょ？
菫,う……。そ、その通りだが
淡,顔を上げて見てみると、そこには俯いたスミレの顔が。
菫,そ、そんなにじろじろ見るな……
淡,スミレ、変な声出たね
菫,膝枕やめるぞ
淡,大人しくしまーす。実を言うと、私の方も少しドギマギしていました。変に高いスミレの声と、明らかに赤らんでる頬を見て気分がおかしくなったのでしょうか。そんなわけで顔を横向きに倒して、スミレの顔が視界に入らないようにしたのでした
菫,……なあ、淡
淡,何ですか？。スミレのその声は、さっきの変な声よりは幾分か元には戻っていました。ですがやはり本調子ではなく。逆に中途半端で、私に不安感を募らせました。しかし、スミレが次に発した言葉は完全に予想を裏切るものでした――
菫,私のこと、嫌な先輩だと思ってるか？
淡,え？。それは私がスミレから初めて聞く自分についての問いでした。そういえば聞いたことがなかった。スミレと言えばお説教とお小言でした。でもそれは全て私に対する注文であり、スミレが自分自身を語るなんてことは無かったのです。……嫌だなんて思ったことは、一度もないよ
菫,そうか……
淡,嫌な先輩か？などと聞いておきながら、今までのことに対する謝罪などはありませんでした。でも、それは当然です。スミレは部長で、自分の行うことに責任を持たなくてはいけない立場だから。自分について自信が持てなくなっても――自分のしたことに自信があれば、それを覆すような真似はしてはいけないから。私は先輩のこと……立派だと思います。それは、自然に口から出た敬語でした
菫,……ありがとう
淡,そう言って、スミレは私の頭を撫でてくれました
照,ごめん、遅れた
菫,待ちくたびれたぞ……
淡,やっぱり将棋でもしてた方がよかったじゃん。そんな憎まれ口を叩いた私に対して、スミレは苦み混じりの笑みで答えてくれました。私は思いました、この先輩のために――全国の頂点に立ちたいと。前も言った通り一軍部屋はいろいろやっているので、麻雀以外のことにぼっとーすることがあります
照,
堯深,３五桂打
淡,
堯深,２一飛打
照,リーチ
堯深,２三桂成
菫,………
淡,うーん……
誠子,大星零段、持ち時間の25分が経ちましたので、これから持ち時間3分です
淡,チー
堯深,同金
菫,………
照,リーチ
堯深,同桂成
菫,だあああああーーーーっっ！！！！！
照,
淡,！？どうしたのスミレ！
菫,お前ら！！王手をリーチって言うのやめろ！！。あと何だよチーって！！食っただけじゃねーか！！
照,職業病で
菫,意味ちげーよ！！
淡,
菫,何事もなかったかのように再開するな！
照,ダイレクトアタック！
菫,麻雀ですらねーよ！
淡,ぐ……うわぁぁあっ！！
菫,何で倒れるんだよ
堯深,大星零段の魂が奪われてしまった為、宮永零段の勝ちです
菫,魂！？
誠子,次回、淡、死す。デュエル、スタンバイ！
淡,ところがどっこい、生き返るんだよねこれが！
宮永,バカな……！このリーチでお前の王は完全に詰んだハズ……！
淡,私はここに布石を置いていた！トラップ発動！実は居た角！
堯深,同角
菫,うるせーよ！！もうやめろ！！。何悪乗りしてんだお前ら！！
淡,はぁ～あ、折角いいところだったのに
照,ねー
堯深,はい
誠子,ですよ
菫,え、何……これ私が悪いのか……？
淡,一言でいうならっ！Ｋ！Ｙ！
菫,！！。そ、そうだったのか……
照,ま、将棋ばっかりやってる訳にはいかないから……
菫,！やっと麻雀を……
照,
淡,甘いよ～！カン！
菫,オセロしながらカンとか言うな！！
堯深,チーム虎姫は今日も平和でした
照,
堯深,
誠子,チー
淡,
菫,よしよし、今日はみんな真面目に麻雀してくれてるな
誠子,ポン
菫,これで三副露……そろそろ来るか
堯深,
誠子,……深淵に潜む主
菫,えっ？
誠子,足掻いても無駄だ、このフィッシャーから逃れる術は無し――。ツモ！3000・6000っ！
菫,ええぇぇぇっ！！！？
淡,うわードラ3つ抱えてるとかあ
照,親っかぶり……
菫,え、ちょ！？何でみんな無反応なの！？
堯深,
菫,ま、また変なことやってるのかこいつら……
堯深,
淡,ふふっ、甘いねタカミ
堯深,え……っ！？
淡,ロン！！《宙に揺らめく夢幻の星》……と書いてメンチンイッツー！16000！
菫,そらにゆらめくむげんのほし……！？
堯深,うっ……！
菫,何でリアルダメージ入ってんだよ！
照,淡零段……まだそんな奥の手を隠していたのか……！
誠子,馬鹿な……ここにきて……っ！
菫,おい待て！ストップ！
淡,なに？
菫,なに？じゃねーよ！さっきから何言ってるんだお前ら！
淡,？真面目に麻雀してるよ？
菫,してねーだろ！
照,菫、もしかして知らない？
菫,な、何を……
照,自分の必殺技にね、名前をつけるの。そうした方が愛着が湧くしその熟練も早くなるって言うよ
菫,は……？
照,ま、そんなことで。私たちはいたって真面目に麻雀してる
菫,あ、ああ……そう、なのか。確かに……さっきの誠子は三副露してから一巡でツモっていた。ほ、本当なのかな……？
照,
淡,来るか……あの技が！
誠子,何ていう風圧……！
菫,なんだこれ
照,受けてみろ――《約束された勝利の天地解離す開闢の剣》！！。300・500！
誠子,くっ……！
淡,ふん……猪口才な！そんな安手で我が進撃を防げるか！
照,……止めてみせる！さぁオーラスだ！
淡,ふっ……この親でうぬら纏めて飛ばしてくれるわぁ！！
照,っ……！望むところだ！
菫,いや違うだろこれは。オーラス、堯深の能力か。……堯深も変な台詞叫ぶのか？まさか…
淡,
堯深,ポン
照,ポン
堯深,ん――
菫,
堯深,――収穫の時は来たれり
菫,やっぱ言うのかよ！！
堯深,燦々と輝く陽を受けし、豊穣の化身たちよ
菫,なげーよ！！
堯深,私の元へ集いなさい！ツモ！。大三元。8000・16000です！
淡,う、うわー！！
照,ま、眩しい……！
誠子,最後の最後に……！ぐあ゛あ゛あ゛あ゛っ！！
菫,誠子の演技上手いな
堯深,世に再び安寧は齎され、大地には光が降り注ぐでしょう……私の逆転トップです
淡,うー負けたかぁ
照,私が最下位……
堯深,珍しいですね
照,連チャン狙いに行ったら堯深が怖いなぁって思って点数稼げなかった
誠子,確かに和了が窮屈そうでしたね
菫,何お前ら普通に感想言い合ってるの！？
照,さて、次は菫がここね
菫,あ、ああ……。張った……。こっちの待ちなら誠子から溢れそうだな
堯深,
菫,……私も言わなくちゃならないのかな。た、確かにあの理屈は一理ありそうだし……。け、決して言いたいとかじゃないからな！うん
誠子,
菫,――暗闇を切り裂く一閃。ロン！シャープシューティング、8000！
照,ぷっ
菫,え
淡,ぷっ……くくっあははははっ！！
照,～～～！！
菫,ちょ
誠子,～～～っ！！
堯深,……ふっ……ふふっ……っ！！
菫,
淡,や、やめて……お腹っ……痛い……。テル、録れたー？
照,も、もう～～バッチリ……！ふ、ふふっ……くくっ……
菫,お、前らぁ～～っ！！。全ッッ員！！そこになおれぇーー！！
淡,その後レコーダーは弓道場の的に設置され、13射目に菫の手で破壊されたとさ
菫,みな聞いてくれ
淡,はーい
堯深,
誠子,
照,
菫,今度新聞部が私たちの特集を組みたいそうだ
淡,へえーお目が高いね
菫,それでチーム虎姫の一人一人の写真を撮りたいと言ってきている
誠子,いつですか？
菫,……それが、今日なんだ
照,今日？
菫,すまん、すっかり言うのを忘れてた。16:30くらいに来るらしいから……
淡,はーい
菫,じゃ、まだ野暮用があるので行ってくる
照,………
淡,テルー？
照,
誠子,………
淡,なに……してるの？テル
照,ポーズの確認。うーん……こっちの方が可愛いかな
誠子,前の雑誌みたいな感じでよくないですか？キラッ☆みたいな
照,あれか。でもまたこれ？って思われたらどうしよう
誠子,あー確かに……。じゃあ、このソファ使ってこういうのは……。ここに三角座りして、膝におでこつけながら横を向くっていう
照,雑誌とかでよく見るポーズ？
誠子,そうですそうです
淡,テルもセーコも雑誌とか見るの！？
照,どんな感じの笑顔がいいかな
誠子,少し妖しげな感じで。普段みたいに笑いすぎるのはアウトです
淡,なんでスルーされたの……
堯深,
淡,あれ？タカミどっか行くの？
堯深,……トイレ
照,。さっきみたいな感じで？
誠子,完璧です。モデルになれますよ
照,そ、そうかな……
淡,休日でも制服系女子のくせに何を偉そうに……
誠子,何か言ったか？淡
淡,なんでもないですー
照,さて、私のポージングは決まり
誠子,じゃ、私のも見てください。私はかっこいい系でお願いします
照,それならリーチ棒をこう構えて……
淡,意外にもあの二人は話が合うのでした
誠子,じゃ、これでいいですかね
照,うん。完璧
淡,
照,さて、堯深も戻ってきてることだし麻雀を……
淡,えぇーーっ！！？
照,？どうしたの
淡,私はスルーなの？！
照,……考えてほしいの？
淡,ほしいよ！私だけ棒立ちって嫌じゃん！
誠子,そうだったのか
照,淡はどんな感じがいい？
淡,やっぱりねぇ、不思議というか神秘系がいいね！
誠子,却下
淡,なんで！？
照,普通の可愛い系にしよう
誠子,だったら先輩のアレでよくないですか？キラッ☆で
淡,更にまたスルーするの！？。というか扱いがぞんざいじゃない？！テルのお下がりって！
照,……イヤなの？
淡,え
誠子,せ、先輩……あまり気を落とさないで……
照,でも……ッ、可愛がってた後輩が急に反抗期になって……
淡,私、テルの子供なの！？
誠子,あーあー泣ーかしたー泣ーかしたー
淡,なんなの！？小学生なの！？。っていうか別にイヤじゃないよ！扱いがぞんざいじゃないかって思っただけで！
照,そう？
淡,泣いてないじゃん！！
誠子,え、騙されたのかお前
淡,いや別に信じてないよ？！。ぜーぜー……
堯深,淡ちゃんが突っ込み役なんて相当な非常事態ね……明日は雪かなぁ。ほら淡ちゃん。お茶
淡,ありがとタカミー、突っ込みすぎて喉枯れちゃった
新聞部,あのー、これから撮影よろしいですかー？
照,どうぞ
淡,みんなが撮り終わった後にスミレが合流し、無事に撮影は終了したのであった。みんなー！部誌発行されてたよー！
誠子,どれどれ？
菫,……って、あぁ！？
淡,あははー菫だけ棒立ちで証明写真みたい！
菫,う、うるさい！っていうかなんでお前らポーズとか決めてるんだよ！。道理で撮影の時に不思議がられたわけだ！。……っておい、堯深
堯深,！
菫,……こ、これって何だ？どこの魔法少女だ？
堯深,え……
誠子,ひ、弘世先輩！そんな言い方っ……
照,堯深
堯深,……え
照,……若い頃には、色々やりたくなるものだよね。わかるよ。でも、その後に振り替えって赤面するような事も……一つの経験になる。あまり、深く考えないないようにね
堯深,えぇぇーーー！！！？
淡,そうしてタカミーの心には深い傷跡が残っちゃったとさ
照,………
淡,………。あ、あの～
照,
淡,ひっ。………。ダメだ……完全に人殺しモードに入っちゃってるよ……
照,今私のこと人殺し、とか思わなかった
淡,ふきゅっ！？
照,ふんっ
淡,うぅ……。い、いいじゃん……プリン一つくらい……
照,く・ら・い……！？
淡,ひぃぃっ！？
照,言っとくけど！あのプリンは産地直送の最高級プリン！何のために私が雀荘に赴いたと思ってるの！
淡,雀荘行ったの！？
照,背に腹は変えられないから
淡,……そうです、今日テルにイタズラしてやろうと思って食べてしまったプリン。五人分あったから大丈夫と思ったのですが、その中の一つが最高級プリンだったようで……。そ、そんなに大切な物なら部の冷蔵庫になんて入れなきゃ良かったんじゃ……
照,
淡,ひぇぇっ！？ごめんなさい！反省してますから！
照,賠償金、反省文100ページ、一週間部室の掃除、肩揉み、家の手伝い、奴隷……
淡,そ、そんなぁ……
菫,お……何だこの空気は
照,菫聞いて。淡が私の最高級プリンを泥棒猫のように盗み食いしたの
菫,ははあ。最高級をピンポイントに食べてしまったということか？
淡,はい……
菫,淡はこれに懲りて盗み食いなんてしないことだな
淡,はい……
菫,照、許してやれ。淡が敬語使ってるなんて相当参ってるってことだぞ
照,
菫,おう、悪は断じて許すな
淡,ええ！？
誠子,こんにちはー……ってなんか物騒な空気ですね
照,誠子聞いて。淡が私の最高級プリンを泥棒鼠のように盗み食いしたの
淡,泥棒鼠！？
誠子,ははあ。最高級をピンポイントに食べてしまったということですか？
照,うん
淡,みんな理解力半端ないね！？
誠子,ん……でもいつも被害に会ってるのに書き置きもせずに冷蔵庫にほっといたのは……
照,
誠子,淡、今回ばかりは年貢の納め時だな
淡,なんなの！？恐怖政治！？
堯深,こんにちは……ってなんか物々しい雰囲気ですね
淡,みんなすごくない！？何で空気とか読めるの！？風使いなの！？
菫,お前が読めなさすぎるんだ
淡,え！？少なくともスミレには言われたくない！
照,堯深聞いて。淡が私の最高級プリンを火事泥棒のように盗み食いしたの
淡,その例えはおかしくない！？。っていうかそれはもういいですって！
堯深,ははあ……。最高級プリンをピンポイントに
淡,もういいよ！どんだけ国語力あるのみんな！
堯深,淡ちゃん、反省してる？
淡,う、うん……。もうこんなことしません
堯深,って言ってることですし宮
照,
堯深,やっぱり許せないですね。食べ物の恨みはちゃんと骨身に染み込ませないと
淡,だよねー
堯深,でも丁度よかった。親戚から最高級プリンが送られてきてたんです
淡,！！
照,そ、それは本当……？
堯深,はい。それに、五人分あるんです。独り占めするより、みんなで美味しくいただきましょう
淡,タカミー…！
堯深,だから宮永先輩。淡ちゃんを許してあげてください。反省してることですし
誠子,私からもお願いします
菫,部長命令だ
淡,何を都合のいいことを……
照,……しょうがないな。今回のことは笑って水に流そう
淡,ありがとうございますっ！。で、そのプリンはどこに～？
菫,……反省しろよ？
淡,す、するする！じゃなくて……します！
堯深,昨日から冷蔵庫の上段に……。昨日は他にお菓子あったから出さなかったんだけど
淡,え？冷蔵庫の上段……？
堯深,これこれ。……あれ、何か軽い？
淡,
堯深,。な、無いっ！？
誠子,まさか……
照,淡っ！！
菫,もういないぞ！！
誠子,追いましょう！
堯深,あわいちゃんーーっ！！
淡,ごめんなさい～～っ！！あまりにもおいしかったからぁ！！
照,今度ばかりは……許さないっ！！
淡,イタズラで済まないこともある。逃げ惑いながらそう心に刻む女子高校生の日常でした
