ｷｬﾉﾝ･ｿﾙｼﾞｬｰ,ぐああああああぁぁぁぁぁぁ！！！
ディスク,まあそんな気はしてた
デスガイド,予定調和デスね。D-HEROディスクガイが無制限になったデスよ。禁止エラッタ→弱体化し過ぎて無制限化の何時ものパターンデス。このカード名の効果はデュエル中に１度しか使用できない、の一文は絶対要らなかったデスよね。墓地に送られたターンに特殊召喚不可だけで十分抑制、それでも怖いなら名称ターン１も追加してそれでもう暴れないと思うんデスけどねー。まあどっかの蛇と比べればまだマシな部類デスけどね
ミドラーシュ,予定通りというか何と言うか……
ネフィリム,本当、エクストラの準って意味無いんですね……トントン拍子で無制限まで……
ネフィリム返ってきたおじさん,ああ＾～いいっすね＾～。じゃあ今までのちかえしをたっぷりとさせて貰おうじゃないか
デスガイド,
ネフィリム返ってきたおじさん,すいません許してください！何でもしますから！
デスガイド,成仏発動デス
ネフィリム返ってきたおじさん,アツゥイ！
デスガイド,ネフィリム返しておじさん、完全成仏デス。エルシャドール・ネフィリム、エルシャドール・ミドラーシュ、両者共に完全釈放デス。シャドール、愛されてますデス。超融合も緩和されて、シャドールリンクもあって、ノリノリデスね。エクストラデッキの準はほぼ無制限と同意義デスから、まあ無制限に戻って来るのは普通に予測出来たデスね。だからダンテもその内戻って来るデスよ。何も余計な事をしなければ(←ここ重要)。久し振りのシャバ、存分に堪能するが良いデス。これにて終点デス。忘れ物しないようにとっとと下車するデスよー。……ふう。明日もリンクスで迷える決闘者にパズルデュエル提示して石配布のお仕事が始まるんデスね……。今日はもう早く帰ってクリッターさんモフって寝るとするデス……
デスポリス,婦警になっていたデース！！！
アライブ(無制限→制限),
ﾄﾛｲﾒｱ･ｺﾞﾌﾞﾘﾝ,ひいっ！？な、なんだコレは！？し、死んでる……！？
ｻﾓﾝ･ｿｰｻﾚｽ,ひ、人殺し！？
デスポリス,そこまでデース！この現場は保全させて貰うデース！
ＦＷＤ,な、何だ君は一体！？
デスポリス,けーしちょーのデスポリスデース！
封印の黄金櫃,警視庁だって！？
デスポリス,警視庁じゃなくてけーしちょーデース
隣の芝刈り,良く見たら捜査一課かと思ったらただの生活安全課じゃねーか！！！
デスポリス,けーさつはけーさつデース。……脈が無いデスね。御臨終デス。遺体に白い布を被せないと……布布……仕方ない、取り敢えずこれを被せておくデース
ｺﾞｰｽﾄﾘｯｸ･ｽﾍﾟｸﾀｰ,
デスポリス,ふむふむ……成る程！犯人が分かったデース！
ＦＷＤ,何だって！それは本当なのかい！？
デスポリス,ダイイングメッセージが残ってるデース。ここにゴブリンって書いてあるデース。つまり！犯人はトロイメア・ゴブリン！貴方デース！
ゴブリン,ち！違う！！俺は犯人じゃない！！信じてくれ刑事さん！！
デスポリス,言い訳は署で聞くデース
ゴブリン(無制限→制限),違うんだああああぁぁぁぁ！！犯人は！そうだ犯人は剛鬼だ！！アイツが悪いんだあああぁぁ！！
剛鬼再戦,ヨシ！
ゴブリン,ヨシじゃねええええぇぇぇ！！！
ｻﾓﾝ･ｿｰｻﾚｽ(無制限→禁止),
封印の黄金櫃,ヒイッ！？ま、また人が死んでる！！？
アマゾネスの射手,な、何で！？彼女が一体何を――良く考えたら心当たり多過ぎて逆に殺された理由が分からない！！
デスポリス,そこまでデース！この現場は保全させて貰うデース！。けーしちょーのデスポリスデース！。……脈がもう無いデス、残念ながら御臨終デース。貴重なおっぱい成分が失われてしまったデース……。遺体に布を被せないと……布布……仕方ない、取り敢えずこれを被せておくデース
白のヴェール,
デスポリス,ふむふむ……成る程！犯人が分かったデース！。ここにダイイングメッセージが残ってるデース。ここにマルチフェイカーって書いてあるデース。つまり！犯人はオルターガイスト・マルチフェイカー！貴方デース！
ﾏﾙﾁﾌｪｲｶｰ,ファーｗｗｗｗｗｗｗちょっと待ってええぇぇぇ！？私は絶対に犯人じゃないってええぇぇ！！。ほら！私にはアリバイがあるのよ！？ここを良く見て！！私の効果を使ったらそのターンはオルターガイストしか特殊召喚出来ないのよ！？。だから！私がサモン・ソーサレスを殺せる訳が無いのよ！！
デスポリス,言い訳は署で聞くデース
ﾏﾙﾁﾌｪｲｶｰ(無制限→準制限),問答無用！？！？信じてよ刑事さん！！？私はやってない！！これは冤罪よおおおぉぉぉぉ！！？
ＦＷＤ,マルチフェイカー……君が犯人だったなんて……
ﾒｶﾞｷｬﾉﾝ･ｿﾙｼﾞｬｰ(無制限→禁止),
アマゾネスの射手,あ゛あ゛あ゛あ゛ぁ゛ぁ゛ぁ゛！！！！
エンゲージ,ああっ！？人が死――機械がスクラップに！？
ウィドウアンカー,そんな！あんなに良い人ｇ――機械が！彼に一体何の罪が！？
デスポリス,そこまでデース！この現場は保全させて貰うデース！。けーしちょーのデスポリスデース！。……脈がもう無いデス、残念ながら御臨終デース
隣の芝刈り,コイツに脈なんて最初から無いんじゃ……
デスポリス,遺体に布を被せないと……布布……仕方ない、取り敢えずこれを被せておくデース
黒魔術のカーテン,
デスポリス,……！な、なんて事デース……この現場に、ダイイングメッセージが残されてないデース……。これじゃあ犯人なんて分かりっこ無いデース……悔しいデースけど、この事件は迷宮入りデースね……
封印の黄金櫃,おい警察仕事しろ
デスポリス,……むむっ！メガキャノン・ソルジャーの体内にレコーダーがあったデス！再生してみるデス！。――こ、これは！きっとメガキャノン・ソルジャーをスクラップにした犯人の肉声に違いないデース！。きっと、ここに真犯人を突き止める手掛かりがあるに違いないデース……でも、これだけじゃ分からないデース……
ＦＷＤ,許せないな……一体、誰がこんな酷い事を……！！
アマゾネスの射手,こ、こんな殺人犯が居る部屋になんていられないわ！！私は自分の部屋に戻るからね！！！
ＦＷＤ,待ちたまえ！単独行動は危険だ！！
アマゾネスの射手(無制限→禁止),
ウィドウアンカー,ああっ！？探偵推理モノ系における超ド級フラグを立てたアマゾネスの射手ちゃんが！！
エンゲージ,期待を裏切らない結末に！！
ＦＷＤ,もうやめてくれ！誰が犯人か知らないが！これ以上誰かが死ぬのを見るなんて、もう沢山だ！！！
デスポリス,そこまでデース！この現場は保全させて貰うデース！。けーしちょーのデスポリスデース！。……脈がもう無いデス、残念ながら御臨終デース……。遺体に布を被せないと……布布……仕方ない、取り敢えずこれを被せておくデース
魔界劇団カーテン・ライザー,
デスポリス,！？！？な、何て事デース……！こんな猟奇殺人死体を見るのは生まれて初めてデース……！。胸が、胸が切り落とされてるデース……！！。性的嗜好を満たす為に性器を切り落とす殺人犯が居るというのは何処かで聞いた事があるデース！
隣の芝刈り,それ、元から
デスポリス,えっ？。むむっ！これは、データマテリアル……！データストームの痕跡……！。きっと、彼女を殺した犯人のモノに違いないデース！。この連続殺人事件の犯人は、絶対に私が捕らえてみせるデース！。デスポリスの名に賭けて！！！
封印の黄金櫃(無制限→制限),
隣の芝刈り,箱がぶっ壊れた！！
デスポリス,そこまでデース！この現場は保全させて貰うデース！。けーしちょーのデスポリスデース！。……脈がもう無いデス、残念ながら御臨終デース……
エンゲージ,箱に脈もなにもそもそも生きてないよね？
デスポリス,遺体に布を被せないと……布布……仕方ない、取り敢えずこれを被せておくデース
ｽｶｰﾚｯﾄﾞ･ｶｰﾍﾟｯﾄ,
デスポリス,むむっ！これは、ダイイングメッセージデース！。血文字でテンペストとサンドラって書いてあるデース。…………
ウィドウアンカー,サンドラの部分の文字を拭い取って消した！？！？
デスポリス,犯人はテンペスト！！ここに居ない所を見るに逃げたデースね！！。地の果てまで追い詰めてやるデース！黄金櫃の敵は必ず取るデース！！。デスポリスの名に賭けて！！！。…………。名に賭けて！！！
ウィドウアンカー(無制限→準制限),死ぬ時は……
エンゲージ(無制限→準制限),一緒だよ……？
ＦＷＤ,エンゲージ！ウィドウアンカー！！大丈夫か！？
デスポリス,そこまでデース！この現場は保全させて貰うデース！。けーしちょーのデスポリスデース！。……脈がもう無いデス、残念ながら御臨終デース……
エンゲージ,ま、待って……まだ生きてる……生きてるからぁ……
デスポリス,遺体に布を被せないと……布布……仕方ない、取り敢えずこれを被せておくデース
アテナ,布っぽいカード思い付かなかったからってふわふわ感あれば良いってもんじゃないでしょ
デスポリス,むむっ！これは、ダイイングメッセージデース！
ウィドウアンカー,待って。ねえ待って。そんなの書いた覚え無い
エンゲージ,そもそもダイイングじゃない……というか誰か助けて本当に死ぬ……
デスポリス,血文字で芝刈りって書いてあるデース！。犯人は隣の芝刈り！貴方デースねー！！
隣の芝刈り,待て待て待て待て！！確かに俺は閃刀姫と相性良いしつるんでた！。芝刈り閃刀姫なんてデッキもあった！実際強いしな！
デスポリス,犯人決定デース！観念しろデース！
隣の芝刈り(無制限→準制限),ファック！！！！！
ＦＷＤ,隣の芝刈り……まさか君が犯人だったなんて……！
デスポリス,これにて一件落着デース！。むうっ！？この鳴き声は！！！
ＦＷＤ,しょごおおおおおおおおおおぉぉぉぉぉぉ！！！
デスポリス,ファイアウォール・ドラゴン……！。絶賛放送中遊戯王VRAINSのエースカードである貴方がこの連続殺人事件の真の犯人だったんデースね……！！
ＦＷＤ,バレてしまっては仕方ないしょご
デスポリス,何でこんな酷い事を！！
ＦＷＤ,今回死んだ奴等は僕チンが禁止にならない為の身代わりになって貰ったしょご。今回も僕チンは生き延びたしょご。これからも身代わりに死んで貰って僕チンは生き残るんだしょごー！！！
クリッター,大変だ！犯人が逃げるぞデスポリス！！
デスポリス,とっ捕まえるデース！！！。逃がすか！！
クリッター,説明しよう！デスポリスはヒールに付いたダイヤルを操作する事で足裏のツボが刺激され！蹴る力が何倍にも高まる設定であって実際には健康になるのだ！！！
デスポリス,何処かに蹴る物は――
クリッター,ん……！？！？
デスポリス,いっけえええええぇぇぇぇぇぇえええ！！！
クリッター,ぶるああああぁぁぁぁぁぁぁぁ！！！？！？
ＦＷＤ,遅いしょご
デスポリス,ああっ！？
ＦＷＤ,今期も暴れてやるしょごー！！！
デスポリス,に、逃げられたデース……！悔しいデース！！
クリッター,俺、無駄死にじゃねえか
デスポリス,デスガイドさんが言ってたデース。クリッターさんは死んでからが本番だって
クリッター,いやそうだけど
灰流うらら,呼ばれた気がしたから来たよ
デスポリス,気のせいデース
灼熱の火霊使いヒータ,呼んだのはボクだよ
灰流うらら,！！！お姉ちゃんだ！！！
デスポリス,灰流うららホイホイデースね分かります
ＦＷＤ,僕チンを止める事なんて誰にも出来ないしょごー！！！。これからもドンドンソリティアしてエクストラリンクも無限ループもしまくってやるんだしょごー！！！。ＫＯＮＭＡＩは僕チンのしもべだしょごー！！僕チンを禁止にするなんて絶対に有り得ないんだしょごー！！！。アマゾネスの射手は可愛かったけど気丈な女にはもう飽きたんだしょごー！！！メガキャノン・ソルジャーを使って遊ぶのも飽きたしょごー！！！。……ん？
プリーステス・オーム,う、嘘……！キャノン・ソルジャー２体に続いてメガキャノン・ソルジャーにアマゾネスの射手まで……っっっ！？！？
ＦＷＤ,しょごー！！！良い声で鳴きそうな美人のお姉さん見付けたしょごー！！！。僕チンの次のおもちゃはあの女に決めたしょごー！！！。飽きるまで弄んで、飽きたら禁止にポイしてやるしょごー！！！。しょごおおおおおおおおおおぉぉぉぉぉぉ！！！
ﾃﾞｽﾎﾟﾘｽ,観念しろデース
