江頭陶子,３８
ロバート,お前たち、お嬢さんに何をするつもりだったんだ！？
2人の男,ううう……
ロバート,あの2人は警察につき出しましたから、これでもう大丈夫ですよ
陶子,さっきはありがとうございます。私は職業柄、多くの方面を敵に回していますから。それで、こんなことに……
ロバート,一体、どういうことですか？。なるほど。あなたが、あのトウコ・エガシラですか……。ヤクザに詳しいジャーナリストの……
陶子,私の取材活動のことを知っているんですか？
ロバート,あなたの著作のいくつかは、アメリカでも翻訳されています。私も、あなたの著書を読んだことがあります
陶子,……ということは、あなた、アメリカの方ですか？
ロバート,イエス。私は日系アメリカ人です
BAR,魔の巣
喪黒,祇園祭を取材していた江頭さんは、暴漢に襲われそうになったところをロバートさんに助けられました……
陶子,はい。喪黒さんのおっしゃった通りになりました。思わぬ形で、彼と出会うこととなったのですから
喪黒,江頭さんにしてみれば……。ロバートさんはまさしく、運命の恋人でしょう？
陶子,そうとしか言いようがありません。理屈では説明できませんが、私の直感がそう告げているんです
喪黒,そういうものなんですよ。その相手が運命の恋人であるか否かを見分けるのは、本人の直感なのですから
陶子,ええ……。今までの私は理詰めでものを考えてきましたけど、理性を超えた何かの存在を改めて確認しました
喪黒,それ以外でも……。ロバートさんとの出会いで、江頭さんの人生観は変わったはずです
陶子,それはもう……。現在の私が心からしみじみと感じていることですよ
喪黒,ロバートさんとの出会いは、江頭さんの人生をいい方に変えたと私は思いますよ
陶子,私もそう思います
喪黒,ただ……。老婆心ながら、私の方からあなたに忠告をしておきたいことがありましてねぇ……
陶子,は、はい……
喪黒,江頭さんの長所は、剃刀のように切れる頭で、物事を客観的に判断できることです
陶子,ええ……
喪黒,自分の人生と、相手の人生の両方をお互いに大切にしてこそ、本当の意味での恋愛関係が成り立つのですよ
陶子,わ、分かりました……。喪黒さん
陶子のモノローグ,ロバート・オオモリ……。彼は氏素性が全く謎な、ミステリアスな男だった。しかし、そんなことは私にはどうでもよかった。ロバートが私の側にいてくれる……。たったそれだけで、私の心が満たされているからだ
ロバート,トウコ。僕は今度、アメリカへ帰るつもりだ
陶子,えっ！？ずいぶん急な話じゃない！
ロバート,できれば、君も僕に付いてきて欲しいという気持ちがあるものの……。僕としては……
陶子,何言ってるの！あなたと私の心は、いつも一緒じゃないの！
ロバート,もしも、君が僕とともにアメリカへ行くのならば……
陶子,それにしても……。喪黒さんはなぜ、あんなことを私に言ったんだろう……。やっぱり、私はロバートともにアメリカに行く……！アメリカに行けば、彼は自分の全てを私に話してくれる……！
ロバート,…………
陶子,ここは……
看護師,気がつきましたか
医者,江頭さん。あなたは交通事故で意識不明の状態だったのですが、手術の末、何とか一命を取り留めました
陶子,ああっ……！！そういえば、私はある人とアメリカに行くことを約束していたんです……！
医者,江頭さん。まさか、その旅客機の便名はご存知ですか……
陶子,え、ええ……。もちろんですよ。確か、私が彼と一緒に乗ろうとしていた飛行機は……
新聞の一面のほぼ全てが、飛行機事故の記事となっている。新聞には,乗客乗員、全員絶望か
陶子,ウウッ……。ウウウ…………。ロバートォオオオオオ！！！
陶子のモノローグ,小学生のころ、父と母を失った時……。私は心の底から悲しみを味わった。しかし……。私の最愛の人間であるロバートを失うことの悲しみは、それ以上だった。私は、あることを決心した
テロップ,数年後――
BAR,魔の巣
喪黒,江頭さん。あなたの新著のミステリアスな男と私、非常に読み応えがありましたよ
陶子,ありがとうございます
喪黒,アメリカに行って、ロバートさんの生涯をじっくり取材しただけあって……。かなりの労作です
陶子,ええ……。それにしても……。ロバートの正体が、現地の闇社会で名の知れたスナイパーだったとは……
喪黒,ロバートさんは、とある仕事で巨大なシンジケートを敵に回してしまい……。日本へ逃げていたそうですねぇ
陶子,はい……。その逃亡先の日本で、彼が出会った人物が私だったということです。それに、ロバートも私も……
喪黒,しかし、ロバートさんは急に帰国を決意しました
陶子,おそらく、自分が裏の世界の人間で命を狙われる身であり、私に迷惑をかけるかもしれないからでしょう……
喪黒,ロバートさんの命を奪ったあの飛行機事故は……。おそらく、例のシンジケートが仕組んだ可能性が高いでしょう
陶子,ええ……。彼は死んで、この世から身体がなくなったかもしれませんが……
喪黒,ロバートさんだけでなく、江頭さんが今まで世話になってきた人たちも、あなたの心の中にいるはずですよ
陶子,はい。現在の私は、決して一人ではないのですから……
江頭陶子が去り、マスターと喪黒の2人だけになったBAR,魔の巣
喪黒,この世にいる人間が持つ感情や行為の中で、最も崇高なものの一つ……。それは、すなわち愛です
