二宮飛鳥,ふぅ……
志希,はい！話を戻して！
飛鳥,脱線させたのはどこのどいつだ
志希,ホームズの隣にワトソンがいるように、ヨシツネの隣にベンケイがいるように、ジャイアンの隣にジャイ子がいるように！
飛鳥,最後おかしくなかったか
志希,フレちゃんの隣にはありすちゃん！ありフレこそ真理！
飛鳥,面倒なオタクにしか見えないんだが
ライラ,2人はいつも一緒にいるのですねー
志希,フレちゃんにタクシーで挑むなら、やっぱり相棒がいなくちゃ勝てないと！シキちゃんは気が付いたのですジーニアスだから！
飛鳥,”同僚アイドルにタクシーで挑む”という字面に疑問を持ってほしかった。って、まさか……
志希,お察しの通り！時代をしきあすで塗り替えるのだー！
ライラ,わー
飛鳥,自分でカップリングの略称を呼ぶな！
志希,じゃあここで、話をまとめよー！
飛鳥,帰りたい……
志希,タクフレに勝ちたいと思ったシキちゃんは、飛鳥ちゃんを相棒として迎え入れ、タクシーイチノセを設立！第一号のお客さんとして、ライラちゃんを招聘したのだ！
飛鳥,事前通告も皆無で相棒にするセンスに驚きだよ
志希,逆にフレちゃんがありすちゃんに予告して行動すると思う？
飛鳥,そういうところは真似しないでいいんだよ！
ライラ,おおー、息ピッタリなのですねー
飛鳥,そんなわけないだろう！！！
ライラ,あ……ごめんなさいなのですねー
飛鳥,あ……いや、そこまで強く言ったわけでは
志希,これは仲良しアピールのためにあんなことやこんなことをする流れ
飛鳥,するか！！！
志希,じゃ、ライラちゃん、目的地はどこ？
ライラ,この後に衣装合わせがありますですので、衣装室までお願いしたいですねー
志希,りょうかい！
飛鳥,はあ……
志希,ありゃ？結局巻き込まれた飛鳥ちゃん、元気ないね？
飛鳥,状況説明ありがとう。勝手にしてくれ
志希,ふーん？まあいっか？じゃあライラちゃん、シキちゃんの背中にピョーンって！乗っちゃって！
ライラ,おおー、では、失礼しますですねー
志希,……
ライラ,？
志希,……ライラちゃん、しっかりご飯食べてるー？あたしが言えたものじゃないかもだけどさ？
ライラ,大丈夫でございますよー？ライラさんは、みなさまが優しくしてくれるだけでおなかいっぱいなのでございますです
志希,うっ……
飛鳥,うっ……
ライラ,？
志希,と、ともあれ、シキちゃんの乗り心地はどうだい？主にフレちゃんと比べて！
ライラ,ふむふむ、フレデリカさんよりもふかふかなのですねー？
志希,よくぞ気が付いてくれた！フレちゃんと比べた時のアピールポイント①！髪が長いからふかふか！
飛鳥,なるほどね。確かにフレデリカは短髪だ
志希,レッスンで疲れた小さい娘なんかは、このふかふかでイチコロさ！
飛鳥,目的を見失ってないか
志希,他にはどう？どう？
ライラ,なんだか、いい匂いがするような気がしますですね……？
志希,模範解答ありがと～！アピールポイント②！特性パフュームによる癒しスメル！
飛鳥,人体に悪影響はないんだな？
志希,初手でそれ聞かれる信頼のなさ～。掴みは上々のようだね！じゃ、出発進行～♪
飛鳥,やれやれ……
志希,あれ？結局来てくれるんだ？
飛鳥,他の人に迷惑をかけないか心配なだけにすぎない
志希,ふ～ん？
飛鳥,腹立つ顔だな
志希,単なる悪口にしか聞こえないにゃー
ライラ,ZZZ……
飛鳥,意見を聞きたいお客さん、寝てるぞ
志希,最大級の賛辞と受け止めよー
飛鳥,幸せな脳みそだな
志希,単なる悪口しか言われないにゃー。はいはーい。とうちゃく～
飛鳥,ライラ、着いたぞ
ライラ,おー……寝てしまっていたのですねー……
志希,そんなにシキちゃんの上が快適だったってことだねえ
飛鳥,まあ、そのために香水などをつけて準備したのなら、その献身は評価されるべきなのかもしれないが
志希,デレた！！！
飛鳥,デレてない！！！
志希,で、ライラちゃん！
ライラ,？
志希,あなたは全世界で1人だけの、タクシーフレデリカとタクシーイチノセの利用経験者となりました～
ライラ,おおー？
志希,そ・こ・で～。どっちの方が快適だった？
ライラ,どちらの方が……むむむ……
飛鳥,遠慮することはない。思ったままを言っていいんだ。匂いがキツイとか
志希,遠慮しなさすぎかな～？
ライラ,ライラさんは……
志希,お？
ライラ,ライラさんには、選べないのですねー……。2人とも、また、アスカさんもアリスさんも、ライラさんに優しくしてくれて、それだけでライラさんは100点をあげたくなるのですます。ごめんなさいです……
志希,うっ……
飛鳥,うっ……
ライラ,？？？
志希,ライラちゃんのあの真っすぐな目……キケン！
飛鳥,……同意だね
志希,さてさて、次のお客さんを……と言いたいとこだけど、残念ながらシキちゃんはこの後レッスン～……
飛鳥,今日一番の朗報じゃないか
志希,悔しいけど、続きはまた今度に……あれ？
飛鳥,次はないからな……ん？
志希,レッスンルームが騒がしいね～？
飛鳥,何かあったのか？
橘ありす,む、無茶です！1人抱えながらもう1人を背負うなんて！
宮本フレデリカ,心配してくれるの～？やっさしー！
ありす,ふざけないでください！
フレデリカ,だいじょうぶだいじょうぶ！こう見えて前世はマッチョメンだったんだよ～？
赤城みりあ,ごめんなさい……
龍崎薫,かおる、歩けるよ……っ
ありす,お2人は無理せずに……
志希,やっほー♪何やら楽しそうなケハイ……あれれ？
飛鳥,これを”楽しそう”と形容するなら、キミの目は節穴だろうね
フレデリカ,お！シキちゃーん！
志希,フレちゃんだー！いえーい！
飛鳥,……状況は？
ありす,レッスン中に、みりあさんと薫さんが接触してしまって……
志希,シツレイ～
みりあ,きゃっ
志希,こっちも～
薫,あっ
志希,ふむふむ！軽い捻挫だね！でもこういうのって早くテーピングとかしなきゃだよ～？
ありす,はい、そのため、フレデリカさんが2人を一緒に医務室まで運ぶと言い出して……
飛鳥,それは無茶だろうね
フレデリカ,え～？前世はスーパーマンだったのに～
ありす,前世の情報に一貫性がないのおかしいじゃないですか
志希,なるほど！
飛鳥,志希、やるべきことは、理解るだろう？
志希,出た！飛鳥ちゃんの理解る
飛鳥,茶化してる場合か！
志希,もちろん理解るよ？これは、敵のピンチに共闘する熱い展開……！
ありす,敵？
フレデリカ,敵？
みりあ,？
薫,？
飛鳥,すまない、流してくれ
志希,事務所内タクシー頂上決戦はいっかいお休みだね～
ありす,事務所内タクシー頂上決戦？
フレデリカ,事務所内タクシー頂上決戦？
みりあ,？
薫,？
飛鳥,いや……もう、本当後で説明するから……！
ありす,よくわかりませんが、志希さんも手伝ってくれるんですか？
志希,もっちろん！でもでもその前に～コレ！
飛鳥,？
志希,飛鳥ちゃん、これをあたしとフレちゃんの首筋にシュッと！
飛鳥,危ない薬じゃないよな？
志希,たまには、お姉さんを信じて？
飛鳥,……そうか
志希,じゃ、薫ちゃんはこっちに、みりあちゃんはフレちゃんに乗って！ありすちゃんはクレイジータクシーの曲を流して！
ありす,嫌ですけど！？
薫,志希お姉ちゃん、よろしくお願いしまー……ZZZ……
ありす,！？
みりあ,フレデリカちゃん、ありがと……ZZZ……
飛鳥,おい志希！
フレデリカ,おねむだったのかな～？
志希,かもね～
飛鳥,そんなわけないだろう！
志希,じゃあネタばらし～
フレデリカ,わー
ありす,ふざけてる場合では……
志希,さっきの薬って、痛み止め兼、睡眠導入パフュームなのでした～
飛鳥,睡眠導入……？
志希,この2人はいい娘だからね～、痛いとか、言わないし～
ありす,言っていないだけで、痛みはけっこう強かったと……？
志希,患部の熱量はもちろん、本人の息とか、足をかばう動作とか、ヒントはたーっくさん！
飛鳥,そうか……疑ってすまなかった
志希,いーのいーの！じゃ、レーススタート！
飛鳥,今の感心を返せ！！！
ありす,輸送って。いや合ってますけど
フレデリカ,シキちゃん、さんきゅーさんきゅー超めるしー♪
志希,困った時はお互い様だよ～。ま、新作パフュームの実験に付き合ってもらえるなら
飛鳥,そういうのはナシと言ったろう
志希,いたいにゃー
ありす,仲良いですね
フレデリカ,負けてられないね！
ありす,どうでもいいです
フレデリカ,……
飛鳥,じゃあボクは今度こそ、帰らせてもらうよ
ありす,私も、予定があるので
志希,そうは！
フレデリカ,問屋が！
志希デリカ,インファクト！！！
ありす,なんなんですか！！！
飛鳥,帰らせてくれ！！！
志希,最後に、飛鳥ちゃんに大切な任務を言い渡そう……！
フレデリカ,奇遇だね……！フレちゃんも、ありすちゃんにお願いがあるの……！
ありす,し、真剣な表情……
飛鳥,まさか、何か重要なことなのか……
志希デリカ,今、レッスン遅刻してるから一緒に謝って♪
ありす＆飛鳥,知るか！！！！！
ありす,ようこそ、飛鳥さん
飛鳥,仲間に迎え入れるな
