ありす(22),いつまでだって言いますよ
ありす,未だに待ち受け画面Ｐさんにしてる乙女が何を他人事のように
晴,も、もう変えたよ！ほら今はアッキーだぞ！
ありす,このＰ
晴,
ありす,…
晴,あ、いやコレは……
ありす,…
晴,…えっと……
ありす,…
晴,………
ありす,…飲みます？
晴,……うん。…ぷはぁっ
ありす,晴さんはもっぱらチューハイ系ですね
晴,橘はワインも日本酒もビールも一通り飲むよな。オレはチューハイぐらいが限度だわ
ありす,楓さんやら志乃さんやら礼子さんに仕込まれましたからねぇ
晴,大人組も一時期凄かったもんな…学生組みたい位に表立って騒がない分、溜め込むからなぁ
ありす,晴さんは相変わらずお子様舌ですもんね。飲み会でもコーラばっかりですし
晴,うるせっ
ありす,しかもそうやってチビチビと
晴,アルコール自体そんな強くねぇんだよ。仕方ねえだろ
ありす,晴さんって私以外とだと誰と飲みに行くんですか？
晴,ん？そうだなぁ…一番つるむのはやっぱ梨沙かな
ありす,ああ、あのビジネスファザコン
晴,お前それ本人の前で絶対言うなよ？シバかれるから
ありす,プロデューサーさんの結婚報告を聞いて号泣しながらポカポカしてたファザコン
晴,梨沙もああ見えて内心ベッタリだったんだなぁ、て実感したよな
ありす,相変わらず梨沙さんと仲良しなんですね
晴,仕事で組むことも多いしな。他は…最近薫とか千枝とも飯食いにいく事増えたな
ありす,ああ、天然小悪魔と真正小悪魔ですか
晴,嫌いか？お前事務所の同世代嫌いか？
ありす,まさか。皆さん大切な仲間ですし友人ですよ？
晴,あとは…そうだなぁ。乃々ともちょくちょく会うかな
ありす,晴さんと乃々さんって意外な組み合わせですね
晴,一時期完全に引きこもりになっちまってたもんな。それが今では超人気絵本作家サマだもんなぁ…
ありす,未だにプロデューサーさんのデスクの下でないと書けない、というのがアレですけど
晴,乃々もああ見えて結構頑固なとこあるからなぁ。あ、枝豆の皿もうちょいこっち寄せてくれね？
ありす,はいはい。そろそろチーズも切りましょうか
晴,久しぶりに飲むと結構クるなぁ…明日休みで良かった
ありす,泊まっていくでしょう？晴さんのお布団ちゃんと用意していますから
晴,確かこの前オレが干したんじゃなかったっけか？
ありす,千枝さんとはちょくちょく会いますけど、薫さんとは久しく会ってませんね
晴,橘と千枝はもっぱら女優業だもんな。薫はグラビアがメインだし仕事がかち合う機会少ないだろ
ありす,…けしからん成長しましたもんねえ、薫さん
晴,なぁ？千枝も凄いけど薫とみりあはもう別格だよな
ありす,…晴さんも大概ですけどね
晴,お、オレはあの２人ほどじゃねぇよ！
ありす,そのボディにそういう態度だから事務所で向井２号
晴,おいそれマジで初耳なんだけど
ありす,薫さんって未だにプロデューサーさんのこと先生
晴,あ、確かに呼んでる呼んでる。…あれ、でも現場とかだと普通にプロデューサー
ありす,何ですかそれけしからん。…千枝さんも相変わらずですしね
晴,あー…凄いよな。てかアレに毎回耐えられるＰが凄ぇよ
ありす,でも結局あの人相手には耐えられずにゴールインしちゃいましたけどね。ふふっ
晴,…
ありす,…
晴,…
ありす,待ってくれても良いじゃないですかぁ！
晴,近所迷惑だからやめろっての！自分から地雷踏むなよ！
ありす,最近は会うたびに子供の写真見せてきて惚気話ばっかり…。私が、産みたかったですよ！
晴,子供自慢がウザいのは同感だけど落ち着けって！コラ一気飲みすんな！チーズ丸齧りすんな！
ありす,すっかり良いパパになっちゃって……何ですかあの幸せそうな笑顔は。惚れちゃうじゃないですか！
晴,１０年前から惚れてるだろお前
ありす,何を他人事のように…晴さんだって同類じゃないですか
晴,いや、オレは流石に妻子もいるヤツの事をいつまでも引きずったりは…
ありす,わっ、このＰフォルダ隠し撮り写真ばっかりじゃないですか
晴,ちょっ、オレのスマホ返せ！てかパスワードどうやったんだよ！
ありす,可愛いですよね、pくん
晴,父親に似ずに可愛いよな
ありす,ふふ、プロデューサーさんも子供の頃はああいう可愛らしいお子さんだったかもしれませんよ？
晴,うわ、想像できねぇ
ありす,…
晴,…
ありす,…人懐っこいですよね、pくん
晴,あー、誰に抱っこされても泣かないもんなぁ
ありす,あまりの純真無垢ぶりに凛さんまゆさんも浄化されましたもんねぇ
晴,スタドリの瓶にやたら興味を持つのはやっぱ父親の遺伝子なのかな
ありす,あ、私この前ミルクあげたんですよ？
晴,そんな事言ったらオレなんか散歩に連れてったぞ
ありす,先週なんて私の膝の上でグッスリお昼寝してましたからね
晴,オレなんて名前呼ぶとこっちにヨチヨチ来るようになったからな
ありす,……可愛いですよね
晴,……可愛いよな
ありす,…子供、欲しくなっちゃいますよね
晴,…わかる
ありす,……ま、欲しいのはプロデューサーさんとの子供なんですけど
晴,橘はホントにブレないよなぁ
ありす,この際義理の母でもいいんですけど
晴,仮にも惚れてる相手の離婚を期待すんなよ
ありす,ハンッ、良い子ぶりよってからに
晴,橘、口調
ありす,甲斐甲斐しくお子さんの世話を率先してアピールしても晴は将来良いお母さんになれるな
晴,そ、そんな妙な下心ねぇよ！
ありす,それとも何ですか。今のうちにpくんを手懐けて光源氏計画ですか
晴,そんな発想が浮かぶ橘が怖ぇよ！
ありす,………それも、アリかもしれませんね
晴,pに変な真似したら絶交だからな。橘もいい加減他の相手探せよ。いつまで引きずってんだよ
ありす,そういう晴さんこそ。この前週刊誌に載った方とはその後どうなんですか？
晴,何もねぇよ！一緒に仕事する機会があって一回飯食っただけだっつーの。そういう橘だって。一回あのナントカって俳優と噂になったじゃねえか。アレどうなんだよ
ありす,ハッ
晴,鼻で笑いやがった
ありす,何なんですかね…プロデューサーさんと比べると皆さん誰もかれも……物足りない？
晴,あのＰのどこがそんなに良いんだか…
ありす,わかってるクセに
晴,……
ありす,お、ペース上がってきましたね。そろそろワイン開けます？
晴,オレあんまワインとか飲まねぇんだけど
ありす,大丈夫ですよ。これ甘口ですから。ファンタみたいなものです
晴,嘘つけぇ
ありす,何事もチャレンジですよ。幸子さんだって常に挑戦し続けているじゃあないですか
晴,２.３度ギネス塗り替えるほどの挑戦はしたくねぇんだけど。ま、たまにはいいか。んじゃ１杯だけな
ありす,はい。遠峰一青ばりの表現をお願いしますね
晴,ハードル高ぇ！。へぇ、良い匂いだな
ありす,でしょう？ささ、遠慮せずググッと
晴,いかねぇっての。アルコール強くねぇって言ってんだろ。くぁ
ありす,どうです？
晴,どこが甘口だよ！かなりクるぞコレ！
ありす,おかしいですね…私にとっては甘口なんですけれど
晴,飲んだくれの基準で考えんな！。かっ
ありす,日本酒もダメですか？本当に弱いんですね
晴,だから、そう言ってるじゃねぇか…おぉ、頭がクラクラしてきたぞ？
ありす,そりゃあチューハイからワインにビールにウイスキーに泡盛に日本酒と飲んでますもんね。チビチビとですけど
晴,う゛～～っ、何か凄ぇ熱くなってきたんだけど…エアコン効いてるのか？
ありす,効いてますよ。顔真っ赤じゃないですか。汗もかいてますし、着替えたらどうです？
晴,ん～…そうすっか…。スウェットってこっちの引き出しだっけ
ありす,上から３段目です
晴,お～…、あったあった
ありす,酔ってる時にお風呂は危険ですから、タオルで軽く体を拭いて着替えるといいですよ
晴,随分詳しいなぁ…ああ、経験談か
ありす,あの節は本当に助かりました
晴,お前って命の恩人に酒飲ませてるのかぁ…
ありす,こうして間近で見ると本当にけしからん体ですよね
晴,見んなぁ。…うし、着替え完了。当然のようにオレの着替えが橘ん家にあるよな
ありす,もう、いっそのこと一緒に住みません？
晴,そしたら橘絶対ぇ今よりダメ人間になるだろ
ありす,失礼な。これでも花嫁修業は積んでいたので家事は一通り出来ますよ？
晴,なら実行しろよ
ありす,…花嫁には、なれませんでしたので
晴,あ、やべ
ありす,待てますか？って聞いたんだから待っててくれても良かったじゃないですかぁああ！！
晴,橘ストップ！近所迷惑だから！ほらカマンベール美味いぞ？
ありす,あむあむ…
晴,痛っ！オレの指まで齧るなハムスターか！
ありす,人の事散々懐かせておいて、アッサリと別の女性のところに走って…
晴,あっという間に懐いたもんな。名前で呼ばないでください
ありす,名前ぐらい呼んでくれてもいいじゃないですかぁ！
晴,テーブル叩くなっての。あ、ホラ。でも橘がいない時とか余所ではちゃんとありす、って呼んでるぞ？
ありす,本人に言ってくださいよぉ！
晴,それは心底同感だけどさ
ありす,…そう言えば、晴さんも私の事名前で呼んでくれませんよね
晴,あ、そういやそうか？丁度同じ時期に事務所に入ったから橘が名前で呼ばれるの嫌がるの目の当たりにしてたからなぁ
ありす,…別に晴さんなら構いませんよ
晴,いや、でも今更じゃね？
ありす,プロデューサーさんに呼んでもらえず、マイベストフレンドにも呼んでもらえない…では私の名前は誰に呼んでもらえるのでしょうか
晴,人の事をキノコみたいに言うな。…いや、だって本当に今更呼び方変えるのって…なぁ？
ありす,…
晴,あーもう！わかった、わかったよ！。…………ありす？
ありす,っ！
晴,…
ありす,…
晴,……
ありす,……
晴,…何だコレ。無茶苦茶恥ずいんだけど
ありす,顔真っ赤ですよ。何ですか、付き合いたてのカップルですか
晴,バッカ！お前だって顔赤いじゃねぇか！
ありす,私は単に酔っぱらってるだけですから！
晴,オレだってそうだよ！。あ゛～…、やべっ、本格的に酔ってきたわ…。橘ぁ水無ぇ？
ありす,大五郎ならありますけど
晴,水っつったんだけど
ありす,晴さんが買ってきてくれた買い物袋の中にいろはす入ってませんでした？
晴,おー、そういや買っといたんだっけ。取ってくるわ…っとと
ありす,大丈夫ですか酔っ払い
晴,お前にだけは言われたくねぇ。おお、マジでヤベぇ。真っすぐ歩けねぇぞ
ありす,ワインならやっぱりコレですよね。クラッカーにたっぷりのクリームチーズを…
晴,いろはす持ってきたぞー。ついでに炙り明太子も
ありす,サラミもそろそろ開けちゃいましょうか
晴,お、いいな。んじゃコッチの牛タンもいっちまうか
ありす,何だかお米が欲しくなるラインナップですね
晴,炊いてねぇの？
ありす,基本的に自分で炊飯しませんねえ
晴,外食ばっかりだと太……らねぇんだよなぁ、橘って
ありす,ちょっと、今私の体のどの部分を見て言いました？
晴,別にどこも見てねぇって。お、これ１個貰うぜ？。うわっ何だこれ！クラッカーやべぇ！こってりチーズたっぷりやべぇ！
ありす,ふふふ、晴さんもマリアージュの虜ですね。ささ、その調子でもう１杯
晴,うっわ、ホントやべぇ。口の中チーズとクラッカーでリセットされっからワインがどんどん進むぞ
ありす,進んじゃいましょう進んじゃいましょう。ようこそ、こちら側へ
晴,待ってくれても良いじゃねぇかよぉ！！
ありす,そうです！４年ぐらいあっという間じゃないですか！待っててくださいよ！
晴,ほんとにアイツと来たら！アイツと来たら！
ありす,乙女心を何だと思ってるんですか！責任取ってください！
テーブル,たすけて
晴,普段散々人の事おちょくりまくってる癖にオレ達の事あんな真剣に考えてくれてたり
ありす,色々と面倒くさい子供相手にも嫌な顔１つせずきちんと向き合ってくれたり
晴,オレみてぇなのを女の子扱いしてよぉ…かと思えば肝心な時に子供扱いしやがるし！
ありす,攻略技能高いクセにフラグ回避スキル高すぎるんですよ！私みたいなちょろい娘は簡単に釣られちゃうんですからね！
晴,女たらしー！社畜ー！
ありす,スケコマシー！シンデレラガール製造機ー！
晴,たまにはサッカー付き合えー！
ありす,一緒に飲みましょうよー！
晴,あ～……何だコレ。すっげぇ楽しい
ありす,晴さんも色々溜め込んでますねぇ。さぁさぁ根こそぎ発散しちゃってください
晴,いっそ電話かけて直接本人に言っちまおうぜ
ありす,あはは、いいですねそれ。電話しましょう電話。むぅ？どこのどちら様ですか。人が盛り上がっているのに何て無粋な
晴,えーっとＰの番号…うわ、俺の発信履歴Ｐばっかかよウケる
ありす,こんな時間にどちら様ですかー？また千枝さんが一升瓶持って来たんでしょうかね
晴,クソッ、指が震えてスマホ押し辛ぇ。酔っぱらいすぎだろオレ
ありす,はいはーい。今開けますよー酔っ払い２名絶賛出来上がってますよー
モバＰ,以降Ｐ表記がルールだろう
ありす,
Ｐ,こんな時間に悪いな…って酒臭！
ありす,
Ｐ,いや、節度を持って飲むのは何も言わないけどさ…あ、それでこんな夜にアレなんだけど…。何で閉めるの！？
晴,ん～…どした橘。誰だったんだ？
ありす,…よし
晴,え、何で着替えてんの？しかもそんなきらりみたいなフリフリパジャマに
ありす,すいません、お待たせしました
Ｐ,いやいや、こっちこそ突然悪かったな
晴,っ！？
ありす,わっ、きちゃないです
Ｐ,晴もいたのか。ホントに仲良いなお前ら
晴,ゲホッ…！い、いきなり湧いて出んなよ！
Ｐ,人の事をテラフォーマーみたいに言うなや。いや、橘さんにちょいと用事があったんだけどさ。昼間から連絡が全然つかなくて
ありす,そんな筈は。プロデューサーさんからの連絡は全部着メロinfactにしているから気づかない訳が…。…あれ？晴さん私のスマホ知りませんか？
晴,オレが知る訳あるか
ありす,……あ、ありましたありました
晴,何で冷蔵庫に入ってんだよ
Ｐ,そりゃ連絡つかない訳だわ
ありす,それで、ご用件とは？
Ｐ,ああ、そうそう。こんな夜中に年ごろの娘さんの部屋にオッサンがいるのも悪いから早速…
ありす,いえいえ遠慮なさらず。何でしたらもうこんな時間ですし泊まっていってはどうですか？
Ｐ,泊まるかぁ
ありす,何もしませんから！何もしませんから！
Ｐ,それ普通男のほうのセリフじゃね？
晴,チクショウ橘のヤツ…！さっきまで中学時代のジャージ姿だったクセに１人だけ着替えやがって
ありす,ちょっとだけですから！ちょっとだけですから！
Ｐ,ハードル下げんなぁ！。本当はもっと改めて渡したかったけど、日付も変わったし橘さん今日オフだろ？はい
ありす,ありすです。結局未だに名前を呼んでもらえないありすです。…これは？
Ｐ,えっ？いや橘さん今日誕生日だろ？
ありす,…。……。…。……あ
Ｐ,忘れてたんかい
晴,オレ、一応お祝いに来てたつもりだったんだけど
ありす,す、すっかり失念してしまっていました…
Ｐ,酒もほどほどにな？ウチの事務所はタダでさえ悪い見本が多いんだし
ありす,こ、これ…今開けても？
Ｐ,どうぞどうぞ
ありす,……うわぁ
晴,わっ、滅茶苦茶綺麗なネックレスじゃんか
Ｐ,橘さんてあんまし首元にアクセサリーつけないからさ。こういうのも良いんじゃないかな、と思って
晴,うっわ、何か普通にセンス良くて気持ち悪っ
Ｐ,一応これでもアイドルのプロデューサーなんだけど
ありす,こ、これを私に…？あの、レンタルとか、見るだけとかではなく？
Ｐ,お前さんへのプレゼントだよ
ありす,
Ｐ,何で頬っぺた引っ張るんだよ
ありす,…ぐすっ
Ｐ,何で泣くの！？
晴,あー、ほらＰ。折角だしアンタがつけてやれよ
Ｐ,えっ？いやでも橘さんベソかいてるし
晴,いいからさっさとやれっての。このスケコマシ
Ｐ,アキレス腱蹴るなっ！。…よし、と。うん、似合う似合う
晴,おお～…
ありす,…
晴,ははっ、橘顔真っ赤だぞ
ありす,飲んだくれて酔っぱらってるだけです！
晴,その返しは女子としてどうなんだよ
ありす,ど、どうですか？
Ｐ,似合ってるよ。良かった、橘さんのイメージで選んだんだけど正解だったな
ありす,ありがとうございます……一生大切にします
Ｐ,大袈裟だよ
ありす,不束者ですが、末永くよろしくお願いしますね
Ｐ,妻帯者だよ
ありす,あ、私の両親への挨拶はどうしましょう。お互い休みを合わせないと…
Ｐ,ｐとスーパーヒーロータイム見たいから帰っていい？
ありす,何もしませんから！多分何もしませんから！
Ｐ,ほらぁ！多分とか付け加えられたぁ！
晴,橘、その辺にしとけよ。あんまりやりすぎるとまた嫁さんにシバかれるぞ？
ありす,むぅぅ……
Ｐ,助かったよ晴すけ。最近橘さん腕力凄くて…
ありす,ありすです
晴,晴だよ。ほら、もう用事は済んだろ？女２人の宅飲みにオッサンが居座ってていいのかよ
Ｐ,それもそうだ。２人で楽しんでるところに割り込んできたみたいで悪かったな
ありす,そ、そんな事は。一緒に飲みましょうよ！
Ｐ,ハハッ、またそのうちにな
ありす,…晴さん？
晴,ただでさえ酒入ってんだから自重しろっての
ありす,むぅ…またそうやって良い子ちゃんぶっちゃってからに
晴,口調
Ｐ,んじゃ、お邪魔しました。２人とも休みだからってあんまりはしゃぎすぎないようにな？特に橘さん
ありす,ありすです。誕生日なんですし名前で呼んでも良いと思います、ありすです
Ｐ,むむむー
ありす,口を開けないと聞きとれません！
晴,ほら、いつまでじゃれてんだよ。んじゃＰ。また事務所でな
Ｐ,おー
ありす,あ、今夜は玄関の鍵を開けておきますので…
晴,オレが閉めとくわ
Ｐ,頼むな
ありす,むーっ！
Ｐ,それじゃ、お邪魔しましたー。…あ、そうだ。１つ報告することがあったんだわ
晴,ん？
ありす,独身に戻りましたか？
Ｐ,今でもラブラブだわい。違う、そうじゃなくて
晴,とうとうクビになったか？
Ｐ,ナッテネーヨ！。いやそうじゃなくてさ……まだ事務所にもアッキーにも言ってないんだけどさ
ありす,…ん？
晴,何かこの流れ、既視感があるぞ？
Ｐ,改まって言うと何か恥ずかしいな………うん。２人目ができた
ありす,
晴,
Ｐ,今度は女の子だとさ。いやぁ、もう何だろうな。幸せってこういう事を言うのかな
ありす,
晴,
Ｐ,ｐもスクスク育って最近じゃダイレンジャーの名乗りポーズ出来るようになってきたしなぁ。…あ、スマン。オッサンがはしゃいじまって
ありす,
晴,
Ｐ,それじゃ２人とも、また事務所でなー
ありす,
晴,
ありす,…
晴,…
ありす,……
晴,……
ありす,…晴さ
晴,飲むぞ橘ァ！！！！
ありす,っ！？
晴,あーっ！もう！！やってられっかぁ！！。……もしもし？あーオレオレ！橘ん家で飲んでるんだけど今から来いよ。…いいから！付き合え！！。…よぉし飲みなおすぞ橘ァ！
ありす,は、はいっ！
晴,注げや橘ァ！！
ありす,は、はひっ
晴,４年ぐらい待てよコンチクショー！！
ありす,え、えらいこっちゃ！
アッキー,終わりだ
優,会長ー、そろそろ役員会議の時間だよー
