姫川友紀,ラジオネーム6-4さんからのお便りだよ
友紀,……うーん？似、似て、似てる……？
美波,……ごめんなさい、私が悪かったです
拓海,ヘコんでる奴は置いといて、一旦CM行くぞー
友紀,お便り読んでいきまーす！
拓海,へーい
友紀,ラジオネームやべー明雄さんからでやんす
拓海,語尾にやんすをつけんな
友紀,美波ちゃんは広島出身ということですが、カープファンなのですか？だって
美波,一家そろってカープファンです！
拓海,ていうかな、思いっきり赤いユニフォーム着てるもんな
友紀,背番号33の赤いユニフォームだね！
拓海,今じゃどこに行ってもカープファン多いからな
友紀,神宮だと、どっちがホームチームの応援団なのかわかんなくなるからね
美波,あはは…
拓海,広島県ってカープファンしかいねえのか？
美波,流石にそんなことはないんだけど、やっぱりカープファンは多いわね
友紀,広島はねぇ……あたしはマツダに行ったことあるんだけどさぁ……凄かったよ
拓海,そんなに凄ぇのか？
友紀,やべーって言葉しか出てこなかったよ。いや、やべーを通り越して、えぐかった
美波,語彙力が失われてる！
拓海,次のお便りは、ラジオネームタナキクマルマルモリモリからだな
友紀,みんな食べるよ！走者一掃
拓海,みなさんは引っ張り打ちのヒットと、流し打ちのヒット、どちらが好きですか？だと
友紀,あー、なるほどね
拓海,アタシは引っ張りだなぁ。ガツーンって感じでぶち抜くヒットがいいぜ
美波,私は流して三塁線を破るヒットが好きですね
友紀,はい二塁打
美波,三塁線への打球って、凄くスピード感がある絵になるから好きなんですっ♪
拓海,友紀はどっちなんだよ
友紀,あたしはねぇ……ごめん、あえてのセンター返し
美波,三択目！？
拓海,条件指定が細けぇ！！！
美波,でも何となくわかるのが不思議！
友紀,ピッチャーも懸命にグラブを出すけど、それをあざ笑うようにセンターへ抜けてく絵がたまらないね！。3通目は美波ちゃんに読んで貰うよ！
美波,はいっ、ラジオネームハマのタヌキさんからですっ
拓海,スターマンはタヌキじゃねえよ！！！
美波,カープのマスコットって、アレは何の生き物なのか知ってますか？私は知りません
拓海,スラィリーのことか
美波,モデルらしいモデルはいないんじゃなかったかな？
友紀,空想の生き物ってことかー。え！？そうなの！？
拓海,確かに言われてみりゃセサミストリートっぽいな…
美波,MLBのフィリーズにもスラィリーにそっくりなマスコットがいるんですよ？
友紀,あー、確か緑色のヤツだ…
美波,二匹並べてみると兄弟にしか見えないんです
友紀,今日のお便りはこんな所だね！
拓海,スラィリーの出自が意外過ぎたぜ…
友紀,ただの鼻ピロピロの気持ち悪いヤツだと思ってたよ…
美波,友紀さん？？？
友紀,はい
美波,そういうこと言っちゃ、めっ！ですよ？
友紀,はい。さーせん
拓海,んじゃCM挟んでクイズ行くぞー
諸星きらり,がんばれ！がんばれっ！
友紀,いーちっ！にーいっ！
拓海,……何してんだお前ら
きらり,友紀ちゃんがおなか鍛えるのを手伝ってゆー！
拓海,……そのやり方じゃ腹直筋に効かねえな。もっと角度は浅めだ
友紀,うぉっ！？こ、これはキツい…
拓海,よーし、その体勢でタイトルコールやれ
友紀,姫川・向井のヒットぉおエンドラジオぉぉぉふっ！
拓海,トイレから戻ったら腹筋してたから何事かと思ったわ
友紀,善は急げって言うじゃん？
拓海,急ぎすぎだろ
美波,友紀さんってそんなにお腹出てないような…？
拓海,腹筋を割りてえんだとよ
美波,そうなると、まずは食生活から改善していかないと……ビールは飲めないですね
友紀,じゃあやめます
拓海,辞めるの早ぇよ！！？
友紀,それでは次はこのコーナー。クイズDEシンデレラ～
拓海,このコーナーは、毎回ゲストにちなんだ野球クイズを出題します。見事正解すると豪華景品をプレゼント！
友紀,久々の説明口調ご苦労様
拓海,だいぶ久々な気がしたぜ
美波,そんなに久々なの？
友紀,前回が新コーナーやって、その前が公録で特別コーナーだったから、2回飛ばしてるね
拓海,3週間以上やってねえな
友紀,はてさて、美波ちゃんはクイズには自信あるのかな？
美波,うーん……それなり、ですかね？
拓海,今日の問題見たけどよ、美波なら余裕そうだったけどな
美波,本当かなぁ？
友紀,ルールとしては、3問用意してある中から1問選んで答える形ね
拓海,解けそうなヤツを選んでくれってことだな
友紀,で、これが今日のクイズの紙なんだけど…
美波,んー……
拓海,1986年ってなんだコレ？
友紀,日本シリーズが第8戦まで行った年だっけ？
拓海,あー、それでか
友紀,じゃあ美波ちゃん、この中から選んでね！
美波,新井さんでいきます！
拓海,まあこの中だったら一番無難だな
友紀,それじゃあ読み上げるね、問題！。というわけなんだけど
美波,わかりました
友紀,おっ、もう分かった？
美波,これは結構有名な話だから、聞いたことあります
拓海,んじゃ答えてくれ
美波,Aの2本ですっ！
友紀,ファイナルアンサー？
美波,ファイナルアンサー！
友紀,はいお見事ー
拓海,これは簡単すぎたな
美波,ドラフト6位っていう、けっこう下位指名だったんですよね
友紀,完全に素材型としての獲得だよね
拓海,素材型の育成成功例だな
美波,これ、他の問題を選んでたらどうなってたのかな？
友紀,じゃあ全部捲っていくね。まずは野村謙二郎
拓海,ノムケンか…現役時代の問題なら全然わかんねえな
美波,私も監督になってからしかわからないなぁ…
友紀,はい拓海ちゃん、立てたフラグをすぐ回収
拓海,アタシは悪くねぇ！！！
美波,そもそも6月23日が、どことの試合なのかがわからない…
友紀,だよね
拓海,何となく門倉な気がするけどな
友紀,これ正解はどれなのー？
拓海,分かるか！！！
A川島亮,ヤクルト
対ヤクルト戦,広島市民球場
美波,この調子だと、1986年の問題も難しそう…
友紀,どうせ解けっこない問題書いてあるだろうし、無視しとく？
拓海,いいえって答えたら無限ループになるヤツだろそれ
友紀,無限ループされても困るのでめくるね。それーっ
美波,あれ、こっちのほうが簡単…？
友紀,えっ
美波,えっ？
友紀,なにそれこわい
美波,これは27のはず…
拓海,何で知ってんだよ
美波,ママが山本浩二さんの大ファンだったから…ね？
友紀,なるほどね。てなわけで、見事正解した美波ちゃんにはご褒美があります！
美波,何が貰えるのかな？
友紀,今運ばれてくるからね。ちょっと今回は特殊なモノだから
美波,特殊……え、この匂いって…？
拓海,なんか香ばしいソースの香りがしてきたぞ
友紀,もう分かったんじゃないかな？
美波,もしかして……お好み焼き？
友紀,正解ー！美波ちゃんの出身地にちなんだモノだよー！
拓海,おー、広島焼きってアタシ初めて見んな
美波,広島焼き？
拓海,ん？
美波,拓海ちゃん、広島焼きって言葉は存在しないのよ？広・島・風・お好み焼きよ？？？
拓海,ちょっ、顔が怖ッ
美波,アーニャちゃんにしたように教いｋ……もとい、お勉強しないとダメよ？
拓海,……はい、さっせん
美波,それじゃあ、気を取り直して…いただきますっ
友紀,お味はどうかな？
美波,ん～！久々に食べたけどやっぱり美味しい！
拓海,お好み焼きにヤキソバついてるってのがアタシには不思議だな
美波,広島県人的にはこれがデフォルトなのよ
友紀,ボリュームがすごいよねコレ。ビール欲しくなってきたよ
拓海,一応仕事中だぞ
友紀,はーい。以上、クイズDEシンデレラのコーナーでした！。エンディングのお時間でーす
拓海,美波、今日の感想はなんかあるか？
美波,こんな感想で申し訳ないんだけど……ソースの残り香が凄いなぁって
友紀,ホント凄いね
拓海,ホントに匂いがやべーんだけど。大丈夫かよコレ？
友紀,ファブリーズでどうにかなるの？。そういえば美波ちゃん
美波,何ですか？
友紀,今日はせっかくユニフォーム着て来てるのに、その選手のこと一切語らなかったね
拓海,そういやそうだな
美波,んー……でも今更凄さを語るよりは、プレーを観てもらった方が早いし
友紀,菊池涼介
拓海,侍ジャパンでも出てるしな
美波,なのでみなさん、カープの試合を観てくださいねっ♪
友紀,最後に美波ちゃんが可愛くおねだりしたところで締めよっか
拓海,そうだな
美波,何で急に二人ともそっけないの！？
友紀,姫川・向井のヒットエンドラジオ。お相手は姫川友紀と！
拓海,向井拓海と！
美波,新田美波でした！
友紀,それじゃあ次回もよろしくねー！
拓海,ところで菊池のどこが好きなんだ？
美波,ワイルドなところが…
友紀,ワイルド通り越して野生児だよね
