モバP(以下P),美由紀の実家からカニ送られてきたから……食うぞ
鈴帆,美玲しゃん！ネタ潰しはやめてほしいばい！ウチのカニ剥き計画がー！。今日のウチはプリップリばい！食べちゃいたい？……ってお？
幸子,鈴帆さん。せっかく美味しいカニがあるのにまだ食べてないじゃないですか？
鈴帆,っぱくっと……ふんふん、ぷりぷりでうまかー！
幸子,ふふん、しかもこのカワイイボクが食べさせてあげてるんですから！美味しさ倍増ですよ！
飛鳥,……………
蘭子,……………
飛鳥,…………っ
蘭子,………………
飛鳥,…………。なぁ蘭子、ヒトというイキモノはどうしてこういう難解な食べ物すら食べる進化を辿ったのだろうね？毒のあるもの、硬いもの、全てが食には適さないものばかりだ。この甲殻もそう、食に適さないとされる虫にすら符合するこのイキモノを食べ物と定義した人間は酷く傲慢で……理解しがたいと思わないかい？蘭子
蘭子,我が盟友よ
飛鳥,どうしたんだい？
蘭子,えっと……うまくできないなら、食べる？
飛鳥,君は……こっち側だと思っていたんだけどね……
蘭子,オリュンポスの神にこの力を貸し、日々我が力は研鑽にされているのよ！(お母さんの手伝いしてたら上手くなるよ？
飛鳥,手伝いか……ボクも少し挑んでみるのも悪くない、かな？
美由紀,あ、蘭子ちゃん食べてるー？美由紀ちょっと剥きすぎちゃって……
蘭子,ふふふ、其方の神速の剥き捌き、我が魔眼は見落とさぬとも！
七海,美由紀ちゃん熟練の腕れすからねー、七海も教えてほしいくらいれす
蘭子,然り、この甲冑を容易く崩す奥義を、我もまた会得してみせようぞ！
美由紀,うーん、参考になるかなぁ……ちょっとごめんね？
飛鳥,なるほど。美由紀は別領域の人間、というわけだ
美由紀,みんなせっかくだから食べよ？うちのカニは美味しいからっ！
蘭子,甲殻の向こうの白磁……今日のところはお言葉に甘えて……
七海,おいしいれすねー、……蘭子ちゃん美由紀ちゃんの真似、諦めたんれすね？
蘭子,わ、我が魔眼でも見切れぬことはある。それに……剥くより食べたい
七海,同感れすねー
飛鳥,いいのかい？美由紀は剥いてばかりで。他の席でも似たようなことをしていたじゃないか
美由紀,んー。美由紀はほら、家から送られてきたからね？それにカニ美味しい！ってみんなが言ってくれれば
七海,おうちのためになるってことれすね？
美由紀,そういうことー！
飛鳥,ふっ……なるほど。それなら美由紀の企業戦略に乗ってみるのもいいかもしれないな
蘭子,おーいしー！
晶葉,くっ計算を見誤るとはっ！……全自動カニ剥き機がうまく作動しないっ！
ナターリア,アキハー？もう普通に作るゾー？
晶葉,そうだな、時には自分の手を汚すも悪くはない……しかし随分な量だな？
愛海,晶葉ちゃんそれなんか違う。でも確かに酢飯山もりだね？
ナターリア,カニのスシはウマいカラ！でもナターリア、上手くカニ剥けないヨ……
愛海,ふふふ、安心してナターリアちゃんっ！あたしが見事捌いてみせるから！
ナターリア,オー早イ！アツミ、任せていいカ！？
愛海,まっかせて！代わりに……剥き終わったらナターリアちゃんの
紗南,てっつだいにきたよー！ナターリアちゃん、海苔持ってきた！
ナターリア,ホントカ！？ありがとサナー！
紗南,剥いて食べる、だけだとあの量は無理ゲーだしね。あとお寿司の準備で食べてないでしょ？。晶葉ちゃんも、とりあえず食べたら？いや自動剥き機凄いと思うけど
晶葉,足のサイズに大きく左右されるからな……極端に大きいものを失念していた
紗南,金冠サイズの持ってきてたんだね……なら合わせたサイズのやつだけ剥けばいいのに
晶葉,そうなんだが、最初の１つをやった時からナターリアの期待の視線に裏切れなくてな
紗南,それでカニ剥くの遅れたらお寿司が完成しないよ？あ、食べる？
晶葉,食べる。そうだな、発明を見せるためとはいえ……食事中か
愛海,ここだけ調理中って感じだったけどね！あ、ナターリアちゃーん！このおっきいの剥けたよ！
ナターリア,オー！スゴくキレイ！サンキューアツミ！それなら約束ドーリ！
愛海,おぉ……ナターリアちゃんのお山を！むふふそれなら遠慮なく……！
ナターリア,ハイ！ナターリアの作った最初のカニスシ！アツミ食べて！
愛海,お、お寿司？あ、でも美味しい……
ナターリア,アキハも！酢飯ロボスゴかったから食べてほしいゾ！
晶葉,む、美味しいじゃないか。ありがとうナターリア。しかし……何人前作るつもりだ？
ナターリア,ミンナの分作るヨ？ナターリアのスシ、食べてほしいカラ！
紗南,いやいやナターリアちゃん！そこはみんなで作って食べよ？全然カニ食べてないでしょ？
颯,あっちは手巻き寿司パーティになってる？はーもあっち行く？
凪,いえ、凪は隣の宿敵とバトルの時間です、バチバチだな？
乃々,いえ、もりくぼはそういうのむーりぃ……
颯,あー、乃々ちゃんってポエム？書くんだよね！なーと一緒！
凪,その通り、お互いのポエム力で宇宙がヤバイ、カニ、ウマイ
乃々,もりくぼは人様に見せるポエムじゃないんですけど……
凪,エチュードは一度だけ、レッツカニポエム。イエーイ
美玲,ポエムっていうかラップになってないか？
颯,美玲ちゃん！あっその服この前の雑誌のやつだよね！買ったの？
美玲,ん？あぁ雑誌で着て気に入ってな！まぁ正直カニで汚れないか心配だからエプロンしてるんだ
颯,確かに、かわいい服って汚すのもったいないけどー、みんなには見せたいしねっ！わかるー！
乃々,カニ剥きで静かな時間、飛び込む自分の空間……もりくぼかにくぼ静かくぼ……
凪,きゃー、せっかくの一張羅がー
颯,はーもなーも新人だし、ほら、美鈴ちゃんみたいにいろいろドーンってやろっかなーって
凪,あら、靴下から脱がすなんて上級者だな？
美玲,十分インパクトあると思うぞ？ウチも最初はほら、ステージからだったし
凪,私の体を知りたいなんてーはずかしいー
颯,なー！カニ剥くのに合わせてボケないでよー！
凪,バレたか。カニの気持ちになるのですよ
乃々,食べられる気持ちになるのは怖すぎるんですけど……
幸子,これくらいでいいですかね、ふふん完璧ですねっ！
光,あれ？手巻き寿司にしたのに食べないのか？
幸子,気の回る優しいボクは、ずっと帰ってこないPさんの分を用意してあげてるんです！
光,なるほどなっ！確かに名案だ！幸子、アタシも手伝いたいっ！
裕美,なら私も手伝って……いいかな？サラダとか、分けておこうかな
幸子,もちろんです！カワイイボクと一緒に綺麗に盛り付けましょう！
光,任せてくれ！それなら大皿もってこよう！待っててくれ！
裕美,そのままでも食べたいよね。剥いておかないと……
P,おーやってるやってる……すげーなこりゃ
幸子,あー！Pさん！どこ行ってたんですか！カワイイボクが探してたのに！
P,いや普通にカニ配ってきたんだよ、ちひろさんとかトレーナーさんに
裕美,お疲れ様です。えっと……Pさんも食べます？
P,いや俺スーツだし汁がつくとなぁ、まぁお前らもそうだけど
幸子,ふふーん！そんなこともあろうかと！カワイイボクと
光,ヒーロー！
裕美,ど、どすえ……？
幸子,チームでPさんのためにプレートを用意しておいてあげましたよ！
P,おぉ、ありがとう三人とも。……あと裕美、どすえ、じゃないだろ？
裕美,幸子ちゃんのユニットに合わせたかったから……
P,そうか……普通にヒロミでよかったんじゃないか？前のドラゴンテイマーなやつ
光,ドラゴンかーあの裕美ちゃんはかっこよかったよな！でも今回はカニだろ？
P,カニのヒーローっていたっけ？
光,いるぞ？シザー〇、あとキャ〇サー？
P,あれはライダーだけどヒーローではないだろ？後ろはもはや敵じゃねーか。今更だけど鍋とか手巻き寿司以外はそのままだったのかこれ
裕美,調理は大人の人がいる時にって言われちゃったから……給湯室使っていいですか？
P,あー、七輪とか使えないよな危ないし、いいよ俺がやる
七海,甲羅焼きとか絶品れすよねー
P,微妙におっさん臭いチョイスはやめろよ、酒飲みたくなるだろ
幸子,飲まないんですね？
P,いや仕事中、な？事務仕事は終わってるけどお前ら送るまでセットなの
光,ん？それならもう解散なのか？それならみんなに声をかけて……
P,いや、まだいていいぞ？様子見のついでに俺もカニ食うってだけだからさ。お疲れ様颯、カニ美味いか？
颯,あ、Pちゃん！もちろん美味しいっ！美由紀ちゃんには感謝感謝だよねー！
凪,感謝感激雨霰、濡れないように傘の準備をお忘れなく
P,それは美由紀に言ってやれ、きっとみんなに言われてずぶ濡れになってる
鈴帆,おーPしゃん！食べとる？
P,お、着ぐるみは……なんだ脱いじゃったのか？
鈴帆,ウチはもうみんなに剥かれてしまったばい……Pしゃんに美味しく食べてほしいたい！
颯,えっPちゃん鈴帆ちゃんを……食べるの？え？
P,マジに受け取るなよ？なんだ、新作なら見てみたかったんだけどな。ほら、夏だし
鈴帆,むむっ！そうと言われれば着なおさずにいられんばい！ちょっと待っとって！
P,おーう、美由紀のとこ行ってるからゆっくりなー
美由紀,Pさん！おかえりなさいっ！
P,美由紀もお疲れ様。聞いたよ、みんなに剥き方教えたり食べさせてたんだろ？
美由紀,えへへ……せっかくだから美味しく食べてほしいかなって！
紗南,美由紀ちゃんすごいんだよっ！こうRTAみたいに機敏だった！
蘭子,かの神技に至らずとも、我の魔術は格段にその力を増したぞ！
P,お、それなら腕前を……って飛鳥？それは？
飛鳥,聞かないでくれ、ボクはこの足と爪を理解するのに必死なんだ……
愛海,上手くいかないならあたしが手取り足取り教えてあげるよ？
飛鳥,遠慮することにするよ。ボクは藪に棒を入れる趣味はないんだ
晶葉,なるほど、この関節をこうして……ハサミをこう入れれば効率よく……
P,晶葉はなんか別方向にガチだな……、ロボはダメだったんだっけ？
晶葉,なぁに、あの程度次回には修正が効く。楽しみにしていてくれ
ナターリア,ナターリア、カニのスシ作ったから食べて！シャリはアキハが作ったんダゾ！
P,ありがとうナターリア、みんな楽しそうに作っててよかったろ
美玲,色々試せるからなっ！とはいえ主役はカニだけど
七海,気を利かせてちひろさんが少しお刺身も用意してくれたんれすよー
ナターリア,もっと食べてほしいゾ！Pゴハン食べてないんダロ？
P,幸子たちにも用意してもらったからなぁ、あと焼きカニ食うだろお前ら
美羽,あっ食べます！聞いてくださいプロデューサーさん！カニに絡めたとっておきの新ネタ浮かんだんです！
紗南,美羽ちゃんハードル上げたらノルマクリアできないよ？
美羽,うっ……い、いえ行けるから！今回のはみんなと考えたものですし！
P,というか美羽、カニと絡めてもこの場以外じゃ微妙じゃないか？
美羽,へっ？えーっとほら、このカニを食べた経験を話題の口切にすれば……
美由紀,美羽ちゃんうちのカニ宣伝してくれるのっ！？
美羽,えっと……そうだねっ！せっかくだしそういうのも……ありですか？
P,ま、前向きに検討かなぁ、ほら……ワイロとか言われるとマジおこ案件だし？
紗南,最近悪徳記者とか敏腕記者が事務所にくるらしいからねー
飛鳥,それは別の世界線の話じゃないかい？紗南
美玲,はぁー美味かった！美由紀、お父さん達によろしくなっ！
美由紀,うん！伝えておくねっ！でも喜んでたって言ったらまた送ってきちゃうかなー？
凪,なるほど。褒めれば得られるカニ道楽……
乃々,貰えば罪悪、両天秤……
凪＆乃々,善意と悪意のシーソーゲーム
P,もうポエムでもなんでもなくなってんぞ乃々、つーか仲いいなおい
美玲,なんか乃々も凪もカニ剥きながらぶつぶつ話してたからな
蘭子,無心の同調……これこそまさに魂のシンクロ！
裕美,私もつい真剣になっちゃってたなぁ、変じゃなかった？
光,真剣そのものだったけど特に変じゃなかったけどな？このキリッと！
颯,うんうん！食べてるときすっごいいい笑顔だったし！
裕美,そ、そうなの？ちょっと……恥ずかしい
颯,なんでー？可愛いのにー
幸子,カワイイ！？
P,つい剥くときは集中しちゃうもんなぁ……美由紀、ありがとうな
美由紀,みゆきはなにもしてないよー？あ、でもね。プロデューサーさん
P,ん？どうした……って、あぁ
美由紀,今日はみんなで食べる日なんだから、プロデューサーが食べてるところ、みゆきに見せてほしいなっ！
P,……そうだな。見てろよ美由紀、俺も結構剥くのは慣れたもんなんだぞ？
美由紀,ほんとかなぁ、みゆきは早いよー？勝負しよっか？
P,あー……それは、あれだ。お手柔らかにな？
美由紀,うん、食べたらみゆきに感想、教えてね！
鈴帆,Pしゃーん！見たって！この赤くみんなを引き付ける魅惑のボデー！
P,カニじゃなくてヤドカリなのか？え？
七海,タラバはヤドカリの仲間れすからー
