モバP(以下P),正反対だったら
ちひろ,なに勝手に大賢者ってるんですか。プロデューサーさんが死ぬと、このプロダクション……というかアイドルたちが大変なことになるので死なないでくださいね
P,まぁ、それなりに信頼されてると思いますから俺が死んだら悲しんでくれるくらいはしてくれると信じてます
きらり,うきゃー☆Pちゃんおはよー！今日もきらりんパワーではぴはぴすゆう？
ちひろ,プロデューサーさん
P,うむ、次はきらりでいこう
きらり,うゆ？何の話ぃ～？
P,実はアイドルの個性が今と違ったらって話をしててな。実際に違ったらどうなるか妄ｓ……イメージしてたんだ
きらり,おもしろそー☆きらりもやるぅ！
P,きらりはそうだな……口調もそうだが、その元気いっぱいで見てるこっちも元気になりそうなそのパワフルなところが個性だな。その逆だから……大人しいきらりとか？
きらり,え？はいそうですね……
P,どうしたきらり！口調が変だぞ⁉
きらり,どうだったー、きらりの演技ぃ☆Pちゃんの為に頑張ったのぉ☆
P,あ、そ、そうか演技か……あーびっくりした
ちひろ,あのハイテンションから急に真顔になったのでギャップが凄まじかったですね
きらり,こんなんでよかったのぉ？
P,あぁ、大丈夫だ。ありがとう。それじゃ、そろそろレッスンに行ってきなさい
きらり,はーい☆
P,敬語を使う大人しいきらりもアリと言えばアリだった
ちひろ,でも、いつもの元気いっぱいのきらりちゃんの方がしっくりきますよね
P,それな。さて、次は……まゆかな
ちひろ,……ついに、そこに触れてしまいますか
P,まゆはなぁ……俺の事を好きだって言うのを公言してて、そういうキャラって事で推してるから……そうだな。俺の事が嫌いなまゆとか
まゆ,ないです
P,うおぉ、びっくりした⁉。まゆ、急に出てくるんじゃない！驚きすぎて心臓がまろび出るかと思っただろ！
まゆ,ごめんなさい、Pさぁん。でも、Pさんがいけないんですよぉ？
P,俺が？
まゆ,だって……まゆがPさんを嫌いになる事なんて絶対にありえませんから、そんな荒唐無稽な事を言えば誰だって突然現れたくなりますよぉ
P,そういうものなのか？
まゆ,そういうものなんです。ねぇ、ちひろさん？
ちひろ,え、えぇそうね……(なんで、そこで私に振るのかなぁ⁉)
P,まぁ、二人がそう言うならそうなのかもしれんな。でもほら、あくまでもしもの話ｄまゆないです。そ、そうかないか……
まゆ,はい♥
P,変な事言って悪かったな
まゆ,いえいえ、分かってもらえたならいいんです
P,じゃあ、あれだな。へちょくないまゆだな
まゆ,へ、へちょくないです！///
P,可愛い
まゆ,あ、あのその///
P,可愛い
まゆ,れ、レッスン行ってきますねぇ！///
P,いやぁ、やっぱりまゆはへちょいなぁ。ふぅ、妄想を吐き出したら大体満足しました
ちひろ,まだアイドルは居るんですけど、もういいんですか？
P,ええ、また妄想が溜まったら吐き出すかもしれませんけども。あ、最後にもう一人だけ……
凛,……！
P,ちひろさんでやりましょう
凛,
ちひろ,わ、私ですか⁉私……別にアイドルではないんですけど……
P,何言ってるんです。ちひろさんは、充分アイドルに通用しますよ。ちひろさんで〆ようと思ってたのでお願いしますよ
ちひろ,し、仕方ないですね……プロデューサーさんの頼みなので、特別にやってあげます
P,そうですね……お金に興味のないちひろさんとか？
ちひろ,プロデューサーさんのココロのスキマを、お埋めします。もちろん、お金は一銭も頂きません。プロデューサーさんが満足されたらそれが何よりの報酬ですよ
P,はは、なんだろ……言ってることは天使なのに何でか震えが止まらねぇや
ちひろ,プロデューサーさんがやらせたんじゃないですか！っていうか、私そんなにお金にがめつくないですからね⁉
P,え
ちひろ,え
凛,
