何！？今日は紗枝はんの誕生日だと！？,カン☆コーン
モバＰ,う～・・・どうしてバイクと合体しないんだ・・・？・・・ｚｚｚ。ｚｚｚ・・・これで連続検挙記録更新・・・ｚｚｚ・・・昇進確定だ！・・・ｚｚｚ。・・・ん？ふぁぁぁぁ・・・・・・・んんっ？。あれ？俺昨日・・・時間ッ！！・・・まだここからなら大丈夫か。それにしてもいい匂いだな
紗枝,あ、プロデューサーはん。おはようさん
モバＰ,あぁおはよう。すまんな紗枝。体調は？
紗枝,もうばっちりや！
モバＰ,そうか。俺はもう帰るから念の為今日もしっかり休んでおけよ
紗枝,もう帰ってまうん？
モバＰ,流石にまずいだろ・・・
紗枝,事務所に着替えとかあるんやろ？
モバＰ,いや、そういう問題じゃ・・・
紗枝,朝ごはんもうプロデューサーはんの分も作ってしもたわぁ
モバＰ,いい香りと割烹着姿なのはそれか・・・
紗枝,うち一人やと食べられへんな～、どないしよかなぁ～
モバＰ,・・・頂くよ
紗枝,はい♪今用意するさかい待っといてぇな。急やさかい少ししか作れへんかったけど・・・
モバＰ,いや、紗枝らしい朝飯だな。特にだし巻き作れるのはいいな・・・俺毎回焦がしちまうんだよ
紗枝,”これだけは”って言うてお母はんに厳しぃ教えられたからなぁ・・・うちかてそこまでお料理上手ちゃうよ？
モバＰ,フッ、俺好みの朝食だ。欲を言えば肉じゃがなんて欲しいな
紗枝,ほな今度作って来ましょか
モバＰ,まぁまた今度な。とにかく食おうか
２人,いただきまーす
紗枝,お味噌汁薄ぅあらへん？
モバＰ,少しな・・・だが美味い
紗枝,ﾎｯ
モバＰ,こういうのも手作り感があっていいなﾈｷﾞﾋﾞﾛｰﾝ
紗枝,あー！見んといて！それ失敗やから見んといて！！
モバＰ,はっはっは。ふぅ・・・ご馳走様
紗枝,はい、お粗末さんどす
モバＰ,普通に美味くてびっくりしたな
紗枝,おおきに♪そう言うてもらえると嬉しいわぁ
モバＰ,紗枝
紗枝,どないしはったん？
モバＰ,ほれ
紗枝,？・・・紙袋？
モバＰ,１日遅れだが誕生日おめでとうな
紗枝,！。開けてもええ？
モバＰ,どうぞ
紗枝,なんやろ・・・ｶﾞｻｺﾞｿ。あ・・・これ簪や！
モバＰ,花はセントポーリアらしい
紗枝,へぇ・・・ｽ･･･
モバＰ,・・・一定の強度があるな///
紗枝,なんやのんそれｸｽｯ
モバＰ,んじゃそろそろ俺事務所行くわ。シャワーとか浴びてたらいい時間だろうし
紗枝,ほな今日も一日おきばりやす・・・プロデューサーはん♪
モバＰ,おう、安静にな
紗枝,・・・。・・・ﾌﾟﾙﾌﾟﾙﾌﾟﾙﾌﾟﾙ。あかんって！昨日の恥ずかしいこと途中で思い出してもうて隠すん精一杯やったわ！。ぐったり・・・。・・・お風呂入ろか
美穂,それでは改めまして・・・
まゆ,紗枝ちゃん・・・
紗枝,おーきに♪
乃々,え、え～・・・も、森久保がトップバッターでバースデーソング歌うんですか？何ですかそれ鬼畜ですか？。・・・まぁおめでたい席なので空気読んでやります・・・本当は勘弁して欲しいんですけど。すぅ～・・・。まだ歌って無いんですけど！？
だが私は謝らない,次回出す予定なので堪忍してつかぁさい
