同僚,お、今日は愛妻弁当か。いいなぁ～
嫁,うむ、私としても立ってくれてた方がやりやすい。現役時代も、標的は立っていることがほとんどだったからな
男,というわけです
医者,もう好きなようにしてくれぇ！
嫁,では、始めよう
男,うん
医者,ううう……マジで始まってしまった。狙撃による手術が……。しかし、奥さん……すごい集中力だ。銃を構えて、完全に自分の世界に入っている……。旦那さんも旦那さんだ。頭に銃を向けられてるのに、至って平然としている……。なんなんだ、この夫婦……！？
嫁,いくぞ
男,いつでも
医者,…………。……改めて脳を撮影したところ、腫瘍は完全に消えています。手術は……成功です
嫁,や、やった！
男,……ありがとう
医者,いやはや、すごいものを見せてもらいました。奥さんの狙撃の腕はもちろんですが、一切微動だにしなかった旦那さんもまたすごい。この手術は……まさにあなたがた“夫婦の手術”だったといえるでしょう
嫁,おだててもなにも出ないぞ
男,こちらこそ、無理を聞き入れて立ち会って下さってありがとうございます
医者,今日のことは、私の一生の思い出となるでしょうね
嫁,今になって……両手が震えている。我ながら恐ろしいことをしたものだ。脳腫瘍を狙撃だなんて……
男,本当にありがとう
嫁,いや……ドクターもいってたが、この手術の功績はむしろあなたにある。私の腕を信じて、微動だにしなかったんだからな
男,君の腕を信じる？僕は別に、君の腕を信じてたから微動だにしなかったわけじゃないよ
嫁,えっ、どういうことだ？
男,だって……僕にとって、君に狙撃されることは“人生の一部”だから。だから、緊張せず普段通りの気持ちでいられたんだ。微動だにせずにいられたんだ。たとえどんな結果になっても、僕は納得できていたと思うよ
嫁,…………！
男,どうしたの？顔が真っ赤だよ？
嫁,私としたことが、夫にハートを狙撃されてしまうなんて……まだまだ未熟だ……！
男,？
嫁,さ、さあ帰るぞ！ダッシュだ！
男,あのー、僕まだ病み上がりなんですけど……。うわぁ、遅刻遅刻！。行ってきまぁ～す！
嫁,おいっ、定期を忘れてるぞ！。仕方ない……定期入れをあの人のカバンめがけて――発射！
