モバマスより小日向美穂,たぬき
Ｐ,それはいいけど近い近い近い近い
奏,……もっと近付かないとわからないわ。もっと、あなたを近くに……
美嘉,プロデューサーっ！周子から電話来たけど、美穂の……！
奏,あ
Ｐ,あ
美嘉,なっなっなっ何してるのこんな時に！！
Ｐ,ま、待て！奏は今正気じゃないんだ！
アホ毛,……♪
美嘉,――って、アホ毛！デビルチョップ！！
Ｐ,何その技！？
奏,うﾞっ
美嘉,抜けた……！
Ｐ,待てアホ毛！こっちに来るんだ！
アホ毛,！。///
美嘉,照れてる
Ｐ,ああくそっ、待てって！
周子,おはよ！アホ毛は！？どこいったん！？
美穂,はぁ、はぁ、ふぅ……
芳乃,一歩遅かったようなのでしてー
Ｐ,三人とも！ちょうど良かった、お湯とタオルを持ってきてくれないか？
奏,……
周子,……って、奏ちゃんどうしたん？
Ｐ,頭にアホ毛を受けてしまってな……
周子,あれ刺さるもんなの！？ヤバいやん！！
美嘉,それだけじゃなくて、なんだか様子がおかしくなって……
美穂,んん……
周子,…………ほー、なんやお楽しみの最中だったってわけね
Ｐ,うぅっ視線が痛い……じゃなくて、奏がそうなった原因はやっぱアホ毛にあると思うんだが
芳乃,おおかたの事情はわかりましてー
周子,お、マジ？
芳乃,あの毛はー、美穂さんの人としての意識を司る、いわば外部記憶装置ー……
美嘉,な、なんか急に難しい話になったんだけど
芳乃,美穂さんの記憶、情動、感覚があのアホ毛にいんぷっとされておりましてー。すなわちー、アホ毛を植え付けられた者はー、美穂さんに近い感情や感覚を得るものかとー
周子,そんな寄生生物みたいな生態してたんアレ……
Ｐ,まさかと思うけど、アホ毛が本体なんてこと言わないよな？
芳乃,そこまでではありませぬがー、重要な器官であることは間違いなくー。外れて長く時が経てばー、美穂さんにも何かよからぬ影響があるものとー……
Ｐ,美穂に、悪影響……？
周子,そういやさっきから黙ってるけど、美穂ちゃ――
美穂,ぽへぁ
周子,ＩＱ溶けた顔しとる！
美穂,へぅー
美嘉,耳と尻尾が出ちゃった！？
芳乃,おそらくー、あれは狸さんの化け術の核なるものー。お早く頭に戻さねば、美穂さんの体調に著しい不調がもたらされるやもしれませぬー
美穂,ぁぅぁぅぁ
Ｐ,美穂！大丈夫か！？
美穂,ぅー
周子,こうなりゃうかうかしてられんね。あたしが捕まえてくるわ。芳乃ちゃん、サーチ頼める？
芳乃,おまかせあれー
美嘉,アタシはこの二人を介抱するね
Ｐ,俺も……
ＩＱが溶けた美穂,以下みほ
Ｐ,……しがみつかれて動けんので、頼む。尻尾がめっちゃもふもふする……
周子,うし、じゃあ行きますかね！ホンキで走るのなんて久しぶりだけど……！
アホ毛,ｽｷｽｷｽｷｱﾅﾀｶﾞｽｷｰ
周子,こらーっ！待ーちーなっつの！
アホ毛,ｿｰﾝｰﾅｰﾆｰﾐｰﾅｰｲｰﾃﾞｰ
周子,てかなんか歌っとるねんけど！
芳乃,あれもまた美穂さんの一部なればー。持ち歌を歌うも必然とー
周子,そういうもん！？
芳乃,やはりー、独自の自我を形成しておりまするー。急ぎ美穂さんに返さねばー。ほっ、ほっ、ほー。ほー…………。おちゃがほしいのでして
周子,走るの苦手すぎかーい
奏,……
美嘉,毛布をかけて……と。こっちは大丈夫そうだけど
みほ,♪
Ｐ,ハチャメチャに懐かれている
美嘉,日向ぼっこしてる時以上にゆるい顔になってるじゃん……
Ｐ,なんだろう、何か生まれて間もない小動物と似たアトモスフィアがある
美嘉,そんなまるで仔狸みたいな
みほ,ぽこー
美嘉,……言い得て妙、かも……
Ｐ,うーむ、周子と芳乃はうまくやってくれてるだろうか。気を揉んでいても仕方ないな。コーヒーでも淹れよう
みほ,やーっ、やぁあ～
Ｐ,お、おぉ……ちょっと離れるのもダメ？
みほ,ぅ～♡
美嘉,うーん……子供っぽくなっちゃっただけで、意識はちゃんとあるんだよね？。試してみよ。美穂、こっち見て。この指何本かわかる？
みほ,？
美嘉,ほら、ぴーすぴーす
みほ,はぷっ♡
美嘉,ひょえ！？
みほ,ちゅっ、ちゅっ、ちうぅ♡
美嘉,わっひゃ、ちょっ、くすぐったいってばぁ！
Ｐ,絵面が大変デンジャーですね？
美嘉,見てないで助けてよっ！もう、指なんて口に入れちゃダメ！
みほ,あもっ。～♪
Ｐ,…………
美嘉,…………
Ｐ,なんか……不謹慎かもしれないけど
美嘉,うん
Ｐ・美嘉,かわいい……
アホ毛,ﾄｵｸｰﾄｵｸｰ
周子,あーもう、無駄に速いっ！
芳乃,追いつけませぬー……
周子,お？曲がり角の向こうに誰か――
こずえ,んー……？
周子,こずえちゃん！？
アホ毛,ﾏﾀﾞﾀﾞﾒ
周子,と、とにかくナイスキャッチ！そのままこっちに――
こずえ,はむっ
周子,アカーン！！
こずえ,むしゃむしゃー
アホ毛,ﾏﾀﾞﾀﾞﾒ!ﾏﾀﾞﾀﾞﾒ!
こずえ,たぬきあじー……
周子,こずえちゃんそんなん食べちゃあかん！ペッしなさいペッ！
こずえ,ぺぅ
アホ毛,ﾄﾞｷﾄﾞｷﾄﾞｷﾑﾈｶﾞﾅﾙﾉｰ
芳乃,幼子はー、お口になんでも入れてしまうものなればー
周子,だからって野生のアホ毛食べちゃあかんよ。拾い食いとかもしないでね？。……って逃げたし！待たんかーい！！
芳乃,あちらでしてー
こずえ,おー……ばいばいー……
幸子,フフーン！今日のボクは一段とタヌカワイイですね！
小梅,たぬ？
輝子,どことなく、幸子ちゃんがたぬきっぽい……な
楓,今夜の打ち上げなんですけど、馬刺しと辛子蓮根のおいしいお店にしません？
瑞樹,あら、楓ちゃん今日は熊本料理の気分なのね
早苗,そういえばそっちに熊本の子がいたわね。なんかいいとこ教えてもらったの？
楓,そうなんです。今日はそんな気分になったもので♪
智絵里,え……私……なんだか気分がとってもたぬき……？。うさぎ……たぬき……うさぎ……たぬき……。うさぬき……？
ブリッツェン,ブモモッポコ、ブモポコ！ポコポコブモッ！
イヴ,あれぇ？ブリッツェン、いつの間にたぬき語覚えたの～？
Ｐ,ほらほらこっちだぞー！
美嘉,あんよが上手、あんよが上手っ
みほ,ぽこっ
Ｐ,よーしゴールだ！よく頑張ったなぁ！
美嘉,偉い偉い！凄いよ美穂！。あははっ、莉嘉の小さいころ思い出すかも――
奏,楽しそうね
美嘉,起きてたーッ！？
Ｐ,奏！気が付いたのか！？いつから！？
奏,この子そろそろ一人で歩けるかな？美穂ならきっとできるさとか言ってた辺りから
Ｐ,しまった！普段さっぱり縁の無い父性スイッチが入ってしまっていた！
美嘉,あ、アタシもなんか、正気失ってた気がする……
みほ,♡
奏,ところで、そろそろ説明して欲しいんだけれど……
周子,はー、はー……ぜんっぜん追いつけへんし……見失ったし……。てかやっぱ空飛ぶとかズルやんな！つくづく思うわ！
芳乃,むー……わたくしもあまり疾と
志希,にゃん
アーニャ,ミャウ？
周子,わぁびっくりした
志希,なにしてんのー？
アーニャ,なにか、スルゥチィ……事件、ですか？
周子,あー……話せば長いようで短いんやけど
志希,にゃはははははははははははははははははははははははははははは！！！
周子,ウケすぎやろ！こんな爆笑してる志希ちゃん初めて見たわ！
志希,だっだってアホ毛が飛っ、飛んっ、うふひ！不条理！最高！ひひ！
アーニャ,ンー、シキ？あんまり笑うと、ミホとアホゲがかわいそうですね？
志希,アホ毛がかわいそう！！！
アーニャ,シキっ
志希,あうち！――んにゃー、しかしえらいことになっちゃったねぇ
芳乃,どこにいるかはわかるのですがー。なにぶん、わたくし達の足では追いきれずー
周子,なんか天才的発想で解決とかできん？
志希,んー？んー。それって美穂ちゃんの一部なんでしょ？
芳乃,間違いありませぬー
志希,ひらめいた
周子,はやっ。開けていて風通しがいい場所……って、何すんの？
志希,んー。ちょい待ってねーここらへんにあった筈だから。あったあった。これを使うよん
周子,……小瓶？何の？
志希,独自製法によって調合した特濃プロデューサースメル！
周子,ぉぉぅ
志希,にゃはは、引かない引かなーい。イロイロ便利だから常備してるのだよ。まーあたしが自分で吸引キメ
周子,非合法っぽい言い方やめーや
芳乃,ふむー……。アホ毛さんは、付近を周回しておりましてー
アーニャ,シキ、どうしますか？
志希,この小瓶を、ちょっともったいないけど――。割るっ
芳乃,ほほー。これはまたー
周子,うわほんとに香ってきた
アーニャ,まるでプロデューサー、ここにいるみたい、ですね？
志希,一瓶丸ごとだもんね～
周子,なんか大体わかってきたんだけど、つまりこれで……
志希,そ。引き寄せられて来るんじゃない？
周子,でもなぁ、こんなアバウトなんで本当に……
アホ毛,ｽｷｽｷｽｷ♡
周子,来たわ
志希,おっけおっけ、次はアーニャちゃんゴー！
アーニャ,ダー！。アウッ
周子,おおぉい！？自分から刺さってどうすんのさ！？
志希,このまま経過を見守るといいよ～
アホ毛,♪。……？。！！？
周子,あ、アホ毛が……
芳乃,凍ってしまわれましてー
アーニャ,アー……やっと止まってくれた、ですね
アホ毛,
周子,さ、さすが雪の娘スネグーラチカ
アーニャ,この子は、急いでミホに返さないといけないです
周子,ただいま！
芳乃,志希さんとアーニャさんに協力していただきましてー
Ｐ,しっ。今やっと寝かしつけたとこだから
美嘉,遊ぼう遊ぼうって大変だったよー。かわいかったけどね
みほ,くー……くー……
Ｐ,いやぁ美嘉が慣れててほんと助かったわ。俺だけじゃ手に余ったろう
美嘉,当然！ま、莉嘉に比べたらずっと大人しかったし★
周子,……あのーお二人さん。あたしらアホ毛を回収しましてね？
Ｐ,アホ……
美嘉,毛……？
周子,忘れとんのかい！！
奏,目先の愉しさに耽るあまり、やがては目的すら見失ってしまう……。それも人生よね
周子,あ、奏ちゃん起きてたんだ
みほ,すぴょ……むにゃむにゃ
志希,これが今の美穂ちゃん？なんか赤ちゃん的なニオイがするー
アーニャ,ンー……これは、直接返してしまって、いいですか？
アホ毛,
芳乃,元あった場所に戻せば、自然と根付くことでしょうー
Ｐ,まっ待てっ美穂をどうするつもりだ！？殺るなら俺を殺れい！！
周子,ええいめんどくさい！そのままいったれアーニャちゃん！
アーニャ,ダヴァイッッ
みほ,ぽこッッ！！？。はぁ！あう、あ！えうう？。ふぇっ、んっく、はぁおぉぉおぉっ？？。あっいっいっ、ゃ、んぃいぃいいいい～っ
美穂,――はうあ！！
芳乃,戻りましてー
周子,よっしゃやった！
美穂,あれ？えっと私、急に頭がぽわーってなって……。プロデューサーさんや美嘉ちゃんと一緒に……？。…………！！！！
周子,あ、これ全部覚えてたパティーン……
芳乃,そのようでー
美穂,！！！？い、今まで！？私！？
美嘉,美穂落ち着いて！もう大丈夫だから！
Ｐ,そうだぞ、まずは深呼吸だ。息を大きく吸って――
奏,ちなみにその二人、画像や動画をたくさん撮ってたわよ
Ｐ・美嘉,ぎくっ
美穂,け、消してください～～～～～～っ！！
奏,……一件落着ってことでいいのかしら？
周子,せやな
アーニャ,イナタヴィードナヤ・サバーカ……
芳乃,むー？稲がどうかしましてー？
アーニャ,アー、タヌキのことですね？日本のタヌキ、とても不思議で、カワイイです♪
志希,それで奏ちゃんはここで何してたのー？
奏,私は別に。事の経緯を見守っていただけよ
周子,そういえば奏ちゃんも災難だったっぽいねぇ。もう大丈夫なん？
奏,……………………。ええ。よくあることよ、これくらいは
周子,あっ耳赤っ
芳乃,これはー、あまり深く聞いてはならぬことでしょうー
美穂,ぽこ
周子,美穂ちゃーん。お布団にくるまってないで出てきなー
菜帆,あらぁ、お饅頭さんみたいです～
美穂,うぅ……
響子,晩ご飯は美穂ちゃんの好きな太平燕ですよー？
美穂,……
周子,寄ってきた！
芳乃,菜帆さんのご実家より、誉の陣太鼓を送って頂いておりましてー
美穂,ん……
響子,もう少し！
志希,ねーねー仔狸モードの時どんなだった？。二人にいっぱい甘えたー？シキちゃん所感が聞きたい！
美穂,ぽこん！
周子,ああっしまった離れた！
アーニャ,シキっ
志希,むにょぁっ
美穂,その後、私は観念してお布団から出てきました。寮のみんなや、遊びに来た志希ちゃんやアーニャちゃんとご飯を食べて……。で、でもしばらくは、プロデューサーさんと美嘉ちゃんの顔を見られませんでした……
ブリッツェン,ブモポコ？ポコポコッブモッ。ブモポコーッ！
野生の狸,ポココ！ポコポーン！！
イヴ,ブリッツェン？たぬきさんとお友達になったの～？
こずえ,たぬきあじー……
美嘉,ふぅ……アタシとしたことが、すっかり魅了されちゃうなんて……。ああでも、かわいかったなぁあの美穂。できればもう一回……。って、いけないいけない。――ただいまー
莉嘉,お姉ちゃんおかえりーっ！
美嘉,わわっと。よしよし、ただいま莉嘉
莉嘉,聞いて聞いて！今日ね学校でね、数学の小テストが新しいシールでカブトムシのサッカー！
美嘉,何言ってんのかわかんないし！一回まとめなって！。……にしても……
莉嘉,どしたのお姉ちゃん？
美嘉,……うん、可愛い。やっぱりアタシの妹は莉嘉しかいない！
莉嘉,？？？よくわかんないケド、やったー！
城ヶ崎母,莉嘉ー？アンタ郵便来てたわよー？
莉嘉,って、ヤバッ！わかったー！お姉ちゃん後でねっ！
美嘉,学校のお知らせとかだったらちゃんとママにも見せなよーっ！アンタすぐ後回しにするから！
莉嘉,はーい！
美嘉,んー？何あんなに慌ててたんだろ……
莉嘉,……。……！。ふっふっふ……とうとうこの時が来たっ……！
