友紀,幸子ちゃん誕生日おめでとー！
幸子,あー、目も鼻も赤くなっちゃいました…。まさかあんな感動大作だったなんて、泰葉さんの演技力を侮ってましたね…。……うん、これでよしと。プロデューサーさんの前でみっともない顔は見せられませんからね！。それにしても今日のプロデューサーさん、どうも何か様子がおかしいんですよねぇ…全然おちょくってこないし。…。も、物足りないとか思ってませんからね！？。お待たせしました！天の道を往き総てを司るカワイイボクが戻ってきましたよ！
Ｐ,お帰り。あ、ちょっといいか？
幸子,はい？
Ｐ,危ないから動くなよ？
幸子,んぶっ
Ｐ,これでよし、と。悪い、ちょっと涙が残ってたからさ
幸子,…
Ｐ,さてと、次はどうする？ショッピングしたいんだったっけ？
幸子,…
Ｐ,いたっ。いや痛くないけど。えっ突然のパンチ何なん？
幸子,何なんですか今日はっ何なんですか今日はっ
Ｐ,痛い痛いジワジワ痛い。本当に何なん？何なんなん？
幸子,フーン！ほら行きますよプロデューサーさん！時間が勿体ないです！
Ｐ,何なんなんなん！？
幸子,休日だけあって随分混んでますねえ
Ｐ,凄い人混みだな。はぐれないように気をつけないとな
幸子,そうですねえ。はぐれないように気を付けないといけませんねぇ
Ｐ,こんな人混みの中はぐれたら大変だもんなぁ
幸子,こんな人混みの中はぐれたら大変ですねぇ
Ｐ,…お手を繋いでも宜しいでしょうか幸子さんや
幸子,しかたないですね。ボクは優しいので特別に許可してあげますよ。プロデューサーさんプロデューサーさん！こっちとこっち、どっちがボクに似合うと思いますか？
Ｐ,どちらも良くお似合いになるかと思います
幸子,フフーン。プロデューサーさんプロデューサーさん！右と左、どっちの方がボクのカワイサを引き立ててくれると思いますか？
Ｐ,どちらも幸子という現世に舞い降りた天使を引き立てるに相応しいかと思います
幸子,フフーン！。プロデューサーさんプロデューサーさん！赤と青でしたらどっちがボクらしいと思いますか？
Ｐ,それだったらこっちの白の方が組み合わせ的に幸子のイメージに合うんじゃあないかと思います
幸子,フフーン♪。プロデューサーさんプロデューサーさん！チョコバナナカスタードとトロピカルミックスクリームどっちがボクにピッタリだと思いますか？
Ｐ,両方買って半分こすれば万事解決かと思います
幸子,フフフフーン♪。次はですねえ…
Ｐ,買った荷物で前が見えねえ
幸子,あ、向こうのお店なんて良い感じですね！ほらプロデューサーさん行きますよ！
Ｐ,女の子の買い物には黙って付き合うのが紳士のルールだろう
幸子,プロデューサーさんプロデューサーさん！ズンドコベロンチョとケルテペッキョシルトリンゲロンどっちがボクっぽいと思いますか？
Ｐ,まずは両者の詳細のご説明からお願い頂きたいと思います。流石に荷物がエグい量になってきたのでサービスセンターで配送頼んだでごぜーますよ
幸子,誰に話しかけてるんですか？ほら、次行きますよ次
Ｐ,はいはい行くから引っ張るな引っ張るな。もう随分買い込んだけどまだ欲しいのか？
幸子,だって仕方ないじゃないですか。ボクはどんなものでも似合ってしまうんですから。カワイイもここまでくると罪ですよね！
Ｐ,さっきから自分でお金出してるけどいいのか？誕生日なのに
幸子,フフーン、プロデューサーさんには後々しっかり買って貰いますから安心してください
Ｐ,せめて６桁まででお願い致します
幸子,あっ！向こうで何かイベントやってるみたいですよ。行ってみましょう！
Ｐ,だから引っ張らなくてもちゃんと付いていくから。付いていくから！。ただの夢見りあむサイン会だったな
幸子,ただの夢見りあむさんサイン会でしたね。一応貰ってきましたけど
Ｐ,念のため横ハネぺったんこにしておいて良かったな。こんなところに幸子がいるなんてバレたら大騒ぎだもんな
幸子,ボクの存在証明はこの横ハネなんですか！？
Ｐ,ほら動くな、今元に戻してやるから
幸子,んぅ
Ｐ,これでよしと。うん、いつもの幸子だ
幸子,言っておきますけどボクの髪にこんな気軽に触れるなんて本来なら感涙ものの名誉なんですからね？
Ｐ,そうだな、幸子の髪綺麗だもんな
幸子,あっあっ
Ｐ,お、あっちにファンシーグッズショップがあるぞ。見に行ってみよう
幸子,…。本当に何なんですか今日は！。プロデューサーさん
Ｐ,見ろ幸子。ヘアピンあるぞヘアピン。こんなに沢山
幸子,えっ？あ、本当ですね。うわぁ凄い種類豊富
Ｐ,これなんてどうだ？あ、でも持ってるやつと若干被るか
幸子,そうですか？ボクこんなタイプ持ってましたっけ？
Ｐ,ほら、今の部署に異動してから初めてライブバトルで勝った時の記念に幸子が買ったやつ
幸子,えぇ～…よく覚えてますねそんな前の事
Ｐ,大きなライブとかイベントの時にいつも付けてるから勝負服ならぬ勝負ヘアピンなのかと思ってたけど、違うのか？
幸子,違いませんけども。って、そうじゃなくてプロデューサーさん今日は何だかちょっとおかしくないですか？
Ｐ,そうか？ほら、普段通りのジェントルマンじゃないか？
幸子,呼吸をするかのように人をおちょくり倒すドＳ社畜を世間様は紳士なんて呼びませんよ
Ｐ,幸子の気のせいじゃないか？
幸子,……何を企んでいるんです？
Ｐ,何も企んでない何も企んでない
幸子,本当ですか？絶対ですか？
Ｐ,埼玉県民、１個ダケシカ嘘ツカナイ
幸子,……あ、もしもしちひろさんですか？プロデューサーさん今日は何を企ててるんです？
Ｐ,ちょ、おま
幸子,誕生日だから今日一日からかったりおちょくったりしないようにしてた？
Ｐ,はい…
幸子,はぁ…これでもかってくらいしょうもない話でしたね
Ｐ,やっといて何だけど俺もそう思う
幸子,道理で今日はずっと様子がおかしいと思いましたよ
Ｐ,そんなにおかしかったか？普通にしてた筈なんだけど
幸子,普通にお祝いされているのが違和感凄いです
Ｐ,そこに違和感覚えちゃう幸子に問題なくない？。ちひろさんもお誕生日様にいけずしたら瞬獄どすえ
幸子,主に誰が言ったのか隠す素振りすら無いですね
Ｐ,ハハッ、幸子は愛されてるなぁ。もしくはよっぽど俺の幸子に対する扱い方が信用されていないか
幸子,ボクがあらゆる生命体から愛されているのは当然の事ですから後者じゃないですか？。とにかく、事情は分かりましたし普段通りにしてください。はっちゃけてないプロデューサーさんなんてプロデューサーさんじゃないです
Ｐ,日頃の俺ってどう思われてんの！？
幸子,意地悪で子供っぽくて目が死んでてパピコ割るのが下手な人外社畜
Ｐ,おい俺にだって傷つく心はあるんだぞ
幸子,と言うか、そういう人だっていうのはずっと前から知ってるんですから今更変に取り繕われたりする方が迷惑です！
Ｐ,えー…幸子のバースデーだから張り切って普段の２割増し紳士な振る舞いしてたつもりなのに
幸子,似合わない事しないでくださいよ。ドッキリじゃなければ変なものでも食べたのかとか頭打ったのかとか心配してたんですからね？
Ｐ,ハハッ、不思議と大きな病気や怪我とは無縁なんだよなぁ
幸子,本当にしょうもない事でしたね…はい、じゃあここからはいつも通り平常運転でお願いしますね？
Ｐ,ハァァッピィーバースデー幸子ォゥ！神の祝福を受け取れィ！
幸子,前言撤回ぃ！！
りあむ,あ゛～…やっと終わった…ザコメンタルのクズがサイン会とかどんな拷問だよ誰だよ考えたのＰサマだよ。……。…疲れてるのかな。宙を舞う幸子ちゃんが見えるや。アハハ頭パーになっちゃったかな元々だよ
Ｐ,と言う訳で改めて
幸子,はい
Ｐ,誕生日おめでとう幸子
幸子,フフーン！ありがとうございます。さぁさぁ思う存分祝ってください！
Ｐ,おめ
幸子,淡泊っ
Ｐ,嘘だよ冗談だよ祝え！過去と未来をしろしめすリアクション芸の王者！
幸子,腕白っ！
Ｐ,幸子は軽いなぁ。もっと肉付けたまえ肉。よぉし今夜は焼肉にするかぁ！
幸子,別に構いませんけど取り合えず降ろしてくれませんかボクがいくらカワイイからってこの歳で高い高いされてるのは流石に！
Ｐ,あ、ちょっとスイマセーンお誕生日の輿水幸子が通りますよー
幸子,悪目立ちぃ！！ああすいませんすいませんカワイイボクが通りますよ
Ｐ,で、これからどうする？どこか行きたいとこあるか？奏と美波が主演してるサメ映画観るか？
幸子,映画はさっき行きましたしプロデューサーさん単に千夜さんがサメに食べられるシーンで笑いたいだけでしょ
Ｐ,試写会では大爆笑させて頂きました
幸子,相変わらず愛が歪んでいるというか何と言うか。って言うかそろそろ本当に降ろしてもらえませんか正直ちょっと楽しいですけど周りの好奇の目が
Ｐ,そう言えば何で俺幸子持ち上げてるん？
幸子,知りませんよ！
Ｐ,そう言えば何で俺今日は幸子とお出掛けしてるんだっけ
幸子,アイアム！バースデー！カワイイ！
Ｐ,はしゃいだらちょっと小腹が空いたな。タピオカ奢ってあげよう
幸子,平常運転になった途端水を得た櫂さんの如く
Ｐ,いやぁ、だってずっと幸子おちょくり倒したくてウズウズしてたからさ
幸子,ボクはそれを聞いて喜べばいいんですか怒ればいいんですか
Ｐ,本当に焼き肉にしちゃったけど良かったのか？幸子の事だからもっとムーディーでアダルティーな店に行きたがると思ってたけど
幸子,何ですかその限りなくフワッとしたイメージ
Ｐ,いや打ち上げにご飯に連れていくとカワイイボクとのご飯にファミレスですか
幸子,分かっているならそういうのは本人に向かって言わないのがルールではないですか！
Ｐ,レジでガム貰ったけどいる？
幸子,ミント味だから押し付けたいだけですよね
Ｐ,うん
幸子,凄まじくどうでもいい時にだけ素直
Ｐ,さてと…満腹になったしそろそろ良い時間だけどどうする？寮に送ろうか？
幸子,もうそんな時間ですか？…なんだ夜はまだこれからじゃないですか
Ｐ,こらこら１４歳はもうお休みの時間だろ
幸子,プロデューサーさんはボクくらいのお年頃こんな時間にお休みしてたんですか？
Ｐ,夜はこれからだろ何言ってんだお前
幸子,説得力という言葉をご存じですか？
Ｐ,…仕方ない、お誕生日様特権で今日だけちょっぴり夜更かしさせてあげよう
幸子,プロデューサーさんは一体ボクの何なんですか…プロデューサーでしたね
Ｐ,お腹一杯だし腹ごなしに少し歩くか。…おっ、トロピカルデラックスジャンボ三村パフェだってさ
幸子,数秒前のお腹一杯発言は何処へ
Ｐ,あ、レジで飴も貰ったけどいる？
幸子,メキシカンチョリソー味だから押し付けたいだけですよね
Ｐ,うん
幸子,正直。フフーン、夜景を見下ろせる観覧車なんてプロデューサーさんにしてはロマンティックな事をしますねぇ
Ｐ,いやデッカい観覧車が近くにあるの見えてたし
幸子,折角褒めて上げてるのに台無しです！
Ｐ,ハッハッ、しかし思わぬところで遊園地要素クリア出来たな
幸子,えっ？もちろん今日とは別に遊園地には連れて行って貰いますよ？
Ｐ,アッハイ
幸子,それにしても良い眺めですねえ。見てくださいライトアップされた街並がまるでボクを祝っているかのようです！
Ｐ,こらこらあんまり揺らすなっつの
幸子,何ですか、これくらいの高さで怖がってるんですか情けない人ですね
Ｐ,お前はスカイダイビングの達人だから平気だろうけどもよ
幸子,誰かさんのお陰ですありがとうございます
Ｐ,何度も言ったけど嫌なら断ってくれてもいいんだぞ？
幸子,何度も言いましたけど本当にボクが嫌な仕事はそもそも取って来ないじゃないですか
Ｐ,……こうして段々とロケの内容が苛酷になっていく訳か
幸子,仕方ありませんよね！ボクは何をしたってカワイイんですから！
Ｐ,はいはいカワイイカワイイ
幸子,ちょっと！雑すぎやしませんか！？
Ｐ,はいはいカワウソカワウソ
幸子,フギャー！
Ｐ,だから揺らすな怖い！！
幸子,はいリテイク！
Ｐ,…実はうちのアシスタントが不治の病に侵されていてね…輿水幸子を今週中にスカウト出来ないと全身の毛穴という毛穴から紫色の液体を噴射して絶命してしまうんだ
幸子,ボクをスカウトした時のセリフ！戻りすぎぃ！！。おぉ…流石に頂上まで来ると壮観ですね。地上の人たちがごま塩みたいです
Ｐ,幸子
幸子,はい？
Ｐ,いつもありがとうな
幸子,……はい？何ですか藪から棒に
Ｐ,何だかんだで引き受けてくれる幸子に甘えていつも珍妙な仕事持ってきてるのに嫌な顔…はするか。でもいつも二つ返事で引き受けてくれて感謝してる
幸子,え、ですからいきなり何を…
Ｐ,カワイイカワイイってただ言ってるだけじゃなくてちゃんと相応の努力を欠かさないのも分かってるし最近は言ってきた新人の事も色々気にかけてくれてるのも知ってる
幸子,ちょ…も、もう通常運転にしてくださいって言ったじゃないですか！
Ｐ,幸子が俺の担当アイドルでいてくれて本当に良かったと思ってる。ありがとうな、幸子
幸子,…
Ｐ,これからも、もしかしたら色々変な仕事持ってきたりしちゃうかもしれないけど。この先も一緒に頑張ってくれるか？。…。……？。幸子？もしもし幸子ー？
幸子,……
Ｐ,おーい幸子さーん。さっちゃーん？竹達さん？
幸子,…ヒグッ、ぐすっ…えうぅ……
Ｐ,何で号泣！？
幸子,ヒック…プロデューサーさん……死んじゃうんですか…？…もう、治らないんですか…
Ｐ,健康そのものだよ！？
幸子,じゃあ事務所の経営が危ないとか…みんなバラバラになっちゃうんですか…？もう一緒に、お仕事できないんですか…？
Ｐ,そんな訳無いしそんな事には絶対させねえよ！？
幸子,だ、だって…いきなりプロデューサーさんが何の捻りも無く感謝の気持ちを伝えたりしてきたからぁ！
Ｐ,普段の俺は一体どんな奴だと思われてるんだよぉ！
幸子,…
Ｐ,泣き止んだ？
幸子,…泣いてません。カワイイボクに涙は似合いません。ボクは常に笑顔なんです
Ｐ,昼間映画で号泣してたよね
幸子,気のせいです目の錯覚です幻覚です白昼夢です鳳凰幻魔拳です
Ｐ,そっか気のせいか
幸子,そうです
Ｐ,じゃあそろそろ膝から降りてくれない？
幸子,気のせいです
Ｐ,そっか気のせいか
幸子,そうです
Ｐ,…。えっと、その…ごめん？
幸子,普段通りに接してくださいって言ったじゃないですかぁ…もぉ
Ｐ,思った通りに日ごろの感謝の気持ちを言葉に出してみたつもりだったんだけど
幸子,突然改めて言われたりしたら何かのフラグかと思うじゃないですか
Ｐ,まぁ、ビックリさせちゃったみたいだしゴメン
幸子,…別にわざわざ改まって言われなくても分かってますし
Ｐ,言わなくても分かって貰えてるなんていうのは甘えだよ。こういうのはちゃんと口に出さないと
幸子,プロデューサーの癖に、プロデューサーの癖に
Ｐ,ハッハッさっきからこそばゆい
幸子,よくも世界を照らすカワイイの権化であるボクを泣かせてくれましたね。この、このっ
Ｐ,やっぱり泣いてんじゃねーか
幸子,輿水ファング！
Ｐ,喉笛はやめ…っ！
幸子,…。…ボクだって
Ｐ,ん？
幸子,ボクだってもちろん感謝してるに決まってるじゃないですか。そりゃあプロデューサーさんはいつもいっつも意地悪だしからかってくるし意地悪だし意地悪ですけど
Ｐ,３度も言うたな
幸子,でも、ちゃんとボクの事を真剣に考えてくれているのも知ってますしボクの為に頑張ってくれているのも分かってます。えっと、だからその…ボクの方こそ、プロデューサーさんがボクのプロデューサーで良かったと思っています。いつもありがとうございます。それと…これからもよろしくお願いします
Ｐ,…
幸子,…あ、あの何か言って下さい恥ずかしいじゃないですか！
Ｐ,……
幸子,ぷ、プロデューサーさん？
Ｐ,
幸子,漫画のような涙っ！
Ｐ,グスッ…突然何なん…？もしかして俺余命僅かなん…？
幸子,そんな訳無いでしょう！もしそうだとしても絶対死なせませんよ！
Ｐ,…娘の結婚式で感謝の手紙読まれた時ってこんな気分なのかな
幸子,も、もう忘れてください！今のは夢！そう夢です幻です鳳凰幻魔拳です！
Ｐ,うちの幸子はいつから聖闘士になったん？
幸子,はいおしまい！もうこの話は終わりです！
Ｐ,幸子
幸子,何ですか！
Ｐ,明日からも一緒に頑張ろうな
幸子,フギャーッ！。…。…な、何か喋ってくださいよ
Ｐ,火星で発見されたパンドラボックスが引き起こしたスカイウォールの惨劇から十年。我が国は東都、西都、風都の三つに分かれ…
幸子,誰がＯＰナレーションしろと！。あぁもう！途中まで何か良い感じだったのにすっかり台無しですね！
Ｐ,幸子の希望通り平常運転でごぜーますよ
幸子,確かにそう言いましたけどそれはそれと言いますか何と言いますか…まぁ、別にプロデューサーさんにその辺の機微を求めるだけ無駄ですね
Ｐ,ハハッよく分かんないけど酷ぇ言われよう
幸子,さぁ、もう行きましょうか！まだボクのカワイイ・ザ・バースデーは終わっていませんよ！
Ｐ,うん、確かにまだ日付は変わってないけど…でも行くって
幸子,ほらほら時間が勿体ないです！まだまだ行きたいところはあるんですから！
Ｐ,いや、あの幸子ここ観覧車…
幸子,え？
Ｐ,開けやがったコイツ！
幸子,えっ？
Ｐ,ちょっ
幸子,ひゅーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーん！！
Ｐ,幸子ォーーーーーーーーーーーーーーーーッ！！！！
幸子,せいっ！
Ｐ,グェー
アッキー,終わりだ
優,どうしたのアッキー。幸子ちゃんとＰくんが空から降ってきたような顔して
…嘘です９代目シンデレラガールはよしのんです,予言
