島村卯月,お、おはようございますっ！
卯月,さっきまで私とお話してたんですけど、そしたら突然こうなっちゃったんです！。あの、何がどうなってるのか、さっぱりで
響子,お話……。卯月ちゃん。そのお話の中で、プロデューサーさんに何を言いましたか？
卯月,え……？それは今までの感謝とか、これからもよろしくお願いしますとか……。特に変なことを言ったつもりはないんですけど……
響子,これは恐らく――卯月ちゃんのかけたその言葉が天使のように尊過ぎて、プロデューサーさんが浄化されているんです！
卯月,浄化っ！？ええっ！？
響子,このままだとプロデューサーさん、完全に浄化され切って、消えちゃいますっ！
卯月,そ、そんなぁ！。嫌！そんなの嫌ですよプロデューサーさん！。響子ちゃん……！私……どうしたら……！
響子,そ、そうですね……。もしかしたら――。尊過ぎる言葉をかけられたのが原因なら――その逆のことをやれば……
卯月,ぎゃ、逆……？
響子,つまり、卯月ちゃんの尊さを相殺できるほどの――ヨゴレ系のことを言えば、浄化を止められるかもしれません！
卯月,ヨゴレ！？ですか！？
響子,さあ、卯月ちゃんはやく！もう時間がありません！
卯月,わ、分かりました！島村卯月、頑張りますっ！。ぷ、プロデューサーさんっ――！！。プロデューサーさんのちぢれ毛は私のお守りですっ！！
Ｐ,え、卯月、それはどういう……
響子,やった……！
卯月,や、やりました……やりましたよ響子ちゃん！
響子,はい。すごいです卯月ちゃん。成功ですね
卯月,はぁー……！もう一時はどうなるかと……。ありがとう響子ちゃん。響子ちゃんのおかげです
響子,そ、そんな！卯月ちゃんが頑張ったからですよ♪
Ｐ,あの、卯月……？。今のは、どういう――
卯月,あはは……！なんだかこんなビックリに比べたら、今日の収録はへっちゃらに思えてきちゃったなぁ
響子,そっか！卯月ちゃん、今日はテレビ収録でしたよね。良かったら私、練習相手になりますよ！本番で話す内容とか、改めて整理しておきませんか？
卯月,わあ、本当ですか！ぜひお願いしますっ！
響子,じゃあ、向こうのレッスンルームを使いましょうか
Ｐ,う、卯月、あのな――
卯月,プロデューサーさん！今日の収録、いいものになるよう頑張りますね！。えへへ！ぶいっ！！
Ｐ,いや、卯月、あの――
小日向美穂,ふぅ……。番組収録、無事に終わってよかったねぇ……
輿水幸子,久しぶりの歌番組でしたからね！ボクのカワイイ歌声はやっぱりああいう場でこそ活かさないと！
美穂,でも緊張したよぉ。うまく歌えてたかな……
幸子,もう、美穂さん。あれくらいで何を言っているんですか。しっかりしてください。ボクとしてはむしろ、カワイイアピールをもっとしておけばよかったと思ってるくらいです
美穂,さ、さすが……！幸子ちゃんはすごいなぁ……
幸子,フフーン！当然です！。――ですから美穂さん。美穂さんだって、そんなカワイくてすごい輿水幸子と肩を並べて出演するくらいなんですから――もっと自信を持ってください。そんなことで自分の魅力を抑えてしまったら、自分のカワイイに失礼ですよ
美穂,幸子ちゃん……！。ありがとう。ホント、幸子ちゃんはすごいなぁ。可愛くって、すごくって――優しいね
幸子,ふ、フフーン！まあボクの魅力は留まるところを知りませんからね///。もはや天使と言っても過言ではありませんから！。もっともっと褒めてくれてもいいんですよ！
美穂,ふふっ♪
Ｐ,美穂、幸子。お疲れさま
美穂,あっ、プロデューサーさん！。ど、どうでしたか……？。私、ちゃんとできてましたか……？
Ｐ,そうだな。最初は目に見えて緊張してたけど……。でも、後半――特に歌い始めてからはガラッと変わったな。とても輝いていた。美穂の魅力は十分に伝わったと思うぞ
美穂,あ、ありがとうございますっ！。失敗しないか、上手くいくか……すっごく不安でしたけど……でもそんな風に思ってたら、同時に思い出したんです。失敗しないように、上手くできるように――。楽しめるように、いっぱい練習したなって。トレーナーさんやアイドルのみんなや――。プロデューサーさんがちゃんといてくれたなって。トレーナーさんは厳しかったけれど、ダメなとこや直すべきとこをちゃんと言ってくれたし――。仲間のみんなは一緒に笑ってくれて、支えてくれて、元気をくれた。そしてプロデューサーさんは、こんな私をいつでも信じていてくれますから。いつも、どんな舞台の前でも緊張はしちゃうけど――いつも、どんな舞台の前だって、私はたくさんの人たちに送り出してもらっているんだなって……。そう考えたら、すごく力が湧いてきたんです。縮こまってなんていられない。私はこんなに支えられているし、助けてもらってる。今、そんな素敵な場所にいるんだって。だからそれを歌声として――支えてくれたみんなに感謝として、応援してくれるファンの人たちに喜びとして――。歌に乗せて伝えたいって。そう思って頑張りました♪
Ｐ,……美穂
美穂,あっ、な、なんだか大げさでしたね……！///。緊張が解けて、変なテンションになっちゃってるのかも……！
Ｐ,…………天使
美穂,へっ！？
Ｐ,美穂……天使……
美穂,あっ、あの！天使だなんてそんな///
幸子,――ちょっと、プロデューサーさん！。美穂さんが可愛かったのは認めてあげますが、ここにカワイイカワイイ輿水幸子がいることを忘れてもらっては困りますね！。さあ、ボクのことも思う存分褒めちぎってくれていいんですよ！
Ｐ,天使……ミホエル……
幸子,ちょっと、聞いてますかっ！？
美穂,待って幸子ちゃん。プロデューサーさんの様子……なんだかおかしくないですか……？
幸子,え？。ぷ、プロデューサーさん！？なんだか薄くなっていってませんか……？。向こう側が透けて見えてるんですが……
美穂,な、何が起こってるの……！？
卯月,あ、二人とも。お疲れさまです――って、わあ！？
美穂,あ、卯月ちゃん！
卯月,プロデューサーさん、また消えかかってるっ！？
幸子,また！？前にもあったんですか！？
美穂,卯月ちゃん、何か知ってるの？
卯月,――美穂ちゃん。こうなる前、プロデューサーさんとお話してたんじゃないですか？
美穂,えっ、うん……。今日の収録について、私なりの想いみたいなことを……
卯月,多分、そこで美穂ちゃんが言った内容が天使すぎて、それでプロデューサーさんが浄化されちゃってるんです！
美穂,て、天使過ぎて！？
幸子,浄化！？。いやいや待ってください！そういうのってあくまで比喩的なものですよね！？。少なくとも物理的に浄化されるなんて――
美穂,で、でも実際にプロデューサーさん、消えかかってるし……
卯月,このままじゃプロデューサーさん、跡形もなく消滅しちゃいます！
美穂,ええっ！？。そんな……私の……。私のせいで……！。うぅ……
卯月,美穂ちゃん。大丈夫。まだ手はあります！
幸子,卯月さん、それって……？
卯月,プロデューサーさんを浄化している尊さをその逆――ヨゴレ系のことを言って打ち消すんです！
幸子,はいっ！？
美穂,よ、ヨゴレ……？
幸子,な、何言ってるんですか卯月さん！。ボクたちはアイドルなんですよ！？よ、ヨゴレ系のことなんて言えるわけ――
美穂,…………
幸子,み、美穂さん……？
美穂,やるよ、私
幸子,ええ！？いやでも――
美穂,だってまだ、伝えきれてないから。これまでの感謝も、これからの感謝だって――。この想いは絶対、伝えたいから――！！。プロデューサーさん！
幸子,ちょっ――
美穂,プロデューサーさんの机の角、いつもお世話になってますっ！！
幸子,！？///
Ｐ,えっ、美穂、それってどういう……
幸子,！？
美穂,やっ、た……？。う、卯月ちゃん……、わ、私……！
卯月,はい！プロデューサーさん元通りです！
美穂,よかったぁ！良かったよぉ……！
Ｐ,あ、あの、美穂……？
幸子,み、美穂さん……あの……///
卯月,って、美穂ちゃん。そろそろ時間じゃない？
美穂,そ、そうでした！今日このあとは卯月ちゃんとラジオ出演だよね。幸子ちゃん、今日はありがとう！。緊張もしたけど……でも共演できて楽しかったよ！
幸子,い、いえ、それよりも――
美穂,あっ、プロデューサーさん。今日の幸子ちゃん、すっごく素敵でしたから。いっぱい褒めてあげてくださいねっ！
Ｐ,あー、ええと、美穂――
美穂,それじゃあ行ってきますっ♪
幸子,あの、美穂さん――
Ｐ,お、おーい、美穂――。あー、うん……。美穂にはあとで話を聞くとして……。幸子も、今日は一段と可愛かったぞ！
幸子,えっ……いやあの……
Ｐ,幸子は自分のアピールするところを自覚してるからな！。伊達にいつもカワイイと自称してないな
幸子,い、いえ、あの、そんなことは……
Ｐ,輝いて――まさに天使だったな！
幸子,！？。い、いや！何を言ってるんですか！？。天使なんてそんなわけないじゃないですかっ！！
Ｐ,なんだ？珍しく謙遜なんてして……。心配しなくても、もうスカイダイビングなんてさせないって。いやー、お前は歌声や一つ一つの仕草に可愛さが詰まって――
幸子,いやいやいや！そんなことまったくないですから！。これっぽっちもボクは天使とかじゃないですからっ！！
Ｐ,特に最後の感情を込めてるところには、俺も引き込まれ――
幸子,やめてくださいやめてください！！。ボクはヨゴレ系なんて絶対言いませんからっ――！！
響子,お疲れさまでーす
櫻井桃華,あら、響子さん。お疲れさまですわ
響子,お疲れさま、桃華ちゃん。あれ――ずいぶんいっぱい本を広げてるね？。えっと、食べさせ盛りのためのレシピ集コンプリートブック、あの人の胃袋に詰める！厳選メニュー大全アルティマニア……。大丈夫。ワッホイ中の料理本だよ。……？
桃華,ええ。実はわたくし、ちょっとお料理にチャレンジしようと思いまして。その勉強中ですわ
響子,わぁ、素敵ですね！。あ、何か私にできることがあれば言ってください。味見とかはもちろんですし……ちょっとしたアドバイスならできると思いますから
桃華,さすが、頼もしいお言葉ですわね
響子,桃華ちゃんの料理かぁ……！事務所のみんなも喜ぶと思いますし――。プロデューサーさんに作ってあげるのもいいですね！
桃華,もう、響子さんったら……。まだまだ勉強し始めたばかりですのに、気が早いですわ。……でも、そうですわね。このところのプロデューサーちゃま、ドリンク類しか口にしているところを見ませんし――何か作って差し上げるのはいいアイデアですわ。わたくしたちのプロデューサーとして、もっと栄養を摂っていただかないと……
響子,やっぱり桃華ちゃんもそう思いますよね！。私もこの前聞いたら、朝はテキトーに冷蔵庫のものにかぶりついてきたなんて言っていて……。お仕事大変なのは分かりますけど、もっとちゃんとした食生活を送ってほしいなぁって。あんなにドリンクばかりじゃ胃が弱っちゃうし……絶対、あとでツケが回ってきますから
桃華,これはわたしくも、早々にお料理を身に付ける必要があるかもしれませんわね
響子,――でも、どうしてお料理を始めようと思ったんですか？。何かきっかけでも？
桃華,きっかけと言うなら――。響子さん、あなたですわ
響子,わ、私……？
桃華,この前――我が家のお庭で、アルバム収録の打ち上げをしましたでしょう？
響子,はい。ガーデンキッチンとか、キャンプファイヤーとか……楽しかったですよね♪
桃華,あの時の、響子さんがテキパキと色々なお料理を作っていく様子に、わたくし感動したんですの
響子,ええっ！？か、感動だなんて……大げさだよー///
桃華,あら、謙遜なさらないで。あのガーデンキッチンも並べられていた食材も、わたくしにとっては見慣れたものでしたけれど――それらが響子さんの手で次々とお料理へ変わっていく様は素晴らしいものでした
響子,あ、あはは///あ、ありがとうございます……！
桃華,メイド服姿はとても様になっていましたけれど――。手際のよさ、細やかな気配り――服装だけでなくその立ち居振る舞いまで、櫻井家のメイドと遜色ないものでしたわ。わたくしのほうからもお聞きしたいです。響子さんのあのような所作や――何よりそのまごころはどのようにして育まれたのか
響子,そ、そんな！別に特別なことは何もないんです……。お料理もお掃除もお洗濯だって、私が好きで、楽しくてやっている部分がおっきいし。失敗しちゃったことだって何回もあるし……、張り切って空回っちゃうのなんて今もだし……。でも、例えば料理を食べてもらって、おいしいって言ってもらったり……、部屋をきれいに整えて、ありがとうって言ってもらえるのは、やっぱり嬉しくて……。――そう。嬉しいから、なんです。本当は私、桃華ちゃんが感動してくれるようないい子じゃないんですよ？。誰かが、何かに取り組むためや、挑戦するために積み重ねてきたもの。努力や経験や感動――原動力って言えるもの。そんな原動力が、私のお料理やご奉仕で、ちょっとでも大きくなってくれたらいいなって……、そう思ってるんです。もちろん、無償じゃないですよ？ちゃんとお返しも期待しちゃうんです。ご飯を食べて、美味しいって笑ってくれる人の顔は美しくて――。綺麗にして、気持ちいいって喜んでもらえるのは気分がいいから。そんな素敵なお返しをしてもらえるのが私は嬉しいんです。――そう考えると、アイドルってお仕事は案外、私に向いていたのかもしれませんね。頑張ってアイドルとして成長して――私は、大切な人たちを頑張ってねって送り出せるようになりたい。たとえ挑戦する時はひとりでも、取り組むときは独りでも――でも、ここまでの道はひとりじゃなかったってそう思って臨めるようになってほしい。そういう形で寄り添い、支えたい。そして、やりきって、帰ってきたら――。今度は頑張ったねって迎えてあげられる。そんな人になりたいって思ってるんです。――なんて、あはは……///。ご、ごめんねっ！？なんだか語っちゃって……！
桃華,いいえ。とてもよいお話でした。誰かを優しく支え、暖かく包む――だからこそ響子さんは強いのでしょう
響子,え、ええっ……！？桃華ちゃんってば、だから大げさ――
桃華,ねえ、プロデューサーちゃまもそう思いませんこと？
響子,へっ？。プロデューサーちゃまって――
Ｐ,………………
響子,はぅわっ！？。ぷ、プロデューサーさんっ！？いつの間に！？。あああ、あの、これは――
Ｐ,…………尊い
響子,はっ！？。ああっー！しまったぁー！！
卯月,お疲れさまでーす――って、わあ！？
美穂,卯月ちゃん、どうしたの――って、ひゃあ！？
響子,あ、ふ、二人とも……！
卯月,あのー、響子ちゃん。これってもしかして……
響子,ご、ごめんなさいー！私ってばうっかりしててー！
美穂,あはは……。でも大丈夫！もう私たちはこうなった時、どうすればいいか知っているんだからっ！
卯月,そうですね！こういう時は慌てず騒がず――
卯月・美穂,さあ、響子ちゃん！ヨゴレ系の言葉をっ！
響子,あ、あはは……。やっぱりそうですよね……そうなりますよね……
卯月,響子ちゃん？
美穂,どうしたの？
響子,あの、その……なんていうか……。ちょっとだけ……ちょっとだけなんですけど……。恥ずかしいなぁって……
卯月・美穂,ええっーー！？
桃華,……事情はよく分かりませんけれど。でもいい機会ですわ――プロデューサーちゃま。このところ、満足に食事もされていないようですわね。響子さんが心配していましたわよ。もちろんこの桃華も、そして事務所の他の方々だって心を痛めておりますわ。あなたのお仕事が多忙なのは分かっていますし、そのおかげで今のわたくしたちがあるのも承知しています。勝手なことを言っているのかもしれません。ですが、もっと自身を顧みて、ご自愛くださいな。わたくしたちアイドルのためにと奔走するお姿には感謝しています。でも、そのせいで倒れでもすれば――自分のせいでと、呵責に苛まれる方だって出てくるでしょう。ですからせめて、あなたの抱えている辛さや苦労を、わたくしたちに話し、明かすくらいはしてくださいな。そしてできればもう一歩、それを分け合い、手助けさせてくださいな。この事務所にはあなたを頼りにし、だからこそあなたに頼られたいと思っている方もたくさんいますのよ？。そんな素敵な方たちがこの事務所にはたくさんおりますの。それは、皆さんをここまで連れてきたプロデューサーちゃま、あなたが一番分かっているでしょう？
Ｐ,桃華……。いや、すまなかった……。確かにこのところ、ちょっと根を詰め過ぎてたみたいだ。そうやって心配かけてちゃ、みんなのプロデューサー失格だな
桃華,それが分かっているならば――失格だなんてことはありません。それでこそ、わたくしたちのプロデューサーですわ
Ｐ,桃華……！
響子,ぷ、プロデューサーさんっ！
Ｐ,ああ、響子。悪かったな。色々心配かけたみたいで――
響子,ティッシュがないからって皮の中に出しちゃうのは良くないですよ！
Ｐ,！？
桃華,……？
美穂,あっ、戻った？
響子,あ、や、やりました……？
卯月,はい！さすが響子ちゃんです！
響子,はぁー……！よかったぁー……！
卯月,やっぱり響子ちゃんはやればできる子でしたね！
美穂,うんうん！いつも頼りにさせてもらってるもんね！
響子,え、えへへ……！そんなことないですよー///
Ｐ,あ、あの、響子……？。いや、響子だけじゃない。卯月も美穂もな。ちょっと聞きたいことが――
桃華,プロデューサーちゃま？皮の中に出すって、どういう意味ですの？
Ｐ,い、いや、桃華、それはその……
響子,そういえば卯月ちゃん、今日の収録はどうでしたか？
卯月,はい、バッチリでした♪響子ちゃんとのリハのおかげです
響子,そ、そんな！大したことはできなかったけど……でも、上手くいったなら良かったです
美穂,実はこれから、卯月ちゃんの収録大成功をお祝いしようって話してたんだ。ぜひ、響子ちゃんも参加してほしいな
卯月,むしろ響子ちゃんは立役者ですから。感謝も込めておいしいスイーツでも食べにいきましょう！
響子,いいですね！ぜひ！
Ｐ,きょ、響子、あの――
響子,あ、プロデューサーさん！。これからは、お料理、お掃除――私にできることならなんでも言ってくださいね。なんでしたら、プロデューサーさんのお家まで行って温かい料理を……、な、なんて、あはは///
Ｐ,きょ、響子、その前に聞きたいことが――
桃華,プロデューサーちゃま。まだわたくしの質問に答えていませんわよ？。もしかして、何かお身体に悪いことですの……？
Ｐ,いや……桃華には、その、言うようなことじゃなくてだな……
桃華,……言えないようなことなんですの？
卯月,おはようございます！
美穂,あっ、卯月ちゃん！お、おはよう……！
卯月,美穂ちゃん、どうしたの……？そんなに汗だくで……
美穂,実は……、実はね……。どうも今日はプロデューサーさん、昨日以上に浄化されやすい日みたいで……。さっきから色んなアイドルに浄化されかかっているの
卯月,ええっ！？た、大変じゃないですか！
美穂,朝から私と響子ちゃんとでなんとか食い止めてはいるんだけど……
卯月,な、なるほど……
響子,はぁ……、なんとかなりました……。あっ、卯月ちゃん……おはようございます……
美穂,響子ちゃん。あとは私が交代するから休んでて？
響子,ふあぁ……すみませーん……
卯月,はい響子ちゃん！お水飲んでください！
響子,あ、ありがとうございます……！
卯月,やっぱりプロデューサーさんのこと、他のみんなにも知らせておいたほうがいいのかな
響子,そうですね……。でも年少組の子たちとか、みんながみんなヨゴレ系のことを言えるってわけでもないですし……
卯月,た、確かに……
響子,とにかく、今は私たちが一番頑張らないと
卯月,そ、そうですね！頑張るのなら任せてください！
美穂,た、ただいま……。ちゃんと引き戻してきたよ……
卯月,美穂ちゃん。美穂ちゃんも休んでてください。あとは私が頑張ります
美穂,うん、ごめんね……！お願いします……！
卯月,はい！
響子,卯月ちゃんにはああ言ったけど……
美穂,――響子ちゃんも薄々感じてるよね
響子,は、はい……。今日はなんだか、いつになく――
美穂・響子,は、波乱の予感……！
響子,……ど、どうでしょうか美穂ちゃん、卯月ちゃん
美穂,うん。みんなお仕事やレッスンに行って、だいぶ人もはけてきたね
卯月,プロデューサーさんを浄化しちゃいそうな人も、みんな直帰の予定ですし――とりあえず、ピークは過ぎたと見ていいんじゃないかな
響子,ふぅ……。大変だったけど、なんとかなりましたね
美穂,そうだね。私ひとりじゃ、多分途中で挫けてたと思うから……心強い二人がいてくれて良かったよ
卯月,どんなことだって、私たち三人なら乗り越えられるんです！
響子,そうですね！ピンクチェックスクール、ファイトー……
緒方智絵里,お、おはようございます
智絵里,あ、三人とも、おはよう
響子,あっ……ち、智絵里ちゃん……
美穂,だ、大天使……チエリエル……
卯月,さ、最強の――
智絵里,……？
Ｐ,おー、智絵里。おはよう
智絵里,プロデューサーさんっ。おはようございますっ♪
Ｐ,なんだか機嫌良いな？いいことでもあったか？
智絵里,あ、分かっちゃいますか？大したことじゃないんですけど――。実は事務所に来る途中で、四つ葉のクローバーを見つけたんです
Ｐ,それはラッキーだな。良かったら見せてくれないか
智絵里,はい♪。――あっ、でも摘んできてはいないんです
Ｐ,ん、そうなのか？
智絵里,最初は持っていこうとも思ったんですけど――。でも、もう今の私は、素敵な仲間のみんなや、支えてくれるプロデューサーさんや――。そういう幸せって呼べるものをたくさん持っていますから。これ以上欲張ったらバチが当たっちゃいます。むしろこれからは、クローバーに頼るんじゃなくて――それを目標にしようって思ってるんです。道端で四つ葉のクローバーを見つけた時に感じる、小さな感動。幸運のお守りとしてのそれから分けてもらう、少しの勇気。大きくはないし、大そうなものとは言えないけど――だからこそ日常のちょっとした時に力をくれる存在。私はアイドルとして、ファンの皆さんにそういう幸せを届けられる存在になりたい。アイドルの経験や、仲間のみんなとの毎日を通して感じてきたいくつもの幸せをおすそ分けして――ファンの人たちの毎日が少しだけでも素敵なものになりますように。みんなの四つ葉のクローバーになれるよう、私、頑張りたいんです♪
Ｐ,……尊い。…………天使
響子,！！
智絵里,あ、でも写真は撮ったんですよ。ええと、ちょっと待ってくださいね……
響子,――――！！。プロデューサーさん！。ヌいたあとすぐのお手洗いはよくないですよ――！
Ｐ,響子！？
智絵里,あっ、ありましたっ！
響子,
智絵里,これですっ。結構立派な葉ぶりですよね！
Ｐ,ん？お、おお、そうだな。なかなか見事だな……。そ、そうだ智絵里！。この前撮影した分の雑誌がな、さっき届いたんだ。見てみるか？
智絵里,わっ、ホントですか！
Ｐ,――ええと、これだな。智絵里たちのページはここからだ
智絵里,わ、わぁ……！。わ、私、こんなにおっきく載ってるんですね……！。ちょっと恥ずかしいです……///
Ｐ,いやいや。よく撮れてるし、いい顔してる
智絵里,えへへ……。一緒だったウサギさんたち、みんな可愛くて……。ついつい撮影だって忘れて夢中になっちゃったんです。この子、大人しかったなぁ……。ふふっ。この子はちょっとやんちゃだったけど、寝ちゃった姿は可愛くって……。プロデューサーさんは、どの写真が可愛いと思いますか？
Ｐ,そうだなー……。どれも甲乙付け難いが……。これがいいな。このウサギポーズの智絵里がひと際可愛いぞ！
智絵里,ふぇっ！？。あ、あの……その……。ご、ごめんなさいっ。ウサギさんの話だったんですけど……///
Ｐ,あ、そ、そうか……！。そ、そうだな！ウサギだったら――
智絵里,……ぴょーん、ぴょーんっ。う、うさちえりんだぴょんっ！
Ｐ,！？
智絵里,……か、かわいい、でしょうか？。な、なんてっ！ご、ごめんなさいっ！///
Ｐ,………………尊い
美穂,！！
Ｐ,てんし……
智絵里,あ、こっちは乃々ちゃんだ。リスくぼ可愛いなぁ……。こっちは拓海さん。か、カッコイイ……。それに、おっきい……！
美穂,――――！！。プロデューサーさんっ！。プロデューサーくんも種付けプレスが好きなんですよ！
Ｐ,美穂！？
智絵里,あ、雑誌ありがとうございました。お返ししますね
Ｐ,ん？あ、ああ……
美穂,
Ｐ,そ、そういえば天気！今日のこれからの天気予報はどうなるのかな。買い出しに行ってもらってるし、確認しておくかっ！。えーと、ニュースでいいかな……って、これは。お、この前撮ったブライダルのＣＭだぞ、智絵里
智絵里,ええっ！？
Ｐ,いやー、こうして改めて見ても似合ってるなぁ。さすが智絵里だ！
智絵里,え、えっとあの……あの……！。だ、だめですっ！恥ずかしいですからっ！///。は、はい！ニュースはこっちのチャンネルですよ！
Ｐ,おっと。そんなに照れなくてもいいのに
智絵里,は、恥ずかしいものは恥ずかしいんですっ。それに、どうせ見てもらうなら……本当の――。って、なんでもありませんっ！ごめんなさいっ！。あの、お茶！お茶、入れてきますからっ！
Ｐ,はっはっは！智絵里は可愛いなぁ！。ああ、まったく可愛いなぁ。可愛い……。可愛い……かわいい……智絵里……。天使……
卯月,！！。ぷ、プロデューサーさんっ！。床でするのは――
智絵里,プロデューサーさん？
卯月,あっ！？
智絵里,えっ、あの……。どうしたんですか……？。な、なんで……薄く……
卯月,ち、智絵里ちゃん、これはその――
智絵里,プロデューサーさんっ！
卯月,！！
智絵里,だ、大丈夫ですか！？こ、これ何がどうなって……。だめですっ！行かないでくださいっ！。プロデューサーさんっ！
響子,いけないっ！智絵里ちゃんを離してください！！。このままじゃプロデューサーさんが人でなくなってしまいますっ！
卯月,ち、智絵里ちゃん！ごめんなさい、こっちに――！
智絵里,えっ、あ、あのっ！？。……じょ、浄化？プロデューサーさんが？
卯月,はい。智絵里ちゃんのその言葉、行動、存在。それらが放つ天使のような尊さで、プロデューサーさんは浄化されてしまうんです
智絵里,そ、そんな……私の……せいで……
卯月,智絵里ちゃんが悪いわけじゃありませんっ！責めているわけでもないんです
智絵里,でも……でも……。う、卯月ちゃん。何か、何か私にできることはないですか！？。何か力になれることは……
卯月,智絵里ちゃん。あなたはもう――。何もしないで。……ください
智絵里,えっ……
卯月,ごめんなさい……ごめんなさい智絵里ちゃん……。こんなこと、私だって言いたくはないんです……。でも、智絵里ちゃんの尊さは、かつてないほど強力なもの――あなたをプロデューサーさんとこれ以上接触させるのはリスクが高すぎます。今は、美穂ちゃんと響子ちゃんとでなんとか食い止めてはいますけれど……それでもいつまでもつか……
智絵里,食い止める……。でも、じゃあ方法は――ああなっちゃったプロデューサーさんを助ける方法自体は、あるんですよね？
卯月,は、はい……。それはそうですけど――
智絵里,教えてください！。お願いですっ！卯月ちゃんっ！
卯月,で、でも……
智絵里,卯月ちゃん。聞いてください。私は。私は――
美穂,プロデューサーさんっ！長さの平均なんて気にしなくていいんですよ！
響子,プロデューサーさん！ちょっとずつ剥けるようにしていきましょう！
美穂,浄化の力が強すぎる……。これだけヨゴレ系を言っても止められないなんて……
響子,もう一度！もう一度プロデューサーさんの性癖まわりからやり直しましょう！
美穂,う、うん……
響子,なぜ……。なぜ私たちを拒絶するんですか……プロデューサーさん……！
智絵里,やらせてくださいっ！
美穂,智絵里ちゃん！？
響子,どうしてここに……
智絵里,私にも、プロデューサーさんを助けさせてくださいっ！
美穂,でも、それは……
卯月,――やらせてあげてください
響子,卯月ちゃん……？
美穂,どういうこと？
卯月,それは――
智絵里,美穂ちゃん。響子ちゃん。私は――。トイレで力んでいるプロデューサーさんを眺めるのが日課のアイドル、緒方智絵里ですっ！！。プロデューサーさんっ！。行かないでください！戻って来てください！。ここにいてくださいっ！。プロデューサーさん！？。違います！。プロデューサーさんはプロデューサーさんしかいません！。だからいま――助けます！
美穂,やめて智絵里ちゃん！。キャラが戻らなくなる！
卯月,行ってください智絵里ちゃん！
美穂,卯月ちゃん……？
卯月,誰かのためじゃない！。あなた自身の願いのためにっ！
響子,人の域に留まっていた智絵里ちゃんが、本来の姿を取り戻していく……。人のかけたモラルを解いて――人を超えた雌に近い存在へと変わっていく。テントと膣と万物を紡ぎ、相補性の巨大なうねりの中で、自らをエクスタシーの凝縮体へと変身させているんです……。純粋に自分の想いを伝える――それだけのために
智絵里,初めてのお仕事で褒めてもらった夜は、右手が止まりませんでしたっ！。一緒にうさぎカフェに行った後は、頑張ってプロデューサーさんのと同じ形のニンジンを探したんです！。でも新妻の寝取られものは控えてほしいですっ！やっぱり初夜はイチャラブで抜かずの三発が理想ですから！
Ｐ,ちえり……
智絵里,――！！。プロデューサーさん！戻って来てくれたんですね！
Ｐ,ちえりの……ことば……
智絵里,はい！
