ﾋﾟｰﾝﾎﾟｰ,いるよー！。いるってばー！
杏,しかしなんて物を作ってるのあの人は…
加蓮,まあそれだけ杏に愛があるって事だよ
杏,む…いやいや騙されんぞ、どっちかって言うとこれ調教じゃん…
加蓮,飴と鞭？
杏,そしていつか杏はアイドル達の慰み物に…
加蓮,飴と無恥か…
杏,え？菜々さんの話？
加蓮,失礼だね
杏,で、加蓮は何しに来たの？
加蓮,いや、別に用はないけど
杏,なにぃ？用もないのに杏の眠りを妨げたのかー！
加蓮,うん、いつもの事だね
杏,そうだねー
加蓮,杏昨日から寝っぱなしって事は何も食べてないの？
杏,うｎ…！。やばい…そういやこの前奈緒が…！
加蓮,じゃあ…
杏,加蓮の料理はパンデミックだって…！
加蓮,何か…
杏,いやいや！大丈夫！大丈夫！
加蓮,買ってこy…そう？
杏,へ？
加蓮,ん？
杏,…何か作るとかじゃなくて？
加蓮,材料ないじゃん、この時間だと近くのスーパーも閉まってるし
杏,…
加蓮,…？。杏？
杏,ああ…今杏は自分のだらしなさに感謝してるんだ
加蓮,…？よく分かんないけど周りは迷惑してるからね？
杏,それでも…！それでも…！杏はこのままで…！。…
加蓮,…
杏,加蓮
加蓮,？
杏,おなか減った
加蓮,…はぁ。聞くだけ聞くけどついて来る？
杏,ぐぅ
加蓮,だよねー…。じゃあ適当に買ってくるよ
杏,加蓮おねーちゃんだいすきー
加蓮,うっさい。…。杏、戻ってきて寝てたらおかわりだからね？
杏,！。ううぅ…加蓮おねーちゃんのいじわるー
加蓮,そもそもあんたの方が年上でしょうが。紗南がやってたゲームでもやってなよ、セーブするとか言ってたから
杏,んー…
加蓮,はい、いってきます
杏,らっしゃーい…
加蓮,まあ無理だろうけど。ただい、まーっと
友紀,おかえりー
杏,
加蓮,…やっぱりか、ってか友紀さん何してんの
友紀,それがさー、聞いてよー、楓さんと飲もうって話だったんだけどさー
加蓮,うんうん…ほら、杏ーおきなさーい
杏,んー…
友紀,なんかさー、ふと思い立ったから湯布院まで行って来るってー…
加蓮,そっかー…って湯布院！？大分だよね！？
杏,うーるーさぁいー…
加蓮,あ、ごめん…じゃなかった、あんたはさっさと起きる！
友紀,ねー、楓さんホント二十五歳児だよー
加蓮,だからって未成年の部屋でビールあおってる友紀さんも大概だからね？
友紀,うへへ…照れるなー///
加蓮,褒めてないよ、そして杏はいい加減起きる！
杏,痛ぁ！？。うぐぅ…杏の頭は乳児並みの柔らかさなんだぞぉ…
加蓮,乳児だったらもうちょっと優しくするから大丈夫だよ
杏,これで記憶喪失にでもなったらどーするつもりだー！
加蓮,そっちの方がマシになるんじゃない？
杏,一理ある
友紀,認めちゃうんだｗｗ
加蓮,はい、ご飯、まあファーストフードだけど
杏,ういー…下のコンビニでよかったのに
加蓮,私の分も入ってるの、ついでに紗南の分も買っといたんだけど…
紗南,…
加蓮,しばらく起きないかな？友紀さんご飯は？
友紀,食べたー？
加蓮,何で疑問系なのさ
友紀,…食べたっけ？
杏,知らん
友紀,まあいいや、いっただきまーす
加蓮,あーあ…ま、いいか。いただきまーす
杏,いただきまーす
加蓮,…なに？
杏,食べるのめんどいから食べさせて
加蓮,…
杏,ちょ、いふぁいいふぁいっ
友紀,おーあたしもー
杏,うおー…やめろー…
友紀,意外とジャンクフードってお酒に合うんだよねー
加蓮,へぇ…
杏,どうでもいい…
友紀,あれー？
加蓮,未成年だし…コーラの方が美味しいよ
杏,右に同じー
友紀,んー…ちょっと飲んでみる？
加蓮,やだよ
友紀,いいからいいから
杏,あいかわらず酒の入ったユッキはめんどくさいなあ
友紀,え、そんな風に思われてたの！？
加蓮,ちなみに未成年アイドル界隈でめんどくさいランキングってのがあるんだけどね
友紀,なにそれ！？最近の子は怖いわぁ…
杏,大して年齢変わんないでしょ…で、酔ったユッキと楽しくなったきらりが同着４位
加蓮,それを聞いたときのきらりの反応
杏,…あー…、あの…あんずちゃん…いや…なんでもないにぃ…。なだめる為に杏がきらりをナデナデするという世にも奇妙な場面が
友紀,なんで本人に言っちゃうかな！？。…ちなみに二位以上は？
加蓮,疲れてる時の茜が二位
友紀,あー…ちなみにその時の反応は？
杏,やりました！でも次は一位目指しますね！よーし！まずは走りましょう！
友紀,何も分かってないじゃんｗｗ
杏,Pさんの事を語る菜々さんが先日一位に浮上しました
友紀,…何かあったの？
加蓮,杏に聞いて、当事者だし
杏,さーてねー、ちなみに寝起き駄々っ子杏ちゃんは７位にランクインしております
友紀,自分で言っちゃうんだ
加蓮,まあこっちが本気になったら怯んでくれる点で上位よりはましだよねー
友紀,え…あたしそんなに？
杏,いえす
加蓮,おふこーす
友紀,へこむわー
杏,ぷはぁ、ごちそーさま
加蓮,ふぅ、で？友紀さんなんでいるの？
友紀,え、さっきも言ったじゃん、楓さんがいなくなったから…。…あれ？もしかしてアタシ結構邪魔だったりする？
杏,うん
加蓮,うん
友紀,うええぇぇんJKがいじめるー自棄酒だー
杏,うおう…なんだこの二十歳
加蓮,冗談だってば
杏,あれでしょ？年長組のとこ行かなかった理由でしょ？
加蓮,そそ
友紀,うえええ…ってなんだその事？。志乃さんは最近Pさんから禁酒令が出されたらしくってさー。それに今日はゆっくり飲みたかったからー
加蓮,あー、楓さんってあんま変わんないっぽいよねー
杏,まあいつでも半分酔っ払ってるようなもんだし
加蓮,楓さん聞いたら怒られるよ？
杏,ないでしょ
友紀,だろうねー
加蓮,確かにあの人が怒るイメージわかない
杏,説教とかしてる途中に駄洒落入れてきそう
友紀,…杏ちゃんの事を案ずるから言うんですよーみたいな？
加蓮,…
杏,…
友紀,あれー？
杏,二十歳過ぎると杏もこうなっちゃうのかなぁ…
加蓮,あー…歳とりたくない…
友紀,いやいや！大丈夫だよ！？楽しいことが一杯解禁されるよ！？
杏,たとえば？
友紀,えっとー…お酒とかー…ビールとかー…ウイスキーとかー…
加蓮,凄い駄目人間臭…
友紀,い、いやいや！ほら！他にもワインとか焼酎とか！
加蓮,全部一緒じゃん
杏,全部楽しい事が無いから向かう先だよね、知らんけど
友紀,うぐう…
加蓮,まあちょっとは興味あるけどね
友紀,お！飲む！？
杏,…
友紀,杏のそんな冷たい目初めて見た！
加蓮,そんなんだからめんどくさがられるんだよ。たまにさー、年長組がPさん誘ってお酒飲みに行ってるじゃん？
杏,あー、あれちょっと羨ましいよね
加蓮,ね、わかんないけどお酒の席特有の話とか出来るだろうし
友紀,そう？実際全員絡み酒になってるけど
杏,うわぁ
加蓮,ありがとう友紀さん
友紀,へ？
加蓮,今の聞いてお酒は二人きりの時にしか飲まないって決めた
友紀,完全に反面教師にされてるよー…
杏,まあ前からそうだけどねー
友紀,ええ…結構ショックなんだけど…
加蓮,その手を止めない限り認識は変わらないよ？
友紀,…。じゃあまあいっか…
加蓮,あらら
杏,そういやさゆっくり飲みたいって言ってたけど別に誰でもゆっくり飲めるんじゃないの？。そりゃ早苗さんとかはキツいだろうけどさ
友紀,いやいや、それが難しいんだよ。最初はゆっくり二人で飲んでいたはずが…。気づけば一人増え、二人増え…。最終的には宴会になっているという…
杏,なんで怖い話風に言うの？
加蓮,猫とマタタビみたいな関係だね
友紀,そうそう！だから杏の家はいいんだよねー、まさか酒を飲んでるとは思われないし
杏,おお…いつの間にそんな認識が…別にいいけど
友紀,この寂しがりやめー
杏,うっさい…ってか加蓮、そんな可愛いものじゃないでしょ、どっちかって言うと蝿と…
友紀,おっと猥談は許すけど下ネタは駄目だよー
加蓮,いや猥談の方を止めなよ。杏も例えをもうちょっとアイドルらしくしようよ
杏,んー、じゃあアイドルとプロデューサー
友紀,あー…
加蓮,的を射てる…かな？
杏,一人いるだけで周りからぞろぞろと集まり
加蓮,いや二人いたら怖いから
杏,最初は二人きりでいい感じだったのに気づけばギャーギャーワーワー
友紀,意図的な臭いを感じるけどね
杏,最終的に誰もいなくなるという…
加蓮,それはよくわからない
杏,全く！プロデューサーは迷惑だな！仕方ない責任とって杏が引き取るよ！
加蓮,はい却下ー
杏,なにおう！
加蓮,杏に任せても面倒見切れないよ、ここは私が
友紀,いやいや一番年上のお姉さんに任せときなさいって
杏,杏が
加蓮友紀,どうぞどうぞ
杏,やったー
加蓮,…
友紀,…
杏,…。むなしい
加蓮,本人のいない所でやってもね…
友紀,悲しくなる事いわないでよ…
杏,…でもさー。実際どれだけの子が本気なんだろうね？
加蓮,ん？そりゃみんな本気じゃないの？
友紀,どーだろーねー
杏,年少組とかさー、まあ杏も言えた事じゃないかもだけど。恋に恋しちゃってる子とか多そうじゃん
加蓮,あー…
友紀,年長組はそりゃ本気も本気だろうけどねー
杏,んー、それもどうなのかなって思うんだよね
友紀,？というと？
杏,いやさ、あの年代って恋愛より結婚を考えてるでしょ？。じゃあ別にプロデューサーじゃなくてもいいんじゃないかなーって。それなりの地位でいい男だったらホイホイ行くんじゃない？
加蓮,結構失礼な事言うね
杏,本心だよ
友紀,…どうだろうねー
杏,おう？
加蓮,あーあ
友紀,結婚を考えてるって事は少なくとも恋愛ーって子達よりはリアルに考えられてるって事じゃない？
杏,そう？むしろその人の事を見ていないように見えるけど。プロデューサーと同じ位の社会的立場の人でも好きになったんじゃない？
友紀,あっははーそりゃもう別人でしょー。そーいう立場も含めて好きになったんだし、逆に杏ちゃん達も彼がプロデューサーじゃなかったらどうなの？って話だよ。そもそもそんな仮定の話は意味を成さないしねー
加蓮,…
杏,…めんどくさ
加蓮,はいはい、もうおしまい
友紀,あり？
加蓮,気持ち的には杏の味方だけどねー
杏,はぁ…まあいいや
加蓮,友紀さんも年下相手に感情的になんないでよ
友紀,あっはー、年下って言っても大して変わんないしねーｗｗ。むしろ危険視してるからこそだよーｗｗ同世代の子達は色々あるからさーｗｗ
杏,まあ杏も最終的にはこの位の世代かなーとは思ってるけどね
加蓮,っていうと？
杏,16～20代前半位
友紀,ちなみにそれはどうして？
杏,まあ期待してる気持ちもあるけどこの先全員がアイドルし続けたとして。アイドル引退するまで働いたとして…まあ５年としようか。その時20台後半に入ってる人達は年齢的にきついし。１５歳までの子達はまだ学生の可能性もあったり。なにより子供の頃を見すぎてそういう対象としては見れなさそうじゃん
加蓮,んー…まあ確かに治ったとしても蘭子とかはねー
友紀,その頃を思い出してゴロゴロさせるって言うのも楽しそうだけど
杏,まあそんなわけでその頃２０代の年齢層が確立高いかなって
友紀,まあ希望八割入ってる感じだねーｗｗ
杏,そだねー
加蓮,あれ？怒んないんだ
杏,実際の所年齢に関わらず真摯に対応するだろうし。今のはそう思っておかなきゃやってらんないって事
加蓮,あー、なるほど…
友紀,あはは、分かる分かる
杏,あー…喋り過ぎて疲れた…
友紀,でも杏ちゃんはあれだねー、どっちかって言うとロリコンの方が嬉しいんじゃない？
杏,うっさいよ、だがよく思ってる
加蓮,そうなったらライバルも減るしねー
杏,更に合法限定にしたら日下部さんとユッキ、ギリ早苗さん、菜々？
友紀,おー、一気に優勝圏内だねー…ってあたしも入るの？
杏,そりゃそうだよ
加蓮,ギリって言うのやめなよ…ってか合法違法なら杏もギリ違法じゃない？
杏,ほら大切なのは結婚できるかどうかだから
加蓮,あんたも年長組と変わんないじゃん…
杏,あっははー
友紀,あっははー
杏,ところでさ、年長組の恋愛ってなんかチキンレースっぽくない？
加蓮,…あぁ
友紀,…最後まで耐えられるのかなぁ…
杏,年少組に取られたりなんかした日にゃあもうね
友紀,分かんないけど死屍累々だろうねー
加蓮,あんまり考えたくないなー
友紀,あ、んでさ、話戻るんだけど
杏,ん？
友紀,杏的にはどうなの？本気で好き？
加蓮,うわー…面倒な会話に戻したねー
友紀,そう？酔ってるからさーｗｗ
杏,子供が子供だからって言うような感じだね、好きじゃないけど。んーでもどうだろうね実際
加蓮,あれ？さっき言ってた割に意外と…
杏,さっきはさっきだよ。客観的に判断した時に自分がどうかなんて出来るほど歳重ねてないしねー。まあそりゃ抱かれたいとか独占したいって感情はあるけど。それも何目線なのか分かったもんじゃないし
友紀,…
杏,というわけで回答は知らん！寝る！
友紀,…あははー
加蓮,恥ずかしくなるくらいなら言うのやめなよ…
友紀,んー、でも良かったよ、アタシも大体そんな感じだし
杏,んぇぇ…
加蓮,聞いてない…っていうかもう寝てるし。…？友紀さんも？二十歳なのに？
友紀,実際二十歳なんてペーペーだよ。なんて言うと怒りそうな人がいるけどさーｗｗ
加蓮,ふーん。二十歳かー…でも後数年なんだよねー
杏,ぬぬぅ…
友紀,その数年早いよー？
杏,ぐぬぬ…ぬ
加蓮,怖いなー、その頃までに発展してるかなー
杏,うおおぉぉぉ…
友紀,まあ変化してるでしょー関係も、気持ちも
加蓮,どーだろーなー
杏,ぬがー！何じゃー！
友紀,お、ようやく起きた
加蓮,あんだけ寝たんだから今日は寝ないでよ
友紀,おお、加蓮ちゃんダイターン
杏,３？
加蓮,ｻﾝｱﾀｰｯｸ
友紀,は？
杏,知らないか…加蓮今なんて？
加蓮,なんでもない
杏,しかしなんて無理やり起こすんだい…
友紀,二人っきりは寂しいじゃんかよー
加蓮,いや、そうじゃなくて酒飲み友紀さんを一人で相手にしたくなかった
友紀,ショック！
杏,分かる
友紀,えっ！？
杏,でもそんなら別の人を…あ、そうだ紗南起こせばいいじゃん、紗南ー
加蓮,あー、さっき寝たばっかなんだからもっと寝かせてあげなよ
友紀,そうだよー、只でさえ年齢層低いからエグイ事言えないのにー
加蓮,うん、それは年齢層に関係なく言わないでね？
友紀,あっははー
杏,紗南ー紗南ー糸少南ー
加蓮,なんだそりゃ…
友紀,いとしょうみなみちゃん！
紗南,んぅ…なーにー？
杏,紗南！黙ってたけど…杏実は紗南が好きなんだ！
加蓮,は？
紗南,へ？
杏,そのテクニシャンな指使い…幼さの残る顔立ち…
加蓮,あんたが言うか
杏,杏は紗南とひとつになりたい！
紗南,え、ええ～っと…
友紀,まった！
紗南,ふぇ！？
友紀,アタシも前々から紗南ちゃんの事が…。紗南ちゃん！こんなちんちくりんよりアタシが大人の恋愛ってやつを教えてあげるよ！
杏,なにおう！
紗南,え？え？なに？ゆめ？
加蓮,ちょっと放っとこう、紗南の反応可愛いし
友紀,ふふふ、紗南ちゃんゲーム買ってあげるよー
紗南,えっ？ほんとに！？
杏,く、卑怯な！
友紀,ふふふ、これが大人のやり方って奴だよ杏ちゃん？
杏,ご、ごめん紗南…杏は…杏は…
紗南,…。あのそろそろ目覚めちゃったんで勘弁してくれませんか？
友紀,あ、そう？
杏,おはよー
加蓮,もうちょっと見たかった
紗南,で、友紀ちゃんいつ来たの？
友紀,んーついさっき？
紗南,…缶ビールがダースで転がってるけど？
友紀,あっははー、杏は悪い子だなー
杏,いやいや
紗南,杏ちゃんがお酒を飲むわけないじゃん
友紀,お？意外としっかり者認識？
杏,ふふん
紗南,わざわざ外に買いに行くと思う？
友紀,あー
杏,ですよねー
紗南,…ってあー、なんか食べてる、アタシの分は？
加蓮,あー…ごめん、この駄目な人が…
杏,この駄目が…
友紀,年下にこんなに罵られたの初めて！
杏,今度十代の子達だけで話してるの聞いてみるといいよ
友紀,え
紗南,そっかー…駄目な人じゃ仕方ないかー…
友紀,ええっ？
加蓮,ごめんね…駄目な人駄目だから…
友紀,泣いちゃうよ？
杏,はいこれ
友紀,…枕？
杏,泣くならそこに顔埋めてお願い
友紀,扱い酷過ぎない？
加蓮,杏に駄目人間扱いされるってどうだろう…。んー、じゃあ何か買ってこようか？下のコンビニだけど
友紀,お、じゃあビールねー
加蓮,自分で…いや、そもそも飲むの止めてください駄目な人
友紀,あはー
杏,飴ー
加蓮,あんたも自分で行きなさい
紗南,んー、いや、アタシもついてくよ、自分で決めたいし
加蓮,そう？
紗南,うん、杏ちゃん飴でいいの？
杏,んー、適当にお願い
友紀,あたしもビー…
紗南,いってきまーす
加蓮,…
友紀,あれー。…で、実際のところさー
杏,んー？
友紀,杏ちゃん的にはどうなのよ？誰が一番危ないと思う？
杏,あははー、加蓮の前では言わないとはねー
友紀,あの子ちょっとまゆよりじゃん、変な空気にするのもねー。実際杏ちゃんの事もどう思ってるのやら、いや、恋敵としてね？
杏,分かってるよ、そこを友情に持ち込むような子じゃないし。まあニュージェネの中じゃどうだか知らないけど
友紀,どういう意味？
杏,さあ？。んー、でも誰だろうねー
友紀,隠さずにさー、アタシも教えるから
杏,別に隠してるわけじゃないけど…まあアイドル限定なら凛とか？
友紀,おお、直球だねー…さっきの理屈の外だけど？
杏,だからこそのだよ
友紀,ふーん、アイドル限定ってのは？
杏,ちひろさん
友紀,あー…あるかなぁ？
杏,ダークホース過ぎるって意味でねー、唯一周りを気にせず付き合えるし
友紀,あー、まあそうだねー
杏,もしプロデューサーが恋人欲しくなったら真っ先に候補に挙がりかねないよ
友紀,ん？いやいや恋人は欲しがってるんじゃない？アイドルだからって自制してるだけで
杏,いやー、あれは恋人出来たら仕事に支障が出ると思ってると思うよー
友紀,そうかなー
杏,で？
友紀,ん？
杏,友紀はどうなのよ
友紀,あっはー、そりゃもう杏ちゃんだよー
杏,…
友紀,…。…。どうだろうねー…
杏,…
友紀,まあ正直高校生以下は大丈夫かなって思ってるけど
杏,だろうね
友紀,別に魅力がないって言ってるわけじゃないよ？
杏,分かってるよー
友紀,たださ、やっぱり社会的に認められないって事は大きいわけで。それもアイドルとプロデューサーなんて関係だったらもっとだよ、イメージにも繋がるしさ
杏,…
友紀,だからー、三年経ったら杏ちゃんが一番危ないとも思ってるよ？
杏,そりゃどーも
友紀,本心だってばさー。まあ現状だと…楓さんとかかな
杏,へー、なんか意外
友紀,なに考えてるか分かんないからさー、どこまで行ってるかも分かんないし
杏,…その探りを入れる飲みだったり？
友紀,あっははーさーてねー
杏,友紀も大概何考えてんだかねー
紗南,ただいまー
加蓮,いよっ…と
紗南,はい、杏ちゃん飴ー
杏,おおー紗南よーよくやったーお礼にこの駄目人間を授けよー
友紀,アタシの価値おつかいレベルかー
加蓮,はい、友紀さんお土産
友紀,お！？見たことないビール！。…。なにこれ？
加蓮,ビール風ジンギスカンキャラメルドリンクノンアルコール
友紀,…
加蓮,ビールでしょ？
友紀,ふえぇぇ杏ー加蓮がいじめるよー
杏,いやちょっと酒臭い上に懐かしい臭いがするので寄らないで下さい
友紀,辛辣！
紗南,ちょっと飲んでみようかな…
杏,止めときなよ、飲んでないけど元の時点であかんレベルだから
加蓮,道民的にも無しなの？
杏,あれはそういう世界じゃないから…
紗南,いっただっきまーす
友紀,あー、そーいやアタシご飯食べたっけ？
加蓮,さっき食べたでしょおばあちゃん
杏,とうとうボケ始めたか…
友紀,そだっけ？…あ、杏アタシにもあｍ…やっぱいいや
加蓮,食べてもいいんだよ？酒臭子
友紀,せめて駄目人間にしてください！
杏,はい飴ー
加蓮,ん、サンキュー
紗南,あ、そーいやゲームどこまでやったっけ？
杏,あー、セーブしといたよ
紗南,んー、全然覚えてないなー
加蓮,私が見たときは壁にぶつかってたよ
紗南,…？ボス戦って事？
加蓮,ううん、壁
友紀,イエローが大好きな？
加蓮,それはカレー
杏,いくらあっても困らない？
加蓮,それは金
紗南,えーっと…
加蓮,いやいいよもう、なんかもう話変わっちゃってるから、そういう話じゃないから
杏,そーいや加蓮はあんまゲームやらないんだっけ？
加蓮,んー普通位じゃない？
紗南,さっきプレステをファミコンって言ってたよ
杏,おばさんじゃん…
加蓮,え、い、いや知ってるよ？あれでしょ？ポ、ポリドン？
杏,ポリゴンの事？なんだその新怪獣
紗南,ポケモンっぽいなー
杏,駄目人は？
友紀,あ、それもう固定なの？うーん普通にプレステ位は持ってるけど
杏,へー、なんか意外、なにやるの？
友紀,やきゅつく、パワプロ
杏,あー…
紗南,あー…
加蓮,？
紗南,でも珍しいねー、加蓮さん
加蓮,そう？小さい頃とかは普通にやってたよ？
杏,へー
友紀,…
紗南,それって入院してたとき？
友紀,あら
加蓮,そうそう、どうしても周りに年上ばっかだからさー。一人で遊べる物ってあの歳だと限られるし
杏,んー、まあ小さい頃はどうしてもねー
友紀,だとしてもファミコンはないでしょーうちの母親世代だよ？
加蓮,う…いや、結局そんなにはまらなかったし…
杏,ふーん
紗南,一日中ゲームし続けられるとか羨ましいけどなー
杏,…
加蓮,あはは、まあちっちゃかったし、友達と遊ぶ方がねー
紗南,そっかー
友紀,…さて、んじゃーアタシはそろそろ行くねー
杏,ん？そう？
友紀,色々話も出来たし、お酒も切れちゃったからねー
紗南,えー、友紀さん今度一緒にゲームしようねー
加蓮,んー、じゃあそろそろお開きにする？
杏,そだねー
紗南,えー、アタシまだ起きたばっかー
加蓮,そうは言ってもまだまだ寝足りないでしょ？。アタシもそろそろ帰らないとまずいし…ほら、紗南も行くよ
紗南,いいよー杏ちゃん家泊まってくー
加蓮,そしたらまたゲームするでしょうが…ほら準備して
紗南,ぶぅ…
友紀,ホントにお母さんみたいだねー
杏,まあまた今度来ればいいよ、杏は寝てるけど
紗南,んー、またやろうねー
加蓮,ん、じゃあねー
友紀,また飲みにくるねー
加蓮,止めてください駄目子さん
杏,お疲れー…ぐぅ
紗南,じゃあまたねー加蓮さん
加蓮,うん、またねー。…ふぅ。…。んー…。…。…。あ、もしもし奈緒？今大丈夫？。そっかーアニメ見てたんだーじゃあ大丈夫だね。そーいやこの前Pさんが奈緒のアニメ趣味が可愛いって言ってたよー。あははｗｗ
志乃,遅かったじゃない
友紀,…
早苗,あははｗｗｗｗｗｗｗｗ
友紀,…
菜々,ちょっ早苗さん！絞まってます！絞まってますから！
友紀,…
麻理菜,おー、友紀ちゃん遅いぞー
友紀,…まあ、いいか。ビールビールー♪。そうだ！皆で録画したキャッツの名試合選見ましょー！。あれー？
杏,…。…。…。きらりか…。…。…。こたつでーと…？。…。…。…。…ぐぅ
