姫川友紀,えー、ラジオネーム二番ショートさんからのおたよりだよ
友紀,でもアルモンテ来たからさ、打線のマイナスは少ないはずだよ？
みく,それより投手陣がひどくない？
友紀,そうだねー。開幕投手の小笠原もボコボコに打たれてたし、昨日のジーも打たれてたし
拓海,相性の悪いマツダスタジアムだからこうなってるのかもな
友紀,本拠地に戻ったら多少マシになるんじゃない？
拓海,次のカード、オマエんとこ相手だろ
友紀,あ、そうだね。じゃあ初勝利はもう少し先になりそうだね
みく,鬼や…鬼がここにおるにゃ
友紀,バファローズの開幕カードは1勝2敗だったね
みく,結局オープン戦は死んだフリだったにゃ……ぐすん
拓海,いざ始まってみたらこんなモンか…ったくイヤになるぜ
友紀,そしてパリーグ唯一の三連勝がライオンズと
拓海,3試合とも、上手いこと打線が繋がってくれたな
友紀,3試合とも先発投手に勝ちがついて、1イニングもリードを許さない理想の展開だったね
みく,そして次のカードはそのライオンズとホークスの直接対決かにゃ
拓海,次のカードはそう簡単にはとらせてもらえねえだろうよ
友紀,そしてわがキャッツは2勝1敗と上々の滑り出し！
拓海,岡本が大暴れしてるよな
みく,今日もホームラン打ってたにゃ。一体どうしたん？
友紀,シーズンオフに、西武のおかわり君と自主トレしたんだよね
拓海,そういやそんな記事見たな
友紀,息の長い、品のある打球を打とうって言われたんだよね
みく,息の長い……要するにフライを打てってこと？
友紀,そうそう、全球ホームラン狙いでフライを打つ……コンパクト教なんて要らんのですよ！
拓海,キャッツファンの間でおかわりの好感度爆上げか？
友紀,いやー、ホント埼玉の方角に足向けて寝れないよ。おかわり神を崇めなきゃ…。これで移動日挟んで次のカードに入るけどさ、二人とも次のカードに向けて何か抱負はある？
拓海,……2勝1敗でいけたら御の字
みく,同じく2勝１敗ならOK。とにかく勝率５分に戻したいにゃ
友紀,あたしは次のカードは３つ全部取りたいなぁ。とれるカードで勝ち星をとっておかないと後後苦しくなるし
拓海,以上、お便りのコーナーだ！
友紀,そういや、スターの球団についてなんで触れなかったの？
拓海,……
みく,あ、目そらしたにゃ
拓海,何だその無茶振りは
友紀,ワンナウトフルベースから押し出しのフォアボールを与えたときの、広陵高校野村祐輔の顔マネなら
拓海,マニアック過ぎんだろ！？
友紀,……
拓海,アイドルがしちゃいけない顔になってんぞオイ！？
友紀,いやー、こんなの映像にはできないねぇ！。次のコーナーは、新企画クイズDEシンデレラ～！
拓海,クイズコーナーか
友紀,そうだね。はい、拓海ちゃん読んで
拓海,あいよ……。このコーナーは、毎回ゲストにちなんだ野球関連のクイズを出題します。見事正解した場合にはスタッフが用意した景品をプレゼント！だとよ
みく,みくにちなんだクイズだから……バファローズ関連？
友紀,多分そうだろうね。じゃああたしが問題を読み上げるね
みく,バッチコイにゃ！
友紀,えー、以下の５人の投手はオリックス・ブルーウェーブまたはオリックス・バファローズに在籍経験のある投手です。通算勝利数の多い順に並べ替えなさい
みく,……え゛、全然わかんない
友紀,拓海ちゃんはゲストに協力してOKだってさ。あたしは答え知ってるからダメだね
拓海,……アタシも全然わかんねえんだけど。まず分かりやすいところから埋めてこうぜ。金子千尋とか
みく,ちひろチャンはわかるにゃ。多分この中で一番勝ってるよ、１００勝はしてる
拓海,ンじゃ暫定で一番上だな……次はどうする？
みく,川越チャンは……多分１番少ないんじゃないかにゃあ？
拓海,川越投手っていうと暗黒エースって印象は強いな
みく,なので一番下で。あとの三人が全然わかんないにゃあ…
拓海,４番の加藤伸一って、アタシパワプロでしか知らねえんだけど
みく,……もう直感でやっていい？
拓海,いいぞ。みくの直感に賭けるぜ
みく,じゃあ、こうして……こうにゃ！はい、ファイナルアンサー！
友紀,んー、なるほどね。ファイナルアンサー？
みく,ファイナルアンサー！
友紀,……
みく,……
拓海,……
友紀,…………残念、不正解！
みく,えー！？どこが違うの！？
友紀,実はすごく惜しかったよ。ニアピンまでは行ってた。正解はコレだよ
拓海,４番目と５番目が逆かよ！！！
みく,えー！？カンで選んだ２番３番は当たりだったの！？
友紀,というわけで、正解だったら提供したはずのアイスがここにあるのですが……お預けということ……
みく,アイス食べたいにゃあ！お願い友紀ちゃん、それちょうだい！
友紀,ダメです
みく,にゃあああああああ！！！。食べたいにゃあ……うう
友紀,……ねー、どうする？かわいそうだから食べさせてもいい？
拓海,一口だけならいいって言ってんぞ
みく,やったー！
友紀,はいみくちゃん、あーん
みく,あーん♪……んまいにゃあ
友紀,にしてもコレ本当においしいね。どこの商品？。帰り寄っていこうよ
拓海,アタシも買ってくわ。うめえなコレ
みく,みくも買ってくにゃあ
友紀,というわけで以上、クイズDEシンデレラのコーナーでした！。はい、エンディングのお時間だよー
みく,なんやかんやで、あっという間だったにゃ
拓海,そうだな
友紀,新コーナーのクイズはどうだった？
みく,アレ正解させる気ないでしょ？
拓海,同感だな
友紀,次回以降難易度が下がると思うよ、たぶん。あれじゃ正解者が出ないから
拓海,みくは犠牲になったのだ…
みく,犠牲の、犠牲にな……ってやかましいにゃ
友紀,じゃあ締めるよー。姫川・向井のヒットエンドラジオ、ここまでのお相手は姫川友紀と？
拓海,向井拓海と！
みく,前川みくでしたにゃ！
友紀,それじゃあみんな、また次回も聴いてね～
みく,ばいばーい！
友紀,ところで今年のバッファローズはいけそうなの？
みく,バ・ファ・ロー・ズ！友紀ちゃんまでわざとでしょ！？
友紀,メンゴメンゴ
