※○○Ｐのように各アイドル毎に担当Ｐあり。,今回は一人しか出てきませんが
ありす,あの人、どうもほぼ全ての格闘技の世界大会への出場が禁止されているみたいですね
ほたる,そ、そんな事ありうるんですか？
ありす,普通に考えたらありえません。それこそ、化物のような強さを誇っていないと……
ほたる,……。ありがとうございました、橘さん
ありす,もういいのですか？
ほたる,はい。武神さんの事がまた一つ、わかったような気がしますから
ありす,わかりました。私は私で調べたいことがありますので
ほたる,あ、忙しかったんですか？
ありす,いえ、私もプロデューサー絡みで……っと、噂をすれば電話ですね
ほたる,す、すみません。それじゃあ今日はありがとうございました
ありす,はい。また明日
ほたる,……また明日……。そう、ですよね。明日は……
＜,だからありすと呼ばないでくださいと何度も言っているじゃないですか！
ほたる,……大変そうですね。橘さんも。……お、おはようございます
ちひろ,ほたるちゃん！？どうしたのその格好？！
ほたる,事務所に来る途中に……二回くらい、車に轢かれそうになりまして……
ちひろ,……ほたるちゃん、もしかして今日って
ほたる,はい……アンハッピーデー……です……
ちひろ,やっぱり……言ってくれたなら、全部の仕事をキャンセルしたのに
ほたる,皆さんに迷惑をかけるわけには行きませんから……
ほたるＰ,ほたる！大丈夫か？！
ちひろ,えっ、今どこから来たの
ほたる,あ……プロデューサーさん……
ほたるＰ,迎えに行くって言ったじゃないか。どうして
ほたる,あはは……すっかり忘れてました……今日はアンハッピーデーだったので……
ほたるＰ,なんだそのアンハッピーデーって
ほたる,一ヶ月に一度……特に不幸になる日があるんです
ほたるP,それが今日ってワケか？
ほたる,はい……
ちひろ,武神さん
ほたるP,なんでしょうか
ちひろ,どうかほたるちゃんを、守ってください
ほたるP,ええ。もちろんです
ちひろ,ほたるちゃんのプロデューサーは、みんなこれが原因で去っていってしまいましたから……
ほたる,ちひろさん
ちひろ,ご、ごめんね。つい……
ほたるP,不幸に遭って愛想を尽かしたってか？全くロクなプロデューサーじゃねぇな
ほたる,……そうじゃ、ないんです
ほたるP,どういう事だよ
ほたる,……お仕事、行きましょうか
ほたるP,おいほたる？
ちひろ,ほたるちゃんを、よろしくお願いします。武神さん
ほたるP,もちろんですって。待てってほたるぅ
ちひろ,……貴方なら、きっと……
ほたる,今日は、歩いて仕事場まで行きましょう
ほたるP,いいのか？遠いぞ？
ほたる,……車で行くと、もっと大変でしょうから
ほたるP,そうか。ほたるがそれでいいなら俺は構わないよ
ほたる,では、行きましょうか
ほたるP,ったく。前任の野郎達は許せねぇな。不幸なだけでほたるを見捨てるとか―――
ほたる,っ！？
ほたるP,ん？
ほたる,た……武神さんっ！武神さんっ！！。ま、また、私の、プロデューサーが……
ほたるP,……なるほどね、別に辞めたくて辞めたワケじゃねぇのな
ほたる,武神さんっ！！
ほたるP,ちょ、ほたるぅ。心配しすぎだろ
ほたる,よかった……本当によかった……！
ほたるP,……
ほたる,で、でもどうしてですか？今、武神さん、撥ねられて
ほたるP,まぁ確かに撥ねられたけど……それが？
ほたる,え？
ほたるP,おーい。おっさーん。大丈夫かー？
運転手,あわわわわわ
ほたる,……と、トラックの方が凹んでるんですけど
ほたるP,わりーわりー。いきなりだったからつい、体中に気を張っちまってさー
運転手,あわわわわわ
ほたるP,こりゃダメかな。行こうぜほたる
ほたる,だ、ダメですよプロデューサーさん！病院、病院に行かないと
ほたるP,ああそっか。もしかしたらケガしてるかもしれないからな
ほたる,そうですよ！だから―――
ほたるP,おっさーん。救急車呼んどくからー
運転手,あわわわわわわ
ほたるP,これでいいんだろ？
ほたる,そうじゃないです！プロデューサーさんの心配を
ほたるP,俺ならへーきだから。正直、トラックに撥ねられるのなんかよりほたるに何かあった方のが俺としてはダメージが来る
ほたる,……ほ、本当に大丈夫なんですか？
ほたるP,しつこいぞほたるぅ。ほら、仕事遅れちまうから行こうぜ
ほたる,は、はい……。あれ？でもあの運転手さんはどうやって事故の事を説明するんだろう……。あ、あのぅ？
ほたるP,何？
ほたる,本当に大丈夫ですか……？
ほたるP,へーきへーき。トラックに三回轢かれて、何故か突然二回くらい銃で撃たれて、そんでもってマンホール内のガスが何らかの理由で引火して爆発しただけだろ？
ほたる,絶対大丈夫じゃないですよぅ……
ほたるP,それにしてもすげーな。お前のアンハッピーデーっつーの。まさかかすり傷一つ負っちまうとは
ほたる,あれでかすり傷一つなプロデューサーさんに神様が怒ってるんじゃないですか……？
ほたるP,ははは。そりゃねぇな。俺は神様に愛されて生まれてきたから
ほたる,……そう、ですか
ほたるP,そりゃお前もだぞ、ほたるぅ
ほたる,え……？
ほたるP,自分で生んだくせに神様が嫉妬して不幸を起こしちゃうくらい、お前は可愛いからな
ほたる,～っ……ぷ、プロデューサーさんって、ナンパな人なんですね……
ほたるP,いや、一途だと思うぜ？ほたる以外にこんなクッサイ台詞吐いた事ねぇし
ほたる,調子のいい事ばっかり……
ほたるP,さて、そろそろスタジオだな。今日はほたるが絵本を読んでそれを録音するんだっけ
ほたる,きっと録音機器が故障しますけど……
ほたるP,こんだけ不幸になったんだ。最後くらいはへーきさ
ほたる,そうですかね……？！
ほたるP,ん、どうしｔ
ほたる,……
ほたるP,……。いてぇじゃねーかクソ野郎ー！！！！。流石の俺でも気を張ってない状態で頭から鉄骨落ちてきたら普通にいてーわアホか！
ほたる,痛いだけで済む上に、やっぱり鉄骨の方が頭の形に曲がるんですね……
ほたるP,ちょっと待ってろほたる。あいつらに文句言ってくる
ほたる,あ……プロデューサーさん……もう
黒服1,白菊ほたる様でしょうか
ほたる,え？……そ、そうですけど。すいません、サインは……
黒服2,っ！
ほたる,うっ……
黒服1,おら！あいつが帰って来ないうちにずらかるぞ！
黒服2,お、おう！
ほたるP,待たせたなほたるぅ。結局曲げた鉄骨を元に戻すまで帰さないとか言われてさぁ。……ほたる？
黒服1,へへへ、やったなぁオイ！
黒服2,これで武神の野郎を狩れますねぇ！
ほたる,う、うぅん……
黒服1,お、起きたみたいだ
黒服2,こんな可愛い子、あんな化け物にはもったいないっすよ
黒服1,だよなぁ
ほたる,あれ……ここは……
黒服1,よぅ、起きたか
ほたる,……えっと
黒服2,ごめんなー。無関係のキミを巻き込んじゃってさー
ほたる,……誘拐、ですか
黒服1,察しがいいね
ほたる,……何回もされたことありますし
黒服2,……何か、この子もこの子で心配になってきたんすけど
黒服1,俺もその通りだが、今回キミに危害を加えるつもりはない
ほたる,……みんな、いつもそう言うんです
黒服2,……
黒服1,……
ほたる,お金が欲しいんなら……鞄の中に、お財布が入ってるのでカードでも何でも持っていってください……どうせ、何か起きて引き出せないと思いますけど……いつも私がそうなので……
黒服2,あの
黒服1,皆まで言うな。最後の最後、人質にでもしてやろうかと思ってた俺は死んだほうがいいんじゃないかとまで思ってきた
黒服2,正々堂々、やります？
黒服1,当たり前だろ……というかそうじゃないと、あいつに勝っても意味ねぇよ
ほたる,な、なんですかそれ……
黒服1,これか？これは改造マシンガンだ
黒服2,そんでこっちが改造火炎放射器
ほたる,……そう、ですか
黒服1,これであいつを蜂の巣にして、炙ってやるぜ
ほたる,……その、大変申し上げにくいのですが
黒服1,なんだよ
ほたる,多分あの人……それぐらいじゃかすり傷一つつかないと思うんです……
黒服1,なんでだよ。流石にあいつも人間だぞ？
ほたる,さっきですね。マンホールが爆発したんですけど、それでもあの人傷一つついてませんでした
黒服2,待ってくれ。まずマンホールが爆発したってなんだ
ほたる,それでですね。唐突に何故かジャ○ク・バウアーが現れて
黒服1,来日してんのかよ
ほたる,本当にすまないと思っている！って言って武神さんのおでこを打ち抜いたんです
黒服2,いや、思ってるなら打つなよ
ほたる,でもむしろ銃弾の方が粉々になって
黒服1,……流石に作り話だよな？
ほたる,こんな状況で作り話なんてしても……
黒服2,……兄貴
黒服1,……そうだな。素直にほたるちゃんを解放して、謝ろう。土下座しよう
ほたるP,そうだな。俺もそれがいいと思うぞ
黒服2,ですよね
黒服1,だな。よし、そんじゃ
ほたるP,車で走れば20分、電車で向かえば1時間、俺が動けば30秒ってな
黒服1,……へ？
ほたる,……人の頭がコンクリートに突き刺さるの、始めてみました
ほたるP,不思議だろ？死んでないんだぜこれで。一応ギャグのつもりだから
黒服2,あわわわわわわ
ほたるP,で、平気……だろうな。こいつらがアホなおかげで
ほたる,はい……でも、お仕事この時間だと間に合わない……
ほたるP,仕方ない。ほたる、ちょっと我慢してくれよ
ほたる,わっ、わっ、あ、あの……？
ほたるP,目瞑ってないと酔うかもしれないから気をつけろ、よっ
ほたる,わ、わわわっ！！
ほたるP,はいセーフ！
スタッフ,うわっ！？ど、どこから入ってきたの今！？
ほたるP,ほらほたる、行って来い
ほたる,……
ほたるP,ほたる？
ほたる,……はっ、す、すいません。頭の中が混乱してて……
ほたるP,心配させんなよー。もしかして意識を置き忘れてきたのかと思ったじゃないか
ほたる,冗談に聞こえない
ほたるP,とにかく、言ってこいよ。アンハッピーデーだか何だかしらねぇけど、最後の最後、神様は笑ってくれるさ
ほたる,……は、はいっ！
ちひろ,何聞いてるんですか？
ほたるP,ああ。昨日のほたるの朗読をな
ちひろ,へぇ。聞かせてくださいよ
ほたるP,だーめ。明日には放送されるんですから、我慢してくださいよ。今日はほたるは俺の物です
ほたる,……へ？
ほたるP,よ、おはようほたるぅ
ほたる,あ、あの、プロデューサーさん。今、私はプロデューサーさんの物って
ほたるP,そりゃ担当アイドルなんだから当たり前だろ
ほたる,……そ、そうですか。そうですよね、はは
ちひろ,おはようほたるちゃん
ほたる,おはようございます
ほたるP,そういや、今日は髪ぐちゃぐちゃじゃないな
ほたる,えっと……何故か、寝癖も酷くなくて、鳥に絡まれたりもしなかったので……
ほたるP,おお！もしかして直ってきたんじゃないか？
ほたる,そう、だといいですけど……今日は財布を落としてしまって
ほたるP,全然直ってない！ちひろさん！ちょっとほたるの財布探してきます！
ほたる,ま、待ってくださいプロデューサーさん！
ちひろ,はいはい、行ってらっしゃい。……あれ？あの人、電源入れっぱなしにして……もう。切っておかなきゃ電池がもったいないですよ
