●全90レス前後,予定
加藤,？？？・・・でもほんとうにキレイだと思うなあ、まつげも長いし、眉もしっかりしてるし
黒木,加藤さんみたいな美人が言ったら、ちょっとイヤミだよ
加藤,・・・・・・・・・
黒木,はあ？
加藤,そっちこそイヤミでしょ。わたしメイク落としたらブスだもん
黒木,う、うそだあ！！
加藤,黒木さん、メイクなしでもそんなにかわいいくせに。あー、へこむなあ
黒木,じゃ、じゃあ・・・
加藤,ぜっったい、ダ・メ！
黒木,ちょ、まだ何も言ってない
加藤,見せてくれって言おうとしたんでしょ？
黒木,ま、まあ
加藤,ダメ。だーめ。ぜったい、ダメッ！！
黒木,ざ、残念
加藤,ふふっ。・・・ねえ、黒木さん。そろそろ
黒木,あ、うん。それじゃ、あそこ、で
加藤,ドキドキするね
黒木,う、うん・・・。・・・・・・・・・
加藤,だれもいないね
黒木,そ、それじゃ
加藤,うん、自然に、自然に・・・。・・・黒木さん
黒木,・・・・・・・・・
加藤,いつか、ほんとうに、あなたと友だちになれたなら
黒木,・・・・・・・・・・・・・・
加藤,・・・・・・・・・黒木さん、放課後サイゼに
黒木,う、うん
南,ひひひひひ
黒木,加藤さん、そ、その
加藤,・・・ごめんなさい、黒木さん
黒木,か、加藤さんのせいじゃ
加藤,無理を言っていたのは、わたし。本当にごめんなさい
黒木,そ、それはっ！
加藤,・・・言い訳を考えておきましょう。できるだけ早く、名乗り出るの
黒木,しらばっくれちゃ・・・ダメか
加藤,こういう掲示は出した時点で、もうだいたい相手を特定してる
黒木,・・・・・・・・・・・・・・
加藤,名乗り出なければ反省していないとみなして、しかるべき処分をとるの
黒木,やっぱりそうか
加藤,大丈夫。しっかり話し合っておきましょう
黒木,・・・・・・・・・あれは、その、冗談で
加藤,荻野先生があなたの携帯見て怒ってたの、わたしも覚えてる
黒木,・・・・・・・・・・・・・・
加藤,あなたの言ってたことだって、十分ありうること。・・・わたしがバカだった
黒木,でも、加藤さん。あなた、生徒会・・・
加藤,黒木さん、お願い。わたしを見損なわないで
黒木,・・・・・・・ごめん
加藤,いいえ、ごめんなさい。じゃあ、黒木さん。まずは・・・。じゃあ、黒木さん。明日、ね
黒木,うん。明日の朝、いちばんに
加藤,・・・絶対、大丈夫だから
黒木,うん・・・じゃあ。・・・・・・
加藤,・・・・・・。・・・帰ったらまずお母さんに話をする。何も問題はないわ。いつもやってること昨日も南さんたちの前でしたこと。心を体と頭から切り離す
黒木,・・・・・・・・・・・・・・。ただいまー
黒木母,おかえり。お風呂入んなさい
黒木,はーい。ふう・・・
黒木母,また、加藤さんの娘さんと？
黒木,うん。一緒にサイゼ行ってた
黒木母,そう。・・・迷惑かけてないでしょうね
黒木,いっつも、かけちゃってる
黒木母,あんたって子は、もう
黒木,・・・・・・・・・・・・・・。・・・・・・・
黒木母,あまり遅くならないうちに寝るのよー
黒木,はーい。・・・・・・・・・・・・・・。・・・・・・・・・・。・・・・・・・・・・・・・・加藤さん。加藤さんも、意地っ張りだなあ。もう・・・。・・・・大丈夫も、何も。おかあさーん。・・・・
加藤,・・・おはよう。・・・。・・・お母さんには話をした。言い訳も考えた。あとはふたりで、先生と話をするだけ。なのに・・・。今日、朝一番で名乗り出るはずだったのに。まだ教室にも来てない・・・どういうこと？
荻野,はい、みんな席について
加藤,もう、朝礼始まっちゃう・・・！
荻野,おはよう、みんな。今日は・・・
清田,先生、黒木さんが来ていませんけど
荻野,・・・黒木は、もう連絡が来ています。少し遅れて、授業に・・・
黒木,・・・・・・・・・・・・・・
黒木母,今日はほんとうに、うちの智子がまた・・・
学年主任,い、いえ。そんな大げさなことでは
教頭,・・・これは、何事なのだろう
黒木母,ほら、あなたからもちゃんと謝りなさい
黒木,・・・すびばぜん
教頭,・・・う、うむ
学年主任,顔を上げなさい、黒木・・・
黒木,はひ
教頭,・・・・・
黒木母,先生がただけではなく、加藤さんにもご迷惑をかけたようで
学年主任,いえ、あの子らしいことです。・・・問題のある行動をしていたわけではないようですし
教頭,すみやかに名乗り出た以上、処分はしませんので。ご安心ください
黒木母,ほんとうに、すみません・・・ほら、あなたももう一度
黒木,すびばぜんでぢだ。わたぢが無理を言っデ、加藤さんにご迷惑を・・・
加藤,違います
教頭,んっ？
学年主任,・・・加藤？！
黒木母,加藤さん？
黒木,・・・・・・・・・・・・・・
加藤,黒木さん
黒木,・・・・・・・・・加藤さん
加藤,黒木さんこれはいったいどういうこと？
黒木,・・・どういう、こと、って。べづに・・・
加藤,あなたがわたしに迷惑を？なぜそんなすぐわかるウソを？
学年主任,か、加藤。いったいなんなの？
加藤,黒木さんがウソをついているんです・・・わたしをかばって
黒木,いいえ・・・加藤さんのほうが、わたしをかばって・・・
加藤,・・・黒木さん。だからそんな・・・
教頭,ふうむ・・・
学年主任,・・・・・・・・・・・・・・
加藤,・・・先生？
黒木母,・・・ごめんなさいね、加藤さん。この子を心配してもらっちゃって
加藤,え？い、いいえ。そういうわけでは
学年主任,・・・加藤はこういう子なんですよ、黒木さん
加藤,えっ？
教頭,普段からきみには、いつも苦労をかけてしまってるね
加藤,・・・そ、そんな！違うんです、本当です！
黒木,・・・・・・・・・・・・・・
加藤,先生がた、黒木さん！信じてください！
黒木,加藤さん・・・・・・・・・・・・・・いつも
加藤,えっ―
学年主任,うん、うん。・・・いい子ね、黒木
教頭,うん、いい子だ。黒木も、加藤も
加藤,・・・・・・いい子・・・・・・？
学年主任,あ、あっ・・・
教頭,か、加藤くん
黒木母,・・・・・・・・・・・・・・
教頭,ど、どういうことかね。きみ・・・
学年主任,わ、わたしにもちょっと
黒木,・・・・・・・・・・これで
黒木母,智子
黒木,ぐえっ？！
学年主任,なっ？！お、お母さんっ！？
教頭,ちょ、ちょっ・・・落ち着いて！！
黒木,な・・・なっ・・・
黒木母,あなた、また、余計なことをしたわね・・・？！
黒木,・・・・・！
黒木母,違うの！？
学年主任,お母さん、やりすぎですっ！
黒木,う、うっ・・・
黒木母,どうせまた、みんな騙していたんでしょう！。わたしのことも、先生たちも、あの子のことも！！
黒木,う・・・・・・・・・・・・・・。・・・・・・・・・・・・・・
黒木母,とっとと、あやまってらっしゃいっ！！
黒木,うっ、うん！。加藤さんっ！
加藤,こないでっ！！
黒木,・・・やば、本気で怒ってる
加藤,せっかくふたりでちゃんと話を合わせておいたのに
黒木,・・・・・・・・・・・・・・
加藤,どうしてあんな
黒木,・・・・・・・・・・・・・・・・・
加藤,…ダメ？
黒木,加藤さんが、わたしをかばってくれるのは、嬉しかったんだけど
加藤,かばってるわけじゃ…
黒木,でも、ダメなんだ。いずれにせよ、わたしは疑われる
加藤,！
黒木,わたしには、前科があるから・・・
加藤,・・・そそれは
黒木,加藤さんがわたしを一生懸命かばおうとするほど、余計に疑われたかも
加藤,・・・・・・・・・・・・・・
黒木,だから、いっそのこと
加藤,そ・・・それならなぜ
黒木,え？
加藤,そうなるってわかっててなんであんなことしてくれたの？
黒木,・・・それは
加藤,わたしバカみたい。・・・悔しいっ！
黒木,・・・・・・・・・・
加藤,わたし、くやしい・・・！
黒木,ごめんなさ・・・
加藤,あやまらないで！！
黒木,加藤、さ…
加藤,黒木さん、なんで？！じゃあなんで、わたしなんかと仲良くしてくれたの？！。あなたばっかり損するってわかってたくせに！！。わたしが、もし、わたしが・・・
黒木,・・・・・・・・・・・・・・
加藤,ねえ、黒木さん・・・どうするつもりだったの！。そんなに、そんなに、苦しい思いなんかして・・・。わたしが、あなたのこと・・・最初から好きでもなんでもなかったら・・・。え
黒木,べつに、そんなの、はじめてなんかじゃない。友達のことで、先生からどうのこうの言われるのなんて。え
加藤,・・・・・・・・・・
黒木,か、かとう、さっ
加藤,・・・・・
黒木,く、苦し
加藤,・・・バカ
黒木,えっ
加藤,バカ、バカ、バカッ！。そんなわけないじゃない！！先生に言われたからだなんて！！。わたし、ほんとに、ほんとうにっ・・・
黒木,んぐっ
加藤,・・・・・・・・・・・・・・・・・・・・・
黒木,ん、ぐぐぐ
加藤,・・・・・・・・・・・・・・
黒木,ぐ、ぐるぢい・・・
加藤,・・・黒木さん
黒木,え・・・・・・・・・・・・・・
加藤,ウソ！あれ全部、ウソ・・・！
黒木,・・・・・・・・・・・・・・うん
加藤,わたし、わたし・・・あなたのこと・・・
黒木,・・・わかってるよ。加藤さんはそんな人じゃない
加藤,じゃ、じゃあっ・・・なんで、黙っちゃったの！？
黒木,え？
加藤,なんで、なんで、明日香は友だちだって、南さんに言ってくれなかったの？！
黒木,・・・・・・・・・・・・・・
加藤,わたし・・・あなたに、嫌われちゃったんだって・・・思って・・・
黒木,ごめん、びっくりして、うまく言えなかった
加藤,バカ、バカ、ばかっ・・・
黒木,・・・・・・・・・・・・・・
加藤,ごめんなさい、ごめんなさいっ・・・
黒木,・・・加藤さん
加藤,ごめん・・・ねえ・・・
黒木,やっぱり、わたしはバカだ、アホだ
加藤,ぐ・・・ぐず、うえ・・・うえええ・・・ん・・・
黒木,クズだ。クソゲス野郎だ。・・・加藤さんを、こんなにも
加藤,ひぐ、ひぐっ・・・ふぐう・・・
黒木,与えられる立場？ふざけんな、カスが
加藤,う、うぐう・・・えっ、えっ・・・えぇぇっ・・・
黒木,まったく。・・・・・・・・・・・・・・。・・・智貴
加藤,バカ、バカ・・・ふ、ふうっ・・・ぐう・・・
黒木,・・・・・・・・・・・・・
比留間,うおおおおおおおおおおおおお
黒木,・・・・・・・・・
加藤,・・・・・・・・・
黒木,落ち着いた？
加藤,うん。ごめんね
黒木,いいよ
加藤,ううん。制服、汚しちゃった
黒木,涙しかついてないよ
加藤,洗わせて
黒木,・・・わたしは加藤さんに、よだれつけちゃったし
加藤,・・・・・
黒木,これで、おあいこだからとうぶん洗濯しないでおこう
加藤,もう・・・
黒木,・・・加藤さん、そろそろ
加藤,・・・
黒木,加藤さん？
加藤,・・・
黒木,どうかした？
加藤,メイク、ぐちゃぐちゃになっちゃった
黒木,メイク拭きあるよ
加藤,・・・・・・・・・
黒木,え
加藤,だって、ブサイクだもん・・・・
黒木,・・・み、見たい
加藤,黒木さん、きっと笑うでしょ
黒木,笑わないよ、絶対
加藤,・・・・・・・・・やっぱり、いや
黒木,加藤さんのほんとの顔、見たい
加藤,・・・・・・・・・・・・・・
黒木,ありがと、拭くよ
加藤,・・・
黒木,・・・・・・・・・・・・・・
加藤,・・・ブスでしょ
黒木,・・・・・・・・・・・・・・
加藤,目、細いでしょ。眉、薄いでしょ
黒木,・・・・・・・・・・・・・・
加藤,みっともないよね。ヘンな顔だよね・・・
黒木,むちゃくちゃかわいい
加藤,・・・ウソ
黒木,すごく綺麗。素材の差って残酷
加藤,おだてないで
黒木,ほんとだってば。興奮とか欲情とか通りこして、勃起しそう
加藤,バカ。えっち。ヘンタイ
黒木,うん
加藤,・・・今日の黒木さん、ちょっと意地悪
黒木,わたしもともと、底意地悪いから
加藤,知ってる。ネコかぶってたんでしょ
黒木,・・・も、もう。あれから日をあらためて、再度聞き取りを行うことになった
加藤,黒木さんのお母さんと、今度はわたしのお母さんも立ち会って
黒木,・・・悩んでもしょうがない、腹をくくろう
加藤,ねえ、黒木さん
黒木,なに？
加藤,どうしても、ゆずらないつもり？
黒木,・・・加藤さんは？
加藤,ガンコなんだから
黒木,加藤さんこそ。どうせ疑われるのはわたしなのに
加藤,先生がたがどう思おうと、わたしは本当のことを言うだけ
黒木,頑固者
加藤,ええ。え
黒木,・・・あの野郎
比留間,せーんぱーーーーーいっ！！
加藤,あっ。比留間、さん？
黒木,今度は何だ
比留間,新作ですっ！おあらためを！
黒木,もう出たのか
比留間,はい、先日のおふたりの姿にインスピレーションを得ました！
加藤,えっ
黒木,見てやがったのか
比留間,ああ、いま思い出しても胸の高鳴りが抑えきれませんっ！。小動物と見せかけて実は超肉食のフェレット系お姉さま！。気高く美しい牝獣の喉に食らいつき、そのしなやかな肉体を地にはわせ組み伏せ蹂躙する！。あああああ、こうしているだけであの時の情景が・・・・・！！
黒木,そうか、さらばだ
比留間,
黒木,行こう、加藤さん
加藤,・・・いいの？
黒木,たぶんこいつ、わかっててやってるから
比留間,す・・・素敵です・・・お姉さま・・・
教頭,・・・間違いないのかね
黒木,はい
加藤,…はい
学年主任,うーん。でもねえ
教頭,ふたりの言い分が、真っ向から対立してしまってるなあ
学年主任,黒木さんは、前回聞いた通りなのね？
黒木,はい。加藤さんに、わたしが、無理を言って・・・
