渋谷凛,ねぇ、プロデューサー。今週末オフだよね？何か予定あるの？
モバＰ,言葉もないっス。それで、今度のオフに合わせて社長がダ○キンのお掃除サービスを頼んでくれたんですよ
ちひろ,へー、社長も面倒見いいですね
モバＰ,正直かなり助かりますよ。感謝感謝です
ちひろ,……なーんか、裏がありそうな匂いがしますけど
モバＰ,餌をあげて頑張らそうって魂胆でしょ。それなら望むとこですよ！期待には応えたいですからね
ちひろ,……まあ、そうですね。では、景気づけに一本っ！
モバＰ,あ、いらないです
ちひろ,お買い得なのに……
モバＰ,ん……んんっ……なんだ、こんな朝早く……あぁ、そう言えばダス○ン今日だったか……ふわぁ……。はいはい、そんな連打せんでも……。は～い、お待たせしました～。ご苦労様です、今開けますね。……帽子被っててよく見えなかったけど、なんか既視感ある見た目と声だったな。はやっ！ここ五階だぞ！？。あー、はいはい、今行きま～す。……どうも、今日はよろしくお願
女１,うん。じゃあ早速
モバＰ,……。……なにしてんの？凛
凛,……ダ○キンです。お掃除サービスに参りました
モバＰ,何言ってんの？何入ろうとしてんの？
凛,ダスキ○だから……お掃除サービスです
モバＰ,いや、だから
凛,……
モバＰ,……
凛,ダス○ンですっ！
モバＰ,渋谷凛だろうがっ！
凛,っ！っっ！！
モバＰ,おまっ！なにその力っ！くぬっ！！
天海春香,ふぅふぅ……。やっと追いついたと思ったら、手四つでの熱い力比べが……
美波,はぁはぁ……。これ一応ドッキリ企画ですよね？応対の瞬間を撮れてないですけど成立するんでしょうか
春香,それは……
モバＰ,え！？天海さん！？それに美波！？カメラまでっ！！何して……ぬぉぉ！凛っ！空気読めっ！！
凛,～～っ！！
春香,十分ビックリしてるみたいだから大丈夫っ！じゃあ、突撃ですよ！突撃っ！！
美波,は、はは……すいません、プロデューサーさん。横失礼します
モバＰ,ちょちょ！なんで！？なになに！？何コレ！？っり、りん……離して……あぁ、カメラマンまで……
凛,……意外と手、おっきいね
モバＰ,君はホント何なのよ……。で、これは一体どういう事なんですか？
春香,突撃隣のプロデューサー！という新企画ですっ！マンネリ防止を検討していた我が番組に、渋谷の凛ちゃんが企画を持ち込んで来てくれて、新しい風を吹き込んでくれました！
モバＰ,……うそー
春香,それがホントなんですねー。何でもドッキリというバラエティー企画を建前にして、プロデューサーという存在がどんな生態をしているかファンの皆さんに知ってもらおうって狙いがあるんだとか
モバＰ,……っていう建前で、己が知りたいからっていう超個人的な理由ですよ？あれ
春香,……すんごい物色してますね。私達としては面白ければなんでもアリの精神なんで問題はないですけど！
モバＰ,私に対しての問題を考慮してもらいたいのですが……
春香,そこは、凛ちゃん曰く社長と他事務所が絡んだ企画だからプロデューサーは折れると思う。フォロー役に美波をキャスティングすればなお良しと
モバＰ,えぇ……反論できないけど……
春香,そうですか！オッケー頂きましたー！撮影再開しましょ～う！！笑顔でいきましょう、笑顔でっ！！
モバＰ,よ、容赦ねぇ……
美波,あの……プロデューサーさん。ごめんなさい、固く口止めされてて……
モバＰ,いや、仕方ないよ。社長まで巻き込んでたらな……
美波,……約束通り、出来るだけ助けになれるよう頑張ります
モバＰ,お願いします……
春香,……はい！という訳で、346プロのプロデューサーさん宅に突撃しましたよー！ちょっと手違いで、業者が実は担当アイドル！ババーン！！なドッキリの瞬間は撮影出来なかったけど、その分家探しをされるハラハラ感を味わってもらいましょう！
モバＰ,あの……すでにうちの渋谷がわさわさとしてるんですが
春香,あー、撮影前に栄養ドリンク飲んでからテンションが若干狂ってましたからね……と、冷蔵庫はっけーん！何が入ってるのかな？
モバＰ,そのバラエティー慣れしてる適当さはいいんですけど、いきなり冷蔵庫を開けてきますか。渋谷さんを止めに行きづらい豪胆さですね。新田さん、私はどうすればいいんでしょう？
美波,えっと、はは……。私が凛ちゃんのところに行ってきます
モバＰ,渋谷さんに今後栄養ドリンクは禁止と伝えてって、天海さん！それ俺……私が大事にとっておいたプリン！
春香,ん～！まさかおみたまプリンとご対面できるとは！はむっ、ん～～！！おいし～！！
モバＰ,ああっ！！そんな一気に……！ちょっと、天海さんっ！！
春香,はいはい、しょーがないですねぇ。はい、あ～ん
モバＰ,……あ～
春香,はむっ。ふふふ、アイドルと間接キスなんて、そう易々と出来るものじゃないんですよ～
モバＰ,……。いや、わかってましたけどね？私もプロデューサーの端くれですから？でも、こう……予想以上にキますね
春香,はぐはぐはぐっ！……え？なんですか？
モバＰ,ふ、ふふ……。いえ、美味しかったですか？
春香,はい、ご馳走様でした！ん～……キッチンはバラエティー的に面白味が無いですね。次行きましょ、次！
モバＰ,くぅ……芸人的な切り替えの早さっ！止める暇がないっ！！
春香,あれ？二人が見当たりませんね？
モバＰ,え？……ベッドルームの扉が開いてる……
春香,二人共攻めますね。でも、カメラの前じゃないと意味ないよー！凛ちゃん、美波ちゃんっ！！
モバＰ,くっ！やっぱり動き出しが早いっ……！
凛,……
美波,……
春香,おーい。二人共真剣に何見てるの？
美波,……え？あ！すいません。卒業アルバムを見つけちゃいまして……
モバＰ,げっ！そう言えば、引っ越しの時おかんが忍び込ませてたの忘れてたな
春香,忍び込ませてた？
モバＰ,一人暮らしで寂しくなったら見なさいっていう、なんとも言えない理由で……
春香,へぇ～。どれどれ……凛ちゃん、プロデューサーさん見つけた？
凛,うん。この端に写ってるよ
春香,おっと、まさかの思い出の写真ゾーン！しかも後ろ姿！……ホントにプロデューサーさんなんですか？
モバＰ,いや、どうでしょう……。ちょっとわからないです
凛,絶対プロデューサーだよ。ね？美波
美波,うん。これはプロデューサーさんかな
春香,凄い自信……。その自信はなんなんでしょう
凛・美波,愛だよです
モバＰ,カットで！今の一連のやり取りカットでっ！！
春香,超反応ですね。大丈夫ですよ、師弟愛ってことで！
モバＰ,駄目ですって！適当なこと言わないで下さいよ！
春香,えへへ。冗談ですよ、冗談。……はい！それでは、若かりしプロデューサーさんを拝見！凛ちゃん、ちょっといいかな？
モバＰ,編集点を作ってくれたか……。にしても、美波まで……
美波,ぁぅ……。ｺﾞﾒﾝﾅｻｲ……
春香,あの……凛ちゃん？
凛,……
モバＰ,凛の暴走を抑えられるのは俺だけじゃ厳しいから、ホントお願い……
美波,はい！もう、自分を見失いません！
春香,熱いアイコンタクトを交わしてるとこすいませんが、卒アルを抱え込んで見てる凛ちゃんを何とかしてくれませんか？
美波,っ！……あ、あいこんたくとなんてしてませんよ？
春香,……うん。なぜか美波ちゃんがポンコツ化してるのでプロデューサーさんお願いします
モバＰ,……はい
美波,ぁぅぅ……
モバＰ,渋谷さん、収録が進まないのでその本をこちらに
凛,……
モバＰ,……貰いますよ
凛,……
モバＰ,……
凛,……
モバＰ,……隠されましたね。もう次行きましょう、次
春香,見せたくないからって、そんな流さないでくださいよ。凛ちゃ～ん？犬じゃないんだから隠さないで皆で見よ？プロデューサーさんの好きだった子とか気にならない？
凛,何してるの、プロデューサー。早く教えて
春香,うおぅ。春香さんもびっくりの豹変っぷり！
モバＰ,私もびっくりですよ……。えっと、好きな人？……そういった子は特に居なかった
春香,あ、そういうのいいんで。居ないはずがないんで
モバＰ,ぐっ……美波っ！
美波,どの方なんです？
モバＰ,ちくしょうっ！
凛,はよう
モバＰ,っっ……あぁ、もう……。この子ですよ……
春香,ほうっ！どことなく春香さんに似てますね！
モバＰ,似てませんね
春香,即答ですね！
モバＰ,はははっ！
春香,あははっ！
モバＰ,それじゃ次に行きましょ
春香,ぶっちゃけ美波ちゃんに似てますね！
モバＰ,ちくしょう！
凛,……
美波,わ、私ですか……ﾌﾌ
春香,この流れでぶっこませて頂きます！ベッド脇に放置されてたコレ！！。春香さんが帯コメントを書かせて貰ったこの写真集！セクシーショットも沢山ある訳ですが……ベッド脇っ！！意味深っ！！
美波,や、やだ……プロデューサーさんってば……もう……
凛,……
春香,おや？凛ちゃんが布団に包まっちゃいましたね。どうしたのかな？
モバＰ,……うん。もう、カメラ前だとか他事務所の子だからとか知らねぇ！変に取り繕わねぇぞ！！
春香,お？お？やりますか？受けて立ちますよ！シュッシュッ！！
モバＰ,アイドルが下品な下ネタを言うんじゃありません！君、一応清純派アイドルなんだから
春香,え、あ、そこ？いや……ごもっとも……。……ん？一応？
モバＰ,それから担当アイドルなんだから献本の一冊や二冊あるわ！凛のもな！！
凛,ホント！？
モバＰ,うおっ！ビックリした。ホントだって。ていうか、ベッドから降りなさい
凛,……でも、好きな人は美波似でベッド脇……
モバＰ,部屋の汚さ見たら分かるだろ。偶々ベッド脇に転がってただけ。あと、あの子、そんなに美波に似てないだろ
春香,え？じゃあ誰に似てるんですか？
モバＰ,美優さん……って、何言わせてんの！？
春香,んふふ……いいですね～。私も三船さん大好きですよ～
モバＰ,くっ！！助けて美波……！
美波,私じゃない……。凛ちゃん、横お邪魔するね
凛,ん
凛・美波,……
春香,なぜか美波ちゃんも布団に包まっちゃいましたね
モバＰ,助けてくれるって言ったのにっ
春香,ん～……もうひと笑い欲しいですね。そうだ！ベッド脇じゃなくて、ベッド下が王道ですよね！
モバＰ,だから、そういう下ネタはやめなさいっ！
春香,お？なんか発見！
モバＰ,無視すんなっ！
春香,よいしょ。うっそだろ……おい……
モバＰ,いやいや、さっき言ったように担当アイドルだからね？
春香,そう……ですよね。ベッド下にあったのも偶々ですよね。ベッドの下……
モバＰ,含みを持たせるのやめてもらえる？意味が出てきちゃうから
春香,わかってますわかってます。一人暮らしなんだから隠す必要はないですもんね
モバＰ,うん……って違う違う！一人暮らしだろうが何だろうが隠す必要は無いって！
春香,ええ、ええ……わかってますわかってます。そんな必死にならなくてもわかってます
モバＰ,こ、この……！これ、何言ってもドツボに嵌っていくパターンじゃねぇか！！
春香,そんな事ありませんって。ただ、L.M.B.Gの子達を愛してるだけってわかってます
モバＰ,否定しづらいだろっ！！適格に追い詰めんなやっ！！
春香,そうでしょうそうでしょう。愛は否定出来ませんもんね
モバＰ,ぬ゛あ゛あ゛あ゛！！も゛お゛ぉぉ！！！
春香,世界の中心で愛を叫びたいのかな？
モバＰ,うるせぇ！！！
三船美優,あ、あの……凛ちゃん？何か用でも……そんなに見つめられると、落ち着かないというか……
凛,……気にしないで。彼を知り己を知れば百戦殆うからずから、敵を知り己を知れば百戦殆うからずに方針転換しただけだから
美優,それ同じ意味……。えっと……私、何か凛ちゃんの気に障る様なことしたかな……
凛,ん～ん。美優さんは何もしてないし、何も悪くないよ。でも敵だから
美優,て、敵……
凛,勘違いしないでね。美優さんのことは好きだから
美優,ぅぅ……どういうことか、もう……
モバＰ,ただいま帰りました
美波,お疲れ様です
美優,あ、Ｐさん、美波ちゃん！お帰りなさい！
モバＰ,え、ええ。どうしたんです？そんな怯えるように……
美優,いえ……
凛,……なるほど。涙目で気を引くっと……
モバＰ,……お前、何したの？
凛,何もしてないよ。それで765さんとの協議どうだったの？
モバＰ,あぁ。結局お蔵入りだよ。使えるとこなさ過ぎ。お前らにしても、天海さんにしてもはっちゃけ過ぎ
凛,ふ～ん
モバＰ,ふ～んって、お前の企画なのにその反応はどうよ
凛,残念だけど気にしてたら次の一歩を踏み出せないから。……それより、美優さん。いつまでプロデューサーの影に隠れてるの？
美優,そ、その……美波ちゃんも、何故か見つめてくるから……
美波,……
モバＰ,美波？
美波,……私と美優さんって似てませんか？
モバＰ,え？
美波,姉妹と言ってもいいほどに
美優,え、えっと……
モバＰ,まぁ、似てるといえば似てるけど
美波,ですよね？なら、美優さんに似てるという事は私にも似てるという事ですよね
モバＰ,……あぁ。もういいじゃん、その話は。お蔵入りになった理由の一つでもあるんだし
美波,駄目です。大切な事です
モバＰ,えぇ……
凛,……美波。プロデューサーは見た目で人の価値を測るほど愚かじゃないよ
美波,うん。でも、英医学雑誌に、男性は愚かという研究報告が掲載されたことがあるから一応……ね？
凛,むぅ……
美優,？？？
モバＰ,あー、ほっといていいですよ。この前の収録が尾を引いてるだけですから
美優,そう……ですか。その収録で私に関することがあったんですか？
モバＰ,えぇ、俺の卒業アルバムを見られた流れで、学生の頃好きだった人を教えろって圧をかけられまして
美優,好きだった人……
モバＰ,それで、その子のことを美優さんに似てるって、つい言ってしまったんですよ
美優,！
モバＰ,そんな訳で、しばらく二人にちょっかいかけられるかもしれませんが、適当に流しといてください。俺からもよく言っとくんで
美優,……
モバＰ,……美優さん？
美優,期待してもいいんですか……？
モバＰ,え？何を？
美優,Ｐさんの恋人になること……
モバＰ,は！？え！？ええ！？
美優,……ふふ、冗談です。Ｐさんは外見だけで人の良し悪しを決める人ではないですもの……
モバＰ,もぅ……心臓に悪いですよ……
美優,……そう、外見だけでは。……どんな方だったのか、気になります……ね……
モバＰ,あ、あの……？
美波,やっぱり、そうですよね
モバＰ,うぉ！急にどうした？
凛,内面が大事だからね。美優さんごめん。敵は別にいたよ
美優,え？……え？
凛,任せて。段取りはもうわかってるから
美優,何の……
凛,美波、手伝ってくれる？
美波,もちろん
凛,よし！じゃあ、早速取り掛かろう
美波,了解！
モバＰ,お、おい、さっきから何を……まさか、また……
凛,次の一歩を踏み出すんだよ。それじゃあね
美波,お先に失礼します！
美優,……次の一歩
モバＰ,……あの、美優さん。一つご相談が
美優,……え？
モバＰ,……。はい、お待たせしました。ご苦労様です。開けますね。……
美優,はい……
春香,ホントにダ○キンだと思いました？残念！春香さんどえぇえええ！？
凛,どうしたの……え！？
美波,凄い叫び声が……。っ……嘘……
春香,あ、あの……、突撃隣のプロデューサー、初恋の子はどんな子？知らない？なら、会いに行こうって企画でして……その……
美優,……お疲れ様です
春香,あ、はい……お疲れさまです……
凛,な……な……
美波,そんな……
モバＰ,……
春香・凛・美波,！！！
モバＰ,ふはっ……ふはははははっ！！三人共ナイスリアクション！！
春香・凛・美波,！！？！？
春香,も、もしかして……
モバＰ,そう！うちの二人があからさまな動きをしてたからね！逆に引っ掛けてやろうかと、一芝居打ってみました！
凛・美波,
モバＰ,社長からまたお掃除サービスの話がきて確信したんだ。そこで、765さんに協力を依頼！実はダ○キン役兼カメラマンの男性は……
765Ｐ,よ！みんないい顔だったぞ！！
春香,あぁ！！プロデューサーさん！！
765Ｐ,いやー、帽子被ってるからって全然気付くそぶりないんだもんなぁ。ひどいなぁ
春香,酷いのはどっちですか！業界の闇に触れちゃったかもってバクバクだったんですよ！！
モバＰ,ははは、業界の闇は言い過ぎだよ
凛,……じゃあ、嘘なんだよね
美波,美優さんも、仕掛人……なんですよね
モバＰ,当然。そうじゃないと成り立たんだろ
凛,だよね……
美波,びっくりした……
美優,……ふふ
モバＰ,美優さん、ご協力感謝です！ありがとうございました！
美優,いえ……凛ちゃんの言ってた次の一歩を踏み出すチャンスだと思ったので……
モバＰ,……次の一歩？
美優,なんでもありません。……ごめんね？凛ちゃん、美波ちゃん
凛,うん
美波,大丈夫ですよ、美優さん
美優,……よかった
春香,……あれ！？春香さんには！？
美優,あぁ！！春香ちゃんもごめんね？
春香,まったく！まったくもうですよ！！
モバＰ,んはは！！
美優,ふふ
765Ｐ,それじゃ、三人共最後は笑顔で……ドッキリ大成功っ！
春香,イエイっ！
凛,もう……
美波,やられちゃいましたね
春香,ちょっと！一人でイエイって恥ずかしいよ！？凛ちゃん！美波ちゃんっ！！
凛,……え？あぁ……
美波,……はは
春香,こらぁ！一歩引くなぁ！！
765Ｐ,くくっ……。はい、オッケーでーす！皆さんお疲れ様でしたー！
春香,あっ！もう！！……お疲れ様でした！！
765Ｐ,ははは。それじゃ、これ制作に回しておきますね
モバＰ,すいません。よろしくお願いします
765Ｐ,いえいえ、本当はオフのとこお疲れ様でした。それじゃ、失礼しますね。よし、お前ら！ロケバスに乗り込めー！！
春香・凛・美波,はーい
モバＰ,二人共気をつけてな！お疲れ！！
凛,うん。また明日ね
美波,お疲れ様でした
モバＰ,ふぅ……。上手くいって良かった
美優,ふふ、そうですね。お茶でも入れましょうか？
モバＰ,あ、お願いします。……ん？
美優,………………………………………………うふふ
春香,ん～！まさかの逆ドッキリだったね！！
美波,う～……自分の行動が見透かされるのって結構恥ずかしいですね……
凛,うん……ん？
美波,どうしたの？
凛,美優さんは？
美波,……あれ？
春香,今回別行動だったから現地解散だったんじゃないの？
凛,そう……だよね
美波,タクシーで帰ったのかな？
春香,もしくは、そのままプロデューサーさんの家に留まってイチャコラ……なんてね！
凛・美波,！
春香,な、なんてねー……
765Ｐ,そういえば、帰り際……すんごいナチュラルに家の中に入ってったな、三船さん
春香,プ、プロデューサーさん！！
凛・美波,
765Ｐ,あ……いっけね☆
