モバP(≧P),……ん、朝か
P,そうか。でもすっぱ抜かれないように気をつけろよ
加蓮,…ねぇ、なんでそんな反応薄いの
P,いや、アイドルのプライベートにそこまで深入りしても…
加蓮,もういい、何にもわかってないんだから。ふて寝する
P,加蓮、ソファで寝るな。身体傷めるし腹冷やすぞ
加蓮,大丈夫大丈夫。…あーいや、やっぱりちょっと肩痛いかも
P,言わんこっちゃない。ほら、俺引きずり出してからベッドで休め
加蓮,だーめ。今日はプロデューサーが休む日なんだからベッドでしっかり休んで
P,仕方がない、俺が布団を敷いて…
加蓮,ダメ！！
P,うぉっ！？
加蓮,…分かった！もう、こうすればいいんでしょ、まったく！ほら開けて！
P,えっ！？ちょっ、これシングルベッド…
加蓮,いいからいいから。私そんなに大きくないし入るでしょ、ほらほらほら
P,それは、そうだけど
加蓮,はーいおやすみなさーい
P,マジか…
加蓮,………
P,………
加蓮,………
P,………
加蓮,………
P,…寝れないな
加蓮,…そうだね
P,…ごめんな、こんな散らかった部屋で
加蓮,気にしないでいいよ。私生活感がある部屋の方が好きだから
P,悪いな。そういえば、結局昨日の俺どうだった？結構ヤバそうだった？
加蓮,プロデューサーはいつもみたいにバリバリ仕事してたよ。それで、私はちょっと働きすぎかな、と思って眠気覚ましにコーヒーを差し入れしたんだ。そしたら急にプロデューサーがふらっと
P,そうか…なんでだろうな、昼まではそこまででもなかったのに
加蓮,仕方ないよ、薬盛ってたから
P,お前か
加蓮,疲労感が倍になる薬。プロデューサー最近働きづめだったでしょ、たまには休まないと
P,結果手足が一ミリも動かないんですが
加蓮,ごめん、使用量間違えたかも
P,こんちきしょうめ
加蓮,で、コーヒー飲んだらすぐにプロデューサーがフラフラしだしたから、そのまま連れて帰って今に至る、と
P,…まあ、おかげで気分は悪くない
加蓮,プロデューサーが頑張ってくれるのはありがたいけど、やっぱりみんなプロデューサーの元気が一番だから。自分を大事にするように
P,…申し訳ない。だが薬は盛るな
加蓮,だってそうでもしなきゃ休まなかったし
P,うっ
加蓮,まったくもう…プロデューサーには仕事以外に大事なことないの？
P,何言ってんだ、アイドルが一番大事だよ。だからアイドルのために仕事を
加蓮,本末転倒
P,マジか…
加蓮,あ、電話きてる。私が取るね
P,誰からー？
加蓮,凛から。もしもし、加蓮だよ。え？まあ、プロデューサーと私の仲だからね。はいはーい。プロデューサーに変わりまーす
P,も、もしもし。ああ、おかげさまで久しぶりによく眠れた。心配しなくて良いぞ。ありがとな。卯月と未央にもよろしく伝えといてくれ。じゃあな
加蓮,…何て言ってた？
P,まずはしっかり休めってさ
加蓮,凛らしいね。どうする？テレビつける？
P,ああ、そういえば録画が溜まってた気がするな…せっかくだし見るか
加蓮,おっけー。了解。…プロデューサー、やり方分からない！
P,まずそこの録画機器のスイッチ入れて
加蓮,はい、入れて？
P,起動するまでしばらく待って
加蓮,…人のテレビって扱いづらいねやっぱり
P,だよなあ。あ、ウェルカム出た。そのリモコンで録画画面開いたらできるはず
加蓮,おお、できた。…って何本あるのこれ
P,40本くらい…
加蓮,溜めすぎだよ…特に見たいやつは？
P,んー、じゃあゲームセンターCXで
加蓮,…5本あるけど
P,そこの2本だけ見る
加蓮,はいはーい。………
P,………
加蓮,…プロデューサーってこういう古いゲームが好きなの？
P,いや、懐かしい感じがして新しいのとは違った良さがあるんだよな
加蓮,ふーん…私の家さ、64置いてあるんだけど…いつか来る？
P,マジで？何あるの？
加蓮,マリオパーティとか007とか…あ、イライラ棒？とかもあったかな
P,おお、丁度実家が売っちゃったんだよ。暇な時にお邪魔しようかな
加蓮,ふふっ。売らなくてよかった
P,…あー、手足が一応動くようにはなった
加蓮,薬が抜けたら元気になってるよ。…あ、仕事には行かないでね、休みは2日とってるから
P,おおう、仕事が早い…。…腹減ったな
加蓮,そりゃあ26時間何も食べてないからね。何か作ろうか？
P,いや、大丈夫。カップ麺作って…
加蓮,私が何か作ってあげようか？
P,カップ麺で
加蓮,仕方ない、カップ麺作るよ
P,さすがにちょっと勘弁してください
加蓮,じゃあ私が何か作ってあげようか？
P,…よろしくお願いします
加蓮,…それじゃあ、1時間くらい準備するからその間に私の見ないようなの見てていいよ
P,はーい
加蓮,…どうぞ。時間なくて簡単なのしかできなかったけど
P,いやいや、気にしないって…ん、おいしい
加蓮,プロデューサーさっきカップ麺とか言ってたけど、キッチン見る限り自炊してるよね？
P,まあな。最近忙しくてそんなにできてないけど
加蓮,どうせ手間かけさせないように、とか言うんでしょ？だから本末転倒だって。響子ちゃん泣くよ？
P,…重ね重ね申し訳ない
加蓮,それで、このご飯どうかな？プロデューサーの口に合うように作ったんだけど…
P,美味い、特にこの豚の生姜焼きが。だけどもう少し薄味でいいよ
加蓮,それはまた作ってってこと？
P,あー…加蓮がいいのなら
加蓮,任せた。じゃあ時々お弁当持って来るから、よろしくね
P,…ありがとう。加蓮がご飯を作ってくれるのなら嬉しいよ
加蓮,ん。正直でよろしい
P,さて、早めに飯も食ってしまったし風呂入るとするか
加蓮,アヒルさん忘れないでね
P,入れねーよ
加蓮,…風呂上がるの速くない？
P,女の子と違って気にするものがないからな
加蓮,そんなものなのかな。で、どうしようかプロデューサー？何したい？
P,んーいや、俺は
凛,プロデューサーこんばんは。思ったより元気そう？
P,ん？鍵かけ忘れてたかな？
凛,いや、ちひろさんから鍵奪って来たから
P,…ほらな
加蓮,えぇ…
凛,そんな顔しないでよ。ほら、奈緒持って来たからさ
奈緒,も、持って来たって物みたいに扱うなよ！…プロデューサー、大丈夫だったんだな？よかった…
P,ああ、ごめんな…それで来てもらったところ悪いんだが何する？ちょっと今暇しててな
加蓮,！あ、そうだ、3人とも私の家来ない？
凛,…えっ？
P,加蓮、何するんだ？
加蓮,ほら、ちょうど4人いるじゃん？だったら…
P,マリオパーティー3！懐かしい～！
奈緒,最初らへんのマリパってこんな感じだったのか…
凛,このコントローラーってどう持てばいいの？
P,どう持ってもいいんだよそれ
凛,え？そんな適当な…
加蓮,じゃあパワーボタン入れるねー
凛,プロデューサー！最下位だよ！
加蓮,どうしたのプロデューサー？調子悪い？
P,お前らがハンデでスター9個も持ってるからだろ！！待ってろ、すぐにアイテムで差を縮めて
奈緒,あ、クッパマス踏んだ
P,
凛,いやぁコインも増えて嬉しい限りで
奈緒,…なんかごめん
加蓮,…最下位のプロデューサーは罰として語尾にざますを付けること！
奈緒,えっ何それ…
P,いやざます！そんなの恥ずかしいざます！
凛,ぷっ…こ、これは……
奈緒,ちょっ、ははっははははは！！ざますwwwざますってwww
P,むきー！もう一回ざます！
加蓮,ヒッヒッ、は、ハンデは4個でいこうか
凛,じゃあそろそろやめるぴにゃあ
P,別のゲームやるざます？
加蓮,いや、奈緒がまだ負けてないにゃ
奈緒,何回やるつもりなんだよ…
加蓮,まあ、だいぶ経ったしそろそろ別のゲームにするかにゃ。てなわけで語尾リセット
P,で、何する？
凛,あ、これなら聞いたことあるけど…
奈緒,…ん、スーパーマリオ64？
P,行けマリオっ…あ、
凛,ああああっ！飛んでっちゃった…
加蓮,もう少し照準上だよね。じゃあ次プレイするの私ー
奈緒,4人交代でスター120個ってなに考えてるんだよ…
加蓮,あっ、落ちちゃった…次奈緒ー♪
奈緒,えっ、ちょっと待ってえっと。………
P,…砲台の目の前で走り幅跳びする奴初めて見た
奈緒,だーもう！！3Dゲームはだめだー！。…っていうかいいのか！？もうそろそろ1時半だぞ！？
P,えっ…じゃあ…あと一面…！
奈緒,もう昨日と今日で5回聞いた！大丈夫なんだな！？大丈夫なんだよな！？
加蓮,大丈夫大丈夫ー！
凛,落ちるな…落ちるな…っ！
奈緒,…私はもう無理だ。私は寝るからあとで絶対寝てくれよ
P,オーケーオーケー！さーあもう一面！
奈緒,…そうか…じゃ、おやすみ…
P,だるい…
加蓮,ねむい…
凛,きつい…
奈緒,…バカかお前ら…。…どうしようかな…加蓮の母さんも父さんもどっか行っちゃったし…。朝ご飯くらいは作ってやろうか？
加蓮,目玉焼き
凛,チャーハン
P,のり弁当
奈緒,…もう知るか！私は帰る！
加蓮,えっ…ちょっ…待って、待ってぇ～！
P、凛,Zzz…
そういえば、,競馬Pか？
