アドバイサー,では、こちらの書類に相手に求める条件をお書き下さい
女,まあ、まったく期待してないけど……頑張ってね。失敗しても今までの暮らしに戻るだけと思うと気楽だしね
男,いや……絶対成功させるよ！。やったぁ、一億の商談が成立した！
女,おめでとう！
男,よぉーし、俺の目に狂いはなかった！やっぱりこのビジネスは需要がある！。今はまさに商機！どんどん会社をでかくしてやるッ！
女,頑張って！
男,ああ、任せとけ！このまま貧乏脱出どころかセレブになってやるさ！。ふぅ～、人を雇って、会社がますます軌道に乗ってきた……
女,ねえ、たまには公園に草食べに行かない？
男,草ぁ？ハハッ、なにいってんだい！俺たちはもうそんなもん食う身分じゃないだろ！。草どころか、森や山だって買い占められるほど貯金もできたんだしさ！。さ、二人で高級レストランに行こう！今夜は北京ダックなんかどうだい？
女,うん……
部下,も、申し訳ありませんっ……！
男,なにやってんだテメェ！まんまと競合に出し抜かれやがってぇ！。だからお前はボンクラだってんだよ！この役立たずがぁ！。いいか、お前の代わりなんざこの世にいくらでもいるんだぞ！死ぬ気で働けぇ！
部下,はっ、はいぃ……！
女,……。ねえ
男,なんだよ？
女,このところ、あなた……性格すさんできてない？。よく怒鳴るようになったし、目つきも前より吊りあがって……
男,そりゃなぁ、この世界で生きてりゃどうしてもそうなる
女,たまには息抜きした方が……
男,息抜きィ？そんなことしてるヒマなんかあるかよッ！。お前だって俺のおかげでいい暮らしできてんだろがッ！俺のやることに口出しすんな！
女,……ごめんなさい。ふぅ……
イケメン,あの……このところ毎日ここに来られてますよね
女,えっ……
イケメン,よろしかったら、一緒に草を食べませんか？。この公園の草は、とてもおいしいんですよ
女,は、はいっ……
イケメン,おいしいでしょう？
女,ええ、懐かしい味……。この人……まるでかつてのあの人を見ているみたい
イケメン,また……会えますか
女,ええ……またこの公園で……
部下,社長
男,なんだ？
部下,実は奥様が……
男,なにィ～！？
部下,いかがいたしましょう？
男,……知るか！ほっとけあんな女！。最近やかましくなったしちょうどいい！本当に不倫してるなら別れるいい口実になる！
イケメン,おや、今日は絵本ですか
女,ええ、たまには童心にかえって、と思って
イケメン,これは……欲張りな金持ちがどんどん荒んでいく、という話ですね
女,まるであの人みたい……
イケメン,お金は人の心を汚します。手元にあればあるだけ、精神を濁らせる。頭に浮かべて下さい。世の中のいわゆる富豪と呼ばれる人物たちを。みんな……欲望に歪んだ醜い顔をしている。実際に不祥事を起こすこともある。それに比べて、日々を精一杯生きる貧しい人達はみんな顔も心も清らかだ
女,ええ、その通り……
イケメン,さ、また公園に草を食べに行きましょうか
女,……はい
イケメン,誰もいない夜の公園で食べる草は格別ですね
女,ええ、ホント
イケメン,女さん
女,はい？
イケメン,ボクと……結婚して下さいませんか
女,えっ……。あの実は、私には夫が……
イケメン,知ってます。そして、あなたのような清らかな方には、ボクの方が相応しいことも。どうか、ボクと一緒になって下さい
女,……。……。やっぱりダメです！
イケメン,！
女,私……まだ心の中では、あの人が好き！。あなたに惹かれたのも、かつてのあの人を見てるようだったからなの。だから……あなたと結婚できません！ごめんなさい……
イケメン,……そうですか。――ふざけてんじゃねぇぞォ！！！
女,え！？
イケメン,せっかく金持ちの妻たらし込んで、金も体もがっぽがっぽだと思ったらよォ……。直前で冷めることいってくれちゃってよォ……
女,あ、あなた……騙してたの！？。あなたは貧乏だから、心が清いはずじゃ……
イケメン,ギャハハハハハハッ！貧乏人は心が清い？バーッカじゃねえの？。貧すれば鈍するってことわざ知らねえのかァ！？。衣食足りて礼節を知るって言葉知らねぇのかァァァ！？。貧乏なら心が清いとか、どんだけ頭お花畑なんだヴァァァァァカ！！！
女,あ……あああ……
イケメン,オレ、貧乏だからさぁ～、娯楽なんてほとんどねェのよ。だから今晩は……あんたに“娯楽”になってもらうッ！。漫画ゴラクにも掲載できないような目に合わせてやるぜッ！
女,ひっ！
イケメン,いくらオレがイケメンでも貧乏だと女も寄ってこねえから、女は久しぶりだァ……！
女,だ、誰かっ……！
イケメン,叫んだって無駄だ、さっき誰もいねェっていったろ！。朝まで生で楽しもうぜェェェェェ！！！！！
男,やめろッ！！！
女,えっ……
イケメン,なんだァ～？
女,どうしてここに……
男,俺はもう、君のことなんかどうでもいいと思ってた……はずだった。だが、やはり、心の奥底では君のことを忘れることはできなかった……。……戻ってきてくれ
イケメン,オレを無視してんじゃねーぞッ！。いっとくが、オレはテメェのような青ビョウタンにやられるほどヤワじゃねえ。一人でのこのこやってきたこと後悔させてやんぜェ！
男,一人？なにいってんだ？
イケメン,え？
男,俺は金持ちだぞ？……人を雇ってるに決まってんだろ
怪力,社長の奥さんに手を出すとは……クズ野郎が
マッチョ,たっぷりおしおきしてやんなきゃな
豪傑,覚悟してもらおう
イケメン,あ……
男,……無事でよかった
女,ごめんなさい……
男,いや……俺の方こそ悪かった……。ただし俺はもう、貧乏に戻るつもりはない。会社や部下を抱える身だからな……。あいつらを路頭に迷わせるわけにはいかない
女,うん、分かってる……。私の無い物ねだりだってことは分かってたの……
男,だけど、君と出会った頃のあの気持ちだけは……取り戻したいと思う。だから……一緒に草を食べよう！
女,うんっ！
男,あ、久しぶりに食うとうまいな
女,でしょ～
