北条加蓮,奈緒ー
奈緒,そのふてぶてしさと、病気してたとは思えないアグレッシブなボケ方は
加蓮,素直に褒めてくれると思ったんだけどなー？
奈緒,たまには仕返しだよ
加蓮,もー……ま、いいけど……何の話してたっけ？平清盛？
奈緒,えっ平家も巻き込んでいくの？
加蓮,そうそう、水着水着
奈緒,自分から逸らしたくせに……
加蓮,あ！これとか可愛い！奈緒、どう？
奈緒,どれどれ……って、花柄ぁ？いやいや、あたしにはこんなファンシーなの似合わないって
加蓮,あ、違う違う。その下のナスカの地上絵の柄のやつ
奈緒,この雑誌なんなの？ムー？
加蓮,っていうか水着なんて着れればよくない？
奈緒,このクソ雑誌眺めてた時間を返せよ
加蓮,それに、試着とかしないと似合うかわかんないし
奈緒,わかったよ、じゃあ今度、凛と3人で買いに行こうな
加蓮,おっけ♪
奈緒,まったく……
加蓮,じゃ、水着については大丈夫だから……
奈緒,まだ何かあるのか？
加蓮,もちろん！実際に海に行ったら何するか決めなきゃでしょ？
奈緒,面倒だな……泳ぐんだろ？
加蓮,じゃあ奈緒は一度も砂浜に上がらずに10時間ずっと海を泳ぎ続けてるの？
奈緒,アスリートかよ。そもそもあたしたちは海に10時間も拘束されるの？
加蓮,計画は大事だよ？
奈緒,臨機応変って言葉もあるけどな
加蓮,まず、集合は朝5時に
奈緒,魚でも競るのかよ
加蓮,豊洲で
奈緒,完全に競る流れだな
加蓮,このボケも、きっと1年前なら築地だったんだよね……
奈緒,しんみり？？？
加蓮,でも、スイカ割りくらいはやりたくない？
奈緒,まあ、よくあるもんな
加蓮,それで、ビーチバレー！
奈緒,うん、いいんじゃないか？
加蓮,その後、砂のお城を作ったりして！
奈緒,マトモな計画で助かるよ
加蓮,最後に焼きそばをみんなで食べる！
奈緒,ああいうとこで食べる焼きそば、美味いんだよなー
加蓮,そんなことができたら楽しいだろうなって思いながらベッドで寝てたのが子供の頃の私
奈緒,この情緒どうしてくれる？
加蓮,ネタにできるくらい、過去の自分と向き合えてるってことで
奈緒,聞こえはいいけどさ……
加蓮,ってことで、あとは日程かな？
奈緒,あたしら3人の予定が合う日に水着買い行って、その次に予定合った日に海か。調整できるかな……
加蓮,ううん、一緒にしちゃおう
奈緒,一緒にって……水着を買ってそのまま海か？まあ、できなくはないと思うけど……
加蓮,違う違う。そこは別日程でいいでしょ？
奈緒,？どういうことだ？
加蓮,海の近くで仕事して、そのまま海で遊べばいいってこと！
奈緒,そんな都合よく海の近くの仕事が転がってるわけ……。ん、メールか
加蓮,私も来てる。事務所からの業務連絡だね
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,……
奈緒,……
加蓮,毎年やってるのかな
奈緒,ぜひ今年で終わってほしいな
