岡崎泰葉,お仕事お疲れさまです
泰葉,ドラマの撮影とかだと年中クリスマスですから
モバＰ,サンタも俳優だったりするわけだ
泰葉,あ、でも明石家サンタは信じてますよ
モバＰ,だからサンタはいない…と
泰葉,はい…やっぱりアイドルとしては駄目ですか？
小梅,ﾌﾟﾊｧ…精神病患者も…駄目？
モバＰ,そもそもの大前提としてだな、サンタはいる
泰葉,夢を届ける私達がアイドル…とか言わないですよね？
モバＰ,言いますよ私は。君たちがサンタです
小梅,わ、私も…サンタさん？
モバＰ,袖で指隠しホラー系サンタクロース。いいじゃないか可愛くて
泰葉,偶像であるアイドルが偶像でサンタも兼ねるんですか？
モバＰ,兼ねちゃえ兼ねちゃえ。輝き続ければ言い続ければ、本当になれるのがアイドルだ
小梅,さ、さっちゃんみたいな…感じ？
モバＰ,うん～まぁ～そ～なるかな～？
泰葉,あ、そこは濁すんですか
モバＰ,少なくともファンである俺にとってはお前らはサンタだ。だから胸を張ってサンタと言え
亜季,ただいま戻りました…
安部菜々,ただいま戻りましたー！
小梅,な、菜々さん…ｳ､ｳｰｻﾐﾝ
菜々,ウーサミーン♪
モバＰ,兎も角お前らは魅力的で輝かしいサンタクロースだ。だがもしもそれ以上に素晴らしいものがあるとすればそれは…
泰葉,なんですか？
菜々,亜季さん元気ないですね。菜々がマッサージしてあげましょうか？
亜季,いえ…無問題であります菜々殿
モバＰ,そう、攻撃ヘリコプターAH-64
亜季,アパッチでありますか！？
菜々,え？野球軍ですか？
モバＰ,機関砲でバリバリ人を殺せるぜぇ！
泰葉,えぇー…
亜季,各種ミサイルやロケット砲で街も人も一網打尽であります！
モバＰ,ハッハー
亜季,イエーイ
菜々,よく分かりませんけどイエーイ
小梅,き、機関砲…人が…ミンチ状…ひき肉…
モバＰ,お、小梅はひき肉の気持ちか
亜季,私は軍人の気持ちであります！
菜々,菜々は何時だってウサミン星人の気持ちですよ！
泰葉,私は…ダウナーが入ってきました
モバＰ,輩先は何が入って来たって？
泰葉,はい…？
菜々,Ｐさん！年頃の女の子に向かって出たとか入ったとか言っちゃ駄目ですよ！
泰葉,…あ…！！
亜季,Ｐ殿はセクハラが好きでありますなぁ
モバＰ,いや、今のは菜々がボロ出したのが悪いんじゃない？
菜々,な、何言ってるんですかＰさん！菜々は17歳ですよ！
小梅,ぼ、ボロと17歳…関係あるの…？
菜々,え？あ？小梅ちゃん？えーとですねぇこれはぁ
亜季,泰葉殿？しっかりしてください
泰葉,え、えぇ大丈夫です。もう、Ｐさん菜々さんが変な事言うから
菜々,Ｐさんが変態なのがいけないとおもいまーす。17歳だから菜々には難しい事わかりませーん
小梅,へ…変態大人…さっちゃんの…可哀想な下僕…
モバＰ,それ幸子が言ってたのか
小梅,ぴ、Ｐさんは…ボクの下僕…ですからね…。お、おかげで毎日…幸せ…なんです…
モバＰ,幸子は新春アマゾンロケ決定として、パワハラモラハラにならない様に細心の注意を払っている。俺がするのはセクハラだ
小梅,ホラーとスプラッタみたいな…違い…
モバＰ,そうそう。ウサミン星人とバルタン星人の違いみたいな？
菜々,バルタン星人が核の炎から復活した時は菜々ももう駄目かと思いましたよ
小梅,な…何その話
菜々,え、え～と…再放送！再放送で観たんです！
亜季,ところでＰ殿。我々の今日の仕事は
モバＰ,あぁ。今日は終わりだよ
泰葉,今日はお仕事とセクハラで疲れたからお腹がへりました
モバＰ,よ～し、パパ夕飯奢っちゃうぞ～
菜々,菜々は焼き鳥と熱燗で
モバＰ,あべななさんじゅうななさいあべななさんじゅうななさいあべななさんじゅうななさい！！
亜季,おぉ～早口言葉みたいでありますな
菜々,な、菜々はふわとろオムライスが食べたいです！
小梅,ご…ごはん…ひき肉…食べたい…
モバＰ,お、小梅がリクエストするなんて珍しいな
泰葉,さっきの会話からひき肉を連想するんですか？
モバＰ,ひき肉…ハンバークとか？
亜季,ですがクリスマスシーズンで洋食はどこも混みあうのではないかと
モバＰ,なるほど。何か別案は？
亜季,海軍カレーはいかがでありましょうか？
小梅,ひ、ひき肉…
泰葉,海軍カレーって金曜日じゃないんですか？
モバＰ,ひき肉…ﾐﾝﾁ…肉団子…そうだちゃんこ鍋にしよう
泰葉,また発想が嫌な飛びかたをしてしまいました
菜々,お鍋と言えばお酒ですね！？
亜季,菜々殿のジョークは面白いでありますなぁ
菜々,殿をつけないでください～
モバＰ,輩先、ちゃんこですよちゃんこ！！
泰葉,ちゃんこが何だって言うんですか！後輩先じゃありません！！
小梅,お、お相撲さんのゾンビ…なかなか死なない…
亜季,相撲取りも戦場に駆り立てられていましたなぁ…
菜々,菜々は栃赤城が好きでした！
泰葉,皆さんそんな事しか考えられないんですか！？
モバＰ,怒るなよ輩先。ボロ出てるぞウサミン。まぁそんなこんなでチャンコ鍋に決定！
小梅,ワ、ワァー
菜々,ちょっとぐらい飲んでも良いですよね
モバＰ,ファンの夢を壊すのがお前のアイドルなのか
菜々,ファンの夢を壊す訳には…うぅ～半分出すので個室があるお店にしてください～
モバＰ,別に構わないが(どうせ小梅の前じゃ飲めないのに…)
亜季,もしやＰ殿の奢りでありますか
モバＰ,(半分菜々持ちだし)勿の論だぜ
泰葉,私は行きたくないです
モバＰ,おいおいどうしたってんだ輩先
泰葉,セクハラと怖い会話をしながらご飯を食べたくないです
菜々,泰葉輩先。年頃なのはわかりますけどそのうち気にならなくなりますよ
泰葉,菜々さんキャラ作りが甘いです
亜季,上官命令は絶対でありますよ！
泰葉,私は軍人じゃなくてアイドルです
小梅,ぱ、輩先も…いこ？
泰葉,(袖を引っ張る小梅ちゃん可愛い)…だ、駄目です。行きません
モバＰ,おいおい鍋だぜ？ちゃんこだぜ？望むならちゃんこダイニング若でも構わないぜ？
泰葉,若でも貴でも関係ありません
小梅,兄弟の…こ、骨肉の…争い…
菜々,菜々はキャラ作りじゃなくってウサミン星人です
小梅,げ、元気だして…
亜季,今日の泰葉殿はまるでナヴァロンの要塞でありますなぁ
モバＰ,う～ん…どうしたものか
泰葉,Ｐさんが謝ってくれるまで行きません
モバＰ,小梅耳かせ
小梅,うん…うん…わ、わかった
亜季,機密作戦でありますか？私にも教えてください
泰葉,機密作戦でも電撃作戦でも私の機嫌は直りません
菜々,機密のアッコちゃん？なんかしっくりきません…なんでしたっけ
小梅,え…えい！
泰葉,きゃっ…な、なんですか小梅ちゃん？
小梅,輩先。い、一緒に…ご飯…食べよ…？。み…皆で…ご飯…食べよ…？？
泰葉,(物理的にｶﾜｲｲ)あ…うぅ…い、行きません！
小梅,そ…そんなぁ…輩先も一緒に行こう…
菜々,菜々もボロが出ない様に気を付けますから輩先も一緒に行きましょう？
亜季,泰葉殿、あまり困らせてはいけませんｙ
モバＰ,やあああぁぁぁぁぁぁぁぁまとおおおおおおおぉぉぉぉぉおぉぉ！！！！
亜季,は、はいぃぃ！！
泰葉,また軍隊風味ですか
小梅,ぐ、軍隊…枯葉剤
菜々,アパッチ野球軍風味ですねぇ
モバＰ,貴様今何と言った？
亜季,あまり困らせてはいけない…と！
モバＰ,その前はあぁぁ？
亜季,泰葉殿と言いました！
モバＰ,"泰葉殿"じゃなくて"輩先"だろぉ？
泰葉,え、そこ？
モバＰ,小梅は泰葉の事なんて呼ぶ？
小梅,ぱ、輩先…
モバＰ,あべななさんじゅうななさいは？
安部,岡崎輩先って呼びますよ
モバＰ,俺も輩先と呼ぶ。なのに何故貴様は輩先と呼ばない？
亜季,特に理由は無いであります！
モバＰ,俺も特に輩先と呼ぶ理由はない。理由は無いが皆が呼んでるのだから貴様も倣うべきであろう！
泰葉,理由が無い事でなんでこんなに問題になってるんですか…
モバＰ,貴様は死ねと言われないと死ねない無能か？股を開けと言われないと開かない御高い女か？
亜季,否！今日を生き明日に死ぬ戦場の肉便器であります！
モバＰ,ならば行け！ナヴァロンを落として見せろ！
亜季,ヤー！
泰葉,なんだか馬鹿らしくなってきました
小梅,み、耳…塞いで…
菜々,え？なんでですか
亜季,泰葉ぱいせぇぇぇぇぇぇぇぇええええぇぇぇぇえええええんんんぬ！！！
泰葉,お、音波が…
菜々,ビビッと来ました～☆
モバＰ,大和
亜季,は、え？な、なんでありましょうか
小梅,二人とも…大丈夫？
泰葉,小梅ちゃん何か言いましたか？
菜々,菜々は満州引き揚げ組じゃありませんよ～
モバＰ,確かに俺は泰葉を輩先と呼べと言ったな？
亜季,はい
モバＰ,大声を出せとは？日野さん家の茜ちゃんを見習えとは？
亜季,言っておりません…
モバＰ,貴様は最初のHを口に出す国の人間か？えぇ？口に出さない国を見習ったらどうだ
亜季,…
モバＰ,返事はどうした？
亜季,ﾜ､ﾜｶﾘﾏｾﾝ
モバＰ,なんだって？
亜季,経験が無いので…ﾜｶﾘﾏｾﾝ
モバＰ,は？
泰葉,え？
小梅,？
菜々,キャハ☆
泰葉,え、どうするんですかこの後
亜季,も、申し訳ありません…
泰葉,いや、亜季さんは悪くないですよ
モバＰ,あー、いやー(まさかこうなるとはなぁ…どうすべっかなぁ…)
菜々,あ～、あ～、あ～！だんだん聞こえてきましたよ！
小梅,あ、亜季さん
亜季,な、なんでありますか小梅
小梅,ふ、フランスでは最初のHは…発音しない…
亜季,ふえ？
泰葉,まさかのツッコミが入りましたね
モバＰ,しかも的確だ
菜々,亜季さん何言ったんですか
モバＰ,うきゃうきゃにょわにょわ
菜々,亜季さんの早とちりに小梅ちゃんのツッコミですか
モバＰ,ここで笑ったら新春は幸子とアマゾンロケだぞ
菜々,す、水曜スペシャルは許してください！
亜季,も、申し訳ありませんＰ殿。全ては私の無知故の失態です。私の趣味にわざわざ付き合って頂いているのに、ボロを出してしまい申し訳ありません…。ボロを出すのは菜々殿の専売特許だというのに…
菜々,そこを気にするんですか？
モバＰ,いや、俺もアイドルに対する発言じゃなかった。申し訳ない
亜季,あ、頭を上げてくださいＰ殿
モバＰ,泰葉もすまない。ついつい反応が初々しくて遊んでしまった
泰葉,しょうがないですね。今度から限度は守ってください
菜々,良い話…なんですかねー？
小梅,み、皆…仲良し…
モバＰ,ところで小梅。フランス云々は誰に聞いた？
小梅,さ、さっちゃんが言ってた。ふ、フランスでは…最初のHを…発音しないんですよ…か、カワイイボクは…な、なんでも…しってますね
モバＰ,さてと、幸子の新春紐無し逆バンジーロケが確定したところでちゃんこ食いに行きますか
泰葉,だいぶ時間がかかりましたね
菜々,泰葉ちゃんが駄々こねるからですよ
泰葉,む、ところで菜々さん。ウサミン星では最初のＨは発音するんですか？
菜々,ウサミン星人は無性生殖で増えるからわかりません
モバＰ,話をふられる事を想定し、答えを考えてたのは褒めるがその結果がこれかよ
亜季,クローン・ウォーはロマンでありますなぁ
小梅,に、人間に卵…産み付けないの･･･？
菜々,ウ、ウサミン星人は地球に友好的な種族なので人を害するような事はしません
モバＰ,しないということはやろうとすれば出来るって事か
泰葉,わからない割には色々詳しいですよね
菜々,うぅ～みんなして苛めないでください
亜季,結局Ｐ殿の手の上で踊らされるのでありますなぁ
小梅,あ、亜季さん…クローン・ウォーって・・・何？
泰葉,小梅ちゃん余分な知識ばっかり増えちゃ駄目ですよ
亜季,聞き捨てなりませんな。ダイニング若に着くまでに遠い銀河の物語を詰め込んで見せます
モバＰ,あ、菜々ちょっといい？
菜々,なんですかＰさん？
モバＰ,お前はサンタを信じるか？
菜々,何言ってるんですかＰさん。私達アイドルがサンタに決まってるじゃないですか！！
