神谷奈緒,加蓮っ！
奈緒,さっきから話題が目まぐるしすぎるんだよ休ませてくれ
加蓮,じゃあ奈緒が何か面白い話してくれる？
奈緒,う……そう言われると……
加蓮,そんなことでこの先バラエティとかでやっていけると思ってるの？
奈緒,おもむろに藁人形トークを始めるやつよりはお茶の間に受け入れられると信じてるけどな
加蓮,奈緒、何か暇つぶしになりそうなもの持ってない？
奈緒,あー、悪い、急だったから何も持ってきてないや。何か持ってきてほしいものあるか？
加蓮,健康な体
奈緒,とてもじゃないけど情緒がついていかねえよ
加蓮,でも、みんなとの絆があるから私はもう大丈夫……！
奈緒,この会話、どこに向かってる？
加蓮,泣くとこだよ
奈緒,加蓮の惨状に泣きそうだよ
加蓮,逆に奈緒が入院したとしてさ？どうやって暇を潰す？
奈緒,え？あたし？そうだな……
加蓮,伸身のトカチェフ？
奈緒,時間が空くたびに新体操の技を捻じ込むのをやめろ
加蓮,まあ奈緒のことだから、漫画とかじゃないの？
奈緒,ま、そうなるよなー。アニメとかも見れればいいんだけど
加蓮,……アニメ？信じらんない
奈緒,どうして急にサブカルチャーへの理解が皆無になった。怖えよ
加蓮,どうせあれでしょ？“２人○プリキュア"とか見るんでしょ？
奈緒,伏せ字がド下手かよ。何も隠せてねえよ
加蓮,あとあれでしょ？まどマギ○とかでしょ？
奈緒,その部分に伏せるべき文字はねえよ。パワプロの特殊能力みたいになってるじゃねえか
加蓮,伝わりにくいね
奈緒,張っ倒すぞ
加蓮,パワプロといえばさ
奈緒,話題の引き出しどうなってるんだよ
加蓮,可愛いよね
奈緒,思いの外浅かった
加蓮,思えばさ？体が弱かった私の方がマンガとかアニメとかゲームにハマる可能性あったんだよね
奈緒,ま、そういうのは環境にもよるからな
加蓮,そうだったら、もっと奈緒と仲良くなれてたのかな……
奈緒,……
加蓮,……なーんて
奈緒,加蓮
加蓮,え？
奈緒,あたしは、そんなの関係なく、加蓮と仲良くなれてると思ってる
加蓮,奈緒……
奈緒,確かに振り回されることばっかりだし基本的に何考えてるのかも何言ってるのかもわかんないしあたしの負担は多大なるものだという自負はもの凄いけど、それでも親友だと思ってる
加蓮,想像の20倍くらい苦言を呈されてるけど
奈緒,もっと相手の気持ちを考えて欲しいっていつも思いながらも他の人から加蓮が面倒臭いって話を一切聞かないからあたしだけにこんな感じなんだなって思うと嬉しさと悲しさが波状攻撃を仕掛けてくるけど、それでも親友だと思ってる
加蓮,悪かったってば
奈緒,そういえば、この入院の間の仕事とかはどうなってるんだ？
加蓮,代役を立ててもらってるよ
奈緒,そうか、それならいいけど
加蓮,まずファションモデルのお仕事が入ってたから
奈緒,お、当ててやるよ。うーん……奏とか？
加蓮,ブッブー
奈緒,あれ、自信あったんだけどな……。じゃ、凛とか李衣奈とか？
加蓮,如月千早さん
奈緒,おまっ……馬鹿野郎！。そもそも違う事務所じゃねえか。代役と呼ばねえよ、仕事取られてるよ
加蓮,ううん、その代わり、今度仕事を1つ譲ってくれるって
奈緒,知らない間にエグいパイプ作ってたんだなウチの事務所は
加蓮,サイコーのパイプだよね
奈緒,そっちからも仕事もらえるようになったら軽い恐怖だよ
加蓮,あ……
奈緒,ん？どうした？
加蓮,ごめん、話してたら喉乾いちゃった。何か飲み物買ってきてもらってもいい？
奈緒,ああ、もちろん。あたしも何か飲もうかな。加蓮は何飲みたい？
加蓮,水のソーダ割り
奈緒,薄い炭酸水にしかならねえよ。なにも割り切れねえよ
加蓮,じゃあ水のロックで
奈緒,腹壊すぞ。じゃ、飲み物も買ったし、そろそろあたしは帰るかな
加蓮,ありがとね、お見舞い来てくれて
奈緒,お見舞いというか、ビックリして駆けつけただけだけどな
加蓮,次はビックリさせないように担ぎ込まれるからさ
奈緒,そうじゃない
加蓮,じゃあどうやって担ぎ込まれればいいのさ！
奈緒,なんでちょっとキレてんだよおかしいだろ。そもそも担ぎ込まれないでくれ
加蓮,あ、奈緒、最後に1ついい？
奈緒,なんだよ……
加蓮,これあげる。貰い物なんだけどさ、私には必要ないから
奈緒,え？ああ、なら貰っとくけど、何だ？
加蓮,さつまいも
奈緒,戦後かよ
