美城常務,ふむ、全員集まったようだな。では、今年最初のプロジェクトクローネ会議を行う
フレデリカ,採用された方の中から抽選で、このありすちゃんステッカーが当たるよ！
ありす,私をダシにしないでください！！！
文香,言い値で買います
奈緒,正当な手段ガン無視で！？
常務,神谷は眉毛とかを適当にいじっていれば、まあ形にはなる。悪くないな
奈緒,馬鹿にしてるだろ！？
奏,大絶賛ね……
周子,次のお給料は弾むかもよ？
フレデリカ,まさかまさか、昇進しちゃったり！？
奈緒,アイドルに昇進とかないからな！？
常務,いや、そんなことはない。神谷は今、"アイドル"というポジションだが
凛,え、昇格するの？
常務,1段上がると、ツンデレ大臣になる
奈緒,やっぱり馬鹿にしてるだろ！！！
奏,大絶賛ね……
奈緒,お前ちょっと黙ってろ！！！
常務,では南条
加蓮,それ別のアイドル！！！
ありす,加蓮さんには前置きなく行くんですね……
常務,当然だ。テンポが悪くなってしまう
凛,誰目線
常務,気を取り直して、成城石井
加蓮,"じょう"しか会ってないから！誰がスーパーマーケットなの！！！
文香,正しくは"関東地方を中心に、中部地方、近畿地方に店舗を展開する食料品主体のスーパーマーケットチェーン"ですが……
奈緒,面倒くさいな！誰が気にするんだ！？
常務,ツッコミは具体的にやってもらわなければ困るな、東條
加蓮,北条だって言ってるでしょ！！！
フレデリカ,ラブ〇イブかーい
ありす,無理して言わなくていいですからね！？
文香,その通りです……
奈緒,なんでスク〇ェスを起動してんだよ！！！
常務,さて、宴もたけなわではございますが
凛,これ会議でしょ！？なんで締め方が宴会なの！？
常務,最後は恒例の16本締めといこうか
奈緒,聞いたことないぞ！？
加蓮,どんなリズムなの！？
常務,ではお手を拝借。……よーおっ。ﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾝ
ありす,16連打！？！？
奈緒,難易度高え！！！
常務,これを16セットだ
奈緒,殺す気か！！！
唯フレ奏周子文香,ﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾊﾟﾝ
凛,どうして疑問を持たないの！？
常務,来年から、入社試験の必須項目だ
奈緒,誰が入るんだこんな会社！！！
