」と同じ設定ですが、読まなくとも,多分
文香,ですが……いつもならもう少し余裕のある表情なのですが……
柚,それはお芝居だからだよ
文香,……あ……机に突っ伏しましたね
柚,ただのオーバーリアクションだよ。うんうん
文香,……カットが掛かりましたね。プロデューサーさんは起きませんが
柚,うーん、最近お仕事忙しかったのカナ？
文香,………………スタッフさんが担いで行きましたね
柚,完食してるあたり流石プロデューサーサンだねぇ
文香,……柚さん
柚,文香サン
文香,……我らＡありすちゃん
柚,いついかなる時もありすちゃんの笑顔を護り、それを愛でるものとする
ありす,あ、お二人とも。お二人のお言葉のおかげで納得の出来るいちごパスタが完成しました。大盛なのはそのお礼の気持ちです。計算ではいちごの酸味が生クリームの甘さをより引き立てているので、ぬるくなる前にどうぞ
