草刈蓮太郎,２７
草刈,ああ、ファンの方ですか……。俺の演技が稚拙なせいで、見苦しかったでしょう
喪黒,そんなことはないです。あなたは荒削りだけど、まだまだ伸びる可能性を持っていますよ
草刈,ど、どうも……。でも、現在の俺は大きな壁にぶち当たっているんですよ
喪黒,ほう……。おそらく、あなたは自らの演技のあり方について悩んでいるのでしょうねぇ
草刈,はい。今まで脇役を演じてきた俺は、今回の演劇で初めて主役に選ばれました
喪黒,草刈さん。今のあなたは、俳優人生で最大のスランプを迎えているのではないですか？
草刈,そうです。最近じゃあ、俺は自分の才能を疑い始めているくらいですよ
喪黒,そんなことはありません。草刈さんには才能があります
草刈,は、はあ……
喪黒,あなたには、役者としての才能とテクニックは十分あります
草刈,最近、よく言われるんですよ。それ……
喪黒,あなたも役者ならご存知でしょう。スタニラフスキーシステム……
草刈,はい。内面から演技を行い、いかにその役になり切るか……ということですよね
喪黒,そうです。草刈さんは、スタニラフスキーシステムを体得する必要があるでしょう
草刈,確かに……
喪黒,草刈さん。そんなあなたのために、いい道具があるんですよ
草刈,これは……
喪黒,見ての通り、手鏡ですよ。名前は、スタニラフスキーミラーです
草刈,スタニラフスキーミラー？
喪黒,はい。スタニラフスキーミラーには、特殊な効果があるんですよ。実はですねぇ……
草刈,ということは、それじゃあ……
喪黒,この鏡を使用すれば、あなたは役と完璧に同化することができます
草刈,これを使えば俺は……
喪黒,もちろん、俳優として完全に立ち直ることができるでしょう
草刈,もしも効果が本当なら……。この鏡、欲しいですよ……！
喪黒,よろしかったら、スタニラフスキーミラーをあなたにプレゼントしますよ
草刈,えっ、いいんですか！？
喪黒,構いませんよ。これは、あなたが俳優として成功することを願う私からの気持ちなのですから……
草刈,ありがとうございます！これからは、この鏡を使って俳優活動に精進しますよ！
喪黒,いやぁ、どうも……
草刈,俺は流血男爵だ……。連続殺人鬼の流血男爵こと鷹橋京一郎……。それが俺だ……
今井,草刈君。さっきの君の演技、素晴らしかったぞ
草刈,あ、ありがとうございます……。今井先生……
今井,殺人鬼らしい狂気の表情が出ていて、なかなかよかった。本番もこの調子で演じてくれよ
草刈,は、はい……。俺は流血男爵……。俺は流血男爵……
俳優,草刈、そろそろ行こうぜ
草刈,分かりました。この世に神なんかいない！！だから、俺の命は俺の手で支配するんだ！！
BAR,魔の巣
喪黒,草刈さん。この間のあなたの演技、実に見事なものでした
草刈,ど、どうも……。お褒めいただいて恐縮です……
喪黒,まるで本物の殺人鬼であるかのような、生々しさを感じる演技でしたよ
草刈,それもこれも、あのスタニラフスキーミラーのおかげですよ
喪黒,どうやら、あなたは役者として再起できたようですねぇ
草刈,ええ……。喪黒さんには感謝してもしきれないですよ……
喪黒,どういたしまして。ですがねぇ……、私の方からあなたに忠告をしておきたいことがあるんですよ
草刈,どういうことですか？
喪黒,草刈さんには、役者としての才能は十分にあります
草刈,は、はい……
喪黒,それにですよ……。あの鏡の効果は本物ですから、使い過ぎには気を付けた方がいいです
草刈,そうだったんですか……。それは怖いですね
喪黒,だから、草刈さん。私と約束してください。スタニラフスキーミラーの使用は、ほどほどのところで止めておくべきです
草刈,わ、分かりました……。喪黒さん
今井,草刈、今の演技はなんだ！！この間は、もっとしっかり演じていただろう！！
草刈,やっぱり、俺はスタニラフスキーミラーがないとダメだ。あの鏡がないと、役になりきれない……。俺は流血男爵……。俺は流血男爵……。俺は流血男爵……
観客たち,流血男爵は、ロングランが続いているな
草刈,俺は流血男爵……。俺は流血男爵……。俺は流血男爵……
喪黒,草刈蓮太郎さん……。あなた約束を破りましたね
草刈,も、喪黒さん……！！
喪黒,私はあなたに言ったはずですよ。スタニラフスキーミラーの使用は、ほどほどのところで止めておくべきだ……と
草刈,すみません……。俺はあの鏡がないと、役になりきれないんです！！だから、どうしても……
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰わなくてはなりません！！。ドーーーーーーーーーーーン！！！
草刈,ギャアアアアアアアアア！！！
警察官,草刈さん、殺人容疑であなたを逮捕します！
警察官A,草刈さん。あなたには、連続通り魔による2件の殺人を行った疑いがあるんですよ
草刈,一体何のことですか？全然覚えていません！
警察官A,とぼけないでください。歩道の防犯カメラに、あなたらしい人物の映像が映っていました
草刈,フッフッフッ……。そうだよ……。あの2件の殺人を行ったのは俺だよ……
警察官B,容疑を認めるのですね？草刈さん
草刈,俺は草刈なんかじゃあない！！俺は流血男爵こと鷹橋京一郎だ！！
警察官A,おい、何をするんだ！！
草刈,この世に神なんかいない！！だから、俺の命は俺の手で支配するんだ！！
警察官A・警察官B,やめろーーーーっ！！
喪黒,演劇であれ、映画やテレビドラマであれ……。役者という職業は演じるということを仕事にしています
