霧隠虎太郎,７６５プロのアイドルぅ？なんだそりゃ
Ｐ,というわけで、青空町商店街のミニライブには、雪歩と伊織とそれから……春香に行ってもらう
雪歩,が、がんばりますぅ
伊織,なんだかスケールの小さいハコだけど、やるからには全力でやるわよ
春香,当日は、私たちだけで行くんでしたよね？
Ｐ,ああ、スケジュールの都合で俺も律子も同道できないが、あずささんもいないし迷子とかは大丈夫だよな？
春香,はいっ！大丈夫ですよ。ねー！
雪歩,私は大丈夫だけど……
伊織,春香が、一番心配よね。方向音痴じゃないけど、春香って好奇心が服を着てるようなところがあるから……
Ｐ,律子も同じ事、言ってたな。ちょっとドジな所もあるから心配だが……頼むぞ、春香
春香,もう、大丈夫ですよ。こう見えても私、意外としっかりしてますから！。……迷った。ブタさんみたいなちょっと変わったネコがいたから、追いかけてみたら……。困ったなあ。ええと……ねえ、そこのあなた！ちょっと聞きたいんだけど
千夏,はい？あれ……この人どこかで……
ヤミノリウスⅢ世,今日は何を魔界獣にして、人間界を混乱させてやろうか……んんー？あれは？
春香,私、商店街に行きたいんだけど、どう行けばいいのかな？
千夏,えと、商店街ならあっちですけど……あのー。お姉さん、どこかで見たような気が……
春香,あ！えへへ、やっぱりこの私のトップアイドルのオーラは、隠しきれないみたいだねー
千夏,うーん……
春香,えへへー
千夏,ごめんなさい。やっぱり気のせいでした
春香,がくー……。そ、そうだ！これなら……どう
千夏,お姉さんなにを……リボンを結んで……ああっ！あなたは、７６５プロの天海春香さんっ！！
春香,う、うん。そうなんだよ。やつぱりリボンがないと、わかってもらえないのかな？
千夏,私、春香さんの大ファンなんです
春香,そ、そう？
ヤミノリウス,んんー？あの女、確かにリボンをつけた途端に、なんだかキラキラして見えだしたような気が……
千夏,やっぱり春香さんは、リボンがあるとオーラを感じますよ！うわー私、感激！
春香,……そうだよね。リボンは私の、代名詞みたいなものだもんね。ありがとう
ヤミノリウス,おおおー！間違いない、リボンをつけただけなのにあの女のあの笑顔から、大魔界の大魔導師であるこのヤミノリウスが目が離せないぃ～
千夏,あの、インタビューしてもいいですか？
春香,え？あ、うん。でも、ミニコンサートが終わってからね。今、急いでるんだ
ヤミノリウス,オーラ？そうか、あのリボンの力か……あんなリボンなどという飾りに、そんな力があったとは。よおし、今日はあれだ……サライア！
千夏,あ、そうでしたよね。商店街はこっちで……あっ、春香さんリボンが！
春香,え？あれ、リボンが勝手に飛んでいっちゃう！
ヤミノリウス,ゾイワコノイワコ、マカイヤゾイワコ。悪の心を呼び覚まし、魔界の姿を作り出せ。ハズラムサライヤー！
リボン魔界獣,サファイアー！
春香,わ、私のリボンがなんだか変な生き物に！？
千夏,あー！ヤミノリウス！
ヤミノリウス,よーしリボン魔界獣よ、おまえの力を見せてみろ
リボン魔界獣,ハズラムサライア、サファイア！
春香,ええっ！？お、お店がリボンになっちゃった！？
千夏,春香さん。あれは魔界獣です
春香,魔怪獣？
ヤミノリウス,いかにも。大魔界の偉大なる大魔導師であるこの私が、魔力によって生み出した魔怪獣なのだ
千夏,やっぱりヤミノリウス。今度は何をたくらんでいるの！？
ヤミノリウス,ハッハッハ！このリボン魔怪獣で、人間界を混乱に陥れてやるのだ。いけ！
リボン魔怪獣,チャオっす
虎太郎,今日もばっななー♪ばっななー♪へへへ、元気堂でバナナ大福をしこたま買ってやるぜ……あれ？。元気堂がないぞ？そんでもって、なんだこのリボンは？
リボン魔怪獣,サファイア？
虎太郎,うお！魔怪獣！そうか、元気堂がリボンになってのはおまえのしわざだな
リボン魔怪獣,ハズラムサライアサファイア！
千夏,よけて虎太郎！
虎太郎,え？あ、千夏
千夏,その光に当たると、リボンになっちゃうのよ！
虎太郎,なんだって！？うおわっ。いってえ……ん？このリボン、バナナ大福の味がするぞ！
春香,どれどれ？うん、形はリボンに変わっても中身というか本質は変わってないみたいだね
虎太郎,？お姉さん、だれ？
春香,うーん、やっぱりリボンが無いとわかってもらえないかー
千夏,春香さん、虎太郎はそもそもアイドルとか知らないから仕方ないんですよ。それより虎太郎、ガンバーチームを探してきて
虎太郎,わかった！千夏と……春香さんだっけ？は、逃げろよ
千夏,わかった。じゃあ……春香さん、商店街へ
春香,だ、だけどリボンが……
千夏,そっか。でもきっと大丈夫
春香,え？
千夏,青空町にはひみつのヒーロー、ガンバーチームがいてくれるんですから！
春香,？
伊織,もう！案の定、春香ったら迷ってるんじゃない
雪歩,も、もうすぐ本番ですぅ
伊織,町の人たちからも、すごい声が……あら？。なんの騒ぎかし……ええっ！？
雪歩,どうしたの？伊織ちゃ……えっ！！
リボン魔怪獣,サファイア！
伊織,なんなの？あのヌイグルミは
雪歩,宙に浮いて、動いてる……
鷹介,力哉君、魔怪獣だよ！
力哉,くうぅ！せっかくのライブなのに……しかたない！行くぞ、鷹介！！
鷹介・力哉,フラッシーング！
レッドガンバー,力哉
ブルーガンバｰ,鷹介
伊織,なかなか凝った演出よね。春香に合わせてこんなデザインなのかしら？
雪歩,これ、どういう仕組みで浮いてるのかな？
リボン魔怪獣,……サファイア
雪歩,？なんだか、ぷちどるのいおちゃんみたいに光りだしたよ？
伊織,光線でも出すのかしら？
春香,伊織ー！雪歩ー！その魔怪獣からはなれてー！
伊織,あ、ようやく来たわね
雪歩,まかいじゅう……ってなに？
千夏,伊織さーん！雪歩さーん！その魔怪獣が出す光線に当たると、みんなリボンにされちゃうんですー！
ブルーガンバー,ええっ！！
レッドガンバー,なんだって！？
リボン魔怪獣,サファイア！
雪歩,え？
伊織,きゃあっ！
ブルーガンバー,危ない
レッドガンバー,うわあっ！
春香,大丈夫！？伊織、雪歩
伊織,え、ええ
雪歩,この人たちが、かばってくれて……ええっ！？
ブルーガンバー,うわあああぁぁぁ！！！
レッドガンバー,うわーーーっっっ！！！
千夏,れ、レッドガンバーとブルーガンバーがリボンにされちゃった！
伊織,そんな、これ演出とかドッキリじゃないの？
雪歩,私たちをかばって……ご、ごめんなさい！
イエローガンバー,虎太郎
千夏,イエローガンバー……レッドガンバーとブルーガンバーが
春香,リボンにされちゃったんだよ
イエローガンバー,えええぇぇぇっっっ！！！。ど、どーすんだよ！おまえらがこんなんじゃ、キングエレファンもマッハイーグルも呼び出せないじゃんか！
ブルーリボン,そんなこと言ったって
レッドリボン,しょうがないだろ
イエローガンバー,いいっ！？しゃ、しゃべれんの？
ブルーリボン,あ、ほんとだ
レッドリボン,口もないのに、どっから声かでてるんだろうな
春香,……と、こういう事らしいんだよ
伊織,大魔界の魔導師が、人間界を混乱させている……ねえ
雪歩,よくわからないけど、わかったよ
イエローガンバー,とにかくここは俺がなんとか……千夏！あぶない
千夏,え？
イエローガンバー,こんな時に写真なんて……間に合え！
リボンの怪獣,サファイア！
イエローガンバー,うわあっ！
千夏,ご、ごめんなさいイエローガンバー
レッドリボン,お、お前だけがたよりなのになんでリボンにされちゃうんだよ！
イエローリボン,なんだよ！お前もさっきはしょうがないって言ってただろ！
ブルーリボン,２人ともケンカはやめなよ。でも、どうしたら……
春香,ねえ
イエローリボン,え？春香さん？
春香,さっきの駄菓子屋さん、リボンになっても中は甘かったりしてたよね
千夏,そう言えばそうでしたね
春香,じゃあもしかして……ごめんね、ちょっと我慢して
伊織,春香？そのリボンを頭に……
雪歩,？
イエローリボン,な、なんだあ！？
春香,やっぱり。もしかしてあなたの力、リボンをつけたら使えるんじゃないかと思ったんだ
イエローリボン,そ、そういうことか。けど、なんか誰かの頭にのっかってイエローガンバーの姿を見下ろすのってみょーな感じだな
春香,あの魔怪獣、元々は私のリボンなんだ。だから責任をとって、私があなたの力で代わりに戦うよ
イエローリボン,え？でもなあ……
春香,大丈夫。こう見えてもレッスンで鍛えているから
雪歩,……伊織ちゃん
伊織,ええ。わかっているわ
ブルーリボン,え？なになに？
レッドリボン,い、伊織さん？
雪歩,す、すごいですぅ。ほんとに変身しちゃいました
伊織,私たちを庇ってくれたお礼とお詫びに、あなたたちに代わって戦うわ
ブルーリボン,い、いいのかなあ？
レッドリボン,女の子の、しかもアイドルの人に魔界獣と戦ってもらうなんて
リボン魔怪獣,サファイアー！
雪歩,い、伊織ちゃん！またあの光線がくるよ！
伊織,え？きゃっ！
春香,大丈夫！？いお……え？えええぇぇぇーーーっっっ！！！
伊織,な、なに？
雪歩,は、春香ちゃんが今、ものすごいスピードで通り過ぎちゃったけど……
春香,な、なになになに！？なんでこんな速さで私、走っちゃってるの！？
ｲｴﾛｰﾘﾎﾞﾝ,は、春香さん！イエローガンバーの能力は超スピードなんだよ
春香,え？そ、そうか、それでこの速さなんだ
ｲｴﾛｰﾘﾎﾞﾝ,ともかくさっきの場所まで方向転換しなきゃ
春香,オッケー……ってきゃあ！
ｲｴﾛｰﾘﾎﾞﾝ,……大丈夫かな、春香さん
伊織,なるほど。つまりあなたたちには、それぞれ特殊能力があるわけね
ﾚｯﾄﾞﾘﾎﾞﾝ,そうです。俺の能力は怪力です
伊織,へえ。じゃあ……
リボン魔怪獣,サァイア？
伊織,こうやって放り投げたら……
リボン魔怪獣,さ、サファイアアアァァァーーーッッッ！！！
伊織,……ほ、ほんとにすごいわね
雪歩,空に飛んでいって、見えなくなっちゃっ……あれ？み、見える！？
ﾌﾞﾙｰﾘﾎﾞﾝ,それがボクの能力超感覚だよ。視力と聴力がものすごくよくなるんだ
雪歩,ほんとだ。すごくよく見えるよ。あ、落ちてきた
ヤミノリウス,んん～？魔怪獣め、どーこへ行きおった？ん？
リボン魔怪獣,ショ、ショーサ、シャアーッ！
ヤミノリウス,ま、魔怪獣！？な、なんで上から
リボン魔怪獣,ゲンソクデキマセーーーン！！！
ヤミノリウス,うわあああぁぁぁーーーっっっ！！！
伊織,どう？雪歩
雪歩,途中で何かにぶつかって、ボロボロになっちゃったみたいだよ
伊織,ふう。案外、楽勝だったわね。にひひっ！
ﾚｯﾄﾞﾘﾎﾞﾝ,まだだよ、伊織さん
伊織,え？
ﾌﾞﾙｰﾘﾎﾞﾝ,魔怪獣は、ヤミノリウスの闇の力でパワーアップしちゃうんだ！
雪歩,えええ！？
ヤミノリウス,お……おおお、おのれおのれガンバーチームめ。リボン魔怪獣！
リボン魔怪獣,サファイア！
ヤミノリウス,魔怪獣よ、今こそ闇の力を解き放てーーー！！！
春香,な、なにあのランプ！？
伊織,空中に浮いてるランプに、魔怪獣が入って……
雪歩,あっ、出てきた……ええっ！？大っきくなって、姿も怖そうに！！
ヤミノリウス,超魔怪獣ムスビーメよ、ガンバーチームをリボンにしてしまえ！
伊織,ちょ、ちょっと！あんな大きいのとどうやって戦うのよ！？
ﾚｯﾄﾞﾘﾎﾞﾝ,伊織さん、ポケットにあるカードを腕のブレスに差し込んでください！
伊織,え？あ、これ？
ｲｴﾛｰﾘﾎﾞﾝ,春香さん！
ﾌﾞﾙｰﾘﾎﾞﾝ,雪歩さんも！
春香,わ、わかった
雪歩,これ……だよね？
春香・伊織・雪歩,スクラーンブル！
春香,ば、バイクが走ってきて……きゃ、あ！乗っちゃった
ｲｴﾛｰﾘﾎﾞﾝ,そんでもってこのまま
春香,ま、まだなにかあるの？あっ！公園の遊具の下からトラの形をしたロボットが……もしかして。バイクごと乗り込んじゃった！
伊織,わ、私はこのバギーに乗れってこと？
ﾚｯﾄﾞﾘﾎﾞﾝ,はい、そしてあのキングエレファンに乗り込みます
雪歩,こ、これに乗るんですか？
ﾌﾞﾙｰﾘﾎﾞﾝ,大丈夫です。ボクを信じてください雪歩さん
春香,私、ロボットの操縦なんてできないよ？
ｲｴﾛｰﾘﾎﾞﾝ,だいじょうぶだって！オレたちでも簡単に操縦できるんだから
伊織,ふうん、確かになんとなくで動かせそうね
雪歩,ちょ、ちょっと怖いけどやってみますぅ
春香,よおし！いくよ、インベル！
伊織,なによ？インベルって？雪歩、知ってる？
雪歩,……
伊織,ちょっと、なんで寝てるのよ！？
ﾚｯﾄﾞﾘﾎﾞﾝ,オレたちもサポートしますから、なんとかあの魔怪獣を倒しましょう
伊織,そうね。春香と雪歩はちょっと頼りないけど、なんとかしなきゃ
ﾚｯﾄﾞﾘﾎﾞﾝ,責任感が強いと、色々苦労しますね
伊織,まったくよね。ふふっ、あんたもいつもそういう役回りなんでしょ？
ﾚｯﾄﾘﾎﾞﾝ,時々、損してるなあと思います
伊織,わかるわ。でも……嫌じゃないのよね
ﾚｯﾄﾞﾘﾎﾞﾝ,そうですね。はい！それもわかります！
ﾌﾞﾙｰﾘﾎﾞﾝ,とりあえず操縦になれるまでは、一緒に行動した方がいいよ！
ﾚｯﾄﾞﾘﾎﾞﾝ,そうだな。合体しましょう、伊織さん！
伊織,合体？この象や虎や鳥、合体できるの？
春香,おもしろそう！ねえねえ、どうやるの？
ｲｴﾛｰﾘﾎﾞﾝ,そこのボタンを押すと、カードとコマンダーが出てくるから、カードをコマンダーに差し込むんだよ
春香,こう……ね。いくよ！カンバルガー、ミラクル合体！！いっけぇー！！！
雪歩,ほ、本当に合体しちゃった
伊織,す、すごいわね。あ、雪歩！春香！
春香,なるほど、合体するとみんな一カ所に集まるんだね
ﾌﾞﾙｰﾘﾎﾞﾝ,メインの操縦は春香さんです。雪歩さんと伊織さんは、サポートしながら操縦を覚えてください
春香,よーし。頼むね、伊織！雪歩！
雪歩,わかりましたあ。あ、春香ちゃん、あの魔界獣が来るよ！
春香,え？どこ？
伊織,右よ、右。ほら！
春香,了解！ここは、日頃のレッスンを活かしたこの身のこなしで……
伊織,ちょっと、春香！なんでそんな所までいつも通りなのよ！！
ﾚｯﾄﾞﾘﾎﾞﾝ,だ、大丈夫かな？
ﾌﾞﾙｰﾘﾎﾞﾝ,ちょっと不安になってきたけど
雪歩,大丈夫だよ
ﾌﾞﾙｰﾘﾎﾞﾝ,えっ？
雪歩,春香ちゃんはね、ちょっとドジな所はあるけどやる時はやる、頼もしい娘なんだから
ﾚｯﾄﾞﾘﾎﾞﾝ,そ、そうなの？
伊織,まあね。ほら春香、しっかりして私たちを嘘つきにしないでよ
春香,痛たたたた。わ、わかってるよ。いくよ
ｲｴﾛｰﾘﾎﾞﾝ,春香さん、そこでレバー握って
春香,こうだね！えい
ﾑｽﾋﾞｰﾒ,ｼｭﾙｼｭﾙ……
ヤミノリウス,むむっ、危ないぞムスビーメよ。ここは距離をとって、戦うのだ
ﾑｽﾋﾞｰﾒ,ヒメチャーン！
春香,ようやく感覚がつかめてきたのに、離れて……あっ！
雪歩,春香ちゃん！あのビームがきたよ
伊織,避けないと、このロボットまでリボンにされちゃうわよ
春香,わかってるよ。え、えい
ﾑｽﾋﾞｰﾒ,ヒメ、ヒメ、ヒメチャーン！
雪歩,ど、どんどんビームが来るよ
伊織,ど、どうすればいいのよ。こっちはまだ慣れてないのに
ﾌﾞﾙｰﾘﾎﾞﾝ,そうだ！雪歩さん、胸のガンバーマークにゲキリュウガー、スクランブルと言って触れてください
雪歩,え？
ﾌﾞﾙｰﾘﾎﾞﾝ,お願いします。急いで
雪歩,よくわからないけど、わかりました。げ、ゲキリュウガー……す、スクラーンブル！
ﾌﾞﾙｰﾘﾎﾞﾝ,い、今、間近に雪歩さんの胸がむにょっ、て////
雪歩,あ、あれ？何か飛んできたよ？
ﾌﾞﾙｰﾘﾎﾞﾝ,転送って言ってまた胸のマークに触れると、あのロボットゲキリュウガーに移動できます
雪歩,……え？それって、私が操縦するってこと？
ﾌﾞﾙｰﾘﾎﾞﾝ,お願いします。このままだとガンバルガーが、リボン魔界獣に狙い撃たれちゃうけど、的が増えたら相手も迷うはずです
雪歩,……わかった。私も迷わないで、がんばってみますぅ！転送
ﾌﾞﾙｰﾘﾎﾞﾝ,////
ﾚｯﾄﾞﾘﾎﾞﾝ,ぼ、僕たちもいきましょう！リボルガーを呼び出すんです！
伊織,え？まだ他にもロボットがあるの？
ﾚｯﾄﾞﾘﾎﾞﾝ,急いでください、伊織さん！！
伊織,わ、わかったわ。同じようにすればいいのよね？リボルガー、スクラーンブル！
ﾚｯﾄﾞﾘﾎﾞﾝ,////
伊織,翼のあるライオン……あれがリボルガーね。じゃあ……転送！
雪歩,えっと、こうだよね。ミラクルチェーンジ
ﾌﾞﾙｰﾘﾎﾞﾝ,ゲキリュウガー、人型タイプに変形です
ﾚｯﾄﾞﾘﾎﾞﾝ,伊織さん、こっちも
伊織,わかってるわ。ミラクルチェーンジ
春香,おおっ、人型ロボットが三体も！えへへんっ！これなら的もしぼりきれないでしょ？
ﾑｽﾋﾞｰﾒ,ヒメ？ヒメヒメ？
ヤミノリウス,かまうな、ムスビーメよ。ともかくガンバルガーを狙え
雪歩,あ、あんなこと言ってるよぉ
ﾌﾞﾙｰﾘﾎﾞﾝ,こんな時は、ウルトラガンバー忍法です
雪歩,え？
ﾌﾞﾙｰﾘﾎﾞﾝ,事前に組んだプログラムで、３体のロボットで忍法が使えるんです
伊織,事前に組んだプログラムって、今からじゃ……
ﾌﾞﾙｰﾘﾎﾞﾝ,大丈夫です。７６５プロのみなさんがライブをするって聞いて、みなさんの曲でプログラムを組みました
春香,やったね！
ｲｴﾛｰﾘﾎﾞﾝ,よーす……ﾌﾞﾙｰさっすが。春香さん、いつものライブのつもりで動かせば大丈夫ですから。この忍法カードを入れてください
春香,よーっし！ウルトラガンバー忍法Do-Dai！！
ヤミノリウス,んん～？ガンバルガーとリボルガー、それにゲキリュウガーが踊り出したぞ？
春香,本日はみんなに♪私のとっておきの必殺技を♪
伊織・雪歩,食らわせてあげちゃうよ♪
ﾑｽﾋﾞｰﾒ,ひ、ヒメ？
ﾚｯﾄﾞﾘﾎﾞﾝ,やった！踊りながら魔界獣をとりかこんだぞ
ﾌﾞﾙｰﾘﾎﾞﾝ,さすが７６５プロのアイドル！身のこなしがバッチリだよ！
春香,突然囲まれちゃった♪
伊織・雪歩,どーしよ♪
ヤミノリウス,な、いったい、どうしろと？
春香,戸惑っていたら♪
伊織・雪歩,後ろから♪
ヤミノリウス,いきなり！？
春香,突然なシチュエーション♪
ヤミノリウス,ど、どーしよう！？
伊織・雪歩,ドシロウト♪
ヤミノリウス,あれはまるで三つ子のコンビネーションではないか
春香,こんなチャンス♪逃がさないも～んっ♪
伊織,武器の威力♪
雪歩,全部かき集めて♪
春香・伊織・雪歩,何とかするべし♪♪♪
ヤモノリウス,むむっ？ガンバーソードを取り出しポパピプペ？
春香,命中してくれ、ま・す・か♪
ﾑｽﾋﾞｰﾒ,テンチョー！！！
伊織・雪歩,とにかく大成功♪とにかく大成功♪
春香,攻ゲキお・わ・りっ♪
春香・伊織・雪歩,いぇい♪♪♪
ﾑｽﾋﾞｰﾒ,ヒラヒラ……
ｲｴﾛｰﾘﾎﾞﾝ,す、すげえ……
ﾚｯﾄﾞﾘﾎﾞﾝ,ガンバルガーやゲキリュウガー、リボルガーでこんなに歌って踊りながら攻撃なんて……
ﾌﾞﾙｰﾘﾎﾞﾝ,プログラムした僕でも、びっくりだよ
伊織,にひひっ。このスーパーアイドル伊織ちゃんを、なめてもらったら困るわよ
雪歩,日頃のレッスンの成果ですぅ
春香,さ！あの魔界獣が弱っている今がチャンスだよ
ｲｴﾛｰﾘﾎﾞﾝ,おう！春香さん、グレートンガンバルガーに合体だ！
春香,オッケー！いっくよお！！グレートガンバルガー、超ミラクル合体！！！。元気、爆発ですよ！爆発！！
伊織,え？ちよっ……ええっ！？
雪歩,ゲキリュウガーさんの頭が飛んでって……きやあっ！！
春香,あ、また戻ってきた！やっほー、伊織に雪歩
伊織,春香……なにかするんなら、ちゃんと知らせてからにしなさいよ！
雪歩,び、びっくりしたよお……あ、魔界獣がまた動き出すよ
ｲｴﾛｰﾘﾎﾞﾝ,春香さん、今のうちに必殺技を！
伊織,待ちなさい！春香
春香,え？
伊織,今日はアンタばっかり、目立ってるじゃないの。最後のトリは私に任せなさいよ！
春香,えー。ここまで私がメインで操縦したんだよ？がんばって慣れたんだから、最後まで私が……
伊織,いいから代わりなさいよ
春香,いえいえ、ここは私が
雪歩,えっと、こう？
ﾌﾞﾙｰﾘﾎﾞﾝ,そうです
春香,あ！
伊織,え？
雪歩,いくよぉ！ファイナルガンバーソード！
春香,え？
伊織,ちょっと！
ﾑｽﾋﾞｰﾒ,ヒメエエエェェェ！！！
雪歩,グレートファイナルアターック！！！
ﾑｽﾋﾞｰﾒ,ローゼエエエェェェンンン！！！
伊織,ちょっと雪歩！トリはこの……
雪歩,はい。操縦代わるね、伊織ちゃん
伊織,え？
ﾚｯﾄﾞﾘﾎﾞﾝ,まだ一番最後に、勝ち名乗りがあるんですよ！
伊織,そっか。じゃあ……いくわよ、元気爆発！ガンバルガー！！！
ヤミノリウス,くうぅ～おのれぇ！
ｲｴﾛｰﾘﾎﾞﾝ,やったぜ！いや～すげーな、アイドルって
ﾌﾞﾙｰﾘﾎﾞﾝ,良かった。こた……イエローもアイドルの良さがわかったんだね
ﾚｯﾄﾞﾘﾎﾞﾝ,あ、またいつもの光が出てリボンにされてたものが元に……ああっ！
伊織,どうしたの？
ﾚｯﾄﾞﾘﾎﾞﾝ,このままだと、元に戻って俺たちの招待がバレちゃう！
春香,？秘密なの？あ、でも私たち誰にも喋ったりしないよ
ﾌﾞﾙｰﾘﾎﾞﾝ,い、いいえ！僕たちには大魔界の呪いがかけられていて、招待がバレると……犬になっちゃうんです
雪歩,い、犬！？
ﾚｯﾄﾞﾘﾎﾞﾝ,あ、あ……だんだん体が元に……い、伊織さんこれで失礼します！
伊織,え、ええ
ﾌﾞﾙｰﾘﾎﾞﾝ,僕も！雪歩さん、今日はありがとうございました！
雪歩,うん。私も助けてもらって、嬉しかったよ
ｲｴﾛｰﾘﾎﾞﾝ,じゃあ俺も！またな、春香さん
春香,うん！また会おうね。なんだか……嘘みたいだね
伊織,え？
春香,私たちが、ロボット操縦して街を守ったなんて
伊織,そうね。でも彼らは……ずっとそれをやってるのね
雪歩,偉いよねえ
春香,さ、じゃあ騒ぎも終わったし改めてライブの用意だよ
伊織,遅刻してきてリーダーぶるのもアレだけど、わかったわ
雪歩,がんばろうね！
春香・伊織・雪歩,みんなー！今日は本当にありがとー！！！
鷹助・百合香,雪歩さーん
力哉・桂,伊織さーん
千夏,春香さー……あれ？虎太郎？ふーん、あんたアイドルには興味ないんじゃなかったっけ？
虎太郎,うるせー。きょ、今日から俺はなあ、その……春香さんのファンになったんだよ
千夏,ええーっ！？
虎太郎,わ、悪いかよ……
千夏,私も大ファンなんだ！元気で、明るくて、ちょっとドジなところもあるけどそれも親近感があるじゃない！？
虎太郎,お、おお……そ、そうだな。一生懸命で……すげーよな！
千夏,うん！
春香,じゃあみんな、次の曲にいくよー！
伊織,今日は楽しんでいきなさいよ
雪歩,Do-daiですぅ！
一同,待ってました！！！
千早,ロボット……？
春香,まあ信じられないかもしれないけどね、私たちが街の平和を守っちゃったんだよ！
千早,へえ……そうなの
やよい,私も行きたかったですー！
伊織,まあこの伊織ちゃんにかかれば、ヒーロー……じゃなくてヒロインもお手の物よ
真,そんなことがあったんだ
雪歩,ちよっとドキドキしたけど、最後の必殺技を出すときとかちょっと気持ちよかったかも
真,いいなあ、ボクもやりたいなあ
Ｐ,しかし……本当か？なんだか信じられないが
春香,本当ですって！
伊織,なんならまた、あの街でライブしてもいいのよ？
雪歩,あ、それならまた行きたいな
Ｐ,まあ、考えておくよ
真,じゃあその時はボクが！
やよい,私も行きたいですー！
千早,そうね。私も行くわ
Ｐ,よしよし
ヤミノリウス,おのれおのれガンバーチームに７６５プロ、次は魔界獣マナイータでやっつけてやるぞ。ハズラムサライアー！
