モバP(以下、P),この電話ボックスみたいなのか？
P,あーあ、いくら太らないからってあんなにバクバク食べて。・・・まぁ、今回は特別に目を瞑ってやるか
晶葉,・・・。太るぞ
P,え？
晶葉,普通に太るぞ
P,いやいや、だって今は太らない世界なんだろ？
晶葉,確かにどんなに食べても太らない世界にはなっている
P,じゃあいいじゃん
晶葉,でも10分だけだぞ
P,・・・ん？どういう意味だ？
晶葉,10分以内にドーナツを消化して吸収できるのであればカロリーはゼロになるという事だ
P,・・・。トレーナーさんに特別メニューを頼んでおくか
晶葉,そうした方がいいだろうな
P,さて、次は誰が来るか
晶葉,助手は何を食べてるんだ？
P,ドーナツ。さっきの見てたら俺も食べたくなってさ。晶葉も食うか？
晶葉,いや、私はいい。お、誰か来たぞ！
P,裕子とレナさんか
晶葉,お、おい・・・機材にはこぼさないでくれよ？
レナ,どうしてこんな所に公衆電話があるわけ？
裕子,ここにノートがありますよ・・・自分の好きな世界にする事ができる装置？
レナ,どういう事？
裕子,えっと、受話器に仮に○○の世界だったらと自分の望む設定を申し出るとその通りの世界にする事ができる。って書いてありますけど・・・
レナ,怪しいわね
裕子,あ、でも晶葉ちゃんの発明品みたいですよ！
レナ,尚に怪しいわね
晶葉,失礼な！
P,まぁまぁ
裕子,でも面白そうじゃないですか！やってみましょうよ！
レナ,うーん、でも特に体験したい設定なんてないし・・・裕子ちゃん決めていいわよ？
裕子,えっ、いいんですか！？
レナ,えぇ
裕子,私と言ったらやっぱこれしかありませんよ！。仮に私のサイキックパワーが数十倍になっている世界だったら！。ふふふ・・・
レナ,どう？何か変化はあった？
裕子,身体の奥底から力が湧き上がっているような感覚があります！
レナ,ほんと～？思い込みだけじゃなくって？
裕子,では試しにこのスプーンを曲げてみましょう！
レナ,どこから出したのそれ
裕子,常に持ち歩いているので！。行きます！スプーンよ曲がれっ！ムムム～ン！！！
レナ,ウソ！？
裕子,おぉ・・・！
レナ,スプーンがねじ切れてる
裕子,どうやらこの装置は本物みたいですね
レナ,手品とかじゃないわよね・・・？
裕子,正真正銘超能力です！では他にもやってみせましょう！ムムム～ン！。
レナ,浮いた！？
裕子,さいきっく空中浮遊です！
レナ,それらしい細工も見当たらないわ・・・
裕子,これで信じていただけましたか？
レナ,えぇ！凄いわ裕子ちゃん！
裕子,ふっふっふ・・・まだまだ行きますよー！ムムムム！
レナ,！？頭の中から声が・・・！。そんな事までできちゃうのね。でもテレパシーってそれはそれでちょっと不便そうじゃない？。だって迂闊に変な事想像しちゃったら周りにそれがバレちゃうわけでしょ？。人に言えないような事・・・そうね、例えば裕子ちゃんの好きな人とか？
裕子,す、好きな人！？そんな人いませんよ！。！？///
レナ,あら、そうだったのね♪
裕子,ち、違います！今のはそういう意味じゃなくてですね・・・尊敬している人という意味ですから！///
レナ,ふふっ、分かってるわよ。裕子ちゃん可愛い♪
裕子,か、からかわないで下さい！
レナ,・・・
裕子,・・・。いや、違いますから。そういう事を想像しないようにと思いすぎて逆に強く想像してしまうというアレであって―――
レナ,あらあら～♪
裕子,だ、だから違うんですってばぁ！///
P,なんか後半は良く分からなかったな
晶葉,テレパシーで会話をしているみたいだったからな。こればかりはどうしようもない
P,何の話してたんだろう、気になるなぁ
晶葉,そうだな。・・・。いや、まさかな。うーむ・・・あれから誰も来ないな
P,そろそろレッスンが終る頃だからアイドル達も戻ってくると思うけど
晶葉,ん！？
P,愛海だ。嫌な予感しかしないな
晶葉,そうだな
P,これやるな
晶葉,絶対やるだろうな
P,やっぱやりやがったな！。あんにゃろう、とっ捕まえてやる！
晶葉,・・・お、おい！助手が行ってしまったら―――。行ってしまったか・・・
P,ん？
雫,あ、Pさん。おはようございますー♪
P,おはよう雫。なぁこの辺で愛海を見かけなかったか？
雫,愛海ちゃんならさっき会いましたよー。向こうへ走っていきましたけど
P,そうか！
雫,何だかとても嬉しそうな顔をしてましたー
P,うん、まぁ・・・だろうな。・・・。ちなみに雫は愛海と挨拶とかした？
雫,はい、しましたけどー？
P,あっちに行ったんだな？ありがとな雫！
雫,あっ、Pさん
P,ん？。なっ！？。な、何するんだよ！？
雫,胸を揉んだだけですけどー？
P,・・・え？あっ！そ、そうか！そうだったな！
雫,？。次はPさんの番ですねー
P,えっ！？
雫,どうぞー♪。どうかしましたかー？
P,あぁ、いや・・・今日はしなくてもいいかなーって
雫,え・・・
P,え？
雫,私何かPさんを怒らせるような事しちゃいましたかー？
P,いやいやいや！？違うって！そういう事じゃないから！
雫,じゃあ何で返してくれないんですか？
P,それはだな、えっと・・・色々と事情があって―――スキあり～っ！。どわぁっ！？。だ、誰だ！？
早苗,背中がガラ空きよP君？
P,早苗さん！？勘弁してくださいよ！
早苗,ふふっ・・・あら？
雫,
早苗,雫ちゃんどうしたの？
雫,・・・Pさんが胸を揉み返してくれなくて
P,ちょっ！
早苗,え？。ちょっと、どういう事？
P,いや、それはですね・・・
雫,私が何かいけない事をしてしまったんでしょうかー
P,だからそれは誤解だって！
早苗,とにかくっ！どういう理由であろうと相手の、しかも自分の可愛いアイドルのお山に登らないだなんて社会人としてあるまじき行為よ！
P,揉む方が人として問題だと思うんですが・・・！
早苗,なに訳の分からない事言ってるの！ほら、早くしてあげなさい！
P,～～～っ！本当に無理なんです！ごめんなさい！
早苗,こら、待ちなさい！
P,ぐえっ！
早苗,何で逃げるのよ！
P,いたたたた！ギブギブ！！！
早苗,ちゃんとやるまで逃がさないわよ！
雫,Pさん・・・
P,わ、分かりましたっ！やります、やりますからぁっ！！！
早苗,これから銭湯にでも行かない？
雫,良いですねー♪
P,。いてて、早苗さん本気で関節キメてくるんだもんなぁ。・・・。ん？
拓海,よう、P
P,拓海・・・
拓海,
P,・・・。参ったねこりゃ
拓海,こんな所で何してんだ？
P,愛海を探してるんだよ
拓海,愛海？それなら向こうにいたぜ？
P,そうかそうか、ありがとな
拓海,おう、じゃあな
P,それじゃあ失礼しまーす
拓海,なッ！？///
P,ふぅ・・・じゃあな！。・・・え？
拓海,テメェ、良い度胸してるじゃねェか・・・///
P,え？え？
清良,あら、愛海ちゃん。どうかしましたか？
愛海,最後の山、ラスボスは清良さんと決めてました
清良,ラスボス？
愛海,いざ参るっ！覚悟～♪。へ？
拓海,覚悟はできてるんだろうな
P,え、何で！？ちょ、ちょっと待った！これは違うんだって！
清良,愛海ちゃんまたイケナイことしようとしてましたね？
愛海,あれぇぇ！？何で！？
拓海・清良,たっぷりお仕置きしてやるよ(あげますね♪)
P・愛海,ぎえぇぇぇぇぇ！！！！！！
晶葉,お、もう10分経ってたのか
P,エラい目に遭った・・・
晶葉,こういうのはウサミンロボに行かせるべきだったかもな
P,行く前に言ってくれよ！
晶葉,取りあえずこれ以上何かあってもいけないし実験は終了だ。仮にボックスを回収しに行こう！
P,あぁ・・・。でもあんな大きなものどうやって運ぶつもりだ？俺一人じゃ無理だぞ
晶葉,その点は安心してくれ！私が開発したこのミニミニライトを使えば仮にボックスを手のひらサイズの大きさにする事ができるのだ！
P,それもパクリじゃん
晶葉,パクリではない、オマージュ！
P,はいはい
早苗・清良,
愛海,ひ～ん、お許しを～・・・
P,・・・。
晶葉,ん、どうした？入らないのか？
P,愛海がロープで吊るし上げられてる
晶葉,それは大変だな
P,いや他人事！見つかったら俺達だってタダじゃすまないぞ！？
晶葉,私もか！？
P,当たり前だろ！装置を作った張本人なんだから！
P・晶葉,
清良,なにを廊下でコソコソしてるんですか？
晶葉,あ、いや・・・
早苗,P君？
P,は、はい！？
早苗,分かってるわよね？
P,・・・・・はい。どうだ雫？
雫,あ、そこっ・・・気持ちいいです～♪。すみません、Pさんに肩なんて揉ませてしまってー
P,いや、いいんだよ
早苗,気にしなくていいのよ雫ちゃん、どんどんP君をこき使っちゃって！
晶葉,機材はここに降ろせばいいんだな？
ウサミンロボ,ニモツヲ、オロシマス
夏樹,おう、助かったぜ
P,ちょ、ちょっと待ってくれよ！少しくらい休憩させてくれ！
早苗,まだまだ後がつかえてるんだから頑張ってね！
P,えぇっ！？俺だって一応被害者みたいなものなんですけど！
早苗,自分のした事を考えたらこれくらい安い物でしょ
P,～～～っ！。発明品なんてもうこりごりだぁ～！。――――よしっ・・・
早苗,いや、終わらせないわよ？
P,あ、はい
愛海,いや～、二人とも頑張ってるね！感心感心♪。・・・。って何であたしだけ反省文なのさ！
清良,だって愛海ちゃんは力仕事とかできないですし、それに・・・・逃げますよね？
愛海,ソ、ソンナコトアリマセンヨー・・・？
清良,だから愛海ちゃんにはここで原稿用紙5枚分の反省文を書いてもらいます♪
愛海,地味に多いよっ！
