モバＰ,以降Ｐ表記。インパクト強っ！
Ｐ,あのな、ほたるは大人しい風に見えるけど散々色んな中傷を受けてもアイドルになる事を絶対に諦めなかった娘なんだぞ？。どれだけ辛くても努力を続けて来たからこそ今のほたるがあるんだ。そんなハングリーオブハングリーアイドルに向かってあんな事言ったら砂丘に埋められるぞ
りあむ,グスッ…ごめ゛ん゛な゛ざい゛…
Ｐ,それは今度本人に言いなさい。そして案の定参考にならなかったな
りあむ,案の定って言った、案の定って言ったよこの人…
Ｐ,次は誰のところに行ってみるかな…時子や佐藤に合わせたら下手すりゃ血を見そうだし、みくや幸子は…駄目だ、あいつらプロ意識高いからフルボッコにされるだけだ
りあむ,ヒック、グス……Ｐ゛ザマ゛、見捨てないで……
Ｐ,はいはい見捨てない見捨てない。夢見はちゃんと反省出来る良い子だよ
りあむ,…ほんと？
Ｐ,ほんとほんと。嘘は１つしかつかない県民性だから安心しなさい
りあむ,…………うん
Ｐ,ただ言葉には本当に気を付けたほうがいいぞ？特にお前の芸風は嫌われる相手にはとことん嫌われるタイプだろうし
りあむ,嫌われるのはやぁだぁー！！すこれー！すこれよぉー！
Ｐ,だから気を付ければいいだけだっての！あっコラ上着で顔拭くな！
りあむ,すんすん……狭山茶臭い
Ｐ,にゃろう。と言う訳で臭いで思い出したから次はこのケミカルマッドサイエンス構ってちゃんにお話を伺おう
りあむ,ぼく知ってるよ！時々学会に激震を起こしてる通称トラブル製造機とか言われてるアイドルの子だ！
志希,え、なんぞ？。あれ、構いに来てくれた訳じゃないの？残念～。んでんで、そっちの娘は？被験体？
Ｐ,紹介しよう。新しくウチにきた新人アイドルの夢見るなら寝てる間に見ろりあむさんだ
りあむ,夢見っ！段々長くなってきてる！嫌なキャッチフレーズみたいになってる！
志希,あ、新人さんなんだ。アハハ個性強っ♪
Ｐ,お前が言うのか
りあむ,はいセンパイ！
志希,何かなコーハイ君
りあむ,今すぐにでもめっちゃ売れるアイドルになれるクスリを作ってください！出来ればタダで！
志希,にゃははー♪ねぇねぇプロデューサー。この娘やっばーい♪
Ｐ,うん、実際やっばーい奴なんよ
りあむ,クスリの力でもいい！怪しい機械の力でも！それでもぼくは売れたい！目立ちたい！もてはやされたい！
志希,ここまで突き抜けると清々しいねぇ
Ｐ,混沌も突き詰めれば透明度を帯びてくるもんだな
りあむ,では先輩！ぼくにクスリを
志希,そんなの無いってば。ファンタジーやメルヘンじゃあるまいし、そんな都合のいいモノがある訳無いっしょ
りあむ,えぇ～…何だよ何がギフテットだよぅ…その才能は一体何のためにあるんだよぅ…
志希,少なくともキミの為にある訳じゃないのは確かだねぇ
Ｐ,珍しい。志希が若干イラついてる
志希,うん、こんなにムカッときたの久しぶり～
Ｐ,よしよし、志希の発明は知的好奇心と寂しさを満たす為のコミュニケーションツールだもんな
志希,んっふっふ～♪流石プロデューサー。わかってくれてるね～
りあむ,あぁーズルいよ！ぼくも！Ｐサマぼくも甘やかして！無条件にダダ甘やかして！
志希,これ志希ちゃんのっ！
りあむ,ギャアァ！引っ掛かれたぁ！
Ｐ,で、ハスハスや。コイツどう？売れると思う？
志希,うーん…スタイルとルックスは悪くないんだし問題なのは中身なんだから洗脳とか調教とかロボトミーとかでイケるんじゃない？
りあむ,ヒィィッ！芸能事務所というよりショッカーの発想！！
Ｐ,流石にそんな非人道的な真似は極力したくないなぁ
りあむ,極力！絶対じゃなくて極力！怖っ！
志希,丁度今ここに最初に見た人に絶対服従して自由意思を完全放棄するくらい従順になるクスリ
りあむ,都合のいいモノあるじゃないか！
Ｐ,それも十分非人道的だから破棄しなさい
志希,はーい、んじゃいざって時の為にしまっておく～
りあむ,いざって何！？
Ｐ,夢見のツッコミはいまいちクドいなぁ。もうちょい切れ味よくいけないか？
りあむ,ぼくだって好きで突っ込んでる訳じゃないよ！突っ込まざる状況が多すぎるんだよこの事務所！やむよ！心の前に喉と血管がやむ！
志希,にゃはっはー♪確かにクドいね～
りあむ,ァッ！！
Ｐ,…と言う訳であれが我が事務所が抱える寂しんぼギフテット一ノ瀬志希だ。少しは参考になったか？
りあむ,あー、あー…ちょっと待って喉の調子が、うん……うん、もう平気
Ｐ,夢見は幸子やみく側…と
りあむ,ぼくが浴びたいのは脚光！お茶の間の笑い声じゃない！
Ｐ,さぁて、次は誰に話を聞こうか
りあむ,Ｐサマ！？お願い届いてぼくの叫び！
Ｐ,森久保ーいるかー？
乃々,い、いませんいません…今日はもりくぼ閉店中です…
Ｐ,いるやんけ
りあむ,机の下の狭い空間から幼女が釣れた！？
Ｐ,と言う訳で今度はこの机の下に生息するシマリス娘の有り難いアイドル論をご拝聴しよう
乃々,あ、あの…何がどういう訳なのか、もりくぼにはさっぱりなんですけど…
りあむ,ぼく知ってるよ！この子絶対にファンと視線が合わない事がもはや都市伝説レベルになってる小動物メンタルな子だ！
乃々,ひぃぃっ！ど、どちら様ですか何方様ですかもりくぼの事はどうかそっとしておいてほしいんですけど…！
Ｐ,紹介しよう。ザコだ
りあむ,夢見！りあむ！ジオンの量産型ＭＳみたいな呼ばれ方はやむよ！？
乃々,あぁ…また担当アイドル増やしたんですか……正気ですか？
Ｐ,品性と常識と気品には定評があるぞ？
乃々,そんな事あるかなんですけど
りあむ,はい先輩！どうしたら先輩みたいに無理無理言いながら人気アイドルになれるんでしょうか！？
乃々,も、もりくぼに人気なんてありませんけど…
Ｐ,コラ、全国７兆４千億人の森久保ファンに謝れ
乃々,地球上の総人口軽く超えてるんですけど！？
りあむ,森久保ちゃんみたいにレッスンからは逃げ仕事からは逃げファンサからは逃げ、それでも人気を取れる！そんなアイドルにぼくもなりたい！
乃々,…あの、もりくぼが口を挟むのもおこがましいと思うんですが……この人大丈夫なんですか？
Ｐ,ハッハッ、大丈夫になってもらうしかない
乃々,むぅーりぃー…
りあむ,意外と辛辣！？
乃々,あぁ、ごめんなさいごめんなさい…もりくぼが余計な事を言いました…大人しく机の下で余生を過ごします
Ｐ,俺の足元で年端もいかない少女が生涯を過ごすとか勘弁してくれませんかね
乃々,あぅぅ…なんですか、もりくぼなんて簡単に引っ張り出せる矮小な存在と言いたいんですか
Ｐ,とか言いながら全然抵抗しないのな
りあむ,そんなにここ居心地いいんだ？どれどれ、じゃあぼくも…
乃々,そこはもりくぼの巣ですけどォ！？
りあむ,ヒィィッ！。Ｐサマこの子怖い！って言うかこの事務所の子みんな色んな意味で怖い！
Ｐ,俺はお前の言動がいちいち怖いわい
乃々,あの、いつまでもりくぼは首根っこを掴まれて…あ、いいです。やぶさかではありません…
Ｐ,それにだな夢見よ。お前はこの森久保乃々というアイドルを誤解しているぞ
りあむ,え？
乃々,え？
Ｐ,確かに森久保は事あるごとに弱音は吐く。すぐに隠れる。二言目には無理無理無理無駄無駄無理無理だ
乃々,なんでちょっとＤＩＯ入ってるんですか
Ｐ,けど森久保の無理。弱音は吐くが決して逃げない。視線は外すがアイドルとしての責任からは足を外さない。確かにちょっぴり臆病かもしれないけど森久保は立派なアイドルなんだぞ！俺の自慢のアイドルなんだぞ！
りあむ,…っ！！Ｐサマ、ぼく誤解していたんだね！
乃々,あ、あの、あの……これなんて公開処刑ですか…？
Ｐ,訂正いろ夢見！そして復唱しろ！森久保は立派なアイドルだ！
りあむ,森久保ちゃんは立派なアイドルだ！
乃々,ちょ、本当にやめ……
Ｐ,森久保は最高最善のアイドルだ！
りあむ,森久保様！大天使モリクボエル様！
乃々,こっ恥ずかしすぎるからやめてほしいんですけど！？
りあむ,はいＰサマ！ぼくもそんなアイドルになれるでしょうか！？ならせて！なるはやで！
Ｐ,森久保、こういう新人なんだけどお前から見てどう思う？
乃々,………むぅーーーーりぃーーー…
りあむ,何で今に限ってしっかりと目と目を合わせて！？
Ｐ,…と言う訳であれが我が事務所が誇る隠密小動物森久保乃々だ。少しは参考になったか？
りあむ,なる訳ないよ！どれもこれもオンリーワンのユニークスキルすぎて参考にしようが無い！
Ｐ,ツッコミスキルは随分上がったみたいだけどな
りあむ,喉がやむ！
Ｐ,要するにだ。既に誰かが築き上げた道をなぞるんじゃなくて自分の道は自分で作れって事だ
りあむ,Ｐサマの作ってくれた綺麗に舗装されたエスカレーターに乗ってアイドルになりたい…
Ｐ,そんな奴をすこるファンにチヤホヤされるのがお前の理想なのかよ
りあむ,うわああああん！正論の暴力はやめてよぉ！
Ｐ,はいはい正論って分かってるならまずは最低限やる事やって来い。そろそろレッスンの時間だろ？
りあむ,……む、むぅーりぃー…？
Ｐ,アァン？
りあむ,ひぃぃっ！い、行ってきます！行ってきますから見捨てないでぇ！
芳乃,お疲れ様ですー
Ｐ,いやー、引き受けておいて何だけど凄いなあいつ。いや、悪い意味でだけど
芳乃,そなたーそなたー
Ｐ,うん？
芳乃,では何故りあむ殿を受け入れたのでー？
Ｐ,…あいつな、スカウトする時言ったんだよ。アイドルは尊くないと。あいつの言う尊いアイドルっていうのがどういうアイドルなのかちょっと興味が沸いてさ。まぁそれだけの話だよ
芳乃,そなたは本当におかしな方ばかり拾ってきますねー
Ｐ,自分もその中に含まれてるって気付いてる？
アッキー,終わりだ
りあむ,うわぁぁぁあ！犬が喋ってるぅ！？
優,え、今更？
