前川みく,15
みく,はーい、じゃあお風呂いってくるにゃー
Ｐ,あいよー、いってらっしゃいと。……とりあえずこっちは足が痺れて動けんなぁ………。まぁみくが上がるまでゆっくりしとくか、こっちの支度は大した事ないし
みく,たっだいまにゃーん、さっぱりー♪
Ｐ,おうおかえ……ぶっ！？。お、おい何て格好してるっ！？
みく,にゃっふふー……何って、バスタオル巻いてるけど？
Ｐ,それがさも当然みたいな風に言うなっ！着てから上がってこい！
みく,にゃ～……この下見てみる？
Ｐ,見んわっ！
みく,え～……このみくのにゃいすばでぃーを見られるチャンスかもだよ？
Ｐ,湯冷めするから早く来てきなさいっ
みく,むーっ……にゃんかそこまで言われると、みくに魅力ないみたいな言い方にゃ！。それにゃら……みくの魅力をとくと味わうにゃ！
Ｐ,うおっ！？……って、シャツと短パン着てるじゃないかっ！
みく,着てないとは一言もいってないにゃーん、一番上にバスタオル一枚、にゃ！。えっへへ～……びっくりしたかにゃ？
Ｐ,このっ……
みく,あ、でもでもぉＰチャンが見たいっていうなら……見せてあげてもいいにゃ？
Ｐ,調子乗るんじゃありません
みく,に”ゃっ！またチョップしたー！！
Ｐ,悪い子にはお仕置きと決まっておるっ
みく,ぶー、ちょっと遊んでみただけにゃー
Ｐ,遊ぶならもうちょっと健全な内容にしなさい……まったく。みくがどれだけ発育良くってもまだ子供なんだからな、そういう事は駄目だ
みく,子供扱いするにゃー！もう立派なれでぃーにゃ！
Ｐ,ホントの淑女はそんなはしたない真似しないがな？。１５なんて十分子供だろうに
みく,ふーんっだ。みくが大人になったら覚えてろにゃ
Ｐ,ああ、もう忘れたから
みく,ひどっ！？
Ｐ,とにかくお馬鹿やってないで支度しろ。事務所いくぞ事務所
みく,はーい……いつか見返してあげるんだからにゃー！
Ｐ,ま、最低でも５年先かね。その時どうなってるか知らんが
みく,５年も待てないにゃー、せめて３年！
Ｐ,１８か……どうなってるやら
みく,３年後にはみくがＰチャンのお嫁さんになってるにゃ！
Ｐ,へいへい、俺に嫁が見つからなかった場合に、な
みく,これからもずっと一緒に暮らしていればみくがお嫁さんにゃ！
Ｐ,どうだかねー、さて支度支度っと
みく,にゃ、お洋服に着替えてくるにゃ！
Ｐ,……いやまぁ、この生活も悪くないけどな。ま、こっちもスーツに着替えるとすっか。シャツとズボンはＯＫっと……ネクタイ……あったあった。髭よし。髪型よし、寝癖もついてないな。スーツもオッケーと……おし完了っと。おーいみくー！こっちは支度終わったぞー。……まぁ、まだ間に合うからいいか
みく,お待たせにゃん、お支度かんりょー！
Ｐ,んむ、それじゃあ行くか。途中昼ごはんにファミレスいくぞ
みく,はいにゃー
ウェイトレス,お待たせ致しました。焼き魚定食とオムライスでございます。それではごゆっくりどうぞ
Ｐ,んじゃ、いただきます
みく,いただきますにゃ
Ｐ,ﾓｸﾞ……ふむ、この魚中々おいしいな
みく,むぐむぐ……お魚なんてどれもおいしくないにゃ。それよりこっちのオムライスのほうが絶対おいしいにゃ！。Ｐチャン食べてみる？
Ｐ,ふむ……一口貰おうかな
みく,待つにゃ！お魚つまんだお箸でオムライスを取っちゃだめにゃ！。ここはみくが……はい、あーん
Ｐ,お、おい……
みく,あーん！
Ｐ,……こんな人前で何する気だっ
みく,あーーーん！
Ｐ,…………。……ん。ん……まぁ確かにまずくは、ない
みく,でしょでしょー！みくがあーんしてあげたのもあるにゃ！
Ｐ,……それならばこっちもお返しだ！。はい、あーんだ
みく,に”ゃっ！お魚は駄目にゃ！もっと別のものがいいにゃ！
Ｐ,ほほう？ここらでお魚嫌いを克服しようとは思わんかね？
みく,みくはお魚苦手なままでいいにゃ！
Ｐ,ずっと大人になっても嫌いなままでいいと？
みく,にゃっ！
Ｐ,……ﾌｩｰ……きっとみくが大人になってお嫁さんになったら。みくの料理ではお魚が出ないんだろうなぁー？。みくはよくても相手が悲しむだろうなぁー？。それが特に俺みたいな魚が好きな奴だったりしたら尚更だろうなぁ？んん？。一緒においしいお魚を食べて喜び合うことができないなんて悲しいだろうなぁぁぁ？？
みく,むーっ……
Ｐ,ほれ、ほんの一欠片だけだ
みく,…………。んーっ！
Ｐ,水で飲み込んでいいぞ、食べただけでもよしとしよう
みく,んくんく……ぷはぁ。ぅー……やっぱりおいしくないにゃ
Ｐ,少しずつ治して食べれるようになればいいさ、今回は素直に褒めてやろう。よく頑張った、えらい
みく,うにゃ……
Ｐ,それじゃ口直しに米食わせてやろう。ほれ、あーんだ
みく,にゃ
Ｐ,日本人ならやっぱ米だな、うむ
みく,もくもく……ん、もう一口ちょうだいにゃ！
Ｐ,へいへい、さっきのご褒美に特別だからな？ほれ、もう一回あーんだ
みく,うにゃっ♪もくもく……Ｐチャンがあーんしてくれたからおいしいにゃ！
Ｐ,ったく……米がうまいからに決まってるだろうに。ごちそうさまっと
みく,ごちそうさまにゃー♪
Ｐ,それじゃ時間もいいとこだし、事務所にいくぞ
みく,おー！
Ｐ,おはよーございまー……また誰も居ない
みく,おっはにゃーん！
Ｐ,ちひろさんまで居ないという事は多分書き置きが……やっぱり。届け物？何のだろう……まぁ気にしなくていいか、関係あるなら内容書くだろうし
みく,何のことかさっぱりだにゃー
Ｐ,事務所きたばっかだけどこのまま会場いくとするか
みく,はーいにゃ
Ｐ,よぅし準備はＯＫか？
みく,……うん
Ｐ,……なんだ、緊張してるのか？
みく,そ、そんな事ないにゃ
Ｐ,まぁ前にボロ負けしたからな……無理もない
みく,…………
Ｐ,いいか、みく。俺の顔をじーっと見ろ
みく,にゃ……
Ｐ,負けてからあの後何日もレッスンして、沢山頑張って。二人でここまで来たじゃないか。今のみくは前に負けたときのみくとは違う。俺の指示に沿ってちゃんとやれれば間違いなく勝てる。自信を持って。みく自身と、支えてきた俺に、な？
みく,…………。頑張って、みるにゃ
Ｐ,おう、そういうときは元気よく返事するもんだぞ。返事はっ！？
みく,はいにゃ！！
Ｐ,よし！！行って来い！！！
みく,！！やったにゃー！！！
相手,クッ……俺は……アイドルマイスターになれないのか………
Ｐ,何か相手がアレだったけど……勝ちは勝ちだ！
みく,にゃああ！！やったにゃああ！！！
Ｐ,こらっ、こんなとこで抱き着いて人目についたらどうするっ。嬉しいのは分かるから一旦離れろっ
みく,あ、つい抱き着いちゃったにゃ、てへ
Ｐ,んむ、よくやったな。今回はちゃんと指示通りできたし、レッスンして実力もついたし。今日はもう一つ素直に褒めてやる事ができたな
みく,うにゃ……えへへ……♪
Ｐ,相手もライブなのにスタドリ飲み始めるちょっとアレな感じではあったが……。ま、みくはみくでちゃんと頑張れたからな。よくできましたっと
みく,えっへへ～Ｐチャンもっと褒めて褒めて！あとご褒美もちょうだい！！
Ｐ,褒めたらすぐこれだ……あんまり調子乗るなって。勝って兜の緒を締めよだ
みく,ぶー。いいじゃん今ぐらいー
Ｐ,ほら、片付け後始末して楽屋いくぞ
みく,はぁい、プレゼントとかちょーっと期待したのににゃあー……
Ｐ,ふぅ、とりあえずお疲れっと
みく,おつかれにゃ！
Ｐ,……ここならいいか
みく,？どうしたにゃＰチャン？
Ｐ,みく
みく,にゃ……？
Ｐ,目、つむれ
みく,えっ……。Ｐチャン、みくの事をじっと見て肩を抱き寄せて……こ、これは……
Ｐ,…………みく。……ご褒美をやる
みく,え、えっと…………うん
Ｐ,はい、オーケー
みく,……にゃ？Ｐチャン……？ちゅー、じゃないのかにゃ……？
Ｐ,ふん……首元を見てみるがいい
みく,にゃ……鈴のネックレス……？
Ｐ,……ふはは！鈴をモチーフにしたシルバーネックレスをくれてやるっ。本来ならば猫には首輪がつきものだが……しかぁし！。そんなお約束事ではつまらん！よって、今回は特別にそれを進呈してやるという事だ！！。どぉした、予想外すぎて言葉も出ないかぁ？
みく,…………えへへ。Ｐチャンありがとにゃ！とっても嬉しいにゃ！！
Ｐ,……今回だけ、だからな
みく,えー……次も勝ったらもっとご褒美ｈ。んっ………！？。………………………
Ｐ,…………………………。……ぷはっ
みく,………あ
Ｐ,……っ、こんなん俺の柄じゃないが、今回だけのご褒美だ
みく,…………Ｐチャンのほうから、してくれた
Ｐ,……キスをしない、とも言っておらん
みく,…………
Ｐ,ん……。いいか、一度しか言わないからよく聞くように
みく,にゃ……
Ｐ,まだここでは気持ちの半分ぐらいしか伝えん。全部伝えるのはみくが成人してから、だ。一緒に住むようになって、これはこれで割と楽しんでる。手のかかる所もあるがな。だが、みくの事もそういう所も嫌いではない。でなけれなさっきみたいな事はしないし、な。今はこれ以上は言えん
みく,…………。……………………ｸﾞｽｯ
Ｐ,……何を泣いている
みく,ひぐっ……にゃ、泣いてないっ……ｸﾞｽｯ
Ｐ,……まぁそういう事にしてやろう
みく,にゃいて……にゃいん、だか、らぁ……ぅぇぇぇ……
Ｐ,………………………。……落ち着いたか？
みく,……………
Ｐ,もう泣いてないな？
みく,元から泣いてないにゃ……
Ｐ,まだ言うかこの猫は……だが、落ち着いたなら今はもうおしまいだっ
みく,あっ………
Ｐ,もう耐えられんっ……さっきみたいな事は本当に柄じゃないんだ。恥ずかしくてたまらん……羞恥心猫をもなんとやらだ
みく,……ふふっ…それは好奇心にゃ。Ｐチャンは気持ちの半分言ったけど、みくは……もう全部言っちゃうにゃ。Ｐチャン、いっぱい……いーーっぱい、大好き。とっても大好きにゃん♪
