橘ありす,みなさん、お久しぶりです。第3回リトル・マーチング・ファンド・ガールズのお時間です
裕子,ふふーん！
千佳,すごーい！
千枝,わぁ……
美由紀,みゆきもできるの！？
裕子,もちろんです！
梨沙,……ああいうこと言うから痛い目見るんでしょ
ありす,やっぱりマトモじゃなかったですね
裕子,聴こえてますよー！？
雪美,説明を……
裕子,説明なんてありませんよ！みなさんをエスパーユッコの弟子にしてあげます！以上！
ありす,いや、〇〇円集まったらこれができるとか、そういうのは……
裕子,お金なんて取りませんよ！
ありす,は？
裕子,ふふーん！
梨沙,誰よコイツ呼んだの。そもそもの趣旨を理解してないじゃない
裕子,ふふーん！
梨沙,その幸子みたいなのやめなさい！！！
ありす,……まあ、一応、どんなサイキックができるようになるのかくらいは聞いておきましょうか
裕子,なんでもできますよ！
ありす,……
千佳,じゃあ！じゃあ！魔法少女のコスチュームに、ぱぱーって変身するとか！？
裕子,サイキック早着替えですね！お任せを！
梨沙,着替えって言っちゃってるじゃない
美由紀,カニを美味しく料理するとか！？
裕子,サイキッククッキングですね！楽勝です！
梨沙,ただの料理上手じゃない
ありす,これ、何の番組でしたっけ
雪美,ペロと……話すことも……？
裕子,……も、もちろんです！
ありす,言い淀むくらいなら安請け合いをしない方がいいのでは
裕子,さあ！これでもう！私の凄さがみなさんに伝わったでしょう！
ありす,正気ですか？
裕子,サイキック金額発表を！
梨沙,どんなメンタルしてるのよ……
雪美,では……金額を……どうぞ
梨沙,いや、どうぞって言われても……
裕子,梨沙ちゃんには届きませんでしたか……！
梨沙,何で届いてると思ったの？
千枝,あまり明確なヴィジョンが見えませんでした
千佳,よくわかんない！
美由紀,みゆきもー！
裕子,
ありす,……えっと
梨沙,ってかお金なんて取らないって言ってたの、アンタじゃない
裕子,ハッ！確かに！
ありす,その発言自体、この番組を全否定するものですけどね
裕子,私は、大切なモノを忘れていたのかもしれません……
梨沙,あ、これ、聞かなくてもいいやつね
裕子,そうです！サイキックは見返りを求めるモノではありません！みんなの笑顔のためにあるんです！
千佳,今日の夜ごはん、何かなー？
裕子,ようやく……気が付きました……
雪美,みんなで……食べに行きたい……
裕子,ああ！なんと素晴らしい番組なんでしょうか
美由紀,みんなで食べるならやっぱりカニ鍋だよ！
裕子,また一つ……、エスパーユッコは高みへ上ることができました……
千枝,み、みんな、一応聞いてあげた方が……
裕子,私はここで失礼しますっ！また逢う日まで！
ありす,お疲れ様でしたー
梨沙,軽っ
堀裕子：0円,史上初
ありす,では、続いてのゲストです
雪美,どうぞ……
藤居朋,こんにちは～
ありす,ﾖｯｼｬ！
梨沙,そんな口調になってまで！？
朋,えっと、裏で見てたけど……
ありす,……そういう番組なんです
千佳,ありすちゃん！がんばって！
千枝,ファイトです！
ありす,そもそも励まされる司会ってなんなんですか
雪美,ありす、大変……ね
ありす,同じ立場ですよね！？
梨沙,ハイハイ、ありすのためにも、早く進めちゃいましょ？プレゼン内容は？
美由紀,すごい！梨沙ちゃん、司会さんみたいだよ！
ありす,……もしよろしければ、次回から
梨沙,絶対イヤ
朋,食い気味に
雪美,朋……プレゼン……
朋,はいはーい！あたしのプレゼンは、コレ！
美由紀,おお～
千枝,わぁ……
ありす,なるほど
梨沙,あら、面白そうじゃない
ありす,では、説明をお願いします。くれぐれも"お金なんていらない"なんて言わないでください。お金です。お金を手に入れるんです
朋,それはそれでどうかと思うけど！？。ｺﾞﾎﾝ、えっと……あたしって、よくみんなを占ってるでしょ？雑誌とか使ってさ
雪美,よく……やってる
千枝,千枝も占ってもらったことあります！
朋,うんうん、それを、専用のスペースを作ってやりたいなって！
美由紀,お金が増えるとどうなるのー？
朋,例えば、水晶とか、タロットカードとか、手相占いの本とかも買えるわね！
ありす,館の装飾を増やすとかもできそうですね
朋,そうそう！アロマキャンドルとか置いてもそれっぽいかも！
梨沙,……
朋,あれ？梨沙ちゃん？どうかした？
梨沙,……プレゼンターがマトモだと、こんなに普通の番組になるのね
朋,ええ……。なんか聞こえた
千枝,そういえば、千枝、タロットって見たことないんですけど、なにかカードごとに意味があるんですよね？
朋,お！興味があるのかな？せっかくだし、時間があるならちょっと説明しても……
ありす,〇
雪美,〇
スタッフ,〇
朋,満場一致
裕子,☆
朋,何でいるの！？！？。まあ軽く説明すると、引いたカードによって意味があって、それが逆さまだったりすると逆の意味になったりするの
千佳,じゃあ、わるいカードも反対ならうれしいカードなの？
ありす,そういう感じですね。まあ私も詳しくは知らないですが
朋,例えば、"悪魔"ってカードがあるんだけど
美由紀,"ちひ×"？
朋,聞き間違いに悪意がないかな！？
スタッフ,〇
朋,何が！？
梨沙,いちいち拾ってたらキリがないわよ
朋,つ、つい癖で
ありす,朋さん……仲良くしましょう
梨沙,それ今じゃなきゃダメ？
千枝,えっと、説明は……
朋,あ、ごめんごめん！悪魔ってカードは、そのままだと良くない意味だけど、逆さまだと苦痛・束縛からの解放みたいに良い意味になるの
千佳,へー！
朋,他にも、"太陽"ってカードは、そのままだとエネルギッシュって良い感じでも、逆だとエネルギー不足みたいになっちゃうのよ
美由紀,茜さんはエネルギッシュ……
朋,誰かに例えなきゃダメなの？
ありす,そのメモ、いつ使うんですか
雪美,もう……大丈夫？
朋,うん！楽しみだわ！
ありす,ではみなさん、お願いします
梨沙,悪くなかったわ、……トップバッターで来てほしかったわね
千枝,もっと色々知りたいですっ
千佳,魔法少女占いとかあるかなー？
美由紀,カニ占いとかあるかなっ？
ありす,後ろ2人は厳しいと思いますが
朋,カニの殻を地面に叩きつけて、割れた殻の形で運勢を計るやつなら……
梨沙,あるの！？
ありす,さて、次がラストですね
千佳,えー！
梨沙,ま、さっさとやっちゃいましょう
雪美,……
ありす,では、プレゼンターさん、お願いします。……？
梨沙,誰もこないじゃない
美由紀,あれー？
ありす,で、でも、台本にはここで呼ぶと書いてありますし……
千枝,道に迷ってる……とか？
ありす,いえ、裕子さんでも来れる道ですし
梨沙,なんか聞こえた
ありす,プレゼンターさーん？
雪美,……！
千佳,雪美ちゃん、どうかしたの？
雪美,……静かに
みんな,？
ありす,こ、この声は！
梨沙,まさか……！
美由紀,ちょっと見てくるねー！
千枝,あ、美由紀ちゃ
美由紀,あー！！！
ありす,！？
美由紀,ほらほら！入口まで来たんだから！。ごあんなーい！
森久保乃々,ひうぅぅぅ……
千佳,ののちゃんだー！
梨沙,やっぱり……
ありす,えっと……3人目のプレゼンターは、森久保乃々さんです
乃々,むーりぃー……
美由紀,うんうん！自信満々だね！
梨沙,アンタ目ぇついてる？
乃々,ううう……
ありす,乃々さん……
乃々,も、もりくぼは……
梨沙,乃々
乃々,は、はい……？
梨沙,アンタ、どうせこう思ってるんでしょ。自分なんかにお金を出しても何もできないって
乃々,……
梨沙,生意気言わないで。それを判断するのはアタシたちよ
乃々,……！
梨沙,アンタが自分で企画を持ってくるとは思えないから、スタッフかこっちのプロデューサーかが決めたやつをやるだけでしょ？
乃々,そ、そうですけど……
梨沙,上等じゃない。お金が集まらなかったら企画を考えたヤツのせい、集まればアンタの力よ？
乃々,そんな……都合よく……
梨沙,いいの。そもそもこの企画自体、都合のいいものなんだから。実際にお金を出すわけじゃないし
ありす,はい、"もしも"の話ですからね
梨沙,アタシは見てみたいわ。アンタのプレゼン。OKしたってことは、内容的にもイヤなものではないんでしょ？
千佳,見たいー！
千枝,千枝も気になります！
美由紀,乃々ちゃん！
雪美,乃々……
乃々,……
雪美,プレゼンを……どうぞ……！
乃々,みなさん……。わ、わかりました……！。私のプレゼンは……こちらです……
みんな,おお～！
梨沙,この流れで事務所の全ての机の下を征服しますとか言い出さなくてよかった……
ありす,流石に空気を読まなすぎです。作るんですか。すごいですね
乃々,も、もしもの話ですし……
梨沙,あら、でもアンタ、いつか絵本作家になりたいとか言ってたじゃない
乃々,なっななななんでそのことを……！？
梨沙,何かのインタビューで言ってたでしょ
雪美,私も……見た……
乃々,ううう……
ありす,すぐ縮こまっちゃうんですから
千枝,あ、でも、この前、乃々さんに絵本を読んでもらったんですけど、とっても惹き込まれました！慣れてるなあって！
乃々,ち、千枝ちゃん……！
梨沙,あら、初耳ね
千枝,あの時は、由愛ちゃんが新しい絵本を持ってきて……、雪美ちゃんもいたよね？
雪美,……
千枝,あと、こずえちゃんもいて、小春ちゃんもいて、みんなで覗き込むと見えないから……
ありす,その場にいたのが……
乃々,はい……もりくぼですけど……
美由紀,いいなー！みゆきも聞きたかった！
千枝,10000円の価値はありましたっ
乃々,千枝ちゃんー！？
梨沙,あら、お金取ったの？いい性格してるじゃない
乃々,そ、そんなわけ……
ありす,冗談ですよ。梨沙さんもからかわない
梨沙,いいじゃないの。乃々の書いた絵本を、乃々が読む。お金を出す価値はありそうよ？
乃々,べ、別にもりくぼなんて……
千佳,読んでみたいなー！
雪美,みんな……前向き……
乃々,うう……
ありす,この人……かわいいですね
美由紀,えっと、お金がたくさん集まるとどうなるの？
梨沙,ああ、確かに。何か変わるの？
乃々,えっと、例えば、最近では"飛び出す絵本"みたいにギミックを入れた絵本があるんです……
千佳,見たことある！
ありす,なるほど
乃々,あとは、参考資料でいろんな絵本を買ったり、絵を描くための道具とかも……
雪美,けっこう……かかる……
美由紀,難しそう……
梨沙,アンタにできるの？絵本作りなんて
ありす,……り、梨沙さん
乃々,え……
梨沙,……
千枝,乃々さん……
乃々,……で、でき……できます……！
ありす,！
梨沙,……よく言ったわ
雪美,じゃあ……発表……！
梨沙,本当の企画ならいいのにね
千枝,最初から千枝は10000円ですよ！
千佳,頑張ってね！
美由紀,みゆきも応援するね！
乃々,……！
ありす,満額……ですね
雪美,……
乃々,ありがとう……ございます……！
ありす,では、エンディングに……あれ？。カンペ……
雪美,ここで……特別ゲスト……？
梨沙,あら？聞いてないわね
千枝,？
乃々,も、もりくぼはもう下がっても……？
ありす,いえ、乃々さんも残って、みたいです
乃々,ええ……？
ありす,では、特別ゲスト、どうぞ
美城常務,邪魔をする
ありす,！？
梨沙,！？
乃々,！？
千佳,じょーむだ！
美由紀,わー！
雪美,こんにちは……
千枝,どうかしたんですか？
常務,本題に入る前に1つ。この番組は年齢の低いアイドルに進行を任せているが、私の見込んだ通りだ。見事な番組に仕上がってると言えるだろう
梨沙,確かに、わりと冒険よね、この番組。小中学生にお金って
常務,毎回、次はいつになるのかと反響も大きい。これからも頑張ってくれ
ありす,相変わらずモチベーション維持が上手い……
常務,では本題に入ろう。画面を
みんな,？
常務,これだ
ありす,！？
梨沙,！？
乃々,ええええええ！？！？！？。ど、どどどどういうことなんれす！？
千枝,ろ、ろれつが回ってないですよ！？
常務,読んで字のごとくだ。森久保乃々が絵本を執筆するためのファンドを、実際に開始した。すでにホームページもあるぞ
ありす,ち、ちょっとタブレットを……
雪美,どう……？
ありす,本当だ……。あ、ちょっとずつ集まってる……
梨沙,え？本当にやってるの？
常務,ああ。さらにスクロールしてみてくれ
ありす,……あ！
千枝,み、見せてくださいっ。えっと……
美由紀,投資金額に応じて、346プログッズをプレゼント……？
梨沙,ふるさと納税じゃないんだから
ありす,さらに、参加者の中から抽選で100人に、完成した本をプレゼント……
乃々,えええええええ
梨沙,というか企画運用がうますぎるでしょ
常務,どうだ、森久保？悪くない話だろう。
乃々,ひうっ！……そ、そんないきなり
ありす,……でも、冷静に考えるといいんじゃないですか？
乃々,え？
梨沙,そうね、夢への第一歩じゃないの。さっき言ったように、失敗したら考えた人のせいにすればいいのよ♪
常務,手厳しいな
梨沙,成功するって踏んでるんでしょ？
常務,当然だ
乃々,そ、そんな……期待されても……
常務,君には断る権利がある。だが……
乃々,だ、だが……？
常務,私は、君の、森久保乃々の絵本を、読んでみたい
乃々,え……？
常務,どうだろう、私のワガママを聞いてはくれないだろうか。もちろん、君のためにも、会社のためにもなる
千枝,あ、あの！千枝も……千枝も乃々さんの絵本、読みたいです！
美由紀,みゆきも！
千佳,みんなズルい！あたしも見たいなー！
雪美,……
ありす,……私も読みたい……です
梨沙,アタシは最初から推してるじゃないの
乃々,……もりくぼ……失敗しちゃうかも
ありす,その責任も負ってこその、ファンドです
乃々,……ありがとう……ございます……！
常務,というわけで、エンディングだ
ありす,なんで司会席に！？
雪美,平均年齢が……一気に……
梨沙,思っててもやめなさい！
常務,ふふ……、面白いジョークだ。佐城雪美のジョークでサジョーク、と言ったところか
雪美,いや……ジョークじゃ……な
ありす,雪美さん！！！
常務,好評につき、第4回も決定だ
ありす,こ、このタイミングでですか！？
千枝,えっと、次は……
美由紀,桃華ちゃん、仁奈ちゃん、みりあちゃん、メアリーちゃんだね！
ありす,続くんですか……
梨沙,気持ちはわかるけどため息やめなさいよ
常務,では、また逢う日まで
梨沙,……待って！アンタ名乗ってなくない！？
ありす,た、確かに！！！
常務,ああ、そうだったか、申し遅れた。346プロダクション、常務の
雪美,そろそろ……時間
美由紀,また今度ー！
千佳,じゃーね！！！
裕子,サイキック・別れのあいさつ！さようなら～！
朋,わ！ユッコ！いきなり飛び出したらあぶな……ええ！？常務！？しかもエンディングだし……！？じ、じゃあね！
ありす,なんか急に詰め込まれましたね！？
梨沙,ま、こっちの方がこの番組らしいわよ
乃々,も、もりくぼ、がんばります……
千枝,みなさん。さようならっ
