伊吹翼,以下、翼
美希,んー、そんなに深く考える必要ないって思うよ？。例えば……そう、アイドルと一緒なの！
翼,アイドルと抱き枕が一緒？美希先輩、どういう事ですか～？
美希,んーとね……アイドルだって、イメージに合った売り出し方があるでしょ？
翼,イメージ……
美希,そうなの！自分の長所を、しっかりとジカクするの！例えば――ココ！
翼,胸、ですか？
美希,そうなの！抱き枕っていうからには、きっと柔らかい方がいいでしょ？。だから、こういう所も大事だって思うな！
翼,胸……そういえば、プロデューサーさんも見てたような
美希,ハニーはエッチだから……きっと強い武器になるはず、なの！
翼,なるほど！流石美希先輩ですね！
如月千早,以下、千早
翼,あっ、千早さん！おはよ～ございま～す！
千早,美希、伊吹さん。おはよう
美希,……千早さん、何時からいたの？
千早,ずっと居たわよ？プロデューサーの机を借りて、ちょっと宿題を片付けてたの
美希,そ、そうなんだ……
千早,…………
美希,……ご、ゴメンなさいなの
千早,？私、別に怒ってないわよ？
美希,そ、そうなの？
千早,ええ、武器になるのは確かだし……くっ
美希,や、やっぱり怒ってるんじゃ
千早,自分の不甲斐なさに呆れてるだけよ……
翼,千早さんは、何か思いつく私の長所ありませんか～？
千早,思いつく長所？そうね……。……それなら、そうね。私、一つ思いついたことがあるわ
翼,どんなのですか？
千早,伊吹さん、とっても甘え上手でしょう？それが伊吹さんの長所なんじゃないかしら
翼,そんなの、別に大した事じゃないと思うんですけど……
千早,そう？でも、私にはとてもじゃないけど出来ないから。伊吹さんの素直に甘えられる所、私は凄いと思う
翼,甘える……
千早,せっかく抱き枕になるなら、いつも以上に甘えてみたら良いんじゃないかしら。……ごめんなさい、アドバイスが下手で
翼,全然そんな事ないですよ～！ありがとうございます、千早さん！
美希,千早さんは凄いの……ミキ、そんなの思いつかなかったのに
千早,美希と伊吹さんは考え方が似てるのよ。だから、そういう所を見落としていたんじゃないかしら。……さて、それじゃ私はそろそろ帰るわね。二人とも、お疲れ様
美希,あっ、千早さん！待って！
千早,美希？どうかした？
美希,あのね？用事がなかったらで良いんだけど……ケーキ屋さん、一緒に行かない？
千早,特に用事はないけれど……美希？私、本当に怒ってないから良いのよ？
美希,元から行きたかった所なの！千早さん、いっつも春香と帰っちゃうから……。……ダメ？
千早,……ふふっ、良いわよ
美希,良いの！？やったやったやったー！。それじゃ、早速行くの！ケーキ、スッゴク美味しいから期待しててね！
千早,そうなの？それは楽しみね
美希,えへん、ミキのお墨付きなの！それじゃ翼、留守番は任せたの！
翼,了解で～す、いってらっしゃ～い！。……甘える、かぁ。…………
P,ただいまー……って、翼？一人なのか？
翼,あっ、プロデューサーさ～ん！おかえりなさ～い！。も～、女の子を待たせるなんてダメですよ？
P,ご、ゴメン……あれ？なんか翼と約束してたっけ？
翼,もー、忘れちゃったんですかー？。レッスン頑張ったらご褒美くれるって、言ってたじゃないですか～！
P,ん、それは確かに言ったけど……えっ、今からか？
翼,はい、今からです！
P,でも、今から遊びに行くとか、そんな時間ないと思うんだけど
翼,大丈夫で～す！ささ、こっち来てくださいよ！
P,お、おう……？
翼,……えへ、オトナのコイビトっぽいですね！
P,なぁ、翼。未来から聞いたのか？
翼,はい！モッチロン！
P,……未来を抱き枕にしたいとか軽々しく言うんじゃなかった……
翼,まーまー！良いじゃないですかー！
P,……まぁ、翼が嬉しそうならオッケーなのか？
翼,…………
P,…………
翼,……プロデューサーさん、ぎゅってしてくれないんですか～？
P,そ、そう言われてもな
翼,…………
P,翼？
翼,未来は、ぎゅってしてもらえたのに……
P,ぐうっ
翼,……わたしは、いっつも抱きついてばっかりで
P,つ、翼？
翼,たまには抱きしめてくれたって、良いじゃないですかぁ……！
P,…………
翼,プロデューサーさん……？
P,ゴメン、そこまで思い詰めてたとは思ってなかった……。……ホント、ゴメンな
翼,…………
P,翼？
翼,えへへ……ちゃ～んと抱きしめてくれたから、オッケーでーす！
P,！？お、お前さっきまでの涙は
翼,えへへ、どうでした～？演技力レッスンの成果ですよ、成果！
P,ウソ泣き！？お、お前……俺、本気で心配したのに
翼,……お、怒っちゃいました？
P,……いいや、全然。確かに、抱きつかれてばっかりだったなーとは思ってたからさ
翼,よ、良かった～……。……でもですね？さっき、プロデューサーさん、私の事心配してくれたじゃないですか。それは、とっても嬉しかったですよ！
P,……そうか
翼,ほらほら！プロデューサーさん、ぎゅーってしてくれないと嫌ですよ？
P,分かった分かった……
翼,たまには、こういうのも良いですね……♪
P,…………。さっきは泣いてた翼に動転して考えてなかったけど……。やっぱり、翼の身体って……っ！
翼,……あれー？プロデューサーさん、顔赤くなってますよ？
P,あ、赤くなってなんかないぞ！
翼,ホントかなー……えいっ！
P,――ッ！
翼,あーっ、やっぱり顔赤くなってるー！
P,う、うぐぅ……
翼,えへへ、どーですか？
P,……つ、翼は柔らかいな
翼,もー、もっと素直に言ってくださいよ～！
P,…………。ゴメンな、静香……柔らかい方が良いかもしれない
翼,でも……こうされてると何ていうか。えへ、クセになっちゃいそうですよね……♪
P,……こういうの、誰彼構わずやっちゃダメだぞ？
翼,？プロデューサーさんにしかしないに決まってるじゃないですか～
P,……め、面と向かってそう言われると恥ずかしいな
翼,も～、こっち向いてくださいよ～！顔が見えないじゃないですか～！
P,……うぐ
翼,…………♪
P,……ほ、ほら！今日もレッスンで疲れたんだろ？。ぎゅってしておいてやるから、そろそろ寝たらどうだ？
翼,近くで寝顔見るまで寝ないもんねー♪
P,俺の寝顔なんて見て何が楽しいんだ……
翼,別に良いじゃないですか～ほらほら、プロデューサーさんの方こそ！
P,そ、そうは言っても……なぁ。マズイ、翼が温かいから眠気が余計に……
翼,良いんですよ？ゆーっくり寝てくださいね
P,そ、そういう訳には……。…………
翼,……寝る時のプロデューサーさん、こんな表情してるんだ。なんか子供っぽいかも……！。……おやすみなさーい、プロデューサーさーん……♪
P,おはようございます
翼,あっ、プロデューサーさ～ん！おはようございま～す！
P,だから、挨拶代わりに抱きつくなって……
翼,……ダメぇ？
P,……はいはい、分かった！
翼,～～♪
P,まったく甘えん坊なんだから……音無さんもおはようござ――
小鳥,…………
P,……な、なんですか
小鳥,未成年アイドルといかがわしい事してるって律子さんに報告しなきゃ……
P,言い方に悪意しか感じないんですが！やめてくださいよ！
小鳥,だってだってぇ！なんで、仕事場でイチャイチャ見せつけられなきゃいけないんですかぁ！。当てつけですか、当てつけなんですか！？
P,い、イチャイチャなんて……
未来,おはようございまーす！
静香,プロデューサー、なんで翼の事抱きしめてるんですか！？
P,あ、えっとこれはだな……
翼,～♪
未来,翼ずるい！私も！
P,未来も便乗するな！翼もほら、離れて……
翼,嫌で～す！離さないもんね～♪
静香,鼻の下伸ばさないでください、プロデューサー！
翼,静香ちゃんも羨ましいなら抱きつけばいいのにー
静香,わ、私は……その
小鳥,…………
P,……音無さん？
小鳥,も、もう社長に言いつけてやるんだからーっ！
P,あっ、ちょっと待ってください音無さん！
静香,ほら、翼も離れて！
翼,い～や！離さないもんね～！。今日もいっぱい甘やかしてくださいね、プロデューサーさん♪
