島村卯月,ん～……。普段見慣れないものって目を引くね
聖來,なんで沙理奈は誰の事か分かんないんだろ……。卯月ちゃんもバレてないと思ってるのが凄いな……
卯月,凛ちゃんのパジャマ姿凄い可愛かったんですよ。普段見慣れない分余計に
沙理奈,なるほど。ギャップ萌えってやつか……。その時、彼はどんな反応だったの？
卯月,……説教してました。かなり本気で怒ったみたいです。それで凛ちゃん泣きじゃくって……おかしくなっちゃったんです。愛されてるとか言ってました
沙理奈,そ、そう……。なら、パジャマでのアプローチはやめたほうが良さそうだね。でも、ギャップを使うのはアリだな……ふむ
卯月,私のギャップですか……どのような？
沙理奈,卯月ちゃんカワイイ系だから、少しクールな感じにするのもいいかも。もしくは、アタシみたいにセクシャルな面を
卯月,クールでお願いします！
沙理奈,お、おう……。卯月ちゃんいいお尻してるから結構
卯月,クールでお願いします！
沙理奈,……はい。う～ん……それじゃ、試しにアクセをつけてみよっか
卯月,アクセですか。確かにステージ衣装以外ではあまりつけませんから……。聖來さんがつけてるピアスのような？
聖來,アイドルイメージがあるから、卯月ちゃんにピアスは駄目だよ。どうしてもっていうならプロデューサーに相談しないとね
卯月,それじゃ意味ないです……
沙理奈,……？ま、色々面倒そうだもんね
聖來,これでも気づかないんだ……この子は……
沙理奈,でも、指輪ならいいんじゃないかな？
卯月,あ！それいいかもしれません。ちょっと大人な気分にもなれそうです
沙理奈,よしよし。……でも、ギャップとしてはちょっと弱いかな
卯月,ですか……
沙理奈,ん～……じゃあ、行動で差をつけてみよっか
卯月,例えば……？
沙理奈,普段卯月ちゃんがしそうにない事……抱き付いちゃってみる？こう、ガバッと
聖來,え！？
卯月,ガバッ……ですか。美嘉ちゃんもしたって言ってたな……。なら、私だって……
聖來,ええっ！？
沙理奈,お、いいねいいね！それで、さらに愛してるみたいな事言っちゃたりして
聖來,だ、駄目だよ！……じゃなくて、そんな簡単に言えることじゃないでしょ！？
卯月,いえ……、冗談ぽくなら……。この前も大好きって言えましたし……
聖來,な！？
沙理奈,よし！じゃあ、指輪きっかけにハグしてからの愛の囁きだっ！卯月ちゃんの可愛さならギャップも相まってイチコロだね！
卯月,そう簡単にいくような人では無いですが……でも、頑張ります！少しでも関係を進める為にっ！！
沙理奈,ふふ、上手くいくといいね
卯月,はい！早速ですが、アクセサリーショップに行ってきますね！ではっ！！
聖來,ちょ、まっ
沙理奈,気をつけてね～
卯月,沙理奈さん、聖來さん！どうもありがとうございました～……
聖來,な……な……
沙理奈,いや～、アタシ達も頑張らないとね。負けないよ、聖來っ！！
聖來,ば……
沙理奈,アタシにはこの魅力たっぷりのチャームポイントがあるから、プロデューサーも
聖來,沙理奈の馬鹿ぁ！！
沙理奈,いたぁ！！な、なんで乳ビンタ！？アタシのチャームポイントになんの恨みが！？
聖來,ただちょっとしたアドバイスをするだけかと思ったら、とんだネトラレ感だよっ！
沙理奈,え？アタシが卯月ちゃんと仲良くしてたから嫉妬したの？カワイイな～聖來はっ！
聖來,っ！！
沙理奈,いたぁ！！なんでぇ！？
卯月,ほぁ～……
美嘉,……いつまでボーとしてんの
卯月,……え？あ、美嘉ちゃん。特別レッスンお疲れ様
美嘉,ホントに疲れたよ……。マストレさん容赦なさ過ぎ……
卯月,抜け駆けしようとした罰だからね。仕方ないよね
美嘉,卯月がそれいう！？あんな事しといてっ！
卯月,別に抜け駆けじゃないもん。勇気を出した結果だもん。ただ、事が上手く運び過ぎて、ちょっと自分を見失っちゃったけど
美嘉,まったく！調子に乗って抱き付いたりしちゃって！あんときのまゆ、暗黒微笑浮かべてたんだよっ！アタシと未央が取り成さなきゃどうなってた事かっ！！
卯月,美嘉ちゃんと未央ちゃんのそういうとこホント大好き
美嘉,この子はっ！……はぁ。まぁ、でも……卯月は悪くないか。ただ頑張っただけだもんね……
卯月,はい！島村卯月、頑張りました！…………なんかゴメンね？美嘉ちゃん
美嘉,ふふ。なんで謝んのよ。卯月は悪くないって言ってんじゃん
卯月,いや……愛しちゃってるとか両想いだなとか言われちゃって
美嘉,やっぱ許さんっ！！あれはプロデューサーの悪ノリでしょーがぁ！！
卯月,えへへ……相思相愛……
美嘉,無視すんなっ！！
卯月,着実に愛が育まれていってるよ……ふふふ……
佐久間まゆ,うふふ……
美嘉,うわ……
卯月,ふふ……ふ？
まゆ,うふふ……。その愛の育み方……私にも教えてもらえませんかぁ？
卯月,い、いつの間に背後に……
まゆ,ねぇ、卯月ちゃん……私もＰさんに抱きしめて欲しいの。……こんな風に……ねぇ
卯月,わっぷ！ま、まゆちゃん！こ、これ、抱きしめるじゃなくて、絡まってるって言うんだよ！わぶっ！
まゆ,こうやって、Ｐさんをまゆの胸で抱きしめて慈しむのも夢なんですよぉ？だから卯月ちゃん、ぜひ私の愛の先生になってください。ふふ……ふふふ……
卯月,み、美嘉ちゃん！助けてっ！！……ふぁぶっ！！ま、まゆちゃん、流石にねっとりしすぎ……ふぁあ！！
美嘉,……傍から見たら激しい百合カップルだ。お～怖い怖い。じゃ、アタシ帰るね
卯月,っ！
美嘉,は、離して！卯月は捕食されてるんだよ！アタシにはもうどうすることも出来ないのっ！！
卯月,一回助けてくれたんだから、最後まで面倒みるのが人情ってもんでしょ！！美嘉ちゃん、みーかーちゃーん！！
美嘉,おっけー、わかった。確かにそうだ。じゃあ、まゆを宥めるから一回離してくれる？
卯月,……例えアイドルを辞めることになってもこの手は離さない
美嘉,ちぃ！こういう時だけ察しのいい……！
卯月,まゆちゃん……美嘉ちゃんもプロデューサーさんを抱きしめたことあるんだよ？その上、ほっぺにキスまでしてる愛の上級者っ！！
美嘉,うっそ！？普通言う！？
卯月,騙し討ちしようとするからいけないんだよ……
まゆ,美嘉……ちゃん？
美嘉,うわぁ！！は、離して！卯月離してっ！！こ、この……離せぇぇ！！
卯月,にーがーさーなーいー
まゆ,その唇がＰさんの頬を味わったんですねぇ……うふふ
美嘉,い、いや……来ないで……
まゆ,うふふふふふふふふふふふ
美嘉,い、いや……やめて……やめてぇ！！
