――東京都内、橘宅,玄関
ゆっこ,今回は結界が張られてる……魔物が出てきたら周囲に結界が張られるんです。その中では魔法少女やユッコたち以外は動くことができません！ありすちゃん、スタージュエルですよ！
ありす,はいっ！マジカルクローゼット、いきますよ！。マジカルチェーンジ！！
ゆっこ,おっ、今日はイチゴパンツなんですね！調理実習の日の勝負パンツにするべきだったのでは？
ありす,そんなこといちいち言わなくていいですから！。クールにいきます！マジデ・クール・マジカ・タチバナ！
ゆっこ,うーん、ダサい
魔物,ぴにゃっ！
ありす,こっちに気づいた……！
魔物,ぴにゃああああああ！！
ゆっこ,破壊光線です！避けてください！
ありす,そんなのに当たったら死んでしまいますから！。ううう……ビルの上に登られては、こちらからは手が出せません……
ゆっこ,うー……あ、そうですありすちゃん、この前出したながーい魔法の杖、アレ使って空を飛びましょう！
ありす,え、出来るんですか？
ゆっこ,はい！杖にまたがってすいーっていきましょう！
ありす,なるほど、それは魔法少女ですね。それでは……魔法の杖よ！
ゆっこ,さあいきましょう！ゆっこも戦いますよー！！
ありす,跨って……えいっ！。……
ゆっこ,……
魔物,……
ありす,……。……跨って、えいっ。……飛べませんが？
ゆっこ,あれ、おかしいですね……
魔物,ぴにゃっ！ぴにゃっ！ぴにゃっ！！
ありす,あれ、絶対にバカにしてますね……
ゆっこ,はい
ありす,こうなったら……この距離からでも私の魔法を当ててみせます！
ゆっこ,あのホテル、結構な高さですけど届きますか？
ありす,頑張ります！ストロベリーフレグランス！
魔物,ぴにゃ……
ありす,えっ？
ゆっこ,ええっ！？ま、魔物が霧のように散って……
ありす,……消えてしまいましたね
ゆっこ,うーん……結界も、崩れてきていますね。よくわかりませんが、とりあえず目立つ前に移動しましょうか
ありす,むぅ……逃げられたということですか
文香,なるほど……霧のように、魔物が散っていった、と……
ありす,はい。まあ、離れた場所にいたのでどの道逃げられていたと思いますが
ゆっこ,ユッコもあんなふうに消える魔物は初めて見ましたよ。普通はそのまま逃げ出すはずなんですけど
ありす,今回みたいなことは、初めてということですか？
ゆっこ,少なくともユッコが戦ったことのある魔物で、あんな逃げ方をするヤツはいませんでしたね。王国に調べてもらったほうがいいかもしれません
ありす,そうですか。それでは私たちは魔物が出てくるまで待ちましょうか
文香,あの……もう少し、その魔物と戦った時のお話を、聞かせてもらえますか……？
ゆっこ,へ？何か気になることでもありましたか？
文香,いえ、何が出来るかわかりませんが……私も、少し調べてみようかと……
ゆっこ,それじゃあ、ユッコの持ってる昔の記録でも見ますか？魔物と戦ったときの資料とかも残してますし
ありす,意外とマメですね
ゆっこ,ちゃんと報告書出さないとお給料に響くので……
ありす,というか、そんなことを調べるのも大変そうですし、大丈夫ですか文香さん？
文香,大丈夫です。私は……魔法少女のありすちゃんを、全力でサポートします……！
ありす,お話は嬉しいですけど、私のサポートの前にまずはレッスンを頑張ってください
文香,あう……
ゆっこ,おっと、サイキックテレポート！
ありす,Ｐさん、おつかれさまです
Ｐ,お疲れ様。待たせてゴメンな。局から出るのが遅くなった
文香,お疲れ様です……あの、お仕事のお話……ですよね？
Ｐ,ああ。そうだ、期末に撮った文香の写真、資料と一緒に伝手のある人たちに紹介しておいたからさ。今度挨拶に行こうか
文香,は、はい……
ありす,今日の打合せ、何のお仕事の話ですか？
Ｐ,ちょっと待ってくれ。えっと、資料は……これこれ
ありす,……撮影ですか
Ｐ,ホテルでな。もう少しで結婚式のシーズンになるし、雑誌に載せる子供用のパーティードレスの見本だ。それと、はい
文香,……私も、ですか
Ｐ,今回指定されているドレスは落ち着いたデザインが多いから、文香も着やすいと思って一緒に入れてみたけど、どうだ？
文香,……はい。頑張り……ます
Ｐ,難しいかもしれないけど、ある程度はリラックスしてやれると思う。とびきりの笑顔って感じでする撮影でもないし、今回で少し慣れておこうか
ありす,私もいますから一緒に頑張りましょう、文香さん
文香,は、はい……
Ｐ,衣装合わせとメイクは現地でやるから、当日は今日くらいの格好で来てくれ。あ、一応髪は切らないように
ありす,渡してる資料と印象が変わると、相手も困りますからね
文香,……なるほど
Ｐ,それじゃもう少し細かい話もしておこうか。これが撮影場所の資料と、後は時間が……
ありす,……あれ。この場所……
――夜、橘家,ありすの部屋
ありす,うーん……
ゆっこ,どうしたんですか？さっきから唸ってますけど
ありす,この資料、次のお仕事の撮影場所なんですけど……
ゆっこ,海の近くのホテルなんですね。あれ、そこってもしかして
ありす,はい、魔物がいたホテルです。ホテルの中のホールで撮影するそうです
ゆっこ,偶然ですねー
ありす,そういうことではなくて……もしまた魔物が同じ場所に現れたら、Ｐさんや文香さんが危ない目に遭うと思いまして
ゆっこ,ああ、それは大丈夫ですよ。魔物は出てきたら結界が……ってそういえば前はなぜか結界が張られなかったんですよね。うむむ……
ありす,Ｐさんが一緒にいると魔法少女に変身するのも難しいですし、どうしよう……
ゆっこ,まあもしものときは、ユッコのサイキックパワーでプロデューサーを締め落としておきますから大丈夫ですよ
ありす,まったくもって大丈夫な気がしませんけど
ゆっこ,むー……それにしても、王国からの連絡もありませんし、資料は文香さんに貸したままですからやることがないですねぇ
ありす,はぁ、それじゃあもう寝ましょう
ゆっこ,え？もう寝ちゃうんですか？
ありす,明日は学校もお休みですし、それなら朝から現場に行って魔物がいないか少し探してみましょう。地道にやるのも大事です
ゆっこ,最近の子はしっかりしていますねぇ……魔法少女は小さい子たちのお手本になるべき存在ですから全然いいんですけど。それじゃ、明日に備えて寝ましょうか！
――翌日、午後、大田区,大通り
ゆっこ,案の定、収穫はゼロです
ありす,魔物の反応もありませんしね
文香,……
ゆっこ,おや文香さん、大丈夫ですか？
文香,いえ……はい……
ありす,朝からずっと歩き続けていましたからね……少し休憩しましょうか
ゆっこ,いいですね、お昼ごはんにしましょう！
文香,賛成……です……
ありす,もう少し体力付けましょうか
文香,……
ゆっこ,いまにも死にそうだった顔が、みるみるうちに生気を取り戻していきますね！
ありす,文香さんは落ち着いた方ですし、こういったことはまだ苦手なんです
ゆっこ,まあ激しい動きが出来そうかと言われれば……あれ？
ありす,どうしました？
ゆっこ,あそこのテーブルの下、何か落ちてますね
ありす,これ……パスケースですね。どなたか落としたんでしょうか。高橋、礼子さん……の物みたいですね
文香,テラスには……私たち以外のお客さんが……いませんね
ありす,あ、端の席に一人座ってる方がいますね。あの方のものでしょうか？
ゆっこ,今日は風が吹いてますから、他のお客さんはカフェの中にいますし……あの人くらいしかいませんね
ありす,それじゃあ、ちょっと聞いてきます。すみません
？？？,……あら、私？
ありす,はい。あの……このパスケース、そこのテーブルの下に落ちていたんです。あなたが高橋……礼子さんですか？
礼子,ええ……私のね。いつの間に落としていたのかしら……ありがとう、お嬢ちゃん
ありす,いえ、無くしたままお店を出る前でよかったです
礼子,ふふ、良い子ね
ありす,……高橋さん、この後、どこかに行く用事でもあるんですか？
礼子,あら、どうして？
ありす,パーティードレスを着ていらっしゃるので、ただカフェに来ているお客さんにも見えなかったので
礼子,……そうね。パーティー……行こうかと、思っていたわ
ありす,そうですか。楽しんできてください
礼子,ええ、お嬢ちゃんも
ありす,やっぱり、あの人の物だったみたいです
ゆっこ,ずいぶんと美人な人ですね
ありす,今日はパーティーがあるみたいですよ。ドレスを着ているのもその為だと思います
文香,……
ありす,文香さん、何を読んでるんですか？
文香,……ユッコちゃんから、お借りした資料です
ゆっこ,なにか分かりましたか？
文香,そう、ですね……たとえば、この記録……
ありす,ん……字が汚いですね
ゆっこ,いいじゃないですか別に！ユッコは王国からの支給品もあまり持っていませんので……
文香,燃え盛る炎の空間で、魔物と戦った……こちらの記録は、海の中での戦闘……魔物は、どのような場所でも、現れるのですね……
ゆっこ,それはもう、いつでもどこでも戦闘ですよ
文香,これは、私の予想ですが……恐らく魔物は、周囲の環境に適応し、その体を変化させたのかもしれません
ありす,？？？
ゆっこ,えぇぇ～？それはないですよ、ユッコは他の世界で炎の中や、海の中でもアイツらと戦ったことがありますが、そんな体が突然変わるなんて……
文香,ですが、ユッコさんは先日お話してくれたかと思います……このような現象は、今までになかった、と……
ゆっこ,まあ……それはそうですけど……
文香,少し、視点を変えてみましょう……つまり、これまでとは異なる条件があれば、魔物の体を変化させることができるのです
ありす,たとえば、何があるんですか？
文香,……外的要因、つまり……ありすちゃんが魔法少女になったような……まったく別の力
ゆっこ,答えになってないじゃないですか……それに、周囲の環境に適応して体が変化したから霧になるって……あ
文香,……分かりましたか？
ゆっこ,そっか、海ですね。少し歩けば海がありますし、昨日風が吹いたとき寒かったです。体を水に変化させたとすれば……でもそれだけじゃあ……
文香,ですが、通常では有り得ない現象……であるなら、可能性の１つとして、考えていたほうが良いかと……
ゆっこ,うーん、そう考えたとしてありそうなのは、魔物を変化させた存在がいる、かもしれないってことですね
ありす,心当たりはあるんですか？
ゆっこ,特には……これも王国に聞いてみたほうがいいですね。なーんにも収穫なかったですね。海沿い歩いても寒いだけでしたし
文香,すみません……どうやら、私の考えが、見当違いだったようで……
ありす,いえ、闇雲に歩いても仕方がありませんし、次は別の視点で調べてみましょうか
文香,はい……ですが、今日はもう日も暮れてきていますし……
ありす,そうですね。また明日でも……あ
ゆっこ,どうしました？
礼子,ええ、今日はありがとう
ありす,こんばんは
礼子,あら、また会ったわね。もう遅い時間よ？
ありす,暗くなるし、これから帰るところです。高橋さんも、お帰りですか？
礼子,ええ、そろそろ帰ろうかと思っていたわ
ありす,そうですか。それでは、失礼します
礼子,それじゃ
文香,お昼に、お会いした方ですね……
ありす,はい。ここのホテルでのパーティーの帰りだったみたいですね
ゆっこ,いいですねパーティー。ユッコも美味しい物食べたいです
ありす,家のご飯で我慢してください。というか、食費くらい払ってくださいね
ゆっこ,あいや、それはちょっとユッコの懐事情が……
文香,……車が来ましたね。ここで、立ち話をしていると……車の邪魔になりますし、移動しましょう
ありす,あ、はい。そうですね。……
Ｐ,よし、戸締りも終わったし、それじゃ現場行こうか
文香,はい……
ありす,今からだと、移動中に昼食を取ったほうがいいですね
Ｐ,道中でどこか寄っていこうか。撮影場所のホテル会場の周りにも店はあるだろうし
ありす,あ、Ｐさん
Ｐ,どうした？
ありす,撮影、どれくらい掛かる予定ですか？
Ｐ,そうだな……衣装も何着かあるけど、半日は……掛からないとは思うな。夕方には終わるとは思う
ありす,そうですか。撮影自体はそれほど多くないみたいですね。仕事中に魔物が出なければいいですけど……
Ｐ,それじゃ車出してくるから、ちょっと待っててくれな
――駅前、パーラームムムムーン,店内
ゆっこ,こい、こいっ！キター！！ようやく確変入りましたね！。ん、ありすちゃんから念話が……。さーて、このまま継続してくれればいいんですけど……まあ、いざとなったらサイキックパワーで無理やり継続させればいいですけど
――午後、ホテル会場,中ホール
ありす,はい。お疲れ様です
文香,お疲れ様……で……す……
ありす,わかりました。それでは少し外しますね。文香さん、楽屋に戻って着替えましょうか
文香,は、はい……
Ｐ,お疲れ様です。予定より早く消化できてますね。無理やり捻じ込ませたのはこちらですし、いい絵になっているのであれば助かります。それじゃ、うちのアイドルたちが休憩している間にレイアウトでも確認しておくか……
――ホテル会場,楽屋
ありす,大丈夫ですか文香さん。口から魂が抜けているような顔になってますよ
文香,……ダイジョウブ、です
ありす,ダメみたいですね。飲み物買ってきますから、少し休んでいてください
文香,すみません……
ありす,いえいえ、私も初めての頃は慣れなくて、Ｐさんに色々としてもらっていましたから。あ、でも撮影はまだ半分残っていますし、もう少し頑張ってくださいね
文香,はい……
ありす,えっと、コンビニは……。……あれ
礼子,……
ありす,高橋さん……あの格好、またパーティーがあるんでしょうか……でも……。……高橋さん
礼子,え？
ありす,お久しぶりです。今日も、パーティーに行くんですか？
礼子,貴方……
ありす,あ、すみません……名前を言ってなかったですね。橘ありすです
礼子,そう、ありすちゃん。そうね……今日も、パーティーに呼ばれていたわ
ありす,……まだ明るい、こんな時間からですか？
礼子,ええ、そうよ
ありす,……この前、すぐに帰ったのはどうしてですか？
礼子,……
ありす,あ、いえ……すみません、少し気になっていたので
礼子,そう……
――大田区,大通り
礼子,本当は、誘われたパーティーに行こうか悩んでいたのよ。この前も
ありす,パーティー、行きたくないんですか？
礼子,そんなことないわ。パーティーは私も好き……だけど、少し考えて、悩んじゃったから
ありす,……何を悩んでいるんですか？
礼子,そうね……それじゃあ、ありすちゃんは私を見てどう思うかしら？
ありす,どうって……そうですね、ドレスも似合っています。私のイメージする大人の女性という感じもしますし、綺麗で、セクシーで
礼子,ありがとう。私も、そう見られるように努力して、この姿になっているのよ。相応の場所で、自分を美しく見せる為にパーティーに来ているの
ありす,なるほど……それなら、やっぱりパーティーに行くべきじゃないですか？
礼子,そう思っていたけど……最近、思うようになったの。自分を着飾って、煌びやかで、華やかな場所で自分を美しく見せる……そんなことに、若い頃は憧れていたわ。それに満足していたこともあったけれど、いざそうしてみて、その場所で色々な人間と出会って……ふと思ったの。その場所で私は何をしたいのか、私を見ている男たちは、何を思っているのか……。私を見て、その体を欲しいと思われているのか……まあ、それも私自身が体を磨いた成果だと思えば、悪くないわ。だけど、私自身は、どうしたかったのか……何をしたくて、何を求めていたのかが、分からなくなって。最初から、何も望んでいなかったのかもしれない。ただ自分を美しく見せる為に、相応の場所に行くことだけが、目的になって……今頃、それに気づいて
ありす,今頃、ですか……？
礼子,そう、私ももう３１歳……夢も希望も、何も残ってない……。このパーティーの光も、いつかは消えていく儚い光……
ありす,いえ、このご時世、世間一般的に３１歳はまだ十分若い年齢だと思います。おばさんだとは思いますが
礼子,いつか消えてしまう光の為に、私自身が何も求めていないまま、その光だけを求めているのが……なんだか馬鹿らしくなってきたの
ありす,……よくわかりません。私は大きな場所でのパーティーに参加した経験もほとんどありませんので
礼子,ふふっ、大人になれば……もしかしたら、分かるかもしれないわよ？
ありす,そうですか。まあ、私にはまだ――。っ！？。この感じ……まさか！？
礼子,あら、どうかしたの？
ありす,どこかに、前のような魔法陣が……いえ、それならもしかして……！。文香さんの予想が正しければ……海の、上！
礼子,え、何……？
ありす,高橋さん、離れてください！
魔物,ぴにゃあああああああああっ！！
礼子,きゃっ！？
ありす,魔物……海の上に出た魔法陣から……！
魔物,ぴにゃあああ……
ありす,えっ、周りが……。体が重い……ユッコさんが言っていた結界というのは、もしかしてこのこと……？
魔物,ぴにゃっ！
ありす,ホテルの近くに……ホテルにはＰさんと文香さんが……！
魔物,ぴにゃああああああ……！
ありす,あれは破壊光線……高橋さん、こっちです！
礼子,ちょっと、貴方――
ありす,早く！
魔物,びにゃあああああ！！！！
ありす,あうっ！？
礼子,ううううう……！
魔物,ぴにゃっ！ぴにゃっ！！
ありす,くっ……はっ、し、しまった……ホテルが魔物に壊されて……！
礼子,あ、あああああ……
魔物,ぴにゃあああああ！
礼子,……そう、ね。あの光も、こんなに脆い物だったのね……あんな簡単に、崩れるなんて。私は、どうしてそれに拘って……
ありす,高橋さん、いまはそんなことより……
礼子,結局はその時だけの輝き……そんなものを、求めても……
ありす,……。……いいじゃないですか。それを求めても
礼子,え……？
ありす,パーティーとか、ステージとか、綺麗な場所、美しい場所にいたいなんていうことは、誰だって思います。それに理由なんて必要ありません。それに、その場にふさわしい自分でいられるように、美しくなることも……女性なら、そうしたくなるものだと思います
礼子,でも、そんなことをしても、いつかは……
ありす,はい、いつかは消える光かもしれません。美しい物も、いつかは色褪せていくかもしれません。ですが、私はたった一瞬でも……相応の場所で、美しくなった自分を見た誰かの心に、残せるものがあるのなら……意味のある物だと信じています。そう、それは……私が、アイドルだから……あのホテルは今日、私がアイドルとして光る為の、場所でもあった。だから、私はあのホテルを壊した魔物をそのままにはしておけません。煌びやかな場所であり、私を光らせてくれるはずだった、あの場所の為にも
礼子,貴方……
ゆっこ,ありすちゃーん！
ありす,ユッコさん！？
ゆっこ,お待たせしてすみません！サイキックテレポートですっ飛んできました！
ありす,魔物にホテルを壊されて……まだ、中にはＰさんと文香さんが……！
文香,だっ、大丈夫です……！
ありす,文香さん！？
ゆっこ,はい、この前のこともあったので、きっと魔物が盛大にホテルをぶっ壊すと思っていたので先にプロデューサーと文香さんを逃がしておきましたよ！
ありす,え、でもＰさんは……？
文香,結界の外に……外からは、中に入ることはできないとのことで……私は、ユッコさんについてきたので……
ゆっこ,なのでありすちゃんは安心して、あの魔物をぶっ飛ばしてください！スタージュエルですよ！
ありす,はい！マジカルクローゼット！。マジカルチェーンジ！！
文香,……
ゆっこ,何やってるんですか？
文香,ありすちゃんの活躍を……写真に収めておこうかと……
ありす,そんな呑気なことやってる場合じゃありませんから！。クールにいきます！マジデ・クール・マジカ・タチバナ！
ゆっこ,ダサい
文香,ダサい
礼子,え、え……？
ゆっこ,あ、ありすちゃんと一緒にいたから結界の中でも動けちゃったんですか。見られちゃったなら仕方ないですけど、ありすちゃんは魔法少女なんです！
礼子,魔法……少女……？
ゆっこ,はい！みんなの夢や希望の為に戦う、魔法少女です！
礼子,夢……希望……
魔物,ぴにゃああああああ！！
ありす,この前みたいに距離を取られるわけにはいきません。まずは動きを止めないと……魔法の杖よ！。ストロベリーショット！
文香,イチゴの……爆弾でしょうか……？
魔物,ぴにゃ？
ゆっこ,あまり効果がなさそうですね……
ありす,くっ、最近流行の魔法少女アニメを見て真似をしてみましたが、やっぱりもう少し練習しないと……！
魔物,ぴにゃあああああ……！
ゆっこ,破壊光線ですよ！シールドで防いでください！
ありす,シールド……！。くううううううっ！？
文香,ありすちゃん……！
礼子,無理よ、あんな小さい子が……
ゆっこ,このままじゃピンチですよ、ありすちゃん！
ありす,まだ、諦めません……魔法少女ですから！。夢や、希望を……意味の無い物だと、いつか無くなる物だと諦める……私にはそんなことは出来ません！だって、今を輝きたいって思う気持ちは、今しかないから！
礼子,！！
ありす,私はあんな魔物にやられません。ちゃんとやっつけて、またＰさんと次のお仕事をするんです。アイドルですから！
文香,ありすちゃん……
礼子,……って
ゆっこ,ん？
礼子,……頑張って、頑張って……！
ありす,……はい！
礼子,え……？
ゆっこ,な、なあああああっ！？
ありす,あの人の体が、光って……！？
礼子,……そう、ね。この気持ち、美しい自分になりたい、煌びやかな場所に立ちたい。昔、素直な気持ちで憧れていたこと……こんなに、昂る気持ちだったのね
文香,光が……
ゆっこ,ありすちゃんの……いえ、ありすちゃんが持っている、マジカルクローゼットに……
ありす,この感覚……この気持ち……クローゼットの中に、新しい衣装が！
ゆっこ,もしかしてそれは、ライトプランのくせに無駄に豊富なオプション機能では……ありすちゃん！それはきっと、この人の心から作られた新しい衣装です！
ありす,え、なんですかそれは
ゆっこ,なんでもいいので使ってください！新しい魔法少女の力です！
ありす,……はい！
ゆっこ,テレビの前のお父さんお母さん見ていますか！？これが本作の収集アイテムですよ！さあ、お子さんの為にも今すぐ全国のおもちゃ屋さんにゴーです！
ありす,ヴァリアブルパフォーマンス！
文香,あ、あれは……！？
ゆっこ,のわああああああっ！？あ、ありすちゃんの体がみるみるうちに大きくなって……！？
ありす,魅せます、マジデ・クール・セクシー・タチバナ！
礼子,あの衣装……昔、私がパーティーで見て、憧れた……ドレス……！
ゆっこ,な、なんということでしょう……！王国から支給されているマジカルスカウターでありすちゃんを計測していますが、どんどんパワーが上昇して……８５、８８、９０、９１……！？
文香,……
ありす,……あら、暴れん坊の悪い子は、私がお仕置きしてあげないと、ね？
ゆっこ,何か口調まで変わってるんですが……というか、マジカルスカウターの計測結果が、167-91-62-90！？１２歳でこれはマズイですよ！それに衣装がちょっとアレです！
文香,……
ゆっこ,何やってるんですか？
文香,動画に収めておこうかと……
魔物,ぴにゃ？
ありす,ユッコちゃん？あの子、逃げられないように何とかできないかしら？
ゆっこ,あ、はい。ただいま……サイキック金縛り！
魔物,ぴっ！？
ゆっこ,抑えましたよ！これで霧になって逃げられることはないです！
ありす,うふっ……それじゃあ、私の輝き……みせてあげるわ！。シャイン・セクシーダイナマイト！！
ゆっこ,ダサい
文香,ダサい
魔物,ぴっ――
ゆっこ,あ、なんか爆発しましたね
魔物,ぴにゃあああああ……
ありす,ふふ……私の輝きで、浄化完了……ね
ゆっこ,えええええ浄化された……まあ、いいです。スタージュエル回収しておきませんと……
文香,何とか……なりましたね……
礼子,これが、魔法少女……
ありす,ふぅ……なんだか疲れる変身でした
ゆっこ,あ、戻った。見た目も元のありすちゃんですね
文香,はい……やはり、ありすちゃんはこのままのほうが……
ありす,ちょっ、や、やめてください……
ゆっこ,まあまあ、とりあえず無事に終わったことですし、結界が消える前にユッコたちもここから離れておきましょうか
ありす,そうですね。Ｐさんも心配しているでしょうし。行きましょうか、高橋さん
礼子,え、ええ……
――大田区,大通り
Ｐ,ああよかった、ありす。怪我はないか、具合の悪いところは？
ありす,大丈夫です。文香さんに見つけて頂いて、一緒に逃げてましたから
文香,すみません……手分けしてありすちゃんを探していましたのに……連絡をするのが、遅くなって……
Ｐ,いや、見つかって無事ならそれでいいんだ。文香が探しにいった先にありすがいてくれて、本当に良かった
文香,はい……
ありす,それに私は、高橋さんと一緒に逃げていたので大丈夫でしたから
Ｐ,高橋さん？
ありす,こちらの女性です。少し前に、知り合った方ですが
礼子,どうも……
Ｐ,……
ありす,あ、なんか閃いた顔ですね、これは
文香,それにしても……これでは、お仕事どころではありませんね……
Ｐ,ん、ああ……ホテルが崩れて、瓦礫で近くの道路も使えなくなったみたいだ。怪我をした人もいるし……今回の仕事は、また日を改めて撮り直しだな
ありす,はい、仕方がありません。だけど、また撮ればいいですから……次も頑張りましょう
Ｐ,そうだな。今日はこんなことになって残念だけど……次も、頑張ろう
ありす,はいっ。道路も、ニュースの様子ですともう少しで使えるようになりそうですね
文香,はい……元通りになるのであれば、よかったです
ありす,それにしても……このマジカルクローゼット、あんなことができたんですね
ゆっこ,そうみたいですね。ユッコもマニュアルを読み直して気付きましたが、他の衣装を組み合わせることで別の姿になれるとは……
ありす,このセクシーの衣装、礼子さんから頂いた力……これも、１つの奇跡なのかもしれませんね
礼子,あら、私がどうかしたのかしら？
ありす,あ、礼子さん。Ｐさんとの打ち合わせ、終わったんですか？
礼子,ええ、ついさっき終わったわ。彼、買い出しに外に出て行ったけれど……
文香,お昼……まだ済ませていなかったと、言ってましたから……
ありす,礼子さんから頂いたこの衣装、どうしようかと思いまして
礼子,あら？いいのよ、ありすちゃんが使って。私は……そうね、思い出としては大切なものだけれど……今があるもの
ありす,アイドルの話、すぐに決めましたね
礼子,この歳からアイドルっていうのも、少し考えたけれど……輝ける場所に、自分を立たせることが出来るチャンスがあるなら、それを目指してみてもいいかと思って、ね？
ゆっこ,文香さんに続いて礼子さんも事務所に所属して、ありすちゃんも大きな後輩が増えましたね
ありす,なんだか複雑ですね
礼子,あら、そういえば私は後輩ってことになるのね。それじゃあ……魔法少女の先輩？よろしくね
ありす,あっ、ま、魔法少女のお話は、Ｐさんの前では……
礼子,ふふっ、分かっているわ。そこの小さい妖精さんのことも、ね？
ゆっこ,さすらいの美少女妖精のユッコです！よろしくお願いしますね！
文香,いま……お茶を用意しますね……
礼子,それなら私も手伝うわ。給湯室、勝手も覚えておきたいから
ゆっこ,それじゃユッコはムムムムーンにでも……
ありす,捕まらないように気を付けてくださいよ
ゆっこ,はーい。それにしても、結界といい魔物の変化といい、どうなっているのやら……
ありす,まったく、妖精なのに変な遊びばっかり覚えて……まあ、個人の自由ですけど。それにしても、事務所も礼子さんが増えて……。まさか、これから魔法少女を続けていくと、文香さんや礼子さんみたいに事務所にアイドルが増えたり……。なんて、そんなことばっかり続くわけないですよね。多分……たぶん
幸子,フフーン！カワイイボクと一緒に仕事できるなんて、あなたはラッキーな人ですね！
ありす,なんですかあなた。突然変なことを喚いて
美穂,ご、ゴメンね？幸子ちゃん、いつもこんな感じだから……
幸子,カワイイボクなら、遊園地の取材も可愛く魅力のある内容になりますからね！
文香,ジェットコースター……乗るのは……乗らなければ、ならないのですか……
美穂,だ、大丈夫っ！私もちょっと、怖いけど……
ありす,最新の施設、ジェットコースター……嫌な予感がしますね
幸子,ひぎいいいいいいいいいいいっ！！！！！
美穂,きゃあああああああああっ！
文香,
ありす,文香さん、ジェットコースターなんですから気絶してないで反応してください！撮り直しになりますよ！文香さん！
ゆっこ,自分に足りないもの、ですか？
ありす,はい。いまの私に、アイドルとして足りない何か……幸子さんと、美穂さんを見ていると、思うところがあって……
ゆっこ,芸人魂ですか？
ありす,いえ、それは違いますね。手に入れた衣装、単品でも使えるんですか？
ゆっこ,マニュアルに書いてましたけど、ベースの属性衣装を使わなかったら出来るみたいですよ
