登場人物：幸子、友紀、こずえ、モバP,Pと表記します
こずえ,おー…
テロップウワサの和菓子屋さん,仮
友紀,ごめんくださーい！
こずえ,くださーい…
塩見周子,はーい、いらっしゃいませー
幸子,あ、あれ？
友紀,おっ、プロジェクトクローネのシローネちゃんだ！
幸子,うちの事務所のプロジェクトクローネの一員で、京都出身アイドルの塩見周子さんじゃないですか！
周子,店員さんがいないっていうからお手伝いに来たよー
幸子,やっぱりこれって変ですよ、友紀さん
友紀,そうだね、でも今更マウンドを降りる訳にはいかないよ
幸子,せめてこずえちゃんだけは守りましょう
友紀,おーらいっ。そんじゃあ、気を取り直して周子ちゃん、おいしい和菓子をよろしく！
こずえ,だしてー…
周子,はいはーい。これが、うちの実家で売ってる餡入りの生八ツ橋だよー
幸子,大福は！？
友紀,周子ちゃんの実家がウワサの和菓子屋さんだったんだ
周子,違うよん
幸子,何なんですか
こずえ,やつはし…なぁにー…？
周子,おいしいよー、食べる？
こずえ,たべるー…あむ…んー…あむ…ちょこだー…えへー…
周子,こずえちゃんが食べてるのにはチョコ味の餡が入ってて、お子様向けにニッキ控えめなんだよー。詳しいお求め方法はコーナーの最後で！
幸子,そういう契約でしたか
こずえ,もにゅもにゅ…
幸子,満腹になる前に本題をおねがいしますよ
友紀,そうだね
周子,はいなー、じゃーん
友紀,おおー、なんとウワサの和菓子とは大福だったんですかー？
幸子,散々言ってたじゃないですか
友紀,三色一組なの？
周子,そう、こちらの大福は赤黄緑の３つでワンセットなんですねー。その名もなんと、ロシアン大福！
友紀,！？
幸子,！？
周子,こちらはですね、ランダムでどれか一つだけ激辛になってるんですよー
幸子,うわぁ
周子,緑ならわさび、黄色なら和辛子、赤なら唐辛子が練りこんであるんだって！。ということで、カワイイボクと野球こずえの誰が激辛大福を引くのかなー？
テロップウキウキの店員さん,仮
友紀,やばいなあ、とにかくこずえちゃんに激辛を回避させなきゃ……でもどうやって？
幸子,こずえちゃんはこのまま八ツ橋係にして、いっそ周子さんを巻き込んだほうが……。でも、周子さんはどれが辛いか知ってるかも――おや？
友紀,――ああ、こずえちゃんは知ってるんだ！。ってことは、多分周子ちゃんだってわかってるんだよね。よく見たら、赤い大福がこずえちゃんの手前側になるように置いてあるし。じゃあ、せーので取ればいいか
幸子,――なんだ、こずえちゃんは知っているんですね！。ということは、多分周子さんもわかっているんですね。よく見れば、赤い大福がこずえちゃんの手前側になるように置いてありますし。でしたら、カワイイボクの出番ですね！
友紀,どうする？せーので取ろっか――
幸子,こずえちゃん！
こずえ,なぁにー…？
幸子,ボク達はお姉さんですからね！こずえちゃんが先に選んでいいですよ！
友紀,えー？……ああ、そっかー！。自分のアピールをしつつ、こずえちゃんにスポットを当てたんだ！やるなあ……
こずえ,いいのー…？んーとねー…あかぁ…？。あかはにんじんー…？きいろはおいもー…？
友紀,――店員さん、これ、ハズレ以外でも味の違いはあるの？
周子,ごめん、分かんない
幸子,こ、こずえちゃん、バラエティをわかってますね？。すんなり正解を取ると台本通りに見えてしまうから、わざと焦らしてるんですよね？。さあ、もう撮れ高十分ですよ！赤を取ってください！
こずえ,こずえー…にんじんいらないー…
幸子,！――こ、こずえちゃんっ、赤いのはとってもおいしそうですよ！ボクはそれをおすすめしますね！
友紀,あ、幸子ちゃんそれダメじゃない？
こずえ,じゃあそれぇ…
幸子,よしっ！
こずえ,さちこにあげるー…
幸子,えっ
友紀,やっぱりー！
周子,やば……
友紀,プロデューサー、これまずいんじゃない？
P,…………
友紀,祈っちゃってるよ！
幸子,こ、こずえちゃん、黄色より赤のほうが……ええと……。ど、どうしたらこずえちゃんの機嫌を損ねずかつ自然な流れで交換できるのか……！
こずえ,あむ…
幸子,あ、間に合いませんでしたよ
こずえ,んー…もちもちー…あんこー…
幸子,！
友紀,こ、こずえちゃん、おいしい？
こずえ,んー…
友紀,――ッセーフッ！！
幸子,よ、良かったぁ……
周子,いやあ、さすがのしゅーこちゃんもドキドキしたよー。さあさあ残るは赤、そして緑！。友紀さん幸子ちゃん、激辛大福を引くのはどっちかな！？
幸子,急にテンション上がり過ぎじゃないですか！？。しかし……こずえちゃんの無事は喜ばしいですが、この展開はどうしたものでしょう
友紀,これで緑が激辛だってことが、あたし達の中で決まっちゃったからなあ
幸子,視聴者の皆さんにそれを悟らせないように立ち回らなければ
周子,次に選ぶのは、年齢順なら幸子ちゃんだねー
幸子,！？。周子さん、それはいけませんよ！。自分たちだけハズレがわかっている状況で自らどちらかを選ぶなんて……。芸人殺しですよ！！。もとい！！
友紀,幸子ちゃんは赤じゃないの？
幸子,はっ、な、何を！？
友紀,ほら、さっきこずえちゃんからあげるーって言われたじゃん
幸子,それは、そうですけど。そうしたら友紀さん、あなたが緑を……激辛わさび大福を食べるハメになるんですよ？。ボクはいっそ、ジャンケンで勝った方が緑、負けた方が赤を食べる――とか提案しようかと考えていたのに。こんなときばかりお姉さんぶって……あなたは、あなたって人は！。友紀さん、いまあなたへのカワイサーカウンターがこずえちゃんレベルまで振れましたよ！。わ、わかりました。では、ボクは……。――って、いやいや待ってください！この輿水幸子が、それでいいんですか！？。友紀さんに言われるまま、こずえちゃんに勧められたのを大義名分にして。それはカワイクありませんよ！。友紀さんの厚意はありがたいですが、やはりもう一波乱起こすべきです！
友紀,――おっかしいなあ、なんでそこで躊躇しちゃうの？。多分こずえちゃんのことで責任感じてると思ったから、せめて甘いので癒やされてもらおうと思ったのに。あー、でも幸子ちゃんはそこでなかなか甘えないところあるかあ。プライド高いし……逆に自分が緑を引いて責任とろうとかって考えてるかもしんないなあ。うーん……
幸子,――ここで急にボクが緑を取る、と言い出すのは不自然ですよね。結果わさび大福に当たったら、テレビの向こうには完全に台本通りに見えてしまいます。勧めたこずえちゃんも気を悪くするといけません。やはりここは、あらためてジャンケンを提案すべき！。あの友紀さん、提案が――
友紀,ボーク！
幸子,え？
友紀,幸子ちゃん、ストップモーションはボークだよ！
幸子,え、え？
友紀,振りかぶってからの牽制球は反則ってこと！。じゃ、選択権はあたしってことで。選ぶのはもちろん、ストライクの緑！
幸子,友紀さん！？友紀さん！！
周子,おおー、友紀さんは緑でいいの？じゃあ、幸子ちゃんは赤いの取ってー
幸子,…………
周子,それじゃあ、いっせーのーで同時に食べてね
幸子,…………。――！。ん、んまあぁ～いっ！！。このお餅、弾力があるうえにとろけるように柔らかい！。餡はどうです！しっかりと甘いのにくどくない……いえ、これは餅と溶け合うことでバランスが保たれているのですか！。ああっ、苺！ほんのり苺の風味を感じます！これが餡の甘味を際立たせながらも後味を軽くし、次の一口へと食欲を導く！！。くううっ、いけません！危うく我を忘れて二口目に行くところでした！。ここでボクががっついてしまっては、肝心の友紀さんのリアクションにかぶってしまいます！。さあ友紀さん、そろそろ辛さを認識する頃なんじゃないですかっ！？
友紀,うまっ
幸子,！？
友紀,ん～、おいひい！ん、抹茶味！もくもく……あー、もうなくなっちゃった！
周子,え、えっと
幸子,…………
友紀,――あ、やばっ
幸子,やばっ、みたいな顔やめてくださいよ！。えええっ、今のどう見ても、激辛わさび大福のリアクションじゃないですよね！？。完全に激うま大福に我を忘れてがっついちゃった人じゃないですか！。まずいですね、ここでボクも普通にうまいって言ってしまえば、ロシアン大福の意味がない……。やるしかないでしょうか……唐辛子が入っているていで、辛いリアクションを！。ボクの演技力が問われますよ……！。！プロデューサーさん……いいんですか？いえ、信じますよ！。はむっ
周子,お、おおっと幸子ちゃん二口目！辛さはどうなの？
幸子,…………。――いえ、全然？。というか、とてもおいしいですよこの大福！。少し時間も経ったはずなのに柔らかいお餅！なめらかで口どけのいいあんこ！。友紀さんのは抹茶と言ってましたが、こちらは苺風味です！ほのかな酸味があって、飽きの来ない後味！。これは絶品ですよ！
友紀,……ってことは、結局激辛はどこにいったの？
周子,だ、だいせーこー！
友紀,！？
幸子,！？
周子,実は激辛大福なんて最初から入ってなかったの……。このロケ自体がドッキリやったんよ！
幸子,え？ということは、え？
周子,いやあ、二人が激辛の影に怯えているさまは、なかなか見どころがあったねー。実は赤だけは辛くないって二人が知ってたのも、もう視聴者にはバレバレだからね
幸子,えええっ！？
周子,こずえちゃんが黄色を引いて、その後の葛藤ね！幸子ちゃん、いい顔してたよー
幸子,うぐぐ……
こずえ,さちこ…いいこいいこー…
幸子,ありがとうございます……
友紀,ホント幸子ちゃんてば、赤いの勧めたらめっちゃ戸惑ってたもんね！
周子,いやいや、友紀さんも覚悟決めた女の目をしてたよー
友紀,うわー、やめてよそういうこと言うの！あん時口の中カラッカラだったんだからー！。あー、それにしてもまさかの二段構えとは、してやられたね
幸子,ロシアン大福の時点ですでにドッキリみたいなものでしたから、更に仕込まれていたとは思いませんでした
周子,まあ、化かすのは狐の十八番ってね。ちなみにこのロシアン大福はちゃんとした商品だけど、今回だけ激辛を抜いてもらったんだって。詳しいお求め方法はコーナーの最後で！
友紀,いや、ホントこの大福おいしかったから、激辛を引くリスクを考えても食べてみる価値あるよね！
幸子,そうですね、ボク達も事務所の皆さんへのおみやげを買っていきましょう！
友紀,待ってろキャンディアイランド！
幸子,名指しはやめてあげましょうよ
周子,バラエティって怖いわー
友紀,こずえちゃんはどうだった？
こずえ,やつはしもだいふくもおいしかったー…みんなもたべてー…たべろー…
周子,めっちゃええ子やん！
友紀,あ、それじゃあ最後に記念撮影？はーい、せーの！。――周子ちゃんもクローネの分、もらっていきなよ
周子,ああ、あたし除けば九人だからちょうどいいねー
幸子,役得過ぎませんか！？
周子,――とまあ、以上でVTRは終わりみたいだけども……感想とか、言い合う？
こずえ,ふわぁ…
友紀,…………
幸子,…………
小早川紗枝,うん、なかなか面白うなってたんとちゃいます？
友紀,そう？だよね？うん、面白かった、ね？
幸子,そうですね、ボクのカワイさがより広く知れ渡るいいVでしたよ！
周子,お蔵入りにさえなってなかったら、ね
幸子,…………
こずえ,おくら…ねばねばー…？
周子,そうだねえ、neverだよ
こずえ,こずえー…おくらいらないー…
紗枝,こずえちゃんはわかってはるわあ。お蔵入りは嫌どすなあ
友紀,うん、ほんと、ごめんね
紗枝,――とどのつまり、どないな顛末だったんどす？
友紀,そもそもの、情報バラエティ内のスイーツ紹介のコーナーは実在したんだ。で、あたし達のロケも、ちゃんとそこで放送されるはずだった。本来なら、ロシアン大福を食べて、誰かが悲鳴を上げて、でもおいしいよって言って成立
周子,あたしもそう聞いてた
友紀,けど、なんかの手違いで激辛大福が入ってなかった、と
周子,プロデューサーさんがとっさにカンペで指示くれたから、辛いのが入っていると言っておいて辛くないっていうドッキリのていで乗り切ったけど
幸子,結局誰も辛いリアクションを取らなかったので、本命のロシアン大福の醍醐味が全然表現できませんでした
友紀,趣旨がおかしくなっちゃったから、あえなく故障者リスト入りってわけ
幸子,そのたとえ、合ってます？
紗枝,せやけど、ぐだぐだになってたら現場の雰囲気も良うなかったやろし――。かめら止めずにやりきったのは立派やと思います
友紀,あんがと……紗枝ちゃんにそう言ってもらえただけで救われるよ
紗枝,せやからすたっふさんも、お蔵入りになるんわかっててわざわざ編集してくれはったんやろなあ
周子,まあ、途中までだけどね
友紀,テロップなくなってたからね
幸子,それでもちゃんとボク達のところへ送ってくださったんですから、ありがたい話ですよ
紗枝,こずえちゃんも、うちの代わりによう頑張ってくれはりました。ありがとうなぁ
こずえ,いいよぉー…
紗枝,とってもかいらしゅうて、おいしそうに食べてはったさかい、みぃんな喜んでくれたやろなぁ
幸子,それはもちろんです！
こずえ,おいしかったー…
周子,そういえばだけど、あたし収録の後すぐ東京帰るからってロケバス乗らんかったやん？
友紀,うん
周子,で、タクシー待ちで外にいた時、ディレクターさんとそっちのプロデューサーさんが喋ってるの聞いちゃったんだけど。和菓子屋さんに問い合わせたら、普通に激辛が入ってるはずだって言われたーって
幸子,えー？
周子,ディレクターさん、言ってたよ。赤はこずえちゃんが持つと画的に一番映えるから食べさせるようにして――。緑か黄色に辛いのを入れるよう頼んだって。でも、どっちかまでは指定しなかったからわからないって。プロデューサーさんも最初からそのつもりだったみたい
紗枝,友紀はん、ほんまに緑は辛うなかったんどすか？
友紀,めっちゃおいしかった
幸子,と、いうことは？
こずえ,ふわぁ…
紗枝,はぁい
P,よし、みんな揃ってるな。こずえちゃんも塩見くんも、わざわざありがとう
こずえ,いいよぉー…
周子,いえいえ、あたしもこのV観たかったし
友紀,プロデューサー、あたし達を集めたのってこれを観せるためだけじゃないんでしょ？
P,ほう、じゃあ他に何があると思う？
友紀,打ち上げだね！ビールかけしたい！
紗枝,友紀はん……？
幸子,無言の土下座！
周子,男前やね……
P,姫川、おもてを上げなさい。せっかくのめでたい報せなんだから
友紀,め、めでたい？何が？
P,ああ、みんな聞いて喜べ。なんと、そのお蔵入りになってしまったロケの様子が、再編集されて放送されることになった！
幸子,ホントですか！？
友紀,やった！逆転ホームランじゃない！？
紗枝,おやまあ、やっぱりみんなが頑張ってくれた甲斐があったいうことやなあ
こずえ,おめでとー…？
周子,ふふ、こずえちゃんもおめでとう、だよ
こずえ,ありがとー…
幸子,それで、いつ放送されるんですか？
P,ああ、ちょっと先になるんだが――。今年の下半期のNG大賞だ
友紀,え
P,そこに、無念のお蔵入り映像特集という内容のコーナーがあるから。裏側をわかるようにして、君たちの内面の右往左往を包み隠さず披露する――という具合に編集し直して、放送されることになる
幸子,そんな！ネタバレされたらみっともないですよ！？
紗枝,でも、幸子はんはみっともないところもカワイイんとちゃいます？
幸子,だったら仕方ありませんね！
友紀,まあ、恥ずかしいのは確かだけど、珍プレー・好プレー集に出たようなもんだと思えば、むしろ誇らしいかな！
周子,待ってろキャンディアイランド！
紗枝,ぶふっ
友紀,せっかく前向きに締めたのにー！
こずえ,おにあいー…
