白菊ほたる,あのっ！朋さん、智絵里さん！ちょっとご相談が……
ほたる,私も楽しかったです……！智絵里さんはどうでしたか？
智絵里,キャンディーアイランドのCDが発売中です！ぜひ買ってください
朋,ここで宣伝捻じ込むの！？
ほたる,それでは、ここでお別れです。ありがとうございました
朋,じゃーね！
智絵里,CD買ってね～
朋,緒方ァ！！！
P,おーい、朋、智絵里、ほたる
朋,？
智絵里,どうかしましたか？
P,この前放送したコーナー、視聴率良かったらしいぞ！
ほたる,よかった……
朋,ホント！？ど、どれくらい？
P,33％
朋,ヤバくない！？
P,この結果を受けて、今度は2時間枠がもらえたぞ！
朋,ステップアップが急すぎてついていけないんだけど！？
智絵里,次も3人でいいんですか？
P,もちろん！流石に変えさせないさ
ほたる,わぁ……嬉しいです……！
朋,ま、まあよかった……のよね？
ほたる,あ！茄子さんにも伝えてきますね！
朋,ちょ……もう、はしゃいじゃって……。へ？。ほたるちゃん！！！！！！！！！
