橘ありす,お疲れ様です
ありす,いいんですか！？アメですよ！？
フレデリカ,いっけー！
ありす,ぴったり！？！？
紗南,ありがと！これで対戦できるよ！
フレデリカ,わーい！
ありす,いやいやいや！
フレデリカ,じゃ、対戦しよ？
ありす,わ、わかりましたよ……
フレデリカ,今入ってるカセットは何ていうゲームなの？
紗南,大乱闘！スマッシュ３４６ーズ！
ありす,訴えられたら負けますよ！？
紗南,まず、使うキャラを選んで！
フレデリカ,フレちゃんはもちろんフレちゃん！
ありす,わ！喋った！
紗南,もちろん！これ、常務が346の技術の粋を集めて音声を作ったらしいよ！
ありす,本当に意味わかんないとこで有能ですねあの人は！
フレデリカ,ありすちゃんは、ありすちゃんを使うの？
ありす,じゃあ、そうしますよ……。うるさいな！
紗南,じゃあ、テキトーに動かして、ボタンを押してみて？
フレデリカ,はーい！。わ！電子レンジ炊飯器ドライヤーリモコンスピーカーやかんサランラップしゃもじ湯呑みガムテープまで！
ありす,だんだん家電から遠ざかってますよ！？
フレデリカ,すごい！雪美ちゃんだ！
ありす,当たった敵が凍りましたね……、雪だからでしょうか
フレデリカ,わ！次は常務だ！！！
ありす,なぜ！？
紗南,すごい！シークレットだよ！
フレデリカ,これで敵に当たるとどうなるの？
紗南,勝つ
ありす,勝つ
フレデリカ,くるくる～
ありす,リ〇クじゃないですか
紗南,そういうこと言わない
フレデリカ,何が出るかな～
ありす,あ、何か見つけたようですね
フレデリカ,キノコだ！
ありす,な、何か毒々しい色ですが……
フレデリカ,フレちゃん知ってるよ！こういうキノコは、食べるとパワーアップするのが相場だって！
フレデリカ・ありす,死んだ！！！！！
紗南,じゃ、次はありすちゃんのコマンドを見てみよっか
ありす,わかりましたよ……
フレデリカ,がんばって～
ありす,って、なんでハリセンが標準装備なんですか！？
紗南,一部のキャラは最初から持ってるよ？
ありす,私、一部のキャラなんですか！？。ボケ値……？
紗南,うん、みんな、計10点をボケとツッコミに割り振ってあるんだ！ありすちゃんなら、1:9だね
ありす,またくだらないパラメータを……
紗南,フレちゃんは7:3だったはず
ありす,……3もありますか？
フレデリカ,失礼じゃないかなー？
紗南,いろんなパターンがあるよ！
ありす,……試してみます。関係ないセリフが混じってましたけど！？。……かっこいい
フレデリカ,わ！かっこいいね！
ありす,！そ、そうでしょう！そうでしょう！
紗南,笑顔だねぇ
ありす,～♪
フレデリカ,すっかり気に入ってるね！
紗南,ね
ありす,……はっ！ま、まあ、面白いゲームだとは思いますけど？
フレデリカ,……
ありす,そんな目で見ないでください！
フレデリカ,他のゲームはないの？
紗南,あ、じゃあこれはどう？"ジョームゥのエアライド"ってゲームなんだけど
ありす,どれだけケンカを売れば気が済むんですか！？
紗南,すごいんだよ！4色の常務が、4画面で、一輪車に乗って街を散策するの！
ありす,あああ！！！1週回ってやってみたいですけども！！！
紗南,他にはね……
ありす,もういいですよ……
塩見周子,どーもー、紗南ちゃんは……、あ、いたいた
フレデリカ,あ！シューコちゃん！
紗南,周子さん、あたしに何か用事があるの？
周子,そうそう、これ、向こうの部屋に落ちてたけど、見覚えないかな？
紗南,あ！あたしのコントローラのレバー！
ありす,あ、見つかったんですね
周子,大正解だったねー
紗南,よかった～、じゃあ、このアメは返すね！
フレデリカ,あれ、返ってきちゃった！
紗南,じゃ、あたしはそろそろレッスンに行ってくるね！ありがと周子さん！
周子,ん～
フレデリカ,いってらっしゃい～
ありす,お気を付けて
フレデリカ,夜道に？
ありす,言ってないですけど！？
周子,ところで、その2人はまた面白いことしてるのかな？
ありす,振り回されてるだけです……
フレデリカ,そうだね！とっても楽しいよね！
ありす,聞いてました！？
周子,相変わらず仲良しだねぇ
ありす,なんでもいいです……
周子,ところで、実はあたし、ちょっと困っててさ？
フレデリカ,どーしたの？
周子,いやあ、今日、久々にダーツにでも行こうかな？って思ってたんだけど、マイダーツを忘れちゃってね
ありす,それは残念ですね
周子,何か、ダーツの的に刺さりそうなモノを持ってないかなー？って
ありす,そんな都合よく……
フレデリカ,……♪
ありす,……え
周子,？
フレデリカ,チュッパチャップス～
ありす,この間隔で2度目！？
周子,おお！ぴったりだ！
ありす,どこがですか！？
周子,知らないの？チュッパチャップスはラテン語で"的に刺さるモノ"って意味なんよ？
ありす,誰が信じるんですかそんなの！
フレデリカ,フレちゃんはフランス語で"ちょー美人！"って意味だよ！
周子,それにこれプリン味でしょ？プリン味は得点が２倍になるとかならないとか
ありす,得点は味依存なんですか！？
フレデリカ,フレちゃんはありすちゃん依存って思われがちだけど、案外否定できないよ！
周子,とにかく投げてみなって。掛け声は"ｱｱｱｱｲｲｲｯｯｯ!!!"ね！
ありす,それ野球中継で聴いたことあるんですけど！？
フレデリカ,えんだあああああああああああああ
ありす,さっきからうるさい！！！！！
周子,さて、しょうがないから七海ちゃんからなんか細長い魚でももらってぶん投げよっと
ありす,さらりとろくでもないこと言いましたね！？
周子,お邪魔しました～
フレデリカ,フレちゃんとありすちゃんの仲をお邪魔しました！？
ありす,言ってないですから！。というか、いまだにアメのままじゃないですか……
フレデリカ,難しいねー？
ありす,ゲームなんてやってたからですよ
フレデリカ,誰か通らないかな～？
二宮飛鳥,おや
フレデリカ,アスカちゃん！こんにちしるぶぷれ～
ありす,この挨拶は無視していいです。こんにちは
飛鳥,ああ、奇遇だね。何をしているんだい？
フレデリカ,聞きたい？？？聴きたい？？？
飛鳥,いや、正直そこまでは……
フレデリカ,しょうがないなー！答えて差し上げしるぶぷれ～
飛鳥,それは口癖なのかい？
ありす,いちいち反応しなくても平気ですよ
飛鳥,それはそれで冷めているね
ありす,慣れたんです
フレデリカ,そう、このフランスの空気にね……！
飛鳥,帰っていいかい？
ありす,私がそちらの立場なら帰ってますね
フレデリカ,アスカちゃん、アメあげる！
飛鳥,え？あ、ああ、有難う
フレデリカ,というわけで、ハイ！
飛鳥,……？その手はなんだい？
フレデリカ,何かちょーだい！
ありす,その方法は人としてどうなんですか！？
飛鳥,えっと……
ありす,あー、なにか、いらないもので良いので、もらえないでしょうか……？今、物々交換をしてるんです……
飛鳥,ふむ……、ありすが言うならそうなんだろうね
フレデリカ,なぜフレちゃんは信じてもらえないんだろうか！
ありす,胸に手を当てて考えたらどうですか
フレデリカ,……
ありす,なんで私の胸に手を当てるんですか！！！！！！！！
フレデリカ,いたい！！！！
飛鳥,仲いいな。何かいらないもの……
ありす,巻き込んでしまって申し訳ないです……
フレデリカ,ありすちゃんが謝ることじゃないよー！
ありす,どの口が！！！
飛鳥,……あ
フレデリカ,なになに？金一封？
飛鳥,アメと引き換えに？
ありす,図々しいとかのレベルを軽く超えてますよね
飛鳥,いや、これなんだけれど
ありす,あれ、エクステですか
フレデリカ,でも、今もつけてるよね？別の色だけど
飛鳥,ああ、これは片方が壊れてしまってね、一本だけ残ってるんだけど、どうしようかと考えていたところなんだ
ありす,へえ、綺麗な色ですね
飛鳥,こんなもので良いなら持って行っても構わない
フレデリカ,おー！ありがとー！
ありす,ありがとうございます
飛鳥,いや、気にしなくていいよ。新たな持ち主の元でどう輝くのか、ボクにも興味がある
フレデリカ,じゃ、2人も一緒に！せーの！
ありす,え？
飛鳥,？
フレデリカ,交渉☆成立～♪
ありす,……
飛鳥,……
フレデリカ,何でやらないの！？
ありす,知らないからですけど！？。さて、ようやくアメではなくなりましたね
フレデリカ,そうだねー！
ありす,エクステを振り回さない！
フレデリカ,どんな人が欲しがるかな？
ありす,難しいですね……
フレデリカ,とりあえず、スキンヘッドの人を探してラーメンマンごっこにでも使ってもらおっか！
ありす,私が飛鳥さんならキン肉バスター決めてますよ
フレデリカ,ムチみたいになるから時子サマとかどうかな？
ありす,あの人から対価をもらうの、怖くないんですか……
フレデリカ,あ、むつみちゃんとかもムチ好きそう！
ありす,そもそもムチとして扱うのがおかしいんです！
フレデリカ,え！エクステってムチとして使っちゃいけないの！？これはフレちゃん、とんだ"無知"を晒しちゃったねー！
ありす,厚顔"無恥"ならいつでもアピールできてますよ
フレデリカ,なんでフレちゃんより上手いこと言っちゃうの！
ありす,知りませんけど！？
フレデリカ,誰に押し付けようかな～
ありす,言い方
輿水幸子,おや
フレデリカ,あ！幸子ちゃん！
幸子,フフーン！カワイイボクに会えてお二人はラッキーですね！
フレデリカ,フンフンフーン！カワイイフレちゃんに会えて、幸子ちゃんもラッキーだね！
幸子,おや、このボクとカワイさで張り合うんですか？フフーン！！！
フレデリカ,負けないよー！フンフフフーン！！！！
幸子,フフーン！！！！！
フレデリカ,フンフンフーン！！！！！
幸子,フフーン！！！！！！
フレデリカ,うるさいよ？
幸子,急に裏切りますよね
ありす,すみません、うちのが迷惑をかけて……
幸子,保護者なんですか？
フレデリカ,"うちの"！？い、今のは遠まわしなプロポーズなのかも！？
幸子,いいんですか？なんかモジモジしてますけど
ありす,どうせ5秒経ったら忘れるんです。好きにさせてあげてください
フレデリカ,ここはどこ……？
ありす,そこまで忘れるのは流石に想定外ですけど！？。あれ、幸子さん、その手に持ってるのは……フィギュアですか？
幸子,よく気がつきましたね！そうです！カワイイボクのフィギュアです！
フレデリカ,おおー！表情まで細かくてカワイイねー！
幸子,そうでしょうそうでしょう！まあ、まだサンプルの段階ではありますけどね！
ありす,これは、ファンの方々は欲しがりそうですね
幸子,しかもこれ、ただのフィギュアじゃないんです！
ありす,？
幸子,なんと、こうやって台座から外せば……ﾖｲｼｮ
フレデリカ,あれ？なんか足のとこから棒が……あ！
ありす,これ、先が尖って……ペンですか？
幸子,そうです！名付けて"輿水幸子フィギュアペン"！
ありす,ド直球
幸子,どうです？カワイさと利便性！２方面でびっくりしたでしょう！
ありす,い、いや、別にフィギュアにそれは求められてないような……
幸子,あと、頭のとこをノックしてみてください
フレデリカ,はーい！。わ！声が！おもしろーい！
幸子,そうでしょうそうで……そ、そんなに押さなくても！
ありす,何ですか今の
幸子,何ですか今の！？
ありす,ほ、本人すら！？
幸子,ま、まあそんな感じで、頂いてきたんです
フレデリカ,カワイイ幸子ちゃんのフィギュアペン……欲しいなー！
ありす,！？
幸子,え？
ありす,ち、ちょっと
フレデリカ,だって、こーんなにカワイイ上に便利なんだよ！？しかもカワイイし、超カワイイ！
幸子,フフーン！
フレデリカ,お願い！カワイイカワイイ幸子ちゃん！そのカワイイフィギュアペンを、カワイイフレちゃんに譲ってしるぶぷれ♪
ありす,最後、ただの自画自賛でしたけど！？
幸子,しょうがないですねぇ！！！
ありす,優しい！！！
フレデリカ,ありがとー！かわりに、コレあげるね！
幸子,な、なんですか……、エクステ？
フレデリカ,そそ！何かに役立てて！
ありす,すみません……押し付けがましくて
幸子,ま、まあ、カワイイボクなら何をつけても似合いますし……あ
ありす,？
フレデリカ,どーしたの？
ありす,何か使用用途が浮かんだんですか？
フレデリカ,誰を叩くの？
ありす,ムチとしての活用から離れてください！
幸子,そうですね……、頂いたわけですからお教えしますが……
ありす,はい
幸子,輝子さんって、いつも片側の髪を編んでますよね？
フレデリカ,そーだね、ほとんどのカードでそうなってるね！
幸子,あれ、たまにはボクも編んであげたいなと思うんですが、いかんせんボクは髪が短くて、わからないんです……。なので、コレで練習しようかな、と。……か、カワイイボクが編めばいつもの数倍はカワイイ髪になりますからね！決して大変そうだなとか、そういうわけでは！
ありす,絵に描いたような……いえ、言うだけ野暮ですね
フレデリカ,うんうん！
幸子,な、なんですかその顔はー！！！
フレデリカ,さて、50円が幸子ちゃんになったよ！
ありす,誤解しか招かない言い方ですよね
フレデリカ,新たな貿易相手を探すために、ちょっと外に出てみよー！
ありす,よくそんな元気がありますよ……
フレデリカ,あれ？疲れちゃった？おんぶしてあげよっか？
ありす,だ、大丈夫です！！！
フレデリカ,誰かいないかな～？お！
ありす,そんな都合よく……あ
フレデリカ,桃華ちゃーん！
ありす,ちょっと、声が大きいですよ
櫻井桃華,あら、フレデリカさんとありすさん、ごきげんよう
フレデリカ,ごきげんよー！
ありす,口調がおしとやかとは程遠いですね
フレデリカ,何してるの？
ありす,ティータイムですか？
桃華,ええ、紅茶でも飲みながら、学校の宿題をやろうかと思っていたのですが……
フレデリカ,ですが？
桃華,実は筆記用具を忘れてしまいまして……。お恥ずかしい限りですわ……
ありす,え゛
フレデリカ,～♪
ありす,運がいいというかなんというか……
桃華,？
フレデリカ,ところで桃華ちゃん、このフィギュア、どう思う？
桃華,幸子さんのフィギュアですわね。まるでご本人のような雰囲気が見事だと思いますわ。……でも、これがなにか？
フレデリカ,フフーン！。ちょっと、幸子ちゃんを台座から引きずりおろしてみて！
ありす,言い方
桃華,ええと……？持ち上げればいいんですの？えいっ
フレデリカ,すごいでしょー！
桃華,こ、これは……ペン！？
ありす,そうなんです、そのフィギュア、ペンになるんです。……といっても、別にそこまで驚くことでは
桃華,わぁ……！
ありす,そ、そんなに心躍ります！？
フレデリカ,ありすちゃんの心が荒んでるんだよ？
ありす,荒んでないです！！！
桃華,こ、こちら、いくらですの！？言い値で買いますわ！
ありす,し、正気ですか！？
桃華,この筆記用具を忘れたときに出会ったのも何かの運命……
ありす,ほ、本気ですね……
フレデリカ,お金なんていらないよー！
桃華,で、ですが……
フレデリカ,そのかわり、何かお金以外で、交換できるもの、持ってないかな？
桃華,お金以外……ああ、でしたらｺﾞｿｺﾞｿ
ありす,？
桃華,こちらのチョコレートなど、いかがでしょうか？
フレデリカ,おおー！何か高そう！
ありす,た、高そうっていうか、これ、ゴデ○バですよ！あの高級な！
フレデリカ,チュッパチャップスはそのまま言ってたのにゴ○ィバは伏せ字なの！？
ありす,どうでもいいところに食いつかないでください！！！
桃華,もともと誰かと食べようと思って持ってきましたの。どうぞ持っていってくださいな
ありす,さ、流石に悪いですね……
フレデリカ,まあまあ、せっかくなんだからもらっておこうよー！
桃華,遠慮なさらず♪
ありす,で、ではもらいますね……、ありがとうございます
桃華,お互い様ですわよ
フレデリカ,ちなみにそのペン、頭のとこをノックすると喋るんだよ！
桃華,な、なんと！
ありす,容赦ないですね！？。さっきと違いますけど！？。バグった！？！？！？
フレデリカ,奇跡だね！
ありす,それ言っちゃいます？
フレデリカ,チョコなら、千枝ちゃんも喜んでくれるよね？
ありす,50円を貸してこれが返ってきたら、驚きますけどね……
フレデリカ,じゃ、そろそろ終わる時間だし、レッスンルーム前で待ってよっか？
ありす,それがいいですね
市原仁奈,あ！フレデリカおねーさんにありすおねーさん！こんにちはでごぜーます！
ありす,仁奈さん、こんにちは
フレデリカ,こんにちはー！何してるの？
仁奈,仁奈はレッスンが終わったところでごぜーますよ！これからおしごとがありやがります！
フレデリカ,おお～、忙しいんだねぇ～！
仁奈,とっても楽しいのでだいじょーぶでごぜーま……
ありす,……
フレデリカ,……
仁奈,……
フレデリカ,も、もう～ありすちゃんったら……
ありす,ふ、フレデリカさんってば……
2人,ミスった……
仁奈,へ、へーきでごぜーますよ！これくらい
フレデリカ,……
ありす,……フレデリカさん
フレデリカ,もちろん！……フレちゃん、チョコレート持ってるんだけど、仁奈ちゃんはチョコ、好き？
仁奈,チョコですか！？大好きでご……い、いや、それはフレデリカおねーさんのチョコでありやがりますから、仁奈が食べるわけにはいかねーですよ！
ありす,そんな気を遣わなくていいんですよ。食べたい人が食べるのが一番です
フレデリカ,……あ、でも、仁奈ちゃん、何か交換できそうなもの、持ってないかな？
仁奈,え……、に、仁奈、部屋にかばんがあるから今は何も……
ありす,フレデリカさん
フレデリカ,まあまあ♪
仁奈,あ！さ、さっき拾った50円玉がポッケにありやがりました……！
フレデリカ,50円かー！ごめんねー？このチョコ、1万円なの！
仁奈,い、いちまんえん……、や、やっぱり仁奈はだいじょうぶでごぜーますよ……
ありす,……流石に怒りますよ
フレデリカ,でもね！
仁奈,？
フレデリカ,この世界には、言うだけで何でも安くなる、魔法の言葉があるの！
仁奈,まほうの……ことば……？
ありす,また適当なことを……！いい加減にしてください！
フレデリカ,ありすちゃん！仁奈ちゃんに教えてあげて！
ありす,わ、私が！？知りませんよ！そんな何でも安くなる魔法の……言葉……なん……て……
フレデリカ,……ﾆｺﾆｺ
ありす,私もずいぶん……、毒されてますね……
仁奈,？？？
ありす,仁奈さん、耳を貸してください
仁奈,は、はい！
ありす,フレデリカさんに……と言えば･････
仁奈,そ、そう言えばいいんでごぜーますか……？
ありす,はい、頑張ってください
仁奈,わ、わかりやがりましたよ！。フレデリカおねーさん！
フレデリカ,どしたの～？
仁奈,仁奈は……
フレデリカ,うんうん
仁奈,アド街を見た！でごぜーます！
ありす,……
フレデリカ,……
仁奈,……
フレデリカ,しょーがないな～！50円にしてあげる！
仁奈,あ、ありがとーごぜーます！
フレデリカ,ううん！こっちこそ！ありがとね！
ありす,まったくもう……。で、結局50円玉に逆戻りですか
フレデリカ,これは、みんなの想いが詰まった50円だよ～
ありす,何が違うんですか……。まあ、借りた50円を50円で返すなら誰も損しませんしね
フレデリカ,きっと、チョコじゃなくて、この50円でよかった～！みたいなどんでん返しがフレちゃん達を待ってたらいいな～
ありす,願望じゃないですか……
フレデリカ,さて、もう終わってるかな～？
ありす,どうでしょう……あ
フレデリカ,あの自販機の前にいるの、千枝ちゃんだよね？
ありす,そうですね、ナイスタイミングでしたが……、なにか困っているような？
フレデリカ,千枝ちゃーん！
千枝,あ、フレデリカさん、ありすちゃん、こんにちは
ありす,レッスンお疲れ様です
フレデリカ,どーしたの？
千枝,実は、レッスン終わりに常務がチョコレートを差し入れしてくれたんです。それで、喉が渇いちゃってお茶を買おうと思ったんですけど、細かいお金が100円しかなくて、50円足りなくて……
フレデリカ,ほら！だーいぎゃーくてーん！！！
ありす,ご、ご都合主義……！！！！！
フレデリカ,というわけで、はい！この前もらった50円！返すね！
千枝,え？あ、いいんですか？
フレデリカ,もちろん！借りたお金は返さなきゃシベリア送りだもんねー？
ありす,価値観の偏り
千枝,ありがとうございます！千枝、こういうときに何て言えば良いか知ってます！
フレデリカ,なになにー？
千枝,もっと持ってんだろ。ジャンプしてみろよです！
ありす,千枝さん！？
フレデリカ,いやー、楽しかったね！いろんな人とおしゃべりできて！
ありす,疲れましたけどね……
フレデリカ,あ
ありす,どうかしましたか？
フレデリカ,さっきは胸、触っちゃってごめんねー……？
ありす,え？あ、ああ、まあ、いきなりだったからびっくりしただけで別に……いや、触っていいということではないですけど！反省してください！
フレデリカ,フレちゃんの胸だったらいつでも触っていいのに～
ありす,ええ！？そ、そんなのまだはや……いや、そういうことではなく！触りませんから！
フレデリカ,ええ～？いけず～！ほら、こんな風にさー？
ありす,何で勝手に私の手を胸に当てるんですか！！！！！
フレデリカ,いたい！！！！！
