モバP(以下P),麗奈！お前についにSSRのお仕事がきたぞ！
飛鳥,ザ・エンペラーレイナ様砲も、あえてエンプレスではなくエンペラーとすることで麗奈が絶対君主であることをアピールしているんだね
P,その絶対君主の砲撃を以って麗奈のアイドル道が幕を開ける……いいじゃないか！思ってた通りになりそうだ！
紗南,自分が世界一になるんだって、麗奈ちゃんの覚悟を感じられるよね……
光,麗奈……すごい覚悟なんだな！正義を貫くヒーローみたいだ！
紗南,自分を奮い立たせていく縛りプレイ……負けてられないよねプロデューサー！
P,あぁ、俺も麗奈と共に進めるようなプロデューサーにならなきゃな！頼むぞ麗奈！
麗奈,は、ハーッハッハッハ！せいぜいアタシの手下としてこのレイナサマを讃えなさい！これが本当の始まりよ！…………これでいいわよね(ﾎﾞｿｯ。あんたらホントいい加減にしてよ！？
紗南,またまたー、麗奈ちゃんはー
光,そうそう、謙遜は良くないぞ麗奈！みんなが認めてくれてるのに！
麗奈,そ、う、じゃ、ないのよ！
