おっぱいネタ,アイドルのおっぱいが大きくなったり、小さくなったり
芳乃,拓海さんから私のびぃかっぷを取り戻したいのですが...あのいちゃつきように水は差せませぬー...おやー？衣装室から声がー...
ルーキートレーナー,以下ルキトレ
愛梨,えぇ～？気のせいですよ。
ルキトレ,ちゃんと測っていますから間違いありません。こまめなプロフィールの更新をしとくように言っているでしょう？
愛梨,むぅ～...
芳乃,...
愛梨,Ｂ：９１．５ｃｍ
芳乃,Ｂ：６９．５ｃｍ
愛梨,んぅ...熱くなっちゃったぁ...すぅ...
芳乃,...
愛梨,Ｂ：８８ｃｍ
芳乃,Ｂ：７３ｃｍ
愛梨,やっぱり納得いきません！もう一度測り直して下さいっ。
ルキトレ,...って朝から言うんですよ。はぁ...
ベテトレ,しょうがない...われら４姉妹が１回ずつ測りその結果から判断しよう...
愛梨,本当にお願いしますよ？
芳乃,...
ルキトレ,９１．５ｃｍです。
トレーナー,９１．５ｃｍですね。
ベテトレ,９１．５ｃｍだな。
マストレ,９１．５ｃｍだ。十時、満足したか？
愛梨,...はい。お騒がせしてすみませんでした...
芳乃,ッ！？！？！！！！！！？？？？？１？！？！？！？！？！？？！
とときんの成長性はＡ,超スゴイ
良かったら感想をいただけると嬉しいです。直してほしいところがあれば、次回作で,なるべく
