池袋晶葉,できたぞ、忍！かな子の口に入った食べ物の味を全ておしんこの味に変えるスイッチだ！
かな子,どうしよう、私、変な病気にかかっちゃったかも…
智絵里,た、大変…救急車呼ばないと…
柚,そうとなったら早く電話しないと…117、117…
晶葉,二人とも落ち着け！救急車を呼ぶような事態ではないだろ！それに救急は119だ！。かな子のソレは、どうしてそうなったかの原因はわからないが、おそらく一時的なものだろう。おそらくすぐに治る
かな子,そ、そうかな…私、一生甘いもの食べられなくなったりしないかな…？
晶葉,…ああ、大丈夫だ
かな子,よかった…晶葉ちゃんが言うなら間違いないよね
智絵里,取り乱しちゃいました…
柚,ところで、117ってなんだっけ？
忍,時報
柚,ああ、そっか
晶葉,
忍,？。どうしたの？こんなとこまで呼んで
晶葉,…ない
忍,えっ？
晶葉,解除方法がない…今気づいたんだ…
忍,えっと…、言ってる意味が分からないんだけど
晶葉,かな子は何を食べてもおしんこの味に感じるようになった。それは良い。あのスイッチは正常に作動しているということだ
忍,う、うん。そうだね
晶葉,では、止め方は？私たちはあの現象をどうやって止めればいい？
忍,それは何かあるんじゃないの？あのスイッチに
晶葉,何もない
忍,は？
晶葉,あのスイッチはあくまでかな子の食べたものが全ておしんこの味になるスイッチだ。それ以外の機能はない
忍,…つまり？
晶葉,このままではかな子は一生おしんこの呪いに苛まれ続けることになる
忍,やばくない？それ
晶葉,きわめてまずい
忍,…どうするの？あのスイッチ壊す？
晶葉,そんなことをしたら、かな子にどんな影響が及ぶかわからん。やめた方が良いだろう
忍,じゃあ…
晶葉,私が今からかな子が食べたものが全ておしんこになる効果を打ち消すスイッチを作る
忍,じゃあ解決じゃん
晶葉,違う。一番の問題点はかな子がその間に一切甘味を味わえないことだ
忍,ええ…大丈夫でしょ
晶葉,忍、甘いものに命を懸けているかな子が甘味を感じることが出来ないんだぞ？それはもう、怪獣が街をぶっ壊すくらいでは済まないくらいのことが起こるぞ…
忍,いや、それはいくら何でも言いすぎでしょ
晶葉,…まあ、十分に注意をしておいてくれ。私は今からスイッチを作り始める
忍,わかった。じゃあみんなのところに行ってるね
晶葉,ああ、くれぐれも気を付けてくれよ
忍,晶葉ちゃんはあんなこと言ってたけど、そんなことあるわけないでしょ…。かな子ちゃん、調子はど…う？
かな子,甘いもんはどこだあ〝あ〝あ〝！！！
智絵里,かな子ちゃん、落ち着いて…
かな子,これが落ち着いていられるかぁぁぁああああああ！
忍,？！？！？！？！？！？。なんだったの…今のがかな子ちゃん…？。まさか…そんなわけないよ…いつも温厚でやさしいかな子ちゃんんが…。とりあえず、もう一回確認してみよう
かな子,ウガアアアアアアアアアアアアア！
智絵里,
柚,あ、智絵里チャン！しっかり！
かな子,アマイモノガアガガガガガアガガガガガガアガガ！
忍,参ったな…。軽いいたずらのつもりだったのに、まさかこんなことになるなんて…。…どーしよ、これ…。あれ？。そういえば、かな子ちゃんの雄たけびが聞こえなくなってる。どうなったんだろう。ドアをちょっとだけ開けて…
かな子,ねえ、柚ちゃん
柚,な、何かな、かな子ちゃん…？
かな子,私、気が付いたんだ
柚,な、何をかな？
かな子,この現象、食べ物以外を口に入れたときはおしんこの味にならないってことにさ
柚,そ、それで…？
かな子,柚ちゃん、さっき、私の作ったお菓子食べたよね？
柚,うん…？
かな子,柚ちゃん、一生のお願い…キスさせて
柚,！？
かな子,甘みを感じるにはそれしか方法がないの！
柚,そそそそそっそんなことないと思うよよよよ！！？。それよりっ！忍チャンと晶葉チャンは！？もしかしたら晶葉チャンが何か解決してくれるような発明を作ってくれてるかも…
かな子,柚ちゃん…
柚,ィかな子ちゃん！？
かな子,いただきま～す
柚,～～～～～～～～～～！？！？！
かな子,んぁっ、むぅ、ふぅ……あむ、ちゅ…ん…
柚,
忍,ああ…柚ちゃんゴメン…助けられなかった…。それにしてもかな子ちゃん、キスに迷いがなかった…しかもあの感じ、キスに慣れてる…？。イヤイヤ…そんなことはないって。私たちはアイドル…変な邪推はダメ、絶対！。しっかし大変なことになってきたぞ…
杏,そんなところで何ブツブツ言ってんの、忍
忍,あ、杏ちゃん…
杏,入んないの？
忍,いや、入りたいのはやまやまなんだけど…かな子ちゃんが…
杏,かな子ちゃん？何言ってんの？。まあ、いいや
忍,あっ…
杏,おはよー…って柚！？智絵里ちゃん！？
かな子,あ、杏ちゃん…
杏,ッ！？かな子ちゃん？智絵里ちゃんと柚が…
かな子,杏ちゃん、飴、舐めてる？
杏,さっきまで舐めてたけど…ってなんでこっちに近づいてるの！？
かな子,…
杏,な、なに…？
かな子,んっ…あむ、れろ、んちゅぅ、むちゅっ……れるっ、ちゅぅ…
杏,
忍,杏ちゃんまで…もうだめかもしれない…
晶葉,できたぞ、忍！かな子が食べたものが全ておしんこになる効果を打ち消すスイッチだ！
忍,ようやくできたんだね！よかった…これで助かる！
晶葉,早速、中に入って使おう
忍,うん
かな子,あっ、忍ちゃんと晶葉ちゃん…
晶葉,安心しろかな子。このスイッチを押せば、普通の味覚に戻る！
忍,あ
晶葉,なっ、しの…
かな子,はむぅ、れろちゅっ…んむ、れちゅっ…
忍,
晶葉,な、なにをしてるんだかな子！
かな子,ぷはっ…晶葉ちゃんも、きっと甘いよね…
晶葉,ま、まてかな子！落ち着け！このスイッチを押せばちゃんと甘いものを甘いと感じるようになる！だか…
かな子,んっ…ん、れぢゅっ、んんっ、はむ、ちゅぅ……るちゅ
晶葉,
