北条加蓮,レッスン終わったけどヒマだなー。何かしよっかなー
菜々,パンダの一生はスゴイんです。それにしても、最初は生きるのもギリギリな子を必死に育てるお母さんですか……。不安もいっぱいあるでしょう。時にはイライラする時だってあるでしょう。でも、そんな苦しみはすくすく育っていく我が子の前ではすべて無力！。そして大きくなった子を見守りふと涙するお母さん！。くぅ……！いい話ですね！。ナナ決めた！子供を産んだら絶対パンダみたいなお母さんになる！！
藍子,菜々さん……！
加蓮,１７歳設定どこ行ったのよ。……っていうのはさすがに無粋かな？あ、私ももらい泣きしちゃいそう
藍子,パンダって、１日の半分くらいは寝て過ごすみたいなんです
加蓮,へ～。いつも木に登ってるんじゃないんだ
菜々,確かエネルギーを消耗しない為でしたっけ？
藍子,私たちが真似したら、夜に眠れなくなっちゃいそう
加蓮,ふふっ。藍子の大好きなお散歩も行けなくなっちゃうね
菜々,あぁ、あれはそれでだったんですか……
藍子,？あれ、って？
菜々,この前杏ちゃんがプロデューサーさんに詰め寄ってたんですよね。今度からパンダ系アイドルで行かせてくれって
藍子,あー
加蓮,あぁ
菜々,結局、衣装がパンダになっただけで、相変わらず現場に引きずられていってましたね
藍子,あー
加蓮,だろうね……。パンダってさ、理想像が高いんだって。恋愛的なヤツ
藍子,パンダにも、恋愛ってあるんですね
加蓮,しかも好みがすごくうるさいんだって。性格とか見た目とか。あとほら……その、繁殖能力とか？
菜々,それはナナも初耳ですね！
藍子,なんだか、かぐや姫みたいです
菜々,どっちにも竹が出てきますし、確かにそうですね！
藍子,もしも、かぐや姫がパンダだったら……？
菜々,一番の笹をもってこい！とかになっちゃうんですかねぇ
藍子,ふふっ、それも面白そう♪
加蓮,そう考えるとさー、この中で一番パンダっぽいのって私だよね？
菜々,えっ
藍子,え？
加蓮,……え、何その反応
菜々,藍子ちゃん藍子ちゃん。ナナの記憶違いでなければ、加蓮ちゃんこの前プロデューサーさんに褒められて蕩けた顔してましたよね？
藍子,あ、あははは……。ほ、ほら、アイドルとして、アイドルとしてのお話ですからきっとっ
加蓮,おーい
菜々,なっ。アイドルとしてならナナだって負けてませんよ！
藍子,落ち着いてください菜々さんっ！ちゃんと分かってますからっ
加蓮,……
藍子,パンダのお話をしてたら、パンダを見に行きたくなっちゃいました
菜々,いいですね行きましょう行きましょう！思い立ったがウサミン、ですよ！
加蓮,え、何その言葉
菜々,藍子ちゃん、天気の確認！
藍子,はいっ。今日はずっと快晴みたいです！
菜々,カメラの準備！
藍子,いつでもオッケーですっ
菜々,加蓮ちゃんを引っ張る役！
藍子,さ、加蓮ちゃん。一緒に行きましょう。……えいっ
加蓮,展開早すぎ！わっちょっ藍子引っ張らないで、わわっ
菜々,ではパンダツアーの旅へ！
藍子,しゅっぱ～つ♪
加蓮,待っ、２人とも待ってってば～……！
