・,多分
楓,はい。僭越ながら先日はシンデレラガールにも選ばせていただきましたし、6代目としての自覚をもってお仕事には臨んでいますけれど
P,じゃあ人前で堂々と男とキスすんなよ！下手したらスキャンダル物ですよ？！しかもその状態で吐くって言うおまけ付き！何考えてんだあんた！
楓,酔った勢いで……つい♡
P,可愛く言ってもダメなもんはダメですからね。まったく……ほんっとあんたって人は自由というかなんというか……
楓,後悔はしてません！
P,知るかよ。っていうか何でよりにもよってキス……もとい口移しなんかしたんですか
楓,……わかりませんか？
P,？何がですか
楓,何で私が口移しなんてまどろっこしい方法でわざわざプロデューサーさんにキスしたのか、本当にわかりませんか？
P,……
凛,……
未央,し、しぶりん落ち着いて！グラスにひび入っちゃってるから！
まゆ,Pさんとキス……Pさんとキス……
乃々,ま、まゆさん！なんかリボンがすごいヤバい感じで蠢いてるんですけど……！
P,この話題はやめましょう！わからないって事にしておいた方が多分みんな幸せですよ、えぇ！
楓,いえいえ、そんな事言わずに
P,勘弁して！
楓,……でも、確かに反省しなきゃですね
P,お、珍しい。楓さんでも酒関連で反省なんてするんですね
楓,プロデューサーさんのファーストキスをゲロの味にしてしまったのは
P,そこじゃないですし、そもそも別にあれがファーストキスってわけじゃないですからね？
楓,え
凛,え
まゆ,え
P,……祝いの席で長々と説教ってのもあれですから説教は後日って事でそういえば俺やり忘れてた仕事あったんだ提出期限差し迫ってるし今日中に終わらせなきゃだからいそうで事務所戻らなきゃそういうわけで皆さん今日はお疲れさまでした一足お先に失礼します
常務,仕事なら最重要な案件以外は今日は進めなくていいと通達したはずだが？折角の祝いの席だ。今日くらい仕事のことは忘れて飲みたまえ
P,その優しさが今はつらい！！
ちひろ,大体プロデューサーさん、この日の為に半月先の仕事まで全部終わらせてるじゃないですか。そもそもそんな案件うちの部署に回ってきてましたっけ？
P,ﾌｧｯｷｭｰﾁｯﾋ！
楓,それじゃあプロデューサーさん
凛,今のファーストキスの話
まゆ,詳しく話してくれますかぁ？
P,
美優,オロロロロロロロロロロ
P,だ、大丈夫ですか、美優さん？！
美優,は、はい。すいませんプロデューサーさん……
P,大丈夫ですよ。ちゃんとエチケット袋に吐いてくれるだけで処理が楽でこちらとしてはかなり助かりますから
美優,ところで何でエチケット袋なんて持ち歩いていたんですか？
P,……理由聞きます？
楓・早苗,
美優,大体わかりました
P,それにしても珍しいですね。美優さんが吐くなんて
美優,……なんていうか、嬉しくて
P,嬉しい？
美優,はい。OL時代はお酒を飲むのは同僚や上司との付き合いだけでした。上司にお酌したりご機嫌を取ったりして、決して楽しくお酒を飲める雰囲気なんかじゃありませんでした。でも、今はこうして気の合う人たちと笑いながらお酒を飲めるって言う事を思うと、はしゃいじゃって。ついつい飲みすぎてしまいました
P,……
美優,いつまでもこうして皆さんと楽しく過ごせる日々が過ごせばいいな、と
P,続きますよ。いえ、俺が続かせます
美優,プロデューサーさん……
早苗,うっ…うっ…美優ちゃん、泣かせるじゃない
楓,美優さんだけにつらい思いはさせません！
早苗,そうね、私たちも続くわよ楓ちゃん！皆で吐けば恥ずかしくない
P,待てそこの嘔吐コンビ何自分達も吐く気で飲んでるんだその一升瓶置けよおい！
楓・早苗,オボロロロロロロロロロロロロロロロロロロ
P,しかも吐くの早ぇし！せめて吐くならエチケット袋の中に吐け！
心,んっ、んッ、んッ……ぷはぁ！この一杯の為にアイドルやってるな☆
P,ははっ、アイドルがしていい発言じゃねえな
菜々,そうですよはぁとちゃん！
P,というかそれ1杯目じゃねえだろ。何杯目だ
心,ん～、7杯目？
P,もう嫌な予感がするわ
心,大丈夫だって☆はぁとは楓ちゃんや早苗さんみたいに吐いたりなんてしないから☆
P,言っておくけどこないだ美優さんが吐いたことで宵乙女で吐いてないの菜々さんだけになったからな
心,☆
P,なんか言えよ
心,ところでナナ先輩は17歳なのにビールなんて飲んで大丈夫なのかよ☆
菜々,こ、これはウサミン星のウサミン茶っていう飲み物だから大丈夫なんです！アルコールの風味とか味とかビールみたいですけどウサミン茶だから大丈夫なんです！！
心,ふぅ～ん
P,そうだ、ウサミン茶と言えば
菜々,斬新な話の繋げ方ですね
P,ウサミン茶の商品化が決定しました
菜々・心,え！！？
P,まぁウサミン茶って名前じゃなくて兎佐明茶って名前での商品化ですけど
菜々,どこの眼〇龍茶ですかそれ
P,ちなみにお茶じゃなくて柑橘系のノンアルコールビールです
菜々,ナ、ナンデお茶ジャナインデスカネー
心,なんでだろうなー
P,それで兎佐眠茶のCMに菜々さんが起用される事になって
菜々,本当ですか！？
心,いやいや、むしろ他に誰がいるんだよ
P,うん、それはそうですけどね
心,ともかく、CMのお仕事おめでとうな、ナナ先輩！☆
菜々,ありがとうございます、はぁとちゃん！
心,よーし☆めでたい日だし明日はオフだ☆今日は目一杯飲むぞ☆
菜々,そうですね！
心,うん！めでたくてウサミン茶が美味しオボロロロロロロロロロロロロロロ
P,せめて前振りくらいしやがれ佐藤ォ！
菜々,きゃあああああああああ！畳にいいいいいいいいい！
P,菜々さん、急いで雑巾か何か持ってきてください。あと消臭スプレーか、なかったらお酢と水と霧吹きをお願いします
菜々,わかりました
P,ほら佐藤起きろ掃除の邪魔だ。そんで水飲め
心,あんがと…☆オエッ……まだ余韻ゲロが……
P,おいやめろ、次はそのゲロ溜まりに沈めるぞてめえ
菜々,それはこっちが迷惑だからやめてください。はい、ファ〇リーズと雑巾です
P,ありがとうござ……って何ですかこのファブ〇ーズについてるブドウアームズって張り紙
菜々,Pさんが酔った時に貼ったんですよ！？
P,
心,何やってんだよ☆……ｳｯﾌﾟ
P,無理して起きんな佐藤。ほらどけ、拭いたり臭い取ったり色々するから
心,だ、大丈夫大丈夫……
P,そうか？じゃあ手伝って……
心,はぁとはゲロもスウィーティだから……臭いなんてつかないぞ☆
P,はっ倒すぞ
はぁと,それにしても、この間の新年会は面白かったな☆
P,何がだ。年長組の一部は吐いて、常務からは憐れみと慰めの目で見られ、挙句の果てに口移しでゲロを飲まされたあの飲み会が面白かったと？
はぁと,そうそう、その口移しの件、というかファーストキスの話☆
P,
菜々,
P,よしはぁと、今度外飲みする時おごってやるからこの話題はやめよう、な？
菜々,そそそそそ、そうですよはぁとちゃん。あの時もプロデューサーさん困ってましたしやめてあげましょうよ！
はぁと,2人ともえらい慌てようだな～
P,こんの糖分の塊溶かしてしまおうか
菜々,手伝いますよ、プロデューサーさん
はぁと,そりゃ慌てるよな～
P,それ以上言うな！
菜々,やめてください！
はぁと,なんたってプロデューサーのファーストキスの相手ってナナ先輩だｓｈモガモガ
P,くそっ！遅かったか！
はぁと,大丈夫だって☆誰にも言わないからさ☆言ったらプロデューサーにもナナ先輩にも迷惑掛ける事になるし
P,そういうのを心配してんじゃねえよ……純粋にこっぱずかしいんだよ
はぁと,現にナナ先輩はそこで顔真っ赤にして機能停止してるしな☆
菜々,
はぁと,というかあの時はぁとが寝た振りしてなかったらあのまま一線越えてただろ？
P,そんな度胸が童貞にあると思うなよ糖分
はぁと,うわっ、キメ顔でめっちゃカッコ悪い事言ってるよ
菜々,あ、あの！
はぁと,あ、復活してる
菜々,ナナは、プロデューさんにだったら、いつでもいいですよ……？
はぁと,ナナ先輩大胆
P,
はぁと,今度はこっちがフリーズしてるし☆
P,ああああああああああああああああああああああああああああ！！
はぁと,と思ったらいきなり壁に頭打ちつけたぞ！？どうしたんだよおい！
菜々,プロデューサーさん！落ち着いてください！
P,な、菜々さん……
菜々,ひゃ、ひゃい！
P,お、俺が女の襲い方を知らない童貞で助かりましたね……
菜々,プ、プロデューサーさーーーーーーーーん！
はぁと,なんだこれ
