藤居朋,２人とも、おまたせー！ごめんね、午前の撮影が長引いちゃって
フレデリカ,じゃあ次はねー……
橘ありす,フレデリカさん！！！
フレデリカ,わお！ありすちゃん！
ありす,わお！じゃないですよ！！！人様に迷惑かけて！！！
朋,未央ちゃんと同じこと言ってる……
ありす,帰りますよ！！！
フレデリカ,フレちゃんを倒しても、いずれ第二第三のフレちゃんが
ありす,そういうのいいですから！！！失礼しました！
フレデリカ,じゃーね♪
朋,嵐みたいだったわね……
島村卯月,こんにちは！
朋,もうちょっと間をあけて襲来してくれない！！？？
卯月,ネーミングライターの資格を持っている私に相談してくれないなんて、水臭いですよ！
朋,その資格自体が初耳なんだけど！？
ほたる,私が不幸なせいで……
朋,その発言はノルマなの！？
未央,しまむー！！！！！
智絵里,回収の業者さんが来ましたねっ
朋,扱いひどいね！？
卯月,わ！未央ちゃん！早いですね！
未央,わかってるなら早く戻るよ！！！
卯月,まだ発表してないのに～
未央,本人たちが決めるのが一番なの！。ホントごめんね！
卯月,未央ちゃんが謝ることじゃないですよ！
未央,しまむーが言うな！！！
朋,疲れた……
智絵里,この事務所、ロクな人間がいないですねっ
朋,積極的にブーメランを投げにいくよね
ほたる,朋さんも割と不運ですよね……
朋,まあ、さすがに植木鉢が落ちてくる２人には負けるけど……
智絵里,不運な集まりですね！
朋,嫌な共通点ね
智絵里,なんか運が悪そうなユニット名にしましょう！
朋,智絵里ちゃん！！！
智絵里,不運は英語でアンフォーチュンですよね
朋,いや、でも、ユニット名にそんな直接“不運！”ってのはどうなの……？
ほたる,じゃあ、“運がない”くらいにぼかす方がいいんでしょうか？
智絵里,えっと……運は英語で
朋,ラックじゃなかったっけ？
智絵里,ノーラック！
朋,結局ストレートになってる！！！
ほたる,ノー、ノット……、“ない”って英語でどうすれば……
智絵里,ネバーも否定だよね
朋,どんどん酷くなってるけど
ほたる,他には……
朋,オフとかアウェーは“離れる”って意味だけど……語呂がよくないね
智絵里,リモート、ファーも“遠い”ですけど……
朋,“失う”はロスト……“欠ける”はラック……
ほたる,え？ラックは“運”でしたよね？
朋,あ、違う違う。発音は似てるけど、スペルが違ってて……。……
智絵里,……
ほたる,……
３人,！！！
朋,“欠ける”はLackで、“運”はLuck……！
智絵里,語呂……いいですね……
ほたる,LackLuckで……
朋,運に欠ける……。いい感じのぼかし方……
３人,これ、いいのでは……！！！？？？
智絵里,LackLuckで決まりですっ！
朋,う、うん！これは悪くないと思うわ！
ほたる,いい感じの語呂と、いい感じの不憫さが表現できてます！
智絵里,途中で来た人々は、何の意味もなかったですね！
朋,確かにそうだけど智絵里ちゃん！！！
ほたる,では、プロデューサーさんに連絡しますね
智絵里,うんっ
朋,今日は室内だし、このまま待っていれば、ほたるちゃんに何も起きずに終われそうね……
ほたる,えっと……。あれ？発信できな……
智絵里,す、スマホが爆発しましたっ！
朋,ほたるちゃん！！！！！！！！！
