モバＰ,以降ノーコンティニューでＰ表記だよ！
Ｐ,じゃあちょっと９歳児と戯れてきますね
ちひろ,言い方、言い方
Ｐ,すいませんね。何やらまた母親の仕事が忙しくなってしばらく戻ってこれないそうで
ちひろ,あらら…まぁ、そういう事なら許してあげましょう
Ｐ,ありがとうございます
ちひろ,仁奈ちゃんの事は
Ｐ,え、俺は？
仁奈,プロデューサー！早くしてくだせー！
Ｐ,マッテローヨ！ではそういう訳なんで
ちひろ,はいはい。社会的にセーフな範囲で遊んであげててください。…プロデューサーさんて仁奈ちゃんにはとことん甘いですよね
仁奈,ふんふんふふーん♪ふんふふふーん♪
Ｐ,お、フレデリの気持ちか？
仁奈,正解でやがりますよ！じゃあこれは誰だか分かるでごぜーますか？。ふんふんふふーん♪ふんふふふーん♪
Ｐ,フレデリの真似して口ずさんでる周子のきもち？
仁奈,プロデューサーすげー！じゃあじゃあ、コレはどーでごぜーます！。ふんふんふふーん♪ふんふふフフーン！
Ｐ,フレデリの鼻歌が移っちゃったけど結局最終的に我が飛び出してしまう幸子の気持ち
仁奈,プロデューサーちょーすげー！
フレデリカ,あと一文字ー！
周子,わっ、突然どしたのフレちゃん
仁奈,ふーん、あんたが私のプロデューサー？
Ｐ,ハハッ似てる
仁奈,ほほう、お主がワシのプロデューサーか
Ｐ,ハハッ誰？
仁奈,口を開けば煩わしい鳴き声ばかりで耳障りだわ。愚図も度が過ぎると躾の余地も無いのかしら
Ｐ,いきなりクオリティ高ぇ
仁奈,似てたでごぜーますか？
Ｐ,似すぎるぐらいだよ
仁奈,それじゃあ今度はプロデューサーがみんなの気持ちになってみてくだせー！
Ｐ,北条加蓮ゥ！何故君がオーディションを受けずに、アイドルに変身出来たのか
仁奈,ヤベー！ソックリでごぜーます！
時子,騒がしいわよ
Ｐ,わっ、本物
仁奈,時子さまだー！
時子,口を開けば煩わしい鳴き声ばかりで耳障りだわ。愚図も度が過ぎると躾の余地も無いのかしら
Ｐ,凄ぇ。流石本物
仁奈,時子さま時子さまー！遊んでくだせー！
時子,ちょっと、纏わりつくんじゃないわよ。蹴るわよ
Ｐ,足元でバタバタすると危ないから落ち着こうね、だってさ
時子,アァ？
仁奈,はーい
Ｐ,んで時子は暇か？時間あるなら仁奈と遊んでやってほしいんだけど
時子,まだレッスンが残っているわよ
Ｐ,残念。終わった後で思い切り遊んでくれるってさ
仁奈,ほんとでごぜーますか！？
時子,待ちなさい
仁奈,時子さま時子さまー！遊んでくだせー！
時子,引っ張るんじゃないわよ。これからレッスンだって言ってるでしょう？
仁奈,時子さま、遊んでくれねーですか…？
時子,
仁奈,でも仕方ねーです。時子さま大好きだから遊んでほしいけどお邪魔しちゃいけねーって仁奈ちゃんと分かってるでごぜーますよ！
時子,
Ｐ,めっちゃ心が痛んでる顔してる…
時子,……休憩室の冷蔵庫にミートボールがあるわよ
仁奈,ミートボール！？時子さまん家のミートボールでごぜーますか！？
時子,食べたかったら好きになさい。ちゃんと手は洗いなさいよ
仁奈,わーい！仁奈ミートボール大好きでごぜーます！
時子,こら、走るんじゃないわよ。…チッ
Ｐ,…
時子,…何よその薄気味悪い視線は
Ｐ,いやぁ、良いお母さんになるなぁって
時子,豚ァ！
Ｐ,褒めてるのに！
時子,不愉快だわ
Ｐ,年少組も食べやすいようにわざわざ甘口で作ってきてるクセに…
時子,豚ァ！
Ｐ,ＩＴＥッ
時子,親は？
Ｐ,忙しいんだってさ
時子,ハッ、ここを託児所とでも思ってるのかしら
Ｐ,そう言うなよ。むしろ過保護なぐらいだ。毎日仁奈の近況聞いてくるし写メ欲しがるし事務所の方角に向かってお祈りしてるそうだし
時子,それはそれでどうなのよ
Ｐ,ご両親とも忙しく働いているのだって仁奈の為なんだ。悪い親じゃあないよ
時子,その仕事で子供と会う時間もないなら本末転倒じゃない
Ｐ,傍にいる事だけが愛情じゃないだろ？。ま、それが子供に伝わってるかどうかは別だけど
時子,随分知った口を利くじゃない
Ｐ,俺だって親との思い出なんてろくにないけどこの通り清廉潔白な紳士に育ってるしな
時子,クックッ、ジョークだけは上手いじゃない
Ｐ,え？
時子,ほら呼んでるわよ。しっかり面倒みてあげなさい
Ｐ,はいはい。んじゃ時子母さんもレッスン頑張ってな
時子,豚ァ！！
Ｐ,救命阿！
仁奈,どうしたですか？お顔真っ赤でごぜーますよ
Ｐ,いやぁ体重の乗った掌打だったわ。えーっと仁奈のフォークは…お、あったあった
仁奈,ミートボールっ。ミートボールっ♪
Ｐ,手ぇ洗った？
仁奈,ばっちりでごぜーます！
Ｐ,よし、夕飯前だから３つだけだからな
仁奈,わーいっ！
Ｐ,子供が出来たらこんな感じなのかなぁ
仁奈,？仁奈、プロデューサーのうちの子になるでごぜーますか？
Ｐ,いやいや、仁奈にはちゃんとパパとママいるだろ
仁奈,ママは時々帰ってくるですけどパパはよく覚えてねーですよ
Ｐ,忙しすぎて子供に忘れられるってコ〇ミの小〇監督じゃないんだからさ…
仁奈,でも事務所に来ればママいっぱいいやがりますからへっちゃらでごぜーますよ！
Ｐ,ママってそんなストックしておくものじゃないんだけどね？
仁奈,えーっと、ちひろママに時子さまママに楓ママにこずえママに美優ママに…
Ｐ,色々と引っかかるなぁ
仁奈,あれ？そーいや美優ママと
Ｐ,よし、特別に今日だけ４つ食べていいぞー
仁奈,うわー！今日仁奈の誕生日でごぜーましたか！？。いただきまーすっ！
Ｐ,どうぞどうぞ
仁奈,うめーですよ！
Ｐ,そっか、良かったな
仁奈,粗挽きにして食感を残した挽き肉から溢れ出す肉汁と甘酸っぱい餡がお口の中で混ざり合って筆舌に尽くし難いマリアージュを奏でやがりますよ！
Ｐ,ハハッ、仁奈は将来有望だなぁ
仁奈,パパってプロデューサーみてーな感じでごぜーますか？
Ｐ,んー、どうだろ。人生ゲーム以外で父親になった事無いし
仁奈,じゃあプロデューサーがパパになってくだせー！
Ｐ,え、仁奈ママさん寝取れと？
仁奈,そうしたら仁奈、事務所に来ればパパもママもいてくれるですよ！
Ｐ,その理屈だと一夫多妻制になっちゃうなぁ
仁奈,？難しい事はわからねーですけどママいっぱいいたらダメでごぜーますか？
Ｐ,普通はママって１人だと思うぞ？
仁奈,いっぱいいたほうがお得でごぜーます！
Ｐ,セール品じゃないんだからさ
文香,…珍しい組み合わせですね
仁奈,文香おねーさんですよ！
Ｐ,おっ、お疲れ様ゴーカイイエロー
文香,…違います
Ｐ,あぁゴメンゴメン。つい
文香,今は、ワシピンクです
Ｐ,違うってそういう意味？
仁奈,文香おねーさんっ遊んでくだせー！
文香,プロデューサーさんと遊んでいるのでは…？
仁奈,ママはいっぱいいたほうがお得でごぜーますよ！
文香,あ、あの…流石にまだ母親になった覚えは…
Ｐ,ごめんな文香。もし暇ならちよっと付き合ってあげてくれないか？
文香,…わかりました。では、ご本でも読みましょうか
仁奈,わーいっ♪どんなご本を読んでくれるですか？
文香,うんしょ…今手元にあるのは……ゴールデンカムイとドロヘドロぐらいですね
Ｐ,アウトー。両方アウトー
文香,…こうしてお父さんと息子さんは仲直りしました。めでたしめでたし
仁奈,エア夜食とかエア味噌汁とかよくわかんねーけど、めでたしめでたしで良かったでごぜーます！
Ｐ,…仁奈が喜んでるから別にいいか
仁奈,もっとご本読んでくだせー文香おねーさん！
文香,では…次は続編の武蔵編を
Ｐ,仁奈を膝に乗っけて読み聞かせしてる文香か……何だこの尊い光景
仁奈,文香おねーさんもママみてーでごぜーますよ！
文香,私の歳で９歳の娘持ちということは………お相手はよほどのロリ
Ｐ,文香自重
文香,す、すみません…パパ
Ｐ,待てぃ
文香,…？仁奈ちゃんのママになるということは、つまりはそういう事なのでは
仁奈,どーゆー事でやがりますか？
Ｐ,仁奈には５年ほど早い話だよ。あと文香さんや、自重
文香,第３夫人ぐらいでお願いします
Ｐ,自重！。すまんな仁奈。ちょっとこの問題児送ってくるから
文香,ふみっ
仁奈,おーっ。仁奈お留守番してるでごぜーますよ！
Ｐ,すぐ戻ってくるから。ちょっとだけマッテローヨ
文香,ふみー
仁奈,おみやげおねげーしますですよー！。プロデューサー戻ってくるまでテレビ見てるでごぜーます。リモコン、リモコンはどこにいやがりますか
ウサ子,ここにあるウサ
仁奈,ありがとうごぜーます
ブリッツェン,1人でお留守番なんて偉いですな
ヒョウ君,寂しくない？尻尾触る？
Ｐ,ただいまー
仁奈,おかえりなせーますですよ！
Ｐ,うわっ、何だこのオヤツの山は
仁奈,お留守番してたらみんなが沢山くれたですよ！
Ｐ,あーあー、夕飯前にこんな食べて…晩御飯食べられなくなるぞ？
仁奈,育ち盛りだからへーきですよ！
Ｐ,限度があるよ
仁奈,美味しいから大丈夫でごぜーます！
Ｐ,三村理論はやめなさい。それ当人ですら破綻してるんだから。テーブルの上いっぱいじゃねぇか。大半はドーナツと焼きまんじゅうだけどさ
仁奈,表面はパリッと中はふんわりとした生地と包まれてる餡のパーフェクトなハーモニーがたまらねーですよ！
Ｐ,仁奈は食レポの才能凄まじいな。しかし何て言うか…みんな仁奈に甘いよなぁ
仁奈,？
Ｐ,ま、人の事言えないけどさ
仁奈,プロデューサー甘ぇーのですか？
Ｐ,ハハッ、躊躇なく噛まないで結構痛い
仁奈,あむあむ
Ｐ,咀嚼するなぁ
優,どうしたのアッキー。なんかめっちゃボサボサだけど
アッキー,１人健気に留守番をしている幼女にモフモフさせてやるのが飼い犬の使命ではないのか
仁奈,すぴぃ…
Ｐ,お腹いっぱいになったら速攻で寝たよこの子ったら
仁奈,むにゃむにゃ…もう食べられねーでごぜーますよ…
Ｐ,そりゃあこれだけオヤツ食べたらなぁ。おーい仁奈ー。寝るなら部屋に戻ってベッドで寝なさい。眠くなったところで適当に寝るなー
芳乃,事務所によくお泊りしているそなたが言うのですかー
Ｐ,何奴！。…誰もいない。依田さん家の芳乃がいると思ったんだけどなぁ
仁奈,むにゃ…おじさん誰でごぜーますか…？どうして泣いてやがりますか…
Ｐ,仕方ない…運んであげるか。よいしょっ…子供って意外な重さがあるよな…
仁奈,可能性を信じて課金する人の気持ちになるでごぜーますよ…
Ｐ,どんな夢見とんねん。っていかん。両手塞がってるからドア開けられん
芳乃,お任せあれー
Ｐ,何者！。…やっぱり誰もいない。でも後で歌舞伎揚げお供えしておこう
芳乃,是非にー
Ｐ,出てきちゃったよ
仁奈,…ふぇ？
Ｐ,あ、起こしちゃったか？もうちょいしたら寮の部屋だぞ
仁奈,おやすみなせー
Ｐ,俺の背中で寝るなぁ
仁奈,晩ごはんの時間になったら起こしてくだせー…
Ｐ,あれだけ食べて夕飯食べれるのか？ちなみに今晩の寮飯ニラ玉だってさ
仁奈,朝になったら起こしてくだせー…
Ｐ,献立聞いて起床時間変えるなぁ。ほら着いたぞー
仁奈,また明日でごぜぇますよ…
Ｐ,オッサンの背中で熟睡しないでくれよ
仁奈,目がしぱしぱしやがりますよ…
Ｐ,はいはい。晩ご飯まで少し寝てなさい
仁奈,ニラ玉あんまり好きじゃねーですよ…
Ｐ,好き嫌いしてると大きくなれないぞ？
仁奈,ニラ抜きでおねげーしますです…
Ｐ,それ卵焼きだよ。明日にはママさん帰ってこられるって言ってたし、頑張って食べなさいな
仁奈,いつもおせわになってるプロデューサーにあげるでごぜーます
Ｐ,ごめん。俺ニラ嫌いなんだ
仁奈,大人ってずりーですよ！。？ママ明日帰ってくるでごぜーますか？
Ｐ,あ、目ぇ覚めちゃったか。よほど急な要件が入らなければ、ってさっき連絡貰ったよ。よかったな、ママに会えるぞ？
仁奈,…？
Ｐ,あれ、嬉しくないのか？
仁奈,どのママでごぜーますか？
Ｐ,お前さんをこの世に生み落としてくれたママさんだよ
仁奈,仁奈、ママいっぱいいやがりますからどのママのことかわかんねーでごぜーますよ！
Ｐ,仁奈が勝手に増やしてるだけだろ
仁奈,でもパパはプロデューサーしかいねーのです！
Ｐ,血の繋がった実の父親は！？
仁奈,時々遊びに来るおじさんはいやがりますよ
Ｐ,ｏｈ…。いつもパパもママも居なくて寂しくないか？
仁奈,ママはいっぱいいるでごぜーますよ？
Ｐ,本当のパパとママの事な
仁奈,仁奈、寂しくなんて全然ねーですよ！。事務所にはいっぱいママいてくれるですし。おねーさん達もいつも遊んでくれやがります！。アッキーはモフモフ抱っこさせてくれるですし常務は抱っこしてモフモフしてくれやがりますし
Ｐ,あの人陰で何してんだよ
仁奈,だから仁奈、これっぽっちも寂しくねーでごぜーますよ！
Ｐ,そっか、なら良かった
仁奈,えへへー
Ｐ,でも寂しい時はちゃんと言うんだぞ？ちひろに仕事押し付けてでも仁奈と一緒に遊ぶからさ
仁奈,大丈夫ですよ！全然これっぽっちも寂しくねーです！
Ｐ,そっか、仁奈は幸せ者だな
仁奈,にへへー
Ｐ,と、ご両親に報告したら思い切り泣かれました
ちひろ,当たり前でしょうが！！
アッキー,終わりだ
ウサ子,今更だけどどうして犬が喋るウサ？
