・正確には,白露が一番
白露,よく分かんないけど嬉しい！。昨日は時雨や海風たちとご飯。しかも色々分けてもらえちゃったし。あー、村雨じゃないけど太っちゃうかも。どうして一緒に食べるご飯ってこんなに美味しいんだろ？。まあ妹に甘えるのは長女としてはどうなのって話だけど。たまには逆に奢ってあげたいなぁ……や、いっそ作っちゃってもいいな。大淀さんだーっ！
大淀,私があなたの悩みを解決してみせましょう！
白露,えー……
大淀,ちょっとお願いしたい任務があるんです。あ、ちゃんと提督の許可も下りてる正規の任務なのでご安心を
白露,うーん……そういえば非合法の任務なんてあるんですか？
大淀,ここだけの話、鎮守府の闇は深いんですよ……提督も大本営や秘書艦の目を盗んで夜な夜な
鳥海,勝手な話を作らないでください
大淀,あら、鳥海。ごめんなさい、つい出来心で
白露,あたしにご用でも？
鳥海,ええ、大淀さんがどう言ったかは分かりませんけど任務をお願いしたいんです
白露,是非とも聞かせてください
大淀,私の時と態度がまるで違う……どういうことなの？
時雨,今のままじゃ、まだ第一線を任せるわけには行かないね
江風,あンだよ、あたいの動きじゃ不安だってのか？
時雨,率直に言えばそうだね。背中を任せるには頼りないし、逆に江風を守るのをばかり意識しながら戦わなくちゃならなさそうだ
江風,……白露の姉貴よりは動けると思うンだけどな
時雨,冗談はよしてよ
江風,……
時雨,もしかして本気で言ってたのかい？僕は姉さんと一緒に組んでも不安を感じたことはないよ
江風,けど前の訓練じゃあたいのほうが動けてた
時雨,そういう反応が出てしまうようじゃ江風はまだまだかな。それに誤解もあるようだけど、姉さんは僕や夕立と遜色ない戦果を挙げてきてるよ。結果は嘘をつかない
江風,なら姉貴はなンで。手でも抜いてたのかよ
時雨,姉さんはいつも言ってるだろ、一番だって
江風,んっ、言ってンな
時雨,姉さんは自分が一番になりたがってるくせに、全体を見た上で艦隊にとって一番いい行動を取ろうとしてるんだよ。僕が安全に雷撃できるように敵の護衛艦を引き付けたりとかね
江風,……海風もそンなこと言ってたっけ
時雨,だから姉さんは大本営とかに受けそうな華々しい戦果みたいなのはないけど、一緒に戦う僕らからすればすごくありがたいんだ。提督だって、そこをよく評価してるからね
江風,それが白露の姉貴なのか？
時雨,今度よく見てるといいよ。姉さんの練度が一番とは言わないけど、ちゃんと意味のある動きをしてるから
江風,姉貴の動きか……
時雨,どうやら課題も見えてきたみたいだね。じゃあ訓練を続けようか
江風,んっ、よろしく頼む
海風,前から涼風に聞きたかったんですが、なんで五月雨姉さんと同じ服を？
涼風,五月雨姉ちゃんがなんでだか一人だけ違う制服だったからな。あたいもあの頃は独りだけで制服も浮いてた気がするから、それなら姉ちゃんに合わせようかなって
海風,さびしい思いをさせてごめんなさい……
涼風,別にいいって。でも江風姉ちゃんばかりじゃなくて、もうちょっとあたいにも構ってほしいな
海風,そうしましょう。涼風はその、もう改白露型用の制服は着ないつもりなんですか？
涼風,先のことは分かんないけど今はこれが一番だよ。白露型の一人だって実感できるんだ
海風,そうですか……
涼風,涼風も姉ちゃんには謝らないと
海風,あら、どうしてです？
涼風,昔のあたいは自分を改白露型とも海風型とも名乗れなくて、ただ特型としか言えなかったんだ
海風,でも涼風が何か悪いわけでもないのでは？
涼風,かもしれなくても、名乗れなかったのは海風姉ちゃんに悪いことしたのに変わりないし
海風,気にしないでいいですよ、そんなの。私だって海風型を名乗るのには抵抗がありますし
涼風,そうなの？
海風,気恥ずかしいというのもありますが、私は白露姉さんから受け継いだ改白露の呼び方に誇りを感じていますから
涼風,お姉ちゃんも白露姉ちゃんが好きなんだねぇ
海風,当然じゃないですか。好きというか大好きですよ、とても
涼風,同じ好きなのに別の言葉みたいに聞こえる……
村雨,はいはーい、前から気になってたんだけど
夕立,ぽい？
五月雨,なんでしょうか？
村雨,あなたたちって私のこと、お姉ちゃんって呼ばないわよね
夕立,村雨
五月雨,村雨、ですね
村雨,もしかして私ってあなたたちに姉らしいことしてあげられてない？
五月雨,そういうわけじゃないですよ！そうだよね、夕立？
夕立,っぽい。夕立は時雨でも時雨っぽい。お姉ちゃんって呼んでるのは白露お姉ちゃんだけっぽい
五月雨,私もですね……お姉ちゃん以外は呼び捨てちゃってます
村雨,理由聞いてもいい？
五月雨,うーん……といってもこれといって理由がないような。自然と呼び捨てちゃってましたし
夕立,夕立は白露お姉ちゃんは姉として尊敬してるから他の呼び方はしたくない。時雨や村雨は好きだけど、尊敬とはちょっと違う。だから呼び捨ててる……っぽい
村雨,ふむふむ。つまり白露姉さんは特別だと言いたいのね？
五月雨,そうなっちゃうんでしょうか？
村雨,やっぱりそれって私にはお姉さんらしさが欠けてるってこと？
夕立,そうなるっぽい！
五月雨,そんなことはないですよ！村雨……お姉ちゃん？
村雨,……ありがとう、五月雨。でも取って付けたように言われてもね
夕立,村雨お姉ちゃん……やっぱり村雨でいいっぽい
白露,ただいま。みんな元気にしてた？
時雨,お帰りなさい
夕立,お帰りなさいっぽい！
白露,真っ先に来た……そういうとこ、やっぱり犬みたい
時雨,そのクーラーボックスは？
白露,みんなの分のお土産だよ。ほら秋刀魚
五月雨,大漁ですね！でも、どうしたんです？
白露,北方の鎮守府さんのお手伝いでね。大淀さんがソナーとかライト積んで漁の手伝いして、あたしと夕雲がその護衛とお目付け役みたいな？それで任務が終わった後にお礼ってことで分けてもらえたんだ
五月雨,北はそんなこともやるんですね……
白露,あ、それと今度はちゃんと衝突しなかったからね。タンカーと漁船なら同じようなものだよね？
五月雨,違うんじゃないかな……
村雨,はいはーい。もしかして任務って釣りだったの？それなら私にも声をかけてよ。姉さんったらずるい
白露,ごめんごめん、急な話だったし。あと村雨って釣り好きだったっけ？
村雨,最近はまったの。あれは魚との格闘技だから。姉さんもやろ？
白露,じゃあ今度教えてもらおうかな。あ、涼風。七輪用意してくれる？まとめて焼いちゃお
涼風,がってんだ！
夕立,なら夕立は大根をおろすっぽい！
時雨,全部塩焼きにしていいのかい？
白露,あー、それもそっか。涼風、なんか他にレシピってある？
涼風,酢漬けとか揚げるって手もあるさぁ！
白露,それも美味しそうだね。選り分けとか任せちゃってもいい？
涼風,任せといてぇ！
海風,お疲れ様でした、姉さん
白露,ありがと。でも楽しかったし、あんま疲れてないんだよね。大淀さんも加賀さん並に面白お姉さんだって分かったし
海風,そうなんですか？
白露,そうなんだよ。漁をやってる間は秋刀魚食べたいってずっと言ってたのに、向こうの食堂に着いたら真っ先にカツレツにさらにカツカレーの特盛りまで頼むんだよ？秋刀魚要素どこに行ったのか分からなくてもうね
海風,もっと硬そうな人だと思ってましたけど……
白露,いやいや、かなり緩いからね、大淀さんって。加賀さん知らなくても大淀さんなら一緒に分かるよね
海風,そうですね……今度じっくり観察してみます
白露,あと夕雲に今度一緒にお茶でも飲もうって誘われたんだけど海風も来てよ。一番艦同士、ね
海風,でも私は……
白露,大丈夫。海風は立派な長女だってお姉ちゃんが保証してあげる
海風,……はい！
江風,んっ、白露の姉貴
白露,なあに、どうかしたの？
江風,……あたいさ
白露,……そんなしょぼくれた顔しないの。あんたは無駄に自信持ってるほうがかわいいわよ
江風,なンだよ！意味分かンないンだけど……でも、あンがと
白露,さあ、江風も秋刀魚焼こ？白露型なら料理はしっかりできないとね
江風,んっ、焼くだけなンだろ？たぶン簡単簡単ーっ
白露,あれ、これってもしかして料理ダメな子？
もっと恐ろしい,白露がいっちばーん
