美城常務,ふむ、全員揃ったようだな。では、プロジェクトクローネ会議を……む、どうした？皆、表情が硬いが
常務,だが君たちならこの逆境も乗り越えられると信じている
加蓮,さすがに無責任すぎるでしょ……！？
フレデリカ,どーしよっか？
文香,人数分の鍋つかみはありますが……
ありす,あったとて
凛,変に騒ぎを起こしたくないし……
周子,かといって立ち見もねえ
唯,困った〜
奏,無理矢理というわけにもいかないわ。アイドルだもの
アーニャ,難しいですね……
常務,誰か、何か案はないか？
アーニャ,あ！思いつきました！アーニャにおまかせ……ですね？
常務,おお、そうか、心強いな
アーニャ,ちょっとだけ、待っててください
常務,皆、ここはアナスタシアに任せよう
みんな,……。……。……。……え？
奈緒,いや、あまりにも自然だったから気づかなかったけど今いたぞおい
奏,いたわね
ありす,……いましたね
唯,しんしゅつきぼつ？
加蓮,わかんないけど……
凛,いなくなるのも自然だったし……って、なんか騒がしくない？
常務,確かに、向こうの方で何か……
みんな,……
常務,今だ！空いた場所へ滑り込め！
フレ唯奏周子,Yeah！！！！！
奈緒,これでいいのか！？
常務,というわけで無事、場所を確保することができた
奈緒,結局ここでも輪になって座るのか……
常務,何はともあれ、まずは食事としよう
唯,待ってましたー！
凛,響子が作ったんだっけ？
常務,五十嵐ケータリングサービスだ
ありす,そんな意地にならなくても……
常務,では配ろう。ちゃんと人数分、10個注文して……
奏,どうかしたの？
常務,……宮本、数えてもらえるか？
フレデリカ,いいよ！えっと、いち、にー、さん、しー、ごー、ろく
文香,今、何時でしょうか……
奈緒,落語みたいな妨害をするな
フレデリカ,なな、はち、きゅう！……あれ？
加蓮,人数、10人いるよね？
常務,確かに10個注文したはずだが……ん？
凛,あれ、何か紙が落ちたよ
常務,誰の髪が落ちたと？
凛,めんどくさっ
周子,なんて書いてあるの？
常務,ふむ……。……
みんな,……やられた！！！
常務,……む？
唯,あれ？スマホ鳴ってるよ？
ありす,メッセージですか？
常務,なになに……。……
みんな,帰った！！！！！
ありす,やられましたね……
奈緒,１つ足りないな……
文香,人数分のしゃもじはありますが……
ありす,あったとて
常務,まあ仕方がないだろう。皆で食べなさい
凛,え……！？
加蓮,意外……！真っ先に自分のを確保するのかと思った
奈緒,その印象もどうなんだ
奏,常務はいらないの？
常務,全く問題ない。気にするな。君たちと違って私は大人だからな。それに、私は多忙だ。食事を抜いて仕事を片付けることなんて珍しい話ではない。食べ盛りのｸﾞｩ～若い世代ｸﾞｩ～こそ、しっかりとｸﾞｩ～食事をｸﾞｩ～摂るべきだ
凛,うるさいなあ！！！！！
ありす,お腹が空いているならそう言ったらどうですか！
周子,お腹は正直だね～
唯,ゆいのエビフライあげる！
フレデリカ,フレちゃんのウィンナーも！
常務,む……しかし……
奈緒,ほ、ほら！あたしの玉子焼きもやるから！
文香,プロジェクトクローネのコンセプト一蓮托生をお忘れですか……？
ありす,かっこよくなってる！！！
奈緒,めちゃくちゃ美味かったな……
常務,では、改めて会議を……ん？
加蓮,またなんか騒がしい……
凛,へ？
常務,ふふ、まあ、気にせずにいこう。鷺沢、バット
奈緒,落ち着け落ち着け！！！
文香,どうぞ
奈緒,渡すな！！！
常務,しかし、集中できないのも事実だ
周子,このメンバーで外に出といてよく言うね
常務,少し、黙らせよう
フレデリカ,ぼーりょくはんたい！
常務,手荒な真似はしない
凛,さっきバット持ってたのに？
常務,橘
ありす,は、はい
常務,ここにお花見定番のカラオケセットがある。この曲を歌ってくれ
ありす,へ？こ、これだったら適任が
常務,構わない。アイドルとして、全力で歌ってほしい
ありす,ええ……。まあいいですが……
みんな,？
常務,では、スタート！
ありす,わ、わかりました。ハロー♪ｳｲﾝｸ。だ、大丈夫ですか！？
常務,うっ……
唯,うっ……
フレ,うっ……
奏,うっ……
周子,うっ……
文香,うっ……
加蓮,うっ……
奈緒,うっ……
凛,うっ……
ありす,こっちも！？！？！？
常務,死ぬかと思った
文香,同じく
ありす,バスツアーの食レポの時も同じこと言ってませんでした……？
常務,しかし今のによって周りは黙らせることができた
奏,まあ、アイドルとしてはこの上ない手段だったかもしれないわね
常務,今度こそ、会議を始めよう
加蓮,議題は？
常務,特にない
奈緒,帰っていいか？
常務,何か話したいことはないか？
フレデリカ,はいっ！
常務,どうした
フレデリカ,フレちゃん、ネコやめます！
常務,そうか。他には
フレデリカ,……
ありす,掘り下げてあげましょうよ
フレデリカ,……CD発売中だから買ってね
周子,タダでは起きないね
常務,そもそも花見とは何をするんだ？
唯,お花を見ればいいんじゃないのー？
奏,飲酒を目的とする人もいるけれど、この集まりには関係ないわね
周子,あっちには屋台も出てるね
文香,花を見るという目的を蔑ろにし、集まることで満足し結局のところ居酒屋や家に集まるのとやっていることは何ら変わらない……。現代人にありがちな倒錯ですね
ありす,お花見に恨みでもあるんですか？
加蓮,じゃ、私はちょっと屋台でも見てこようかな？
奈緒,ん！加蓮、フライドポテトとか買うつもりじゃないだろうな！
加蓮,まあまあ、こういう時くらい……ね？
奈緒,あたしもついていくぞ！
凛,なら私も……あ
ありす,……
凛,……
加蓮,……
奈緒,……一緒に行くか？
ありす,はいっ！
周子,そりゃこっちに1人で残りたくはないよね
常務,全く……あんなにはしゃいで、まだ子供だな
周子,自覚ナシかーい
常務,さて、人数は減ってしまったが、会議は続けよう
周子,会議って言い張るねえ
奏,むしろ常務が普段どんな仕事をしているのか気にならない？
唯,確かに！
文香,ZZZ……
常務,ふむ……たまには私の話をするのも悪くはないか
周子,今寝てる人いなかった？
常務,有名プロダクションで常務を務める彼女の朝は早い――
フレデリカ,風の中のすばる～♪
周子,打ち合わせでもしてたかのように
常務,まず朝起きたら新聞の4コマをチェックする
文香,既にポンコツ感が凄まじいですね……
フレデリカ,砂の中のフーフフーン♪
奏,もうちょっと覚えない？
常務,まあ、各部門の運営情報を私に一度集約し、予算と睨みあいながら時に舵取りを命じるのが主な仕事だ
周子,肝心なとこは一言で
唯,じゃあ、じょーむがいなかったらどうなるの？
常務,当然ながら、私がいなければ……
奏,？
常務,いなくても特に問題ないな……死のう……
周子,情緒に安定感がなさすぎない！？
フレデリカ,みんなどこへ行った～♪
周子,BGM一回ストップ！！！
常務,後はまあ、君たちが各所に迷惑をかけた時に謝るのも私の仕事だな
文香,この場にはそのような問題のあるアイドルはいないと思いますが……
周子,たぶん筆頭だからね
常務,それと橘が不機嫌で帰ってきた場合にその日の現場へヒアリングに行き、然るべき対応を取った後に再発防止のための管理や調査を徹底するのも仕事だ
奏,手厚っ
常務,アナスタシアとのコミュニケーションも仕事になる
周子,そっちは完全に失敗してるでしょ
凛,ただいま
加蓮,ポテトとかたこ焼きとかやきとりとか適当に買ったから、みんなで食べよ？
常務,助かる。お金は後で渡そう
奈緒,いーよいーよこれくらい。ところで、何の話してたんだ？
文香,かいつまんで言うと、常務が死にたい話ですね
周子,なんでそこだけ抜粋しちゃった？
ありす,物騒ですね……
奏,ありすの福利厚生についても話していたわ
ありす,なぜ？？？
常務,ああ、1つ、業務連絡があった
唯,どしたのー？
奈緒,変な話じゃないだろうな……？
周子,あの素直だった奈緒ちゃんがすっかり疑り深くなっちゃって……
奈緒,仕方ないだろ！
常務,私事だが、この度……
文香,定年退職をすることに……
ありす,本当に怒られますよ？
常務,専務に昇進することになった
奈緒,はあ！？
奏,それは……
ありす,な、なぜ！？
周子,びっくりしたー
凛,何か裏金とか……？
加蓮,ありえない……！
常務,君たちが普段どう思っているのかよくわかる
フレデリカ,すごーい！
唯,おめでとー！
常務,ありがとう。肝入りのプロジェクトであるクローネの成功が大きな要因だろう
奈緒,まあ確かに売れてはいるけど……
常務,定例で直々に会議を開き、モチベーション維持に努めていることも評価対象のようだ
凛,この会議でモチベーション上がったことないけど
奈緒,同意
加蓮,うん
常務,改めてお礼を言いたい。ありがとう
ありす,まあ……悪い人ではありませんし……
凛,別に嫌いなわけじゃないけどね……ちょっと……
常務,特に原宿
凛,渋谷だよ！！！！！
奈緒,うっわ懐かしっ！
加蓮,最初の会議っていつだっけ？
ありす,確か2016年の3月……？
奈緒,2年前かー
凛,なんで思い出に浸ってるの！
常務,皆、最初に会った時と比べると、各段に成長してくれた
周子,特にツッコミ陣の反応力とかね
常務,本当に、誇りに思う！
加蓮,あれ……？この流れ……
常務,もう、このような会議は必要ないだろう……
奈緒,ま、まさか……！？
常務,でも個人的に楽しいので今回で終わりということはない
ありす,期待させておいて！！！！！
常務,では、そろそろ解散としようか
凛,ようやく解放される……
常務,各自、今年度も誇りを持って仕事に邁進してほしい
唯フレ,あいあいさー！！！
常務,くれぐれもコンセプトである河童の川流れを忘れないように！
ありす,さっき一回かっこよくなったのに！！！
常務,ちなみにこのお花見の様子はAb〇maTVで放送中だ
凛,やっぱり録ってた！！！
周子,生放送だったん！？
常務,そしてこの儲けで私の昇進記念パーティーを開催する！！！
加蓮,好き放題すぎる！！！
常務,次回はみんなで5時から場所取りだな
奈緒,いい加減にしろ！！！
