ややキャラ崩壊してるかも,特にだりーな
夏樹,んぁ・・・あぅ・・・はぁ・・・
モバＰ,木場さんに清良さんに早苗さん！？どうしてここに・・・！？でも助かった・・・！
早苗,ちょっと・・・
真奈美,いたずらが・・・
清良,過ぎたようですねぇ・・・
愛海,わー！待ってください！これには海底山脈より深い理由が、理由がああああああああ・・・・・
李衣菜,ろ、ロックを極めるために必要なんです！決してやましい気持ちは・・・
早苗,問答無用！
真奈美,身から出た錆・・・反省すべきだな
清良,大丈夫、いたくしませんからねー？
愛海・李衣菜,ぎゃあああああああああああああああああああ
夏樹,っとにだりー、おめぇって奴はよぉ・・・
李衣菜,だーかーらー、さっきから謝ってるじゃん
夏樹,ホントに反省してんのか？昨日の今日だぞ？
李衣菜,してるしてる。やっぱり私はなつきちじゃなきゃダメみたいでさ
夏樹,・・・っとにもー、しゃーねーな。今回は許してやるよ
李衣菜,ホント？ヤタ！ありがとうなつきちー！
夏樹,おわ！？きゅ、急に抱きつくんじゃねぇよ！。おいPさん、なににやけてるんだよ
モバＰ,いやぁ、天下のハートビートロッカーもそんな顔するんだなーって
夏樹,な、そんな顔ってなんだよ！おいPさん！
モバＰ,はっはっは、照れるな照れるな
李衣菜,どしたのさーなつきちー？
夏樹,う・・・うぐぐぐぐ・・・。あーもう！アタシちょっとレッスン場行ってくる！
李衣菜,あ、ちょっとなつきち、私も行くから待ってってば！
モバＰ,おー、気をつけていけよ
愛海,あのー、早苗さん
早苗,なーに？愛海ちゃん？
愛海,そろそろこの手錠、外してほしいんですが・・・
早苗,反省した？
愛海,そりゃもう！
早苗,もう揉まない？
愛海,必要以上は揉まないよう自制します！
早苗,建前は分かったわ。本音は？
愛海,連日の猛暑でみんなの服は薄手のはず！今を逃していつ揉むのか！！
早苗,あ、清良ちゃん？悪いんだけど新しいゴム手袋を・・・
愛海,うわぁーん！！嘘です嘘です！だからもう許してくださーい！
乃々,なんか表が阿鼻叫喚になってるんですけど・・・
輝子,フ、フヒ・・・で、出て行っちゃダメ・・・私達まで巻き込まれる・・・
乃々,頼まれたって出て行きませんけど・・・でもこのままじゃもりくぼ達も外に出れないんですけど・・・
輝子,だ、大丈夫・・・い、今、早苗さんたちにれ、連絡したから・・・フフ・・・
乃々,なら安心なんですけど・・・コトが終わるまでここで待つことにするんですけど・・・
輝子,そ、それがいいね・・・フヒ・・・ヒ・・・
