？？,よし……これで大丈夫、明日は頑張りますよ！
Ｐ,それと……朝に古いネタを振っても軽く流されたな
杏,なるほど……
卯月,納得しちゃうんだ！？
みく,そこで違和感かにゃ？
Ｐ,それ以外にも色々と違和感を感じたからな。まゆはどうだった？
まゆ,まゆはですね……
ルキトレ,ワンツーワンツー！はい、もう一度！
まゆ,も……もう、きついです……
ルキトレ,あ、あれ……菜々さんはまだ余裕っぽそうだったんですが
まゆ,えっ
菜々,ワンツーワンツー、ですねっ！。ナナ、今日のレッスンはいい感じにやれてる気がしますよー♪
まゆ,……
ルキトレ,ごめんなさいまゆちゃん。じゃあ、菜々さんだけでレッスンを続けますので、まゆちゃんは休んでてくださいね
まゆ,まゆもスタミナは無い方ですけど、前に菜々さんよりは持ってたからそこで違和感を感じましたねぇ
Ｐ,実際菜々さんはスタミナが無いはずなんだが……
杏,それって歳――
卯月,失礼ですよね杏ちゃん！？
Ｐ,しかし、なるほど……昨日の疲れっぷりからもそこはおかしいな。みくはどうだ？
みく,あれはお昼のお弁当の時だったにゃ。……お魚、入ってる。……いやだっていってるのにぃ
菜々,うっ、にんじん
みく,菜々チャンにんじん嫌いだったかにゃ？
菜々,あー、あはは……じ、じ、実はそうなんですっ
みく,ウサミン星から来たのに？
菜々,嫌いなものは嫌いなんです……
みく,……でもその気持ち分かるにゃ、みくのお魚と交換する？
菜々,いいんですか？
みく,今の菜々チャンからは同じ匂いがするし、みくもお魚食べたくないし
菜々,みくちゃん、ありがとうございますっ！
みく,いいってことにゃ！菜々チャンこそありがとうだにゃー。今思えばおかしいにゃ、この前普通ににんじん食べてた記憶があるから……
Ｐ,確かに
まゆ,それはおかしいですよねぇ
杏,好き嫌いなんて歳を取れば無くなっていく――
卯月,杏ちゃん、そろそろそういう事言うのやめた方が
Ｐ,……話を聞いていくとどんどん疑問が湧いてくるな
まゆ,もしかしてあの菜々さんは偽者だったり……
みく,まっさかー、行動とかおかしいけどどっからどう見ても菜々チャンだにゃ
Ｐ,自分も菜々さんにしか見えないが……杏はどうだったんだ？
杏,あー、杏はね。……ああっ、きゅうしょに当たるのは困る
菜々,杏ちゃん、何やってるんです？
杏,あ、菜々さん。○ケ○ンＹだよ。最新作の
菜々,あー、あれですか。ナナはＸ持ってますよっ！
杏,！？
菜々,Ｙの方も良いかなって思ったんですけど、やっぱり青いメガのあの子に惚れちゃいまして……えへへ
杏,そ、そうなんだ。建前で知ってるかと思ってストーリーの攻略ネタ振ったら全部正しく知ってた
Ｐ,菜々さんが最新作のゲームの話題についてこれるなんて……
杏,違和感凄いでしょ。うっかり○＆Ｗとか言いそうな人がまさか３○Ｓ作品の話題についてこれるなんて
卯月,知ってれば分かると思うけど……
まゆ,ゲームはあまりしないから分かりませんねぇ
Ｐ,……ＯＫ、違和感がとてつもないことは分かった。あとは
愛海,……
まゆ,ずっと震えてる愛海ちゃんですよね
みく,……ウサミン星の秘密を知っちゃったのかにゃ
Ｐ,おいおい、なんか若干洒落にならなさそうで怖いんだが
杏,そんなオカルトな話……今ならちょっとだけ信じられそう、うん
Ｐ,……愛海、話してくれるか
愛海,……揉んだ
Ｐ,ん？
愛海,菜々さんの胸を揉んだ
Ｐ,……
まゆ,……
みく,……
杏,……
卯月,えっ、それだけ！？
愛海,……揉んだんだけど、この前揉んだ菜々さんの胸の感触じゃなかった
Ｐ,なん……だと……？
卯月,感触で分かるものなんですか？
みく,め、目隠ししても胸を揉むだけで誰かなのか当てれる愛海チャンが違うって言ってるんだにゃあ！
卯月,うわぁ
まゆ,……それで、どうしたんです？
愛海,いつもの菜々さんと反応が違ってちょっと寛容した反応だった。感触も反応も違うのに、顔が、容姿が、菜々さんで……。菜々さんなのに菜々さんじゃない……菜々さんじゃないのに菜々さん……。ああああ……
Ｐ,愛海、しっかりしろ！？
みく,……あ、愛海チャン……
杏,ああ、ＳＡＮ値減少してるよこりゃ……
まゆ,じゃあ、あの菜々さんは一体誰なんです……？
Ｐ,いや、別人と決まった訳じゃ……。あ、すまん。自分だ……菜々さんからだ。もしもし？。ど、どうしました菜々さん？散歩してたんじゃないんですか。何！？
まゆ,ど、どうしました！？
Ｐ,ちょ、ちょっと待ってくれ……。どういうことか説明してください、菜々さん。は、はい。……え？。……はい、分かりました。昨日とっても疲れてましたし少しは仕方ないでしょう。ところで、今はどこに居るんですか？。分かりました、ちょっと急いで来てくださいね。三歩進んで二歩下がりながら。よく知ってますね。はい、では切りますね。……
みく,今の電話……まさか、さっきの菜々チャンとは違ったり……？
Ｐ,ああ、本物の菜々さんだ。朝振ったネタにも引っかかった
卯月,そこですか！？
杏,もしかしてあの菜々さん……偽者？
Ｐ,本物の菜々さんは昨日の疲れのせいか、寝坊して起きたのが午後１時半だそうだ。今、事務所最寄の駅から降りて向かってる途中らしい
まゆ,じゃ、じゃあまゆと一緒にレッスンしてた菜々さんは……
Ｐ,偽者って訳だな
杏,……ちょっと鳥肌立ってきた
愛海,や、やっぱり……
卯月,私からしたら胸揉むだけで違いが分かる愛海ちゃんも中々怖いと思う
みく,で、でもあれだけ似てるのに偽者だなんて、どうにゃの？
Ｐ,自分もそこまでは分からないが、違う人物なのは違いない。ともかく、事務所に来るのが早いのは本物が先か偽者が先か……。さっきここから最寄の駅に着いたのなら……近いけど今すぐって訳じゃない。今戻ってきたのなら――。……本物の菜々さんじゃないってこと、だ
みく,……
卯月,……
菜々,あれ、みなさんどうしたんですか？ナナをそんな目で見て……
Ｐ,みんな、自分の後ろに
杏,ひいっ……
まゆ,プ、プロデューサーさん……
卯月,……
みく,ふ、ふにゃぁ……
菜々,ほ、本当にどうしちゃったんですか。ナナはウサミン星に拉致なんて怖いことしませんよっ！
Ｐ,菜々さん、先ほど自分に電話しました？
菜々,い、いえ、してませんけど
Ｐ,今さっき、菜々さんから電話があったんですよ
菜々,……えっ
Ｐ,なんでも、午後１時半に起きて今事務所に向かってる途中だとか。番号もいつも使ってる菜々さんの番号ですし、見間違うはずがありません。貴女の持ってる携帯で自分にかけてみてください。菜々さんなら同じ番号なはずです
菜々,……
Ｐ,かけるだけでいいんですよ、もしかして番号が分からないとかですか？それこそありえませんよ
菜々？,……そっか、バレちゃったんですねー。んー、自信あったのになー。残念……
杏,こ、こいつ……
菜々？,バレちゃったらしょうがないですよねー……
Ｐ,く、来る！
菜々？,あれ、誰かこっちに来て……
菜々,ぜぇ……はぁ……プ、プロデューサーさん……こんにちは……ぜぇ……
Ｐ,な、菜々さん！？
卯月,う、うわっ！？
まゆ,……そ、そっくりです
杏,なんだこりゃ、声の感じまで似てる……
みく,ド、ドッペルゲンガーだにゃ
愛海,菜々さんが２人……果実が４つ……ハッ、もしかして天国！？
Ｐ,あ、戻った
菜々,……え、ど、どうして……なんでここに居るの……？
菜々？,いいじゃないー
菜々,よ、良くないに決まってるでしょ、おかーさん！
安部,いつも娘の菜々がお世話になってますー
Ｐ,ど、どうも……菜々さんをプロデュースさせてもらってるＰと申します。これ、名刺です。え、えっと、菜々さんのお母さんでよろしいですよね？
安部,安部でいいですよー
Ｐ,では安部さん……どういう事か説明してくれますか？
安部,えー、もう十分じゃないですかー
Ｐ,いや、その……
杏,う、ウサミン星人は容姿が一緒なのか……いやでも、本当にウサミン星なんて……だけどこんなに一緒なのは……
まゆ,……どっちがお母さんでしたっけ。すみません、お母さんの方ですか？
菜々,違いますっ！
卯月,……わー、もうわかんないなこれはー
みく,どうにゃってんだにゃ、菜々チャンがお母さんでお母さんが菜々チャンで……あれ？
愛海,むふふ……見てるだけでも眼福な山だねぇ
Ｐ,結構認識できないみたいです。１名以外
安部,分かりましたー。実はこれは私がやったものでしてー。……菜々も有名になったわねー。お母さん間違えられちゃって困るわー
菜々,お母さんとナナ、本当にそっくりだもんね
安部,もしかして交代しても気づかなかったり……
菜々,そ、そこまでは流石にないよ
安部,分からないかもしれないわよー？
菜々,絶対バレるよ！まずプロデューサーさんにバレるって！
安部,なるほどねー。……ということで、交代してみたのー
Ｐ,動機それだけですか！？
安部,ええー。あとは菜々が疲れてぐっすりだったところを携帯のアラーム消して安眠できるようにして……
菜々,おかーさんのせいだったの！？通りでアラームが……
安部,ふふ、本当は今日は菜々にゆっくり休ませようとね？
菜々,もう動機言ったよね！？もう撤回できないよね！？
安部,冗談冗談
菜々,ナナにとっては冗談じゃないんだけど……
まゆ,……未だに目が慣れませんねぇ
卯月,うーん、本当に似てますね
愛海,なるほど、あの感触は菜々さんのお母さんの感触だったんだ。え、お母さんっていう歳であの感触って……国宝ものじゃん……ヤバい……
Ｐ,愛海は置いといて……いや、本当に似過ぎですよ
菜々,も、勿論プロデューサーさんは気づきましたよね！？
Ｐ,すみません、古いネタ振って墓穴掘らなかった以外は全然……
安部,知ってましたが反応しない方がいいと思ったんですけどねー……
菜々,そこで判断ってちょっと酷くないですか！？。じゃ、じゃあ今日一緒にレッスンしてたまゆちゃんは……
まゆ,……ごめんなさい、気づきませんでしたぁ
菜々,
みく,みくは疑問に思ってたぞ！……と言っても、にんじん残した時だけだったにゃ……ごめんにゃさい
菜々,……ナナはにんじん食べれますよ
安部,私はだめなのよー、どーしても食べたくないの
Ｐ,アレルギーとかなんですか？
安部,いいえ、嫌いなだけですよー
Ｐ,みくと一緒か……
杏,結構ゲームとか好きなんだ
安部,はい、大好きですよー。杏ちゃん今度対戦しましょうねー
杏,う、うん
菜々,ナナよりおかーさんの方が詳しいですからね……
Ｐ,意外だなぁ
まゆ,あ、それと安部さんって、菜々さんより体力あるんですね
菜々,……お母さん結構活動力高いから
安部,若い頃は持ち前の体力で周りにブイブイ言わせてたわー、今でも結構あるって分かってその時は嬉しかったのよー。娘より体力あるってのは今知ったけどー
菜々,うぐっ
卯月,そうなんですか
杏,若い頃って言える辺り誰かさんと違って余裕だねぇ
菜々,どういうことですか杏ちゃん？
Ｐ,……失礼ですが、年齢とかは……
安部,ウサミン星人は永遠の年齢を持ってますが、秘密です♪
Ｐ,そ、そうですか……分かりました。それと、失礼しました
安部,いえいえー
みく,凄く気になるにゃ……
卯月,同感……
愛海,国宝どころか……世界遺産？雫ちゃん以上の脅威を感じる……！
Ｐ,そろそろ戻って来い
安部,楽しかったわー
菜々,もう、今度からやらないでよおかーさん！起きた後時計見て心臓止まるかと思ったんだよ！
安部,いいじゃないー
菜々,むぅ、おかーさんマイペースすぎてついていけないよ……
安部,ちょっとは悪かったって思ってるけど、本当に楽しかったんだものー。……私もアイドルやってみようかしらー？他の子達もいい子ばっかりでおかーさんまたレッスンとかしたくなっちゃった♪
菜々,え゛っ！？。……なんてことを一昨日おかーさん言ってたんですけど
Ｐ,……あー、それについてなんだが……安部さーん
安部,はーい♪
菜々,！？
Ｐ,……昨日、面接とか終えたんだ
安部,今日からアイドル候補生になった菜々のお母さんですよー。年齢は永遠の……歳♪え、聞こえなかった？ふふ、二度は言いませんよー。菜々と一緒によろしくお願いしますねー♪
菜々,……
Ｐ,な、菜々さん？
菜々,も、もう、どうにでもなってくださーいっ！
