早坂美玲,そうなんだよ！ウチはちひろが働かせすぎたからって聞いてるぞッ！
乃々,攻め込むって…やばんなんですけど…
美玲,いいから早く行こう！
幸子,それにしても…この住所本当に合ってるんですか？一つ隣の県ですよ？
まゆ,信頼できる筋の情報なので、間違いありませんよぉ
輝子,ﾌﾋ…電車で何分かかるんだろう…
まゆ,このメンバーでどこかにいくのは初めてですねぇ
幸子,確かに…６人でどこかいくなんて珍しいですしね
乃々,あぅ…落ち着かないんですけど…
美玲,ノノ！大丈夫かッ！？
小梅,大きな声出すのは…マナー違反…だよ
美玲,あっ…ごめんな、ノノ
まゆ,乃々ちゃんは私が守ってあげますからね
乃々,あぅっ…暖かいんですけど…
輝子,ﾌﾋ…じゃあ私も…
美玲,ショーコ！ずるいぞッ
幸子,ﾌﾌｰﾝ!仕方ないですねぇ…カワイイボクが抱き締めてあげますよ！
小梅,最後は…私だね…
幸子,ﾌｷﾞｬｰ!小梅さん手が冷たいんですけど！
まゆ,ここからＰさんが通勤してるんですね…
輝子,小さい駅だな…キノコがよく育ちそうだ…
幸子,もう５時近いですね…
小梅,Ｐさんの家に行ったら…すぐ帰らなくちゃ…
美玲,それじゃ早く行こう！
輝子,きのこーきのこーほししょうこー
小梅,その歌…いいね…
まゆ,着きましたよぉ、ここです
幸子,ここですか？意外と大きい…
小梅,実家暮らしって…聞いたことがある…
輝子,ﾌﾋ…田舎だし、家が大きいな…
美玲,なるほどなッ！それじゃ早速――
まゆ,待ってください、まずは家にいるかどうかを確かめてから――
幸子,カワイイボクたちが来たんですからもっと早く開けてください！
まゆ,事務所に帰りましょう？
輝子,ﾌﾋ…事務所に帰るぞ…
小梅,早く…帰るよ…
美玲,早くしないとひっかくぞッ！
幸子,早くしてくださいよ、まったく…
乃々,ま、待ってほしいんですけど…
輝子,乃々ちゃん…どうしたんだ…？
小梅,私たちはＰさんを早く連れていかなきゃいけないのに…
幸子,無断欠勤するダメなプロデューサーさんは早く連れていかなきゃ
美玲,そうだぞッ！プロデューサーをみんな待ってるんだからな！
乃々,みんな…おかしいんですけど…
まゆ,おかしくなんてありませんよ？。ねぇ？
乃々,その通りですけど…Ｐさんは早く帰るべきです…
まゆ,逃がしませんよぉ？
輝子,ﾌﾋ…
小梅,あの子も喜んでる…
幸子,カワイイボクと一緒にいれて幸せですね？
美玲,ひっかくぞッ！ひっかくぞッ！
乃々,Ｐさん…諦めるんですけど…
ちひろ,私を鬼、悪魔と並べるのはかわいそう、なんてよく言ったものですね…。死んでも逃がしませんからね？プロデューサーさん♪
？？？,絞り尽くしてあげますからね
