白菊ほたる,う……
朋,3人で遊びに行ってもいいけど、それじゃいつも通りでしょ？
ほたる,私は……それでも十分……
朋,ほら！それよ！
ほたる,！？
朋,ほたるちゃんはすぐ遠慮するんだから！なんでもひとりでやろうとするし！そりゃえらいけど、ほたるちゃんはまだまだ中学生でしょ！？もっと甘えなさい！
智絵里,……ってことになって、だったら誕生日は徹底的に甘やかそうってなったの
ほたる,そ、そうだったんですね……ありがとうございます……
朋,わー！流石に泣くには早いわよ！
ほたる,す、すみません……
朋,今日はなんでもしてあげるからね！植木鉢の身代わり以外だったら！
智絵里,お姉さんにたくさん甘えてっ！植木鉢の身代わり以外で！
ほたる,警戒してますね……
朋,っと……！ご飯、冷めちゃうわね！
ほたる,あっ、そうですね、では、いただきま……あれ、箸がないですね。取りに……
朋,ほたるちゃん？
ほたる,へ？
智絵里,違うよね？
ほたる,あ……では……智絵里さん、箸を取ってきてもらっても……
朋,ほたるちゃん？
ほたる,へ？
智絵里,違うよね？
ほたる,え？ええと……？
朋,あたしは持ってるわよ、箸
智絵里,わたしもですっ
ほたる,え、あ、いつの間に……でも、おふたりの前には料理がありませんが……
智絵里,わたしたちは先に食べちゃったから
ほたる,ではどうして……
朋,ほたるちゃん、どれから食べる？
ほたる,……はい？
智絵里,お味噌汁？焼き魚？お新香？卵焼き？
ほたる,も、もしかして……
朋,じゃ、卵焼きからいっちゃいましょうか？
ほたる,えっえっ
朋,はい、あーん
ほたる,えええええっ！？
朋,ほらほら、早くしないと、腕が疲れちゃうわよ
ほたる,えええ
智絵里,ほらほら♪
ほたる,い、いいいいいただきましゅっ！
朋,味はどう？濃すぎたりしない？
ほたる,わからない……です……
智絵里,はいっ、次は焼き魚だよっ。あーん♪
ほたる,も、もしかしてこれ朝食の間ずっと
智絵里,あーんっ
ほたる,うう……あーん……
智絵里,どうかな？
ほたる,わ、わからないって言ってるじゃないですか……！！！
響子,存在感ないけど、ずっといます。五十嵐響子です。なんだかすっごく見せつけられてる気がします。五十嵐響子です
朋,あら、響子ちゃんもあーんしてあげよっか？
響子,い、いえいえ！大丈夫ですっ！
智絵里,鳥取県民甘やかしデーにしてもいいけど……
朋,ちょっとあたしたちの手には余るわね……
響子,ちょっと……？
智絵里,ちょっと都道府県は……
響子,ちょっと……？？？
ほたる,ご、ごちそうさまでした……
朋,どうだったかしら？
ほたる,味が……全然わからなかったです……
智絵里,今日1日で慣れていこうねっ
ほたる,お、お昼も夜もですか……！？
朋,じゃ、一旦ほたるちゃんの部屋に戻りましょうか？
智絵里,響子ちゃん、ありがとうございましたっ
響子,いえいえ♪ほたるちゃん、えっと……楽しんで！
ほたる,半ば励ますニュアンスが入っているような……
朋,ほたるちゃん、おんぶがいい？抱っこがいい？
ほたる,じ、自分で歩けますっ……！！！
朋,残念ね……
ほたる,何がですか……？
朋,ほたるちゃんを運ぶために、智絵里ちゃんで練習したのに……
ほたる,……へ？
朋,おんぶとか、お姫様抱っことか……
ほたる,！？
智絵里,ふふっ
ほたる,！？
朋,ま、でも確かにちょっと恥ずかしいわよね。流石に……
ほたる,ああっ、なんだかあしがきゅうにいたくなってしまいましたー……
智絵里,！？
朋,ほたるちゃん！？
智絵里,し、白々しいっ……！でも……
ほたる,えっと……その……あるけないなー……なんて……
朋,！……ふふっ、今日はそういう時に、素直になっていい日なのに
ほたる,……はい
朋,じゃ、ちょっと横向いて、膝を曲げてー
ほたる,え？あ、いえ、おんぶで大丈夫なので
朋,大丈夫大丈夫！鍛えてるんだから！
智絵里,そうだよっ。朋さんはどすこーい！って鍛えてるんだからっ
朋,そ、その掛け声は言わなくってもいいから！。いくわよー！
ほたる,は、はいっ……！
朋,……っしゃッ！どすこーい！！！
智絵里,結局言うんかーいっ
ほたる,はわわわわわ
朋,どうかしら！
ほたる,かっ、顔……近……
智絵里,むー……
朋,じゃ、部屋までごあんなーい！
ほたる,はわわわわ
智絵里,今日だけだからねっ
朋,？。じゃあほたるちゃん！何でも言って！
智絵里,どうぞっ！
ほたる,ええと……そんな……いきなり……うーん……
朋,……
ほたる,ううん……ええっと……むー……
朋,……
ほたる,何でも……んん……うう……
朋,じゃ、思いつくまで撫でてあげる！
ほたる,へっ
朋,ほたるちゃーん！よーしよしよし！わしゃわしゃわしゃわしゃ！
ほたる,ひゃっ！？と、朋さっ！？
智絵里,髪、直してあげるねっ
ほたる,あ、ありがとうございま
朋,わしゃわしゃわしゃわしゃ！！！
ほたる,ひゃっ！？
智絵里,直してあげるねっ
ほたる,あ、ありがとうござ
朋,わしゃわしゃわしゃわしゃ！！！！
ほたる,これなんなんですか！？。ど、どうして撫で方がムツ○ロウさんスタイルなんですか……！？
朋,ごめん……
ほたる,まさか智絵里さんの方がまともに見える日がくるとは思わなかったです……
智絵里,でぃすられてるっ！？
朋,えっと、正直、正直ね？
ほたる,はい……？
朋,甘やかし方がわかんない……
ほたる,ええ……
朋,だ、だってあたし、そういうタイプのキャラじゃないし！だからお願い！あたしのお姉ちゃん力を鍛えると思って！
ほたる,立場がよくわからなくなってきましたね……
智絵里,でも、甘やかすのも難しいですけど、甘えるのも難しいよね……？
ほたる,はい……どうしても、なんだか申し訳なくて……
朋,遠慮しなくていいのにー
智絵里,うんっ。わたしたちをお姉ちゃんだと思っていいんだよ？
ほたる,お姉ちゃん……？えっと……朋お姉ちゃん、智絵里お姉ちゃん……？
朋,……！！！
智絵里,……！！！
ほたる,？
朋,わしゃわしゃわしゃわしゃ！！！！
ほたる,そ、それはもういいですからっ……！
朋,いつぞやの開運ツアーでも思ったけど、ほたるちゃんからのお姉ちゃん呼びは危険ね……！
智絵里,はい……！敵ながらあっぱれです……
朋,敵ではないわ
ほたる,えっと……よくわからないですが、お姉ちゃん呼びはやめた方が……
朋,続けて
智絵里,続けて
ほたる,ええ……
朋,って、あ！！！
ほたる,ど、どうしたんですか……？
朋,思いついたわ！お姉ちゃんっぽいこと！
智絵里,？
朋,ほたるちゃん！来て！
ほたる,朋さんが……ふとももの辺りをポンポンしてる……ということは
朋,そう！ひざまくら！
ほたる,ええと……でもまだお昼前ですし……
朋,いいからいいから！やってみたかったのよ！
ほたる,ですが……
朋,……イヤ？
ほたる,うっ……そ、その聞き方はズルいです……
智絵里,代わりにわたしが朋さんのひざまくらを借りても
ほたる,では失礼します……
智絵里,食い気味に……
ほたる,……
朋,ど……どう？
ほたる,とても……安心します……
朋,……よかった
ほたる,ふふっ……くすぐったいです……
朋,寝ちゃってもいいのよ？
智絵里,じゃあ、子守歌、歌ってあげるね？
朋,お、いいじゃない！
ほたる,そ、そんな……悪いです……
朋,こらっ。遠慮しちゃダメよ。今日は、ね
ほたる,……そう、ですね
智絵里,では……、すぅ……。くれないだー！！！！！
朋,寝かせる気ある！？！？！？。しかもよりによってカバー曲じゃないの！
智絵里,て、テンションが上がってしまって……
朋,ほら！もっとゆっくりな曲あるでしょ！
智絵里,は、はいっ。すぅ……。シ・ン・ジ・ツ・コ・ダ・ワ・リ・ユ・イ・イ・ツ・ミ・ツ・ケ……
朋,死んじゃいそうな選曲もやめなさい！
智絵里,そ、そのツッコミもどうかと
朋,ほら、智絵里ちゃんの曲とか子守歌にちょうど向いてそうじゃない！
智絵里,た、確かにですっ……！。すぅ……。お前も蝋人形にしてやろうか！！！
朋,智絵里ちゃんいつ聖飢魔Ⅱカバーしたの！？。ぜんぜんダメよ！子守歌になってない！！！
智絵里,うう……ごめんなさい……
朋,ほら、ほたるちゃんもこんなんじゃ寝れないわよね？
ほたる,ZZZ……
朋,うっそぉ！？
智絵里,震えて眠れ明日はもうないさ～♪
朋,聖飢魔Ⅱを再開しないで！！！
智絵里,ほたるちゃんにとっては、わたしたちの掛け合いが何よりも安心する子守歌なんだね……
朋,なんでちょっといい感じにまとめてるの……
ほたる,……むにゃむにゃ
智絵里,あっ、何か言ってますっ
朋,あら、寝言かしら？
ほたる,……すみません……すみません
朋,もー、夢の中でまで謝ってる……
智絵里,ほたるちゃんらしいですね……
ほたる,すみません……本日の営業は……これをもちまして……終了と……
朋,……いや、何の夢……？
智絵里,ふふっ。初めての収録がソロ曲でもユニット曲でもなくて”実用音楽その1閉店の音楽”のナレーションになってしまったCDが17日の水曜日に発売され、全国の書店、CDショップで好評発売中になっている夢でも見てるのかな……？
朋,推測が具体的すぎない？
ほたる,ふぁあ……はっ！わ、私……す、すみません！
朋,あ、起きた？
智絵里,気にしないで大丈夫だよっ
ほたる,ど、どれくらい寝てましたか……？
朋,そんなでもないわよ？今、お昼過ぎくらいだから
ほたる,そうですか……
朋,ねね！そんなことより、どうだった？
ほたる,どう……とは
朋,あたしのひざまくらよ！昔から言うでしょ？”健全なお姉さんには健全なひざまくらが宿る”って！
ほたる,初耳です……
朋,どうだった？どうだった？
ほたる,その……とっても、安心しました
朋,……照
ほたる,朋さんの優しさに……包まれているような……
朋,……照
ほたる,すごく気持ちよくて……暖かくて……
朋,……照
ほたる,”幸せだな”って……
朋,……照
智絵里,照れるなら聞かなければいいんじゃないでしょうか……
朋,はい！そ、そこまで！またのご利用をお待ちしてるわ！！！
ほたる,は、はい……ぜひ……！
智絵里,そろそろ、お昼に行きませんか？
朋,お、いいわね！おなか空いちゃった！
ほたる,そうしましょう……
朋,じゃ、どこにする？ほたるちゃん
ほたる,え、わ、私ですか？
智絵里,きまってるでしょ？
朋,うんうん！
ほたる,私は……みんなで食べるならどこでも……
朋,……
智絵里,……
ほたる,……というのはダメなんですよね
朋,わかってきたみたいね！
ほたる,とは言いましても……あっ
朋,お、何か思いついた？高いところでもいいわよ！ちゃんとお金おろしてきたから！
智絵里,ミシュランでもアシュラマンでもかかってきてっ！
ほたる,アシュラマンさんはグルメガイドを刊行していないと思いますが……
朋,ごちそうさまー！
ほたる,ごちそうさまでした……
智絵里,美味しかったですねっ。でもほたるちゃん、本当にここでよかったの？
朋,ねー？こんなとこ……とか言っちゃいけないけど、いつでも来れるのに……
ほたる,い、いえ……ええと……
朋,？
ほたる,あの……うう……す、すみませーん……！
店員,はい。ご注文ですか？
ほたる,えっと……こ、この、超ジャンボチョコレートパフェを……！
智絵里,！？
朋,！？
店員,本当に大丈夫ですか？
朋,確認されてる！？
ほたる,誕生日なので……！
店員,……！かしこまりました
朋,説明になってた？。ほ、ほたるちゃん？
ほたる,あの……ずっと、食べてみたくて……でも一人じゃ食べきれないし……他の人に押し付けるのも……って、思ってて……
朋,ち、智絵里ちゃん！
智絵里,と、朋さんっ！
ほたる,？
朋,ほたるちゃんがようやくわがままを言ってくれた……！
智絵里,よかったです……！
ほたる,な、泣くほど……！？
朋,こういうのを待ってたのよ！こういう、”他の人には頼みにくいけど仲良しの人になら”系を！
ほたる,は、はあ……
智絵里,しかもパフェですっ
朋,最高ね！パフェでもなんでもかかってきなさい！ほたるちゃんが食べきれなかった分は、あたしたちが責任を持って
店員,お待たせいたしました。超ジャンボチョコレートパフェになります
巨大なパフェのような何か,……
朋,。……なにこれ
智絵里,パフェ……です
朋,向こう側のほたるちゃんの顔が隠れてるのに？
智絵里,えっと……、はい
ほたる,が、がんばりましょう！
朋,パフェを横に避けながら話しかけられたの初めてよ。はい！あーん！
ほたる,おいひいれす……
智絵里,あーん！
ほたる,あまいです……
朋,あーん！
ほたる,ここはビターですね……
智絵里,あーん！
ほたる,ウエハースも美味しいですが……あの……
朋,あーん！
ほたる,ティラミスのような層も……美味しいですが……
智絵里,あーん！
ほたる,クリームも滑らかで美味しふたりは食べないんですか……！？。みんなで食べましょう……？
朋,そ、そうね……！
智絵里,は、はいっ！
朋,……。ん！美味しい！
智絵里,……。本当ですね……！
朋,でも……
智絵里,……はい
朋＆智絵里,減らない……
智絵里,か、かな子ちゃんに連絡しておこうかな……
朋,誰かよく食べる知り合い、いたかしら……？
ほたる,い、いえ！
朋,え？
ほたる,わ、私が食べますっ……！頼んだのは私なので……！
智絵里,ほたるちゃん……
朋,……わかったわ。その代わり、智絵里ちゃん、アレ、やりましょ！
智絵里,アレ、ですねっ
ほたる,アレ……？
朋,ほたるちゃん、すごい！カワイイ！頼もしい！
智絵里,ほたるちゃん！強い！かっこいい！カワイイ！
ほたる,！？
朋,カワイイ！かしこい！美しい！
智絵里,硬い！歌が上手いカワイイ！
ほたる,あ、あのあの！な、なんですか……！？
朋,さっき、ほたるちゃんが寝てる間に、智絵里ちゃんと話し合ったの！
智絵里,どんな甘やかし方があるかな？って調べたら、一番先に出てきたのが……
朋,ほめちぎる！
ほたる,！？
朋,だから、応援の気持ちを込めて褒めるわ！カワイイ！天使！
ほたる,た、食べにくい……です……！
智絵里,頑丈！しぶとい！パーティの壁役に向いてるっ！
ほたる,ほ、褒めてますか……！？。ごちそうさま……でした……
朋,流石ほたるちゃん！カワイイ！最高よ！
ほたる,いえ、おふたりこそ、協力してくださってありがとうございます……
朋,まあ、流石に褒めるだけじゃアレかなって……
智絵里,でも、ほたるちゃんが一番食べてたよっ
ほたる,美味しかったです……えへへ……
朋,じゃ、この後はどうす……。あら、ごめん、あたしみたい……もしもし？。あ、プロデューサー。どうしたの？。うん、オフだけど……え！？ユッコちゃんの代役で？。うーん……でも、お仕事だもんね？わかったわ。……え？智絵里ちゃん？いるけど……
智絵里,？。はい、お電話かわりました、智絵里です。い、今からお仕事ですか……？代役……？茜ちゃんの……！？
朋,それはキャラが遠すぎない！？。と、いうわけで……
智絵里,いうわけで……
ほたる,えっと……
朋,ごめんほたるちゃん！！！
智絵里,ごめんねほたるちゃんっ……！
ほたる,い、いえいえ！十分楽しませていただきましたし、お仕事ならしかたないです……！
朋,来年までにはもっと甘やかし上手になってるから！
ほたる,来年もやるんですか……！？
朋,じゃ、出ましょっか！すいませーん、お会計を
店員,失礼します。本日お誕生日のお客様は……
ほたる,へ？私ですが……
店員,おめでとうございます。只今キャンペーンを実施しておりまして、お誕生日のお客様に……
朋,あら！何かもらえるのかしら！
店員,こちらの超ジャンボサーロインステーキをサービスしております！
肉塊,……
朋,
智絵里,
ほたる,
店員,ごゆっくりどうぞ！
朋,あっちょっ！！！
智絵里,……
ほたる,……
朋,……
智絵里,……
ほたる,……いただきます！！！！！
朋,たとえ満腹でも好意でもらったものは決して無下にはしない優しい
