おばちゃん,海鮮丼お待ちー
沙織,これまたすげえミスキャスティングぶちこんできたね
優花里,で、五十鈴殿は変わらずバルバリシア、冷泉殿はルビカンテ、武部殿はカイナッツォ。これで五方良しですね！
沙織,あんまりよくないかなー。ゾンビからハゲの亀になっただけだし
華,でしたら、沙織さんはどちらがよろしいのですか？腐った最弱と影の薄いハゲと
沙織,……………………………ハゲ
麻子,サンダガで一撃
みほ,往生際が悪い
華,正直ゾンビよりも弱かったですよね
沙織,そろそろ泣くかキレるかどっちかするよ？
優花里,まあまあ、スカルミリョーネは逸見殿にしますから
沙織,なんの慰めにもなってねえ
エリカ,ぶえっくしょい！
まほ,うおっ！(ﾋﾞｸｯ真後ろでくしゃみするな！びっくりするだろう
エリカ,す、すみません……
みほ,ふんふ～ん♪
麻子,対象、買い出し帰り！目的地到達まであと10分ほど！。15分だとさ。やれると思うか？
優花里,やるしかありませんよ……バレたらボコのテーマに合わせて死なない程度の暴力の嵐が吹き荒れますし
麻子,絶対にあり得ないと言い切れないのがヤだな……
みほ,あれ？どうしたんですか麻子さん優花里さん
優花里,ヒッ！い、いや……ちゃんと買い物できたか心配で……
みほ,あはは、そこまでドジじゃないよ。ほら、お鍋の材料買ってきたよ
麻子,…………。残念ながら西住さん、ひとつミスを犯している
みほ,へ？
麻子,私たちがリクエストしたのは、ちくわじゃなくてちくわぶだったんだよ！
優花里,そ、その通りです！
みほ,えー……もう買っちゃったしちくわでいいよぉ
麻子,わかってない、わかってないよ西住さん！ちくわぶがパンダだったらちくわはレッサーパンダ程度の戦闘力しかないんだ
みほ,レッサーパンダもかわいいと思うけど
優花里,ちくわぶは鍋になくてはならない最優先食材のひとつ。冷蔵庫から切らすことなど考えられないですよ西住殿。さあ、スーパーに戻りま……
みほ,あ、そういえば冷蔵庫にちくわぶあるんだった
優花里,なんでそんなもんが冷蔵庫にあるんですかぁ！
みほ,さっきと言ってることが違くない！？もう帰るよ！
麻子優花里,ひいいいいいっ！
マカロンケーキ大福納豆レーションうどん,ｽﾞﾓﾓﾓﾓﾓ
麻子,……
優花里,……
華,……
沙織,……みぽりん、私はうどんで対決するっていったの。食文化の醜悪なパロディを描いた前衛芸術を持ってこいなんて一言もいってないの
みほ,そんなにダメかな……。みんなの好物をとりあえず入れてみたの。美味しいものに美味しいものを足したらもっと美味しくなると思って
沙織,みぽりんってたまーにバカの電卓はじくよね。私いったよね？これライブ放送だからおふざけはやめてって
みほ,本気だよ？
沙織,わあ、モノホンのサイコ女だ
麻子,汁が底なし沼のような色をしているのは私の気のせいじゃないよな
華,残念ながらわたくしにも煮込んだドブ汁にしか見えません。アンコウ料理の方じゃなくドブ川の汁
優花里,なんで食材の集合体から理科室の臭いがするんでしょうか。ナベの中でフライパンの中でどういう化学反応が起こったんでしょうか。不思議でなりません
沙織,やだもー
みほ,……え、えっと……召しあがれ？
沙織,……生放送の手前、食べ残しはできないわよね
華,そ、それでは……いただきます
麻子,……
優花里,神様仏様特殊なカーボン様。にじずみどのぉおおおおおおお！！死なないでぐだざいいいいい！！
沙織,なんで……なんでみぽりんが死ななきゃいけないのよ！
華,免許もないのにフグを捌いて刺身で食ったからでは？
麻子,遺族の前で、特にあのおっかない家元の前ではそれいうなよ？
優花里,せんせぇえ！なんとかしてください！砲弾ならいくらでも払いますから
医者,できればお金がいいんだけど、どちらにせよもう無理ですよ……
華,そんな……！
医者,だって致死量の5000倍食ってんですから。即死じゃないのが不思議なくらいで
沙織,わーお
みほ,ゆ……ゆか……り、さん……
優花里,西住殿！意識が！
麻子,江戸時代はわざと毒を食べてピリピリするのを楽しんでたんだよ！が最後の言葉にならなくてよかった
先生,うわ意識取り戻した。怖っ。次の学会論文これにしよ
みほ,ごめんね、私もうダメみたい。わかるんだ……自分のことだから……
沙織,みぽりん、生きようよ。こんな死に様家元さんに伝えられないよ！誰も！
みほ,あっ、無理。ババアの顔思い出したからストレスが
優花里,西住殿ぉおおおおおお！！！。という夢を見たんです
みほ,バカにしてんのか。……暇だね
優花里,……そうですね
沙織,そういうこと言うのやめなよ。失礼だから
麻子,いやほんと申し訳ないんだけど、思いつかなかったすいません。だそうだ
華,レズ語を喋ってはいけませんよ
みほ,見えますか、新聞紙でコップを作りました
麻子,見えまーす
みほ,では、これに水を灌いだらどうなるでしょう！
優花里,武部殿の部屋が水浸しになりまーす
みほ,そうですね！では実際にやってみましょう！。あっ、やっべ
華,あーあ
沙織,ああああああああああ！！
みほ,ふええ、ごめんなさい！
沙織,いいからそのクソマジックを止めて！止めろ！
麻子,諦めたらどうだ西住さん。一発芸に手品とかあまりにも適性がなさすぎる
みほ,そうかな
沙織,私の部屋をビッシャビシャにしといて、なんで疑問を持てるの？教えて？
華,どうしても手品がしたいなら腰をチェーンソーで両断するマジックなどはいかがでしょう。みほさんほどの方なら30秒程度は生きられるでしょうし
みほ,褒めてくれるのはうれしいけど人間はやめたくないかなー
優花里,どうでもいいですけど、チェーンソーは意外と華奢なので服の繊維を巻き込んだ瞬間お陀仏になってしまいますよ
沙織,へえー……、そう考えるとジェイソンってあんまり怖くないんだね
華,お言葉ですが、ジェイソンはチェーンソーを使ったことがないんですよ沙織さん
沙織,え、そうなの？詳しく教えて！
みほ,あ、あの……私の手品の案を……
沙織,それはどうでもいい
みほ,そんなぁ
当日、案の定失敗祭りの手品ショーだったが,あたふたする隊長がかわいかった
みほ,
優花里,西住殿ー、お昼ご飯よろしければ一緒に……
みほ,
優花里,に、西住殿？ちょっと、西住殿？
沙織,あー、実は一時限目からその有様なんだよね、みぽりん
優花里,えぇ……こんなティーガーⅠとティーガーⅡの区別もつかなそうな顔をずっとですか
華,その例えだとわたくしも今のみほさんと同類になってしまうのですが
優花里,おやおや、戦車道履修者としてそれはいただけませんね。ならば私が力説してさしあげます！三時間ちょっとでわかる戦車講座です！
華,もうちょっと手加減していただけるととても嬉しいです
優花里,問答無用
華,あああぁぁぁ……
麻子,マニアの心を下手に刺激しちゃダメだよなぁ
沙織,まあ、あっちは放置でいいでしょ。それよりもみぽりんだよ
みほ,
沙織,もしもーし、なにがあったの？ペットが死んだ？めっちゃ太った？恋人が中々奥さんと別れてくれない？
みほ,ちが……う……
麻子,お、意思疎通は可能みたいだぞ
沙織,未開の原住民と会話してるみたい
みほ,ボコ……
麻子,ボコ？
みほ,先物……取引……
沙織,は？
みほ,…………
麻子,……もしかして、ヒットすると信じて大量に仕入れたボコ人形がヒットのヒの字もなく、おまけに西住さんを誑かしたどっかのコンサルとかそんな感じの人とも連絡が一切取れず、儲かるどころかすさまじい大損を抱えたことに今更になって気が付いた。ってところか？
みほ,ゲハァ！！！
沙織,ギャー！血ぃ吐いた！
みほ,
麻子,哀れな……
アキ,ねえミカ、焼肉食べられるのはうれしいけど本当にお金あるの？
ミッコ,この前みたいに皿洗いさせるつもりじゃないだろなー
ミカ,フフ、大洗からの風がお金を運んできてくれたんだよ。でもあんまり綺麗なお金じゃないからなるべく早く使い切らなきゃいけないんだ
アキ,……なんとなく察した。それじゃあ遠慮なくもらうね
ミッコ,いっただきまーす
