速水奏,えぇ……。嘘でしょ……
美嘉,智絵里ちゃんが死んでるっ！？
三村かな子,やだなぁ、美嘉ちゃん。智絵里ちゃんはこのケーキの余韻に浸ってるだけだよ～。あむっ。おいひ～
美嘉,このケーキって……これケーキなの？青く発光してるんだけど……
かな子,アメリカのケーキなんだよ。美嘉ちゃんも食べて食べて！美味しいからっ！
美嘉,いや……これは……
かな子,大丈夫！美味しいから！ほらっ、ね？あ～ん
美嘉,ま、まって！えっと……そう！アタシ今ダイエット中だからっ！
かな子,ダイ……エット？
美嘉,う、うん。だから気持ちだけ受け取っとく……よ？
かな子,何を……言ってるの？私の前で何を言ってるの……？
美嘉,ひぃ！
かな子,美嘉ちゃんのプロポーションでダイエットなんかしたら、痩せすぎて身体壊しちゃうよ……ね？
美嘉,は、はい
かな子,じゃあ食べなきゃ……ね？はい、あ～ん
美嘉,や、やめ……だ、誰か……
智絵里,
モバＰ,智絵里が死んでる！？
美優,え？……えぇ！？智絵里ちゃんっ！智絵里ちゃんっ！！
美嘉,プ、プロデューサー！！いいとこにっ！！
モバＰ,智絵里っ！！
美嘉,ま、まって！このままだとアタシも智絵里ちゃんみたいになっちゃうからっ！！
かな子,みーかーちゃーん？あ～んだよ？あ～……ん！！
美嘉,はぶっ！？…………ごふっ
かな子,ほら、美味しいでしょ？
美嘉,
かな子,ふふ……美嘉ちゃんも余韻に幸せを感じてるね。……ダイエットなんかしてたらその幸せは味わえなかったんだよ？
美嘉,
かな子,ふふふ……。あむ、ん～！！美味し～！！
美嘉,―――てな事がさっきあってさ……。うへぇ……まだ口の中が甘ったるい……
卯月,それはかな子ちゃんグッジョブだよ……
美嘉,ひどっ！軽く意識飛んじゃうくらいの甘さだったんだよ！？
卯月,あぁ……別の意味だよ……
美嘉,別の？ていうか、なんでヘコんでんの？
卯月,えっとね……このバラとパンジーにまみれた事務所で分かると思うけど、プロデューサーさんの結婚について話してて……
美嘉,ごめん。全く分かんない
卯月,……凛ちゃんが暴走してね？
美嘉,あー、うん。それで充分。お腹いっぱい
卯月,そっか……。それで私勝負かけたんだ。今までにないシリアスを全面に出して、プロデューサーさんに意識してもらおうと……
美嘉,くっ……！やっぱり先を越されてる……！！
卯月,美嘉ちゃん？
美嘉,……何でもない。それで？
卯月,うん……。アイドル卒業するときまで待ってくれるって言われて……感極まって泣いちゃうくらい幸せを噛みしめてる時に……
美嘉,待ってくれる……だと……？あ、あぁ……ありすちゃんのと同じニュアンスか……うん、そうだよ……
卯月,美嘉ちゃん聞いてる？
美嘉,うん……効いてる……
卯月,……？そしたらさ……幸せの絶頂の瞬間に、目の前で……すっごい至近距離でディープキスされたの……
美嘉,え？え？ディープ……え？
卯月,美優さんが……プロデューサーさんの顎をクイってやって、クチュって……。とんでもないカウンターだったよ……
美嘉,うそぉ……もうやだぁ……
卯月,あまりの衝撃で私を含めてみんなが動けないうちにプロデューサーさんを持っていかれちゃって……
美嘉,その行先が休憩室だったんだ……それは確かにかな子ちゃんグッジョブだ。……正確には智絵里ちゃんが美優さんを正気に戻したとも言えるけど
卯月,うぅ～……それでも美優さんが本気だせばあのくらいは出来るって事だよね……。私なんてまだまだ子供だって思い知らされたよ……
美嘉,その卯月に遅れを取ってるアタシはどうなんのよ……
卯月,美嘉ちゃん、ほっぺにキスしてるでしょ？私のほうが後塵を拝してるよぉ……
美嘉,所詮ほっぺじゃん……はぁ……
卯月・美嘉,キスかぁ……
神谷奈緒,あ～……疲れた……
輿水幸子,脱力してる人間って重いんですよね……
卯月,あ、おかえり～
美嘉,どうしたの？そんなに疲れて
奈緒,凛が力尽きてな……仮眠室に運んできたんだよ
幸子,まったく……フレデリカさんはちゃっかりしてますよ。さっさとハナコを確保するんですから
奈緒,まぁまぁ。凛の家までハナコを送るのも、それはそれで大変だろ
幸子,別にいいですけど……
美嘉,なんか色々大変だったんだね
卯月,……なんかごめんね。奈緒ちゃん、幸子ちゃん
奈緒,いいよ。あの時の卯月、完全に魂抜けてたから
幸子,間近であんなのを見せられたら放心するのも仕方ないですよ
卯月,二人の優しさが身に沁みる……。んっ！よしっ！元気出そっ！！ポジティブにポジティブに！！プロデューサーさんは待ってくれるって言ったんだからっ！！
美嘉,っ！
奈緒,あんま調子乗んなよぉ？それはありすにも言ってるんだぞ？その意味をよく考えろよ？
幸子,そうですねぇ。あの人、偶にズレた優しさを発揮しますからね。間違った優しさとでもいいましょうか
美嘉,そ、そーだそーだ！奴は何も考えてないぞー！
卯月,二人の厳しさが身に沁みる……。そして美嘉ちゃんが可哀想だよ……
美嘉,か、可哀想！？この……調子乗ってからにっ！
卯月,ふっふっふ……ポジティブに切り替えたら美嘉ちゃんに差をつけちゃってるなって思えてきたよ。ふははー！
美嘉,む、むかつくぅ！！なにその笑い！？アタシだって本気になれば……！
卯月,本気って、美嘉ちゃん……勢いだけじゃ駄目なんだよ？
美嘉,い、勢いは大事だからっ！卯月は分かってない！！
卯月,そうだね……勢いは大事だよね……。ふははー！
美嘉,馬鹿にしてっ！アタシだって……アタシだって……！！
モバＰ,やれやれ……かな子にも困ったもんだな……
美嘉,っ！
卯月,……え？
モバＰ,ん？美嘉？
美嘉,プロデューサー！んっ！！
モバＰ,んん！？
美嘉,はぁ……ん……
モバＰ,！
卯月,
幸子,あ、デジャヴ
奈緒,うっそ……
幸子,勢いは大事だったみたいですね。卯月さんショックでまたイッちゃいましたよ
奈緒,……あたしも二回目はキツイ。イクわ
幸子,え！？ちょ
奈緒,
幸子,えぇ……
美嘉,ん……
モバＰ,み、美嘉……？
美嘉,……うん？…………うん！？
モバＰ,お、おまえ……
美嘉,ぁ……ゃ……ち、ちが……うにゃあ！！
モバＰ,！？
美嘉,……ごふっ
幸子,……
美嘉,
幸子,……おイキになりました。恥ずか死です
モバＰ,……
幸子,……
モバＰ,…………
幸子,…………
モバＰ,………………帰るか
幸子,あ、全部無かったことにした
モバＰ,諸々の事情を勘案して出した結論です
幸子,……プロデューサーという職業も大変ですね。さて、ボクも帰りましょうか
モバＰ,おー、じゃあ送るよ
幸子,お願いします。……特に意味はないんですが、ボクはお腹が空きましたよ？
モバＰ,わかったわかった。俺も腹減ったからメシ付き合ってくれるか？
幸子,ふふーん。しょーがないですねー！断るのは可哀想だから付き合ってあげますよ？
モバＰ,それはどーもありがとー。……さて、どこ行こうか。希望ある？
幸子,あ、じゃあ、凛さんと奏さんが絶賛してたお店がいいです
モバＰ,あそこ完全予約制なんだよ
幸子,むぅ
モバＰ,……仕方ない。まだ誰にも教えていない俺のとっておきの店に連れてってやるか
幸子,ふふん。いい心がけですね。このカワイイボクと食事出来るんですからそのくらいは当然ですけどっ！
モバＰ,はいはい
幸子,あ、待ってくださいよ！！
卯月,。！。また膝っ！！
美嘉・奈緒,！？
