松永涼,へぇ……アタシがアイドルだって？573プロ、ねぇ
美嘉,へいへい。言えない……本当の理由なんて……。言えるのわけがないだろーっ！！。……あれは、私がオフの日のことだった。暇だったから何となく事務所に行ったけど、プロデューサーはいなくて。つい、やっちゃったんだよなァ。うう……。他にもわざと飲みかけのコップをプロデューサーの机に置いたりとか。服が乱れたレッスン直後に抱きついたりとか。プロデューサーのバッグにアタシの香水忍ばせてみたりとか。万が一…万が一でも莉嘉に見られたら…！。アタシは！どんな顔して姉貴面すればいいんだよー！
P,おい美嘉どうした！？
涼,今日はアイツ来なかったなー…。ま、気楽でいいか。お疲れー、どっか飲みに行く？
A,いや俺さ、親が勉強しろってうるさいから帰るわ
B,あ、マジで？うちもそうなんだよなー
C,うざいよなー
A,じゃ、俺帰るからさー
涼・B・C,じゃーねー
涼,……はぁ。ただいまー……。って誰もいないけどさー。はー……。将来、かぁ……。……くだらねー。……おやすみ。……結局あまり眠れなかった。……アイツのせいだ。……はー。ん？。…なにあれ。……うわ、こっち来たし！
菲菲,道教えてほしいヨー！573プロってドッチ行けばイイノー！！？
涼,うわっ！涙と鼻水拭けよッ
菲菲,ア、アリガトー！！。って結局道わかんないヨー！？
涼,落ち着けって！！確かアイツから貰った名刺に……
菲菲,アナタ573プロの人カ！？なら話ハヤいネ！
涼,っておま！？
菲菲,アリガトネ573の人！おかげでついタヨ！！
涼,そのせいでアタシは盛大に迷惑したけどな……なんで道分からないのに走り出すんだよ！
菲菲,私はふぇいふぇいだよー！573さんの名前は！？
涼,話聞けよ…しかもアタシは違うんだけど……ﾊｧ、松永涼だよ
菲菲,涼さんネ！！香港から来たけど日本人はヤッパリ親切デス！
P,――お？。君は、確か765から移籍してきた菲菲さん……と
菲菲,よろしくデスヨ！こっちは親切な涼さんネ！
涼,……
P,どうやらアイドルになりたい、わけではないようで？
菲菲,アイヤー！？……こんなに可愛いのにもったいないヨ
P,だよねぇ、やっぱりやってみる気は
涼,アタシはそんなんじゃねえから！！。……結局、学校サボっちまった。……いいや、とりあえず練習しにいこう。え？……今日はAが休みなの？
B,模試とか受けにいくんだとさ
C,あいつ大学どこ行くんだろうなー
B,俺達も将来……ってなんか考えたくねー
C,ま、どうにかなるっしょ
涼,……。とりあえず、練習しよっか
B・C,ウスッ
涼,……ただいまー。……今日も、一人。いいケドさ。……。……ふん…。寝よ寝よ。今日もアイツは来てないな……
B,なにやってん？
涼,なんでもないよ。さ、始めよ
B,久しぶりのライブだけど大丈夫か？
A,はは、問題ねーよ
涼,それじゃ！最初からガンガン行くよー！？。最初の曲はみなさんご存知の――
A,………
B,……やっぱり大丈夫か？A、演奏のキレが悪かったぞ
涼,そうだねえ、練習かなりサボってただろ？
C,……
A,……その、ことなんだけどさ
涼・B・C,……？
A,俺、今日でこのバンド抜けるわ
涼,…………はっ？
C,おま！何言ってんの！？
A,実はさ、ライブの他にもさ、俺、夢、あってさ
涼,夢……
B,……唐突だな
C,はー……？
A,……俺さ、介護士になりたいんだ…
B,はぁ……？
C,似合わな過ぎんだろ！
A,だから言えなかったんだよ！恥ずかしいだろ！
涼,……そう、なんだ…。わかった……好きにしな
A,ゴメン…
B,涼が言うなら……
C,しょうがない…
涼,つーことで！この後は追い出しコンパ兼Aの夢を応援する会で飲みに行くよ！決定！
B,おーっす
C,久しぶりに行くかーっ
A,ゴメン……な
涼,ただいまー……。夢……。……アタシには、何があるんだろう。……。……、かぁ。でも……なぁ…。連絡先……。……。……何でアタシは…。……連絡もせずに…。……また学校サボっちまったし…
P,……お？
涼,っ！
P,何か、あったの――
涼,ッ
P,――か、っておい！
涼,バカだ、アタシは……！
P,なにがあったのかわからんが。とりあえず、追い掛けねば。おーい、待てってば！
涼,……ﾊｧ、ﾊｧ…
P,……以外とすぐに追い付けた。よく見ると彼女の服は皺が多くて、メイクが少し乱れている。……何が？
涼,……。アタシは……。……前、行ったよな…。アイドルなんて自由は無いってさ。だけど……違ったんだ
P,……
涼,自分で自由を無くしてたんだ、アタシ。仲間一人抜けただけで、わかんなくなってさァ。笑っちゃうよな、たったそれだけで。それだけで、歌も不調になったんだ。なに歌ってもモヤモヤする。アタシは、バカだ。こうやって事務所の前まで来たのに。アンタの顔見たら逃げちゃってさ。で、こうやって捕まって……。すげぇダセェ。アタシにさ……。アンタが思ってる、光るものなんて無いんだよ。きっと……アタシはそれだけ言いたかったんだ…。…じゃ、それじゃな……
P,…待ってくれ
涼,なにさ？
P,それは、違うよ。アイドルの娘たちだって、みんな悩んでる。夢を浮かべて、その夢と自分とのギャップに悩んでる。その夢も見つからない娘もいた。自分には歌しかない……他の事務所だけど、そう思ってる娘だっていた
涼,……！
P,その歌も不調になって、自分のいていい理由がわからなくなった。でも、それでも自分と向き合って、悩みとぶつかって、自分を磨いていく。それに自分が持っている色が加わって、輝いていくんだ。それを出来るのが、アイドルになれる娘なんだよ
涼,アタシは……
P,君は今、こうして自分と向き合ってるだろ。大抵の子は布団を被ったら眠って、自分の悩みから目をそらすけど。君はこうして向き合って、悩みをぶつけている。それで、いいじゃないか。そこから、自分なりの答えを見付けていくんだ
涼,……
P,ごめん、少し長く語りすぎた
涼,そんなこと……
P,……とりあえず、今日は帰りなさい。車で送っていくから
涼,いいよ……そんなの…
P,女の子がそんなはしたない格好で出歩くものじゃないよ。行こう
涼,……うるせーよ
美嘉,プロデューサー…今のダレ？この前言ってた原石の子？。どっちにしろ要チェックかなー★
菲菲,涼さん泣きそうだっタ……そしてプロデューサーさんが慰めて。車で送っていった。これはつまり。……！。アイヤー！涼さん迷子だったのカ！。このヘン迷いやすいデスヨネー
P,……
菲菲,プロデューサーさん、なんか落ち着かないネ
美嘉,そうだよー。そんなにアタシ達の活動って不安？
P,いや、そうじゃない。そうじゃないんだが……。いや、でもある意味そうかもしれない……？
菲菲,ムー？
美嘉,んー？
P,！
美嘉,え？
菲菲,オー♪
涼,……その、さ。前は、ゴメン。あんなこと言っておいて、だけどさ。……アタシを、プロデュースしてくれない？。勿論……やるからには、本気でやる。アンタとなら……アタシ、頑張れる気がするんだ！！
美嘉,……
P,だから、言ったじゃないか。君なら、いつでも大歓迎だって
涼,……！。…アタシ何だってやるからな！吃驚して腰抜かすんじゃないよ！
P,はは、お手柔らかに頼むよ
美嘉,ヨロシク★新人さん♪
菲菲,ヨロシクデスヨー！！あ！私こんなに早く先輩になってしまったヨー！？
涼,こうして、アタシのアイドルとしての道が始まった。歌唱力にはある程度の自信があったし、プロデューサーサンの評価も悪くない。ダンスはちょっとかじった程度だったから、そこを伸ばしていくことになった。なった、んだけど……
美嘉,お疲れ様ッス姉さん★あ、これポカリっス！
涼,ああ、ありがと……ねぇ、アタシのが後輩なんだし、もうちょっとさ
美嘉,えー、だって涼さん年長だし
涼,いや年一つしか違わないじゃん…それにアタシは駆け出しもいいとこで
菲菲,仕方ないデスヨ！涼さんの人徳ネ！
美嘉,ネ★
涼,この先輩がよくわからない。レッスン中は至極真面目なんだけど……
美嘉,…。…。……えい★。……エヘ
涼,たまにプロデューサーサンのバッグに自分のハンカチとかを入れてたりする。そして後日、プロデューサーサンが自分が間違えて持って帰ったのだと勘違いして。プロデューサーサンから返された後に
P,ごめん美嘉、また間違えてたみたいだ
美嘉,プロデューサーもドジだねー。ま、仕事頑張ってるから許してあげるよ
涼,……
美嘉,……。……誰もみてないよね？。……。……はーっ。プロデューサーの匂い、たまらないっすわー★
涼,oh……。少し早まったかもしれない。……でも、何だかんだ言ってプロデューサーの営業は上手いし、美嘉たちのアドバイスは的確なんだよなぁ。美嘉はBランクアイドル。アタシと菲菲がEランクアイドルだ。差は大きいし、美嘉は今もグングンと人気を伸ばしている。……もしやプロデューサーサンの匂いに秘密とか？。……アタシも
P,ん？どうした？
涼,何でもない、独り言
P,そうか……それにしても涼は凄いな、初LIVEなのに全然緊張してない
涼,アマチュアだったけど、経験はあるからね。みんな骨抜きにしてやるさ。勿論、アンタもね
P,頼もしいな
涼,アイドルとしては初めてのLIVE勝負。結果は、アタシの圧勝……とまではいかないけど、勝った。観客の中には、ライブハウスの常連さんもいた。今までの自分が、認められたみたいだ。アイドルの原動力って、この積み重ねなのかな。ま、それはそうとして……。ねえプロデューサーサン、あそこにいるの美嘉の妹さんじゃない？
P,え？
涼,よし
P,いないが……見間違いじゃないか？
涼,あれ、そっか。ゴメン。プロデューサーサンの……ハンカチ。……。……。……。……。……。……！。……！！。……！！。………！！！。――！！。……ふう。……アタシ、何やってんだろう…。そんなこんなでバカなことをやりつつも、アタシのアイドルとしての道は順調だったりする。LIVEバトルで順調に勝利を重ね、バラエティのトークショーに出たり。LIVEの観客をよく見てると、最初の頃からずっとアタシを応援してくれてる人がいたり。ムリだと思っていた写真撮影も、どうすればアタシの魅力を引き出せるか考えてくれる人達がたくさんいたりして。――アイドルの仕事も悪くない。この仕事の面白さってヤツに目覚めたのかもしれない。相変わらず学校の教師はウザイけど、そういう気持ちも歌に役だったりする。目を向ければ、アタシの為になるものが、そこら辺に落ちてるんだ。こんな気持ちがアタシの中にあったなんて。……感謝してるよ、プロデューサーサン。そして、月日は過ぎて。ついに美嘉がAランクアイドル昇格。アタシはBランク、菲菲はCランクにした。相変わらず、美嘉が頭一つ抜けてるけど届かないほど遠い背中じゃない。菲菲も少し遅れているが必死にレッスンをして能力を上げている。にしても、あの日以来やけに調子がいいな……。まさか、プロデューサーサンのハンカチが……？。……な訳ないか
美嘉,ｽｰﾊｰｽｰﾊｰｽｰﾊｰｽｰﾊｰｸﾝｶｸﾝｶｸﾝｶｸﾝｶﾍﾟﾛﾍﾟﾛﾁｭｯﾁｭ
涼,……な訳、ない、よなぁ？。――そして、絶好調なアタシたちの元に。スゴい仕事が舞い込んできた
美嘉,あの如月千早と共演！？
涼,ええええええええええええええ！！！？？！？
P,ナイスリアクションだな
美嘉,だって如月千早と言ったら
涼,僅か1年でAランクアイドルにまで上り詰め。海外でも圧倒的歌唱力で大ヒットを生み出した大スターじゃないかっ！！。この業界で知らない奴がいたらソイツはモグリ中のモグリだよっ！
菲菲,アイヤー…
涼,アイドルなんて考えもしなかった頃のアタシでも彼女のことはよく知っている。持ち前の歌唱力でどんな相手とライブをしても揺るぎなくで勝つとかで。鉄壁の女王とか呼ばれてるらしい。そんな相手と共演……歌番組で
美嘉,……
菲菲,んー……
P,プレッシャーがキツいなら止めるか？
涼,！。バカ言うなよ！これは武者震いってヤツだ！
美嘉,そうだよ、それにアタシたちが負けるわけないし★
菲菲,誰が相手でも一生懸命頑張りマスヨー！
P,よし、その意気だ。気張っていこう
涼,そして、本番当日
如月千早,――こんにちは。今日は頑張って一緒に盛り上げていきましょう
涼,は…ふぁい……
美嘉,よ、よろしく……
菲菲,お願い、しマスヨー……
P,挨拶だけで完全に飲まれとるがな
千早,懐かしいわね……春香の新人の時がこんな感じだったかしら？。……にしても
美嘉,……？
菲菲,……？
涼,……？
千早,……。……。くっ
P,何故だか、微妙に悔しそうな如月千早の顔が印象的だったが。番組自体が始まれば、そこはプロとしてやってきた娘たち。如月千早に負けないように、と普段以上の実力で持ち歌を披露した。そして……如月千早の順番が……
千早,みなさん……今日はお集まりいただいてありがとうございます。私はあまり喋るのが得意ではないのですが……。その耳で、どうか聴いてもらいたいと思います。私が、海外で得てきたものを。それでは――蒼い鳥を
P,彼女が最初の詞を口ずさんだ瞬間、会場の空気が一変した。完敗だった。鉄壁の女王の名前は伊達ではなかったが……
美嘉,お疲れ様でした！！アタシスッゴく感動しちゃいました！！！
涼,もう…言葉が……出ない
菲菲,ほえー……
千早,ふふ、ありがとう。三人の歌も、良かったわ。城ヶ崎さんは、最初の出だしは良かったけど――
美嘉,はいっ
P,三人とも如月千早のアドバイスに必死に耳を傾けている……本物の声を聞けるまたとない機会だもんな
千早,……ふぅ。三人とも大体こんな感じかしら…あぁ、あと
P,？何故だか如月千早がこっちを向いた
千早,鈍いプロデューサーを持つと、お互い苦労するわね？
美嘉,！
涼,！
菲菲,？
P,なんだ……？二人ともかなり驚いている……菲菲はよくわかってなさそうだが
涼,…………そんなわけで、色々と収穫のあった。歌のアプローチと……恋の、アプローチ。……プロデューサーサン…。アンタが、くすぶってたアタシに火を着けたんだ。……責任、とってくれよ？。炎はスゴく熱いけど、まだ胸の奥に閉まっておこう。この想いと、応援してくれてるみんなの気持ちがアタシをアツくさせる。最高潮に燃え上がって、アタシが世界のトップスターになったら。一気に、決めさせてもらうよ。プロデューサーサン、ありがとう…。アタシを、この世界に連れてきて。いつか絶対、返すから
美嘉,ついにこの時が来たね★
莉嘉,お姉ちゃんだからって手を抜かないよ☆勢いあまって潰しちゃうかも！
美嘉,それはアタシの台詞だよ！手加減なんかしないからね★
涼,なぁ、プロデューサーサン。美嘉は勝てるか？
P,負けないさ、絶対に
涼,随分な自信だねぇ
P,そりゃそうさ、なんたって。彼女は、俺が初めてプロデュースした娘だからね
涼,そうなの？
P,876プロからはすぐ引き抜きされちゃったし。一番付き合いが長い娘だよ。だから、負けないさ
涼,そうかい……羨ましいね、美嘉が
P,え？
涼,まったく、人の気も知らないで……。待ってろよな、プロデューサーサン。この気持ちも、すぐに100倍にして焼き尽くしてやるから。ま……でも、今は。とりあえず、美嘉を応援するかなっ
