鬼龍院皐月,蛇崩いるか
皐月,うむ
蟇郡,えー、皐月様は今年もよくがんばり、服を着た豚どもを導くべく何事も一生懸命で、ありました！
皐月,うむ
蟇郡,纏流子という異分子にも怖じ気つかず懸命に戦い！えー、度重なる勝利をおさめて参りました！
皐月,うむうむ
蟇郡,身長も昨年より1cm伸び、今後も心身共に、更なる成長を遂げるであろうことは確信しております！
皐月,そうか
蟇郡,よって今年のお年玉は……なんと10万円！
皐月,……
蟇郡,ではなかった！これは犬のコロのお年玉でした！自分とした事がウッカリ、ハハハハハ！
皐月,フフフ、初笑いだな
蟇郡,では改めて……今年のお年玉は15万円！
皐月,……
蟇郡,はタマので皐月様のは30万円であります！
皐月,おお、そんなにか
蟇郡,いえいえ、皐月様のご心労を憂えば安いくらいで
皐月,毎年すまんな、年上だからと遠慮しなくとも良いのに
蟇郡,いえいえ、皐月様も一年に一度はご褒美を貰っても罰はあたりません
皐月,そうか、お汁粉と数の子、馳走になったな
蟇郡,いえ、お粗末様であります
皐月,うむ、ではな。さて、では本命の番だな。爺、着物の着付けを手伝ってくれ
揃,はい、皐月様
皐月,黒井、あけおめ
黒井,くっ…どうぞ、お年玉でございます
皐月,うむうむ
黒井,くぅっ！どうか大切にお使いください
皐月,分かっている
揃,皐月様、終わりました
皐月,ありがとう爺、では出かけて来る
揃,ええ、お気を付けて
皐月,うむ
又郎,ねーちゃーん、みかんとってー
マコ,zzz
又郎,ねーちゃーん……zzz
好代,あら流子ちゃん、お重洗うのなんて後でやるからいいのよ？
流子,いえ、お世話になってるんでやらせてくださいっ
好代,あらホント～？全くうちの子達は何やってんのかしらねぇ～？
流子,あははっ
皐月,纏流子ォ！
流子,帰れ！
皐月,諭吉1人で膝枕三時間、どうだ！？
流子,帰れ！
皐月,待て！5人で四時間だ！！
好代,あら、流子ちゃんのお友達ね～！綺麗なお着物♪
皐月,あけましておめでとうございます、纏のお義母さまですね？
流子,帰れ！
好代,あらご丁寧に♪どうぞ、狭い家ですが～
皐月,お邪魔します
流子,あがんな！帰れ！
皐月,流子、膝枕
流子,うるせぇ！帰れ！。帰れ！
